!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Cube Reagent (Secret)\n\orange;Emblem of Suffering
#X2	Cube Reagent (Secret)\n\orange;Emblem of Pain
#X3	Cube Reagent (Secret)\n\orange;Emblem of Hatred
#X4	Cube Reagent (Secret)\n\orange;Emblem of Terror
#X5	Cube Reagent (Secret)\n\orange;Emblem of Destruction
#X6	Cube Reagent (Secret)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Cube Reagent\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
10@	Giant Sword (Sacred)
11+	\blue;+4 Required Level\nRegenerate Mana +5%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
110	Bastard Sword (1)
111	Flamberge (1)
112	Great Sword (1)
113	Crystal Sword (1)
11320	Cannot be Upgraded
11321	+50% Pierce Chance to Mind Flay
11322	+50% Bonus Magic Damage to Maelstrom MkI
11323	-1% Cold Spell Damage per 1 Light Radius\n+3% Fire Spell Damage per 1 Light Radius\n+4 Energy Factor per 1 Light Radius
11324	Level 20 Eagle Stance\n+2 Projectiles to Mind Flay
11325	Level 10 Wolf Stance
11326	Adds 100% of Your Physical/Magic Spell Damage as Bonus Weapon Physical Damage\nAdds 100% of Your Fire Spell Damage as Bonus Weapon Physical Damage
11327	-1% to Enemy Poison Resistance per 20 Strength\n-200% to Poison Spell Damage
11328	\dgrey;Adds 150-300 Fire Damage\n+30% Attack Speed\n\orange;Gematria
11329	+50% Increased Mana Pulse Duration
11330	150% of Crushing Blow added as Fire and Cold Spell Damage
11331	+100% Bonus Lightning Damage to Iron Spiral
11332	Lightning Shield adds 15 - 25 Lightning Damage to Weapon per Skill Level\nThundergod Nova Deals 5000 Lightning Damage\n+1 Projectile to Stormblast
11333	0.3% Singularity Damage Leeched as Life\n+3 Targets to Vessel of Justice
11334	+1% Deadly Strike per 6% Fire Spell Damage\nTotal Defense Reduced by 25%
11335	+100% Bonus Magic Damage to Widowmaker\n+10% Life Leech to Death Shards
11336	+5 Projectiles to Magic Missiles
11337	Level 1 Demon Blood Aura
11338	Skills Cost Life Instead of Mana
11339	\dgrey;-10% to Enemy Poison Resistance\n+30 Life After Each Kill\n+2.5% Physical Resist\n+1 to All Skills\n\orange;Gematria
11340	0.4% Vessel of Retribution Damage Leeched as Life
11341	+750 Fire Damage to Main Queen of Blades Projectiles
11342	-15% Weapon Physical Damage per 1% Crushing Blow
11343	+2% Kraken Stance Damage per Base Level in the Honor Tree
11344	Deal No Elemental or Magic Damage
11345	Fear No Evil
11346	50% of Your Total Character Defense Added as Vitality
11347	\dgrey;+600 Strength Factor to Spell Damage\n+600 Energy Factor to Spell Damage\n+25% Physical Resist\n+33% Deadly Strike\n+100% Magic Find\n+50% Cast Speed\n\orange;If you have No Devotion Skills:
11348	Stormcall Deals No Lightning Damage\nStormcall Deals Double Damage
11349	+14% Magic Damage to Crucify per Base Level
11350	-1% to Enemy Fire and Poison Resists per Shadow Refuge Base Level
11351	+100% Duration to Solar Flare Buff
11352	Stampede Cooldown Cannot be Reduced Below 0.8 seconds
11353	You may Only use Melee, Summon and Support Skills
11354	Fire Pierce Reduces Cold Pierce\nFire Spell Damage Reduces Cold Spell Damage\nGlacial Nova no Longer Freezes Enemies\nGlacial Nova Deals +150% Total Damage
11355	\dgrey; 20 Second Cooldown to All Lightning Tree Spells\n\orange;If You Have any Points in the Fire, Cold or Poison Trees:
11356	60% of Weapon Damage Added to Magnetic Field as Bonus Physical Damage\n100% of Magnetic Field Bonus Lightning Damage Converted to Physical
11357	Otherwise, +20% Deadly Strike\nIf Wielded by a Mercenary, +100% Magic find
11358	Summon Two Necromancer Minions With Each Cast
11359	Otherwise, -10% Total Mind Flay Damage\nIf You Have Not Been Hit Recently, +30% Total Mind Flay Damage
11360	-1.5% Enemy Poison Resist per Snake Stance Base Level\nSnake Stance Only Affects You
11361	\dgrey;-1% to Enemy Fire and Lightning Resists per 50 Attributes\n+200% to Fire and Lightning Spell Damage\nAdds 3 - 5 Lightning Damage per 10 Attributes\nAdds 3 - 5 Fire Damage per 10 Attributes\n\orange;While Using Whirlwind:
11362	Minion Damage Also Increases Your Spell Damage at 50% Efficiency
11363	+1% Attack Speed per 20 Strength
11364	\dgrey;+0.5% to Maximum Elemental Resistances\n+250 to Life\n\orange;Gematria
11365	Deal No Lightning Damage
11368	Congratulations!
11369	Cube after Killing Dark Star Dragon in Under 2 Minutes
11370	+8 to Maximum Forked Lightning Projectiles
11371	Deal No Crushing Blows\nYour Attacks Ignore the Physical Resistance of the Undead\n50% of Minion Life Increases Added as Total Character Defense\n10% of Minion Damage Increases Added as Deadly Strike
11372	(Max: 1 minute from each other)\nCube after Killing Imperius and Malthael
11373	Cube with Essence to Roll Stat
11374	Cube with Mystic Shard to Upgrade
11375	Total Chance to Avoid Damage = 0%
11376	Fire Elementals Gain 100% of Their Physical Damage as Fire
11377	Adds 1 - 3 Fire, Cold and Lightning Damage to Weapon per 1 Strength Factor
11378	+300% Weapon Physical Damage if Wielding a Scepter
11379	\dgrey;+1 Projectile to Iceburst\n\orange;While Dual Wielding This Weapon:
11380	\dgrey; +200% Bonus Magic Damage to Noctule\n\orange;While Dual Wielding This Weapon:
11381	+20 second Cooldown to Ice Elementals
11382	+20 second Cooldown to Blade Spirits
11383	+30 Second Cooldown to Jinn
11384	+1 Projectile to Boneyard\n+100% Duration to Bane
11385	+50% Poison Damage to Windform
11386	Arrow Swarm Shoots Twice as Many Projectiles
11387	Hymn Regenerates 4% of Maximum Life per Second
11388	Dragonlore: Ecstatic Frenzy Does Not Reduce Your Defense
11389	+3 Projectiles to Scorpion Blade
11390	Guardian Spirits Inherit 100% of Your Deadly Strike
11391	Veil King Inherits Your Dragonfire Oil Fire Damage
11392	Deathlord Makes You Significantly More Vulnerable to All Damage
11393	\dgrey;+0.5% Crushing Blow per Tantrum Skill Level\n+0.5% Deadly Strike per Tantrum Skill Level\n\orange;While Tantrum is Active:
11394	+50% Total Damage to Symphony of Destruction\n+2 Projectiles to Graveyard\nDeal No Fire, Lightning or Cold Damage
11395	+1.5% Cold Spell Damage For Each Skill Level of Your Ways Passives\n-1 Projectile to Limpet Laser
11396	This Fire Damage Increases by 10% For Each Base Level in the Crossbow Tree\n+500 Fire Damage to Flametail Shot
11397	+18% Bonus Fire Damage to Sun Strike per Base Level in the Bow Tree\nSun Strike Shoots 1 Projectile
11398	+125% Bonus Magic Damage to Parasite
11399	-1% to Enemy Elemental Resistances per Carnage Base Level
114	Hand Axe (1)
11400	This Fire Damage is Increased by 15% per Wildfire Base Level\nAdds 750 Fire Damage to Idol of Scosglen
11401	+9% Bonus Magic Damage to Laughing Ghost per Base Level in the Bow Tree
11402	\dgrey;Adds 200 - 400 Cold Damage\n-10% to Enemy Cold Resist\n\orange;Gematria
11403	Adds 50 - 100% of Dexerity as Magic Damage to Weapon
11404	Three's a Company''\n''Cross the Wide, Somber Seas I Will Sail
11405	''Cross the Wide, Somber Seas I Will Sail''
11406	\dgrey;+25% Total Character Defense\n-5% Elemental Resists\n+5% Physical Resist\n\orange;Gematria
11407	+1 Projectile to Hunting Banshee
11408	+2 Projectiles to Hunting Banshee
11409	-2% to Enemy Elemental Resistances per Nephalem Spirit Base Level
11410	+3% Lightning Spell Damage per Spirit of Vengeance Skill Level
11411	+50% Total Exorcism Damage
11412	You Have Bloodbath
11413	(Max: 1 minute from each other)\nCube after Killing Rathma and Mendeln
115	Axe (1)
116	Double Axe (1)
117	Military Pick (1)
118	War Axe (1)
119	Large Axe (1)
11@	Bastard Sword (Sacred)
12!	Phoenix Shield (3)
12+	\blue;+4 Required Level\n+4% Bonus to Summoned Minion Damage\n\grey;Cube with Item to Add Bonus\n
120	Broad Axe (1)
121	Battle Axe (1)
122	Great Axe (1)
123	Giant Axe (1)
124	Club (1)
125	Spiked Club (1)
126	Mace (1)
127	Morning Star (1)
128	Flail (1)
1288	+15% Total Damage to Elemental
1289	+10% Total Damage to Elemental
129	Scepter (1)
12@	Flamberge (Sacred)
13!	Phoenix Shield (4)
13+	\blue;+4 Required Level\n+4% Bonus to Summoned Minion Life\n\grey;Cube with Item to Add Bonus\n
130	Grand Scepter (1)
131	War Scepter (1)
132	Javelin (1)
133	Pilum (1)
134	Short Spear (1)
135	Glaive (1)
136	Throwing Spear (1)
137	Spear (1)
138	Trident (1)
139	Brandistock (1)
13@	Great Sword (Sacred)
14!	Phoenix Shield (Sacred)
14+	\blue;+4 Required Level\n+2% Bonus to Summoned Minion Resistances\n\grey;Cube with Item to Add Bonus\n
140	Spetum (1)
141	Pike (1)
142	Dagger (1)
143	Dirk (1)
144	Kriss (1)
145	Blade (1)
146	Throwing Knife (1)
147	Flying Knife (1)
148	Balanced Knife (1)
149	Throwing Axe (1)
14@	Crystal Sword (Sacred)
15!	Setzschild (1)
15+	\blue;+4 Required Level\n5% Gold Find\n\grey;Cube with Item to Add Bonus\n
150	Balanced Axe (1)
151	Short Staff (1)
152	Long Staff (1)
153	Gnarled Staff (1)
154	Battle Staff (1)
155	War Staff (1)
156	Bardiche (1)
157	Voulge (1)
158	Scythe (1)
159	Halberd (1)
15@	Hand Axe (Sacred)
16+	\blue;+4 Required Level\n3% Magic Find\n\grey;Cube with Item to Add Bonus\n
160	Short Bow (1)
161	Hunter's Bow (1)
162	Long Bow (1)
163	Composite Bow (1)
164	Short Battle Bow (1)
165	Long Battle Bow (1)
166	Short War Bow (1)
167	Long War Bow (1)
16@	Axe (Sacred)
17!	Setzschild (2)
17+	\blue;+4 Required Level\n+4% Bonus to Poison Skill Duration\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
17@	Double Axe (Sacred)
18+	\blue;+4 Required Level\n+2% to Buff/Debuff/Cold Skill Duration\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
18@	Military Pick (Sacred)
19!	Setzschild (3)
19+	\blue;+4 Required Level\n+100 Defense\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
19@	Hammerhead Axe (1)
1@1	Compound Bow (1)
1@2	Serpent Bow (2)
1@3	Maple Bow (3)
1@4	Viper Bow (Sacred)
1@7	Ida (4)
1@8	Kriegsmesser (1)
1@9	Bonebreaker (2)
1@@	War Axe (Sacred)
1@A	Goedendag (3)
1@B	Angel Star (Sacred)
1@E	Dart Thrower (4)
1@F	Trebuchet (1)
1@G	Gambeson (1)
1@H	Lamellar Armor (2)
1@I	Kazarghand (3)
1@J	Banded Plate (Sacred)
1@M	Einherjar Helm (4)
1@N	Parma (1)
1@O	Aspis (2)
1@P	Totem Shield (3)
1@Q	Bladed Shield (Sacred)
1o@	Cube Reagent\n\orange;Oil of Duplication
20!	Setzschild (4)
20+	\blue;+4 Required Level\nPoison Length Reduced by 4%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
20@	Large Axe (Sacred)
21!	Setzschild (Sacred)
21+	\blue;+4 Required Level\nFire Resist +7%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
21@	Broad Axe (Sacred)
22!	Bull Shield (1)
22+	\blue;+4 Required Level\nCold Resist +7%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
22@	Battle Axe (Sacred)
23+	\blue;+4 Required Level\nLightning Resist +7%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
236	Short Sword (2)
237	Scimitar (2)
238	Saber (2)
239	Falchion (2)
23@	Great Axe (Sacred)
24!	Bull Shield (2)
24+	\blue;+4 Required Level\nPoison Resist +7%\n\grey;Cube with Ring/Amulet/Quiver to Add Bonus\n
240	Broad Sword (2)
241	Long Sword (2)
242	War Sword (2)
243	Two-Handed Sword (2)
244	Claymore (2)
245	Giant Sword (2)
246	Bastard Sword (2)
247	Flamberge (2)
248	Great Sword (2)
249	Crystal Sword (2)
24@	Giant Axe (Sacred)
25+	\blue;+4 Required Level\n4% Curse Length Reduction\n\grey;Cube with Any Armor to Add Bonus\n
250	Hand Axe (2)
251	Axe (2)
252	Double Axe (2)
253	Military Pick (2)
254	War Axe (2)
255	Large Axe (2)
256	Broad Axe (2)
257	Battle Axe (2)
258	Great Axe (2)
259	Giant Axe (2)
25@	Club (Sacred)
25^	\dgreen;Greater Signet of Learning
26!	Bull Shield (3)
26+	\blue;+4 Required Level\n+15% Enhanced Defense\n\grey;Cube with Any Armor to Add Bonus\n
260	Club (2)
261	Spiked Club (2)
262	Mace (2)
263	Morning Star (2)
264	Flail (2)
265	Scepter (2)
266	Grand Scepter (2)
267	War Scepter (2)
268	Javelin (2)
269	Pilum (2)
26@	Spiked Club (Sacred)
27!	Bull Shield (4)
27+	\blue;+4 Required Level\nTotal Character Defense +4%\n\grey;Cube with Any Armor to Add Bonus\n
270	Short Spear (2)
271	Glaive (2)
272	Throwing Spear (2)
273	Spear (2)
274	Trident (2)
275	Brandistock (2)
276	Spetum (2)
277	Pike (2)
278	Dagger (2)
279	Dirk (2)
27@	Mace (Sacred)
28!	Bull Shield (Sacred)
280	Kriss (2)
281	Blade (2)
282	Throwing Knife (2)
283	Flying Knife (2)
284	Balanced Knife (2)
285	Throwing Axe (2)
286	Balanced Axe (2)
287	Short Staff (2)
288	Long Staff (2)
289	Gnarled Staff (2)
28@	Morning Star (Sacred)
29!	Bronze Shield (1)
290	Battle Staff (2)
291	War Staff (2)
292	Bardiche (2)
293	Voulge (2)
294	Scythe (2)
295	Halberd (2)
296	Short Bow (2)
297	Hunter's Bow (2)
298	Long Bow (2)
299	Composite Bow (2)
29@	Flail (Sacred)
2@3	Maple Bow (4)
2@4	Recurve Bow (1)
2@5	Spatha (2)
2@6	Backsword (3)
2@7	Ida (Sacred)
2@A	Goedendag (4)
2@C	Hand of God (2)
2@D	Needle Crossbow (3)
2@E	Dart Thrower (Sacred)
2@I	Kazarghand (4)
2@J	Ceremonial Armor (1)
2@K	Morion (2)
2@L	Cervelliere (3)
2@M	Einherjar Helm (Sacred)
2@P	Totem Shield (4)
2ax	Double Axe
2hs	Two-Handed Sword
2o@	Cube Reagent\n\orange;Oil of Disjunction
2x5	\dgreen;Alpha Brain
2x6	\dgreen;Beta Brain
2x7	\dgreen;Gamma Brain
2x8	\dgreen;Delta Brain
2x9	\dgreen;Epsilon Brain
30+	\blue;+4 Required Level\n2% Chance of Uninterruptable Attack\n\grey;Cube with Any Armor to Add Bonus\n
300	Short Battle Bow (2)
301	Long Battle Bow (2)
302	Short War Bow (2)
303	Long War Bow (2)
30@	Scepter (Sacred)
31!	Bronze Shield (2)
31+	\blue;+4 Required Level\n+2% to Experience Gained\n\grey;Cube with Any Weapon to Add Bonus\n
31@	Grand Scepter (Sacred)
32+	\blue;+4 Required Level\n3% Life Stolen per Hit\n\grey;Cube with Any Weapon to Add Bonus\n
32@	War Scepter (Sacred)
33!	Bronze Shield (3)
33+	\blue;+4 Required Level\n5% Mana Stolen per Hit\n\grey;Cube with Any Weapon to Add Bonus\n
33@	Javelin (Sacred)
34!	Bronze Shield (4)
34@	Pilum (Sacred)
35!	Bronze Shield (Sacred)
35+	\blue;+4 Required Level\n50% Bonus to Attack Rating\n\grey;Cube with Any Weapon to Add Bonus\n
35@	Short Spear (Sacred)
36!	Gilded Shield (1)
36+	\blue;+4 Required Level\n+15% Enhanced Damage\n\grey;Cube with Any Weapon to Add Bonus\n
36@	Glaive (Sacred)
37+	\blue;+4 Required Level\n+6 to Maximum Damage\n\grey;Cube with Any Weapon to Add Bonus\n
372	Short Sword (3)
373	Scimitar (3)
374	Saber (3)
375	Falchion (3)
376	Broad Sword (3)
377	Long Sword (3)
378	War Sword (3)
379	Two-Handed Sword (3)
37@	Throwing Spear (Sacred)
38!	Gilded Shield (2)
38+	\blue;+4 Required Level\n1% Deadly Strike\n\grey;Cube with Any Weapon to Add Bonus\n
380	Claymore (3)
381	Giant Sword (3)
382	Bastard Sword (3)
383	Flamberge (3)
384	Great Sword (3)
385	Crystal Sword (3)
386	Hand Axe (3)
387	Axe (3)
388	Double Axe (3)
389	Military Pick (3)
38@	Spear (Sacred)
39+	\blue;+4 Required Level\n1% Chance of Crushing Blow\n\grey;Cube with Any Weapon to Add Bonus\n
390	War Axe (3)
391	Large Axe (3)
392	Broad Axe (3)
393	Battle Axe (3)
394	Great Axe (3)
395	Giant Axe (3)
396	Club (3)
397	Spiked Club (3)
398	Mace (3)
399	Morning Star (3)
39@	Trident (Sacred)
3@1	Compound Bow (2)
3@2	Serpent Bow (3)
3@3	Maple Bow (Sacred)
3@6	Backsword (4)
3@7	Bronze Sword (1)
3@8	Kriegsmesser (2)
3@9	Bonebreaker (3)
3@A	Goedendag (Sacred)
3@D	Needle Crossbow (4)
3@E	Stinger Crossbow (1)
3@F	Trebuchet (2)
3@G	Gambeson (2)
