#code	name	width	height	gentype	stackable	rlvl	image	type	sockettype	class
w82	Heraldic Shield (4)	2	4	0	0	16	invpa3	ashd	0	3
w32	Antlers (2)	2	2	0	0	7	invdr3	pelt		5
w65	Preserved Head (3)	2	2	0	0	10	invne1	head	0	2
752	Ancient Armor (4)	2	3	0	0	19	invaar	tors		-1
13!	Phoenix Shield (6)	2	3	0	0	26	invkitu	azsd	0	0
@26	Tower Shield (Sacred)	2	3	0	0	30	invtow	shie	0	-1
835	Scale Mail (6)	2	3	0	0	23	invscl	tors		-1
4@P	Bladed Shield (1)	2	3	0	0	4	invxpku	ishd	0	6
28!	Bull Shield (Sacred)	2	4	0	0	30	invgtsu	basd	0	4
w21	Rondache (1)	2	2	0	0	2	invpa2	ashd	0	3
3@O	Aspis (5)	2	3	0	0	20	invxrgu	ishd	0	6
862	Leather Gloves (6)	2	2	0	0	21	invlgl	glov		-1
6@K	Morion (Sacred)	2	2	0	0	30	invxkpu	azhm		0
54!	Blackguard Helm (5)	2	2	0	0	20	invbhmu	pzhm		3
23!	Bull Shield (2)	2	4	0	0	6	invgtsu	basd	0	4
2@K	Morion (3)	2	2	0	0	9	invxkpu	azhm		0
683	Boots (2)	2	2	0	0	4	invlbt	boot		-1
@43	Bone Shield (Sacred)	2	3	0	0	30	invbsh	shie	0	-1
5@I	Banded Plate (2)	2	3	0	0	10	invfulu	stor		1
w45	Preserved Head (2)	2	2	0	0	5	invne1	head	0	2
@34	Heavy Gloves (Sacred)	2	2	0	0	30	invvgl	glov		-1
765	Sash (4)	2	1	0	0	13	invlbl	belt		-1
w98	Assault Helmet (5)	2	2	0	0	21	invba4	phlm		4
784	Quilted Armor (5)	2	3	0	0	17	invqlt	tors		-1
1@M	Einherjar Helm (6)	2	2	0	0	25	invuhms	azhm		0
e25	Jawbone Cap (6)	2	2	0	0	23	invba1	phlm		4
w44	Crown Shield (2)	2	2	0	0	9	invpa5	ashd	0	3
762	Kite Shield (4)	2	3	0	0	16	invkit	shie	0	-1
638	Heavy Boots (1)	2	2	0	0	1	invvbt	boot		-1
734	Bone Shield (3)	2	3	0	0	11	invbsh	bshi	0	-1
@51	Spirit Mask (Sacred)	2	2	0	0	30	invdr5	pelt		5
875	Bone Helm (6)	2	2	0	0	27	invbhm	bhlm		-1
@21	Crown (Sacred)	2	2	0	0	30	invcrn	helm		-1
8@M	Spangenhelm (6)	2	2	0	0	27	invxrnu	azhm		0
w29	Demon Head (1)	2	2	0	0	5	invne5	head	0	2
@08	Breast Plate (Sacred)	2	3	0	0	30	invbrs	tors		-1
k19	Tiara (5)	2	2	0	0	21	invci2	circ		-1
3@M	Spangenhelm (1)	2	2	0	0	5	invxrnu	azhm		0
9@J	Morion (1)	2	2	0	0	1	invxkpu	azhm		0
824	Light Plated Boots (5)	2	2	0	0	20	invtbt	boot		-1
661	Cap (2)	2	2	0	0	4	invcap	helm		-1
800	Skull Cap (5)	2	2	0	0	18	invskp	helm		-1
k04	Diadem (1)	2	2	0	0	5	invci3	circ		-1
w93	Falcon Mask (5)	2	2	0	0	21	invdr4	pelt		5
4@J	Ceremonial Armor (3)	2	3	0	0	15	invaaru	stor		1
@69	Tiara (Sacred)	2	2	0	0	30	invci2	circ		-1
@06	Scale Mail (Sacred)	2	3	0	0	30	invscl	tors		-1
678	Leather Gloves (2)	2	2	0	0	4	invlgl	glov		-1
7@N	Parma (Sacred)	2	2	0	0	30	invsmlu	ishd	0	6
605	Scale Mail (1)	2	3	0	0	2	invscl	tors		-1
4@O	Aspis (6)	2	3	0	0	25	invxrgu	ishd	0	6
k17	Circlet (5)	2	2	0	0	19	invci0	circ		-1
607	Breast Plate (1)	2	3	0	0	2	invbrs	tors		-1
773	Light Gauntlets (4)	2	2	0	0	16	invtgl	glov		-1
813	Belt (5)	2	1	0	0	20	invmbl	belt		-1
644	Mask (1)	2	2	0	0	3	invmsk	bhlm		-1
e14	Crown Shield (5)	2	2	0	0	22	invpa5	ashd	0	3
759	Buckler (4)	2	2	0	0	13	invbuc	shie	0	-1
1@J	Banded Plate (Sacred)	2	3	0	0	30	invfulu	stor		1
851	Buckler (6)	2	2	0	0	21	invbuc	shie	0	-1
w79	Avenger Guard (4)	2	2	0	0	18	invba5	phlm		4
9@P	Bladed Shield (6)	2	3	0	0	26	invxpku	ishd	0	6
01!	Athulua's Hand (1)	2	2	0	0	0	invxmlu	azsd	0	0
694	Hard Leather Armor (3)	2	3	0	0	9	invhla	tors		-1
@44	Spiked Shield (Sacred)	2	3	0	0	30	invspk	shie	0	-1
@17	Skull Cap (Sacred)	2	2	0	0	30	invskp	helm		-1
w85	Preserved Head (4)	2	2	0	0	14	invne1	head	0	2
816	Leather Gloves (5)	2	2	0	0	17	invlgl	glov		-1
12!	Phoenix Shield (5)	2	3	0	0	21	invkitu	azsd	0	0
874	Mask (6)	2	2	0	0	25	invmsk	bhlm		-1
w55	Jawbone Cap (3)	2	2	0	0	10	invba1	phlm		4
652	Chain Mail (2)	2	3	0	0	6	invchn	tors		-1
791	Breast Plate (5)	2	3	0	0	20	invbrs	tors		-1
19!	Setzschild (5)	2	4	0	0	23	invutss	azsd	0	0
796	Gothic Plate (5)	2	3	0	0	22	invgth	tors		-1
14!	Phoenix Shield (Sacred)	2	3	0	0	30	invkitu	azsd	0	0
844	Ancient Armor (6)	2	3	0	0	27	invaar	tors		-1
787	Studded Leather (5)	2	3	0	0	19	invstu	tors		-1
w40	Targe (2)	2	2	0	0	5	invpa1	ashd	0	3
775	Boots (4)	2	2	0	0	12	invlbt	boot		-1
746	Splint Mail (4)	2	3	0	0	16	invspl	tors		-1
e36	Zombie Head (6)	2	2	0	0	24	invne2	head	0	2
744	Chain Mail (4)	2	3	0	0	15	invchn	tors		-1
w10	Wolf Head (1)	2	2	0	0	1	invdr1	pelt		5
633	Heavy Gloves (1)	2	2	0	0	1	invvgl	glov		-1
5@K	Morion (6)	2	2	0	0	22	invxkpu	azhm		0
w15	Jawbone Cap (1)	2	2	0	0	1	invba1	phlm		4
5@M	Spangenhelm (3)	2	2	0	0	14	invxrnu	azhm		0
718	Gothic Shield (3)	2	4	0	0	14	invgts	shie	0	-1
700	Splint Mail (3)	2	3	0	0	11	invspl	tors		-1
868	Heavy Boots (6)	2	2	0	0	23	invvbt	boot		-1
764	Gothic Shield (4)	2	4	0	0	18	invgts	shie	0	-1
672	Gothic Shield (2)	2	4	0	0	9	invgts	shie	0	-1
769	Plated Belt (4)	2	1	0	0	18	invhbl	belt		-1
@12	Light Plate (Sacred)	2	3	0	0	30	invltp	tors		-1
e12	Heraldic Shield (5)	2	4	0	0	20	invpa3	ashd	0	3
803	Great Helm (5)	2	2	0	0	21	invghm	helm		-1
@54	Horned Helm (Sacred)	2	2	0	0	30	invba3	phlm		4
7@I	Banded Plate (4)	2	3	0	0	19	invfulu	stor		1
853	Large Shield (6)	2	3	0	0	24	invlrg	shie	0	-1
@14	Full Plate Mail (Sacred)	2	3	0	0	30	invful	tors		-1
751	Full Plate Mail (4)	2	3	0	0	18	invful	tors		-1
8@K	Cervelliere (2)	2	2	0	0	7	invfhlu	azhm		0
606	Chain Mail (1)	2	3	0	0	2	invchn	tors		-1
@22	Buckler (Sacred)	2	2	0	0	30	invbuc	shie	0	-1
w52	Antlers (3)	2	2	0	0	11	invdr3	pelt		5
724	Leather Gloves (3)	2	2	0	0	8	invlgl	glov		-1
w73	Falcon Mask (4)	2	2	0	0	17	invdr4	pelt		5
w60	Targe (3)	2	2	0	0	10	invpa1	ashd	0	3
691	Bone Helm (2)	2	2	0	0	9	invbhm	bhlm		-1
666	Crown (2)	2	2	0	0	9	invcrn	crow		-1
1@L	Cervelliere (4)	2	2	0	0	15	invfhlu	azhm		0
860	Heavy Belt (6)	2	1	0	0	25	invtbl	belt		-1
@05	Ring Mail (Sacred)	2	3	0	0	30	invrng	tors		-1
4@K	Morion (5)	2	2	0	0	18	invxkpu	azhm		0
677	Plated Belt (2)	2	1	0	0	9	invhbl	belt		-1
e21	Hawk Helm (6)	2	2	0	0	24	invdr2	pelt		5
708	Skull Cap (3)	2	2	0	0	10	invskp	helm		-1
650	Ring Mail (2)	2	3	0	0	6	invrng	tors		-1
710	Full Helm (3)	2	2	0	0	11	invfhl	helm		-1
856	Gothic Shield (6)	2	4	0	0	27	invgts	shie	0	-1
15!	Setzschild (1)	2	4	0	0	6	invutss	azsd	0	0
664	Full Helm (2)	2	2	0	0	7	invfhl	helm		-1
6@J	Ceremonial Armor (5)	2	3	0	0	24	invaaru	stor		1
43!	Hundsgugel (1)	2	2	0	0	1	invhlmu	pzhm		3
5@J	Ceremonial Armor (4)	2	3	0	0	19	invaaru	stor		1
w28	Gargoyle Head (1)	2	2	0	0	3	invne4	head	0	2
@40	Chain Boots (Sacred)	2	2	0	0	30	invmbt	boot		-1
646	Quilted Armor (2)	2	3	0	0	4	invqlt	tors		-1
39!	Gilded Shield (4)	2	3	0	0	19	invlrgu	basd	0	4
756	Full Helm (4)	2	2	0	0	16	invfhl	helm		-1
w97	Horned Helm (5)	2	2	0	0	20	invba3	phlm		4
@65	Gargoyle Head (Sacred)	2	2	0	0	30	invne4	head	0	2
6@P	Bladed Shield (3)	2	3	0	0	12	invxpku	ishd	0	6
26!	Bull Shield (5)	2	4	0	0	19	invgtsu	basd	0	4
46!	Hundsgugel (4)	2	2	0	0	14	invhlmu	pzhm		3
617	Helm (1)	2	2	0	0	2	invhlm	helm		-1
w36	Fanged Helm (2)	2	2	0	0	6	invba2	phlm		4
07!	Athulua's Hand (Sacred)	2	2	0	0	30	invxmlu	azsd	0	0
w12	Antlers (1)	2	2	0	0	3	invdr3	pelt		5
e28	Assault Helmet (6)	2	2	0	0	25	invba4	phlm		4
@68	Coronet (Sacred)	2	2	0	0	30	invci1	circ		-1
w20	Targe (1)	2	2	0	0	1	invpa1	ashd	0	3
k13	Circlet (4)	2	2	0	0	15	invci0	circ		-1
25!	Bull Shield (4)	2	4	0	0	15	invgtsu	basd	0	4
651	Scale Mail (2)	2	3	0	0	6	invscl	tors		-1
45!	Hundsgugel (3)	2	2	0	0	9	invhlmu	pzhm		3
629	Belt (1)	2	1	0	0	2	invmbl	belt		-1
@16	Cap (Sacred)	2	2	0	0	30	invcap	helm		-1
49!	Hundsgugel (Sacred)	2	2	0	0	30	invhlmu	pzhm		3
810	Gothic Shield (5)	2	4	0	0	22	invgts	shie	0	-1
w71	Hawk Helm (4)	2	2	0	0	15	invdr2	pelt		5
03!	Athulua's Hand (3)	2	2	0	0	9	invxmlu	azsd	0	0
660	Ancient Armor (2)	2	3	0	0	10	invaar	tors		-1
1@O	Aspis (3)	2	3	0	0	12	invxrgu	ishd	0	6
w53	Falcon Mask (3)	2	2	0	0	12	invdr4	pelt		5
w11	Hawk Helm (1)	2	2	0	0	2	invdr2	pelt		5
@70	Diadem (Sacred)	2	2	0	0	30	invci3	circ		-1
806	Small Shield (5)	2	2	0	0	18	invsml	shie	0	-1
869	Chain Boots (6)	2	2	0	0	24	invmbt	boot		-1
41!	Gilded Shield (6)	2	3	0	0	28	invlrgu	basd	0	4
790	Chain Mail (5)	2	3	0	0	19	invchn	tors		-1
9@M	Spangenhelm (Sacred)	2	2	0	0	30	invxrnu	azhm		0
09!	Phoenix Shield (2)	2	3	0	0	8	invkitu	azsd	0	0
w17	Horned Helm (1)	2	2	0	0	3	invba3	phlm		4
604	Ring Mail (1)	2	3	0	0	2	invrng	tors		-1
@13	Gothic Plate (Sacred)	2	3	0	0	30	invgth	tors		-1
717	Tower Shield (3)	2	3	0	0	12	invtow	shie	0	-1
815	Plated Belt (5)	2	1	0	0	22	invhbl	belt		-1
843	Full Plate Mail (6)	2	3	0	0	27	invful	tors		-1
671	Tower Shield (2)	2	3	0	0	8	invtow	shie	0	-1
51!	Blackguard Helm (2)	2	2	0	0	7	invbhmu	pzhm		3
55!	Blackguard Helm (6)	2	2	0	0	25	invbhmu	pzhm		3
632	Leather Gloves (1)	2	2	0	0	0	invlgl	glov		-1
3@L	Cervelliere (6)	2	2	0	0	24	invfhlu	azhm		0
692	Quilted Armor (3)	2	3	0	0	9	invqlt	tors		-1
610	Field Plate (1)	2	3	0	0	3	invfld	tors		-1
2@H	Lamellar Armor (4)	2	3	0	0	15	invxrss	stor		1
7@H	Kazarghand (2)	2	3	0	0	7	invxaru	stor		1
w41	Rondache (2)	2	2	0	0	6	invpa2	ashd	0	3
663	Helm (2)	2	2	0	0	6	invhlm	helm		-1
725	Heavy Gloves (3)	2	2	0	0	10	invvgl	glov		-1
615	Cap (1)	2	2	0	0	0	invcap	helm		-1
w72	Antlers (4)	2	2	0	0	16	invdr3	pelt		5
854	Kite Shield (6)	2	3	0	0	24	invkit	shie	0	-1
@23	Small Shield (Sacred)	2	2	0	0	30	invsml	shie	0	-1
766	Light Belt (4)	2	1	0	0	14	invvbl	belt		-1
7@P	Bladed Shield (4)	2	3	0	0	17	invxpku	ishd	0	6
797	Full Plate Mail (5)	2	3	0	0	23	invful	tors		-1
658	Gothic Plate (2)	2	3	0	0	9	invgth	tors		-1
@59	Heraldic Shield (Sacred)	2	4	0	0	30	invpa3	ashd	0	3
w96	Fanged Helm (5)	2	2	0	0	19	invba2	phlm		4
659	Full Plate Mail (2)	2	3	0	0	9	invful	tors		-1
645	Bone Helm (1)	2	2	0	0	5	invbhm	bhlm		-1
682	Gauntlets (2)	2	2	0	0	9	invhgl	glov		-1
e39	Demon Head (6)	2	2	0	0	27	invne5	head	0	2
635	Light Gauntlets (1)	2	2	0	0	3	invtgl	glov		-1
10!	Phoenix Shield (3)	2	3	0	0	12	invkitu	azsd	0	0
788	Ring Mail (5)	2	3	0	0	19	invrng	tors		-1
w27	Unraveller Head (1)	2	2	0	0	2	invne3	head	0	2
709	Helm (3)	2	2	0	0	11	invhlm	helm		-1
e27	Horned Helm (6)	2	2	0	0	24	invba3	phlm		4
614	Ancient Armor (1)	2	3	0	0	5	invaar	tors		-1
3@K	Morion (4)	2	2	0	0	13	invxkpu	azhm		0
699	Breast Plate (3)	2	3	0	0	11	invbrs	tors		-1
18!	Setzschild (4)	2	4	0	0	19	invutss	azsd	0	0
687	Greaves (2)	2	2	0	0	9	invhbt	boot		-1
818	Chain Gloves (5)	2	2	0	0	20	invmgl	glov		-1
40!	Gilded Shield (5)	2	3	0	0	24	invlrgu	basd	0	4
06!	Athulua's Hand (6)	2	2	0	0	22	invxmlu	azsd	0	0
626	Gothic Shield (1)	2	4	0	0	5	invgts	shie	0	-1
e13	Aerin Shield (5)	2	4	0	0	21	invpa4	ashd	0	3
826	Bone Shield (5)	2	3	0	0	20	invbsh	bshi	0	-1
w35	Jawbone Cap (2)	2	2	0	0	5	invba1	phlm		4
k06	Coronet (2)	2	2	0	0	7	invci1	circ		-1
56!	Blackguard Helm (Sacred)	2	2	0	0	30	invbhmu	pzhm		3
6@I	Banded Plate (3)	2	3	0	0	14	invfulu	stor		1
782	Mask (4)	2	2	0	0	16	invmsk	bhlm		-1
757	Great Helm (4)	2	2	0	0	17	invghm	helm		-1
4@L	Cervelliere (Sacred)	2	2	0	0	30	invfhlu	azhm		0
809	Tower Shield (5)	2	3	0	0	21	invtow	shie	0	-1
2@M	Einherjar Helm (Sacred)	2	2	0	0	30	invuhms	azhm		0
6@O	Totem Shield (1)	2	3	0	0	3	invxshu	ishd	0	6
@41	Light Plated Boots (Sacred)	2	2	0	0	30	invtbt	boot		-1
@04	Studded Leather (Sacred)	2	3	0	0	30	invstu	tors		-1
@67	Circlet (Sacred)	2	2	0	0	30	invci0	circ		-1
@55	Assault Helmet (Sacred)	2	2	0	0	30	invba4	phlm		4
w66	Zombie Head (3)	2	2	0	0	10	invne2	head	0	2
745	Breast Plate (4)	2	3	0	0	15	invbrs	tors		-1
832	Hard Leather Armor (6)	2	3	0	0	22	invhla	tors		-1
w13	Falcon Mask (1)	2	2	0	0	4	invdr4	pelt		5
736	Mask (3)	2	2	0	0	12	invmsk	bhlm		-1
2@O	Aspis (4)	2	3	0	0	16	invxrgu	ishd	0	6
k12	Diadem (3)	2	2	0	0	14	invci3	circ		-1
603	Studded Leather (1)	2	3	0	0	1	invstu	tors		-1
781	Spiked Shield (4)	2	3	0	0	16	invspk	bshi	0	-1
828	Mask (5)	2	2	0	0	21	invmsk	bhlm		-1
620	Crown (1)	2	2	0	0	5	invcrn	crow		-1
w62	Heraldic Shield (3)	2	4	0	0	11	invpa3	ashd	0	3
9@L	Einherjar Helm (5)	2	2	0	0	21	invuhms	azhm		0
850	Crown (6)	2	2	0	0	27	invcrn	crow		-1
730	Heavy Boots (3)	2	2	0	0	10	invvbt	boot		-1
@15	Ancient Armor (Sacred)	2	3	0	0	30	invaar	tors		-1
9@G	Lamellar Armor (2)	2	3	0	0	6	invxrss	stor		1
k08	Diadem (2)	2	2	0	0	9	invci3	circ		-1
36!	Gilded Shield (1)	2	3	0	0	7	invlrgu	basd	0	4
872	Bone Shield (6)	2	3	0	0	24	invbsh	bshi	0	-1
5@L	Einherjar Helm (1)	2	2	0	0	3	invuhms	azhm		0
1@N	Parma (1)	2	2	0	0	2	invsmlu	ishd	0	6
52!	Blackguard Helm (3)	2	2	0	0	12	invbhmu	pzhm		3
k14	Coronet (4)	2	2	0	0	16	invci1	circ		-1
7@L	Einherjar Helm (3)	2	2	0	0	12	invuhms	azhm		0
w68	Gargoyle Head (3)	2	2	0	0	12	invne4	head	0	2
611	Light Plate (1)	2	3	0	0	4	invltp	tors		-1
6@M	Spangenhelm (4)	2	2	0	0	19	invxrnu	azhm		0
849	Great Helm (6)	2	2	0	0	25	invghm	helm		-1
2@G	Gambeson (2)	2	3	0	0	6	invxtuu	stor		1
842	Gothic Plate (6)	2	3	0	0	26	invgth	tors		-1
17!	Setzschild (3)	2	4	0	0	15	invutss	azsd	0	0
665	Great Helm (2)	2	2	0	0	8	invghm	helm		-1
@31	Heavy Belt (Sacred)	2	1	0	0	30	invtbl	belt		-1
865	Light Gauntlets (6)	2	2	0	0	25	invtgl	glov		-1
w26	Zombie Head (1)	2	2	0	0	2	invne2	head	0	2
@24	Large Shield (Sacred)	2	3	0	0	30	invlrg	shie	0	-1
5@G	Gambeson (5)	2	3	0	0	19	invxtuu	stor		1
5@O	Aspis (Sacred)	2	3	0	0	30	invxrgu	ishd	0	6
@53	Fanged Helm (Sacred)	2	2	0	0	30	invba2	phlm		4
@47	Wolf Head (Sacred)	2	2	0	0	30	invdr1	pelt		5
649	Studded Leather (2)	2	3	0	0	6	invstu	tors		-1
w58	Assault Helmet (3)	2	2	0	0	12	invba4	phlm		4
w74	Spirit Mask (4)	2	2	0	0	18	invdr5	pelt		5
689	Spiked Shield (2)	2	3	0	0	8	invspk	bshi	0	-1
e22	Antlers (6)	2	2	0	0	24	invdr3	pelt		5
642	Bone Shield (1)	2	3	0	0	2	invbsh	bshi	0	-1
648	Hard Leather Armor (2)	2	3	0	0	5	invhla	tors		-1
w86	Zombie Head (4)	2	2	0	0	15	invne2	head	0	2
@03	Hard Leather Armor (Sacred)	2	3	0	0	30	invhla	tors		-1
@39	Heavy Boots (Sacred)	2	2	0	0	30	invvbt	boot		-1
812	Light Belt (5)	2	1	0	0	19	invvbl	belt		-1
795	Light Plate (5)	2	3	0	0	21	invltp	tors		-1
w76	Fanged Helm (4)	2	2	0	0	15	invba2	phlm		4
794	Field Plate (5)	2	3	0	0	21	invfld	tors		-1
727	Light Gauntlets (3)	2	2	0	0	12	invtgl	glov		-1
@56	Avenger Guard (Sacred)	2	2	0	0	30	invba5	phlm		4
w67	Unraveller Head (3)	2	2	0	0	11	invne3	head	0	2
e38	Gargoyle Head (6)	2	2	0	0	25	invne4	head	0	2
4@M	Spangenhelm (2)	2	2	0	0	10	invxrnu	azhm		0
674	Light Belt (2)	2	1	0	0	6	invvbl	belt		-1
732	Light Plated Boots (3)	2	2	0	0	12	invtbt	boot		-1
811	Sash (5)	2	1	0	0	17	invlbl	belt		-1
e33	Aerin Shield (6)	2	4	0	0	25	invpa4	ashd	0	3
w16	Fanged Helm (1)	2	2	0	0	2	invba2	phlm		4
k01	Circlet (1)	2	2	0	0	2	invci0	circ		-1
622	Small Shield (1)	2	2	0	0	1	invsml	shie	0	-1
w48	Gargoyle Head (2)	2	2	0	0	8	invne4	head	0	2
w89	Demon Head (4)	2	2	0	0	18	invne5	head	0	2
8@J	Ceremonial Armor (Sacred)	2	3	0	0	30	invaaru	stor		1
819	Light Gauntlets (5)	2	2	0	0	20	invtgl	glov		-1
776	Heavy Boots (4)	2	2	0	0	14	invvbt	boot		-1
38!	Gilded Shield (3)	2	3	0	0	15	invlrgu	basd	0	4
858	Light Belt (6)	2	1	0	0	23	invvbl	belt		-1
@63	Zombie Head (Sacred)	2	2	0	0	30	invne2	head	0	2
02!	Athulua's Hand (2)	2	2	0	0	5	invxmlu	azsd	0	0
801	Helm (5)	2	2	0	0	19	invhlm	helm		-1
42!	Gilded Shield (Sacred)	2	3	0	0	30	invlrgu	basd	0	4
@36	Light Gauntlets (Sacred)	2	2	0	0	30	invtgl	glov		-1
830	Quilted Armor (6)	2	3	0	0	22	invqlt	tors		-1
754	Skull Cap (4)	2	2	0	0	14	invskp	helm		-1
6@N	Parma (6)	2	2	0	0	24	invsmlu	ishd	0	6
k07	Tiara (2)	2	2	0	0	8	invci2	circ		-1
847	Helm (6)	2	2	0	0	24	invhlm	helm		-1
747	Plate Mail (4)	2	3	0	0	16	invplt	tors		-1
1@Q	Bladed Shield (Sacred)	2	3	0	0	30	invxpku	ishd	0	6
704	Gothic Plate (3)	2	3	0	0	13	invgth	tors		-1
681	Light Gauntlets (2)	2	2	0	0	7	invtgl	glov		-1
619	Great Helm (1)	2	2	0	0	4	invghm	helm		-1
855	Tower Shield (6)	2	3	0	0	25	invtow	shie	0	-1
698	Chain Mail (3)	2	3	0	0	11	invchn	tors		-1
