#code	name	letter	armor1code	armor1param	armor1value	armor2code	armor2param	armor2value	armor3code	armor3param	armor3value	shield1code	shield1param	shield1value	shield2code	shield2param	shield2value	shield3code	shield3param	shield3value	weapon1code	weapon1param	weapon1value	weapon2code	weapon2param	weapon2value	weapon3code	weapon3param	weapon3value
r48	\purple;Руна Них	Них	409		10							409		10							409		10						
gpv	\purple;Совершенный Аметист		360		5							440		10							119		50						
r04	\purple;Руна Неф	Неф	431		10							431		10							431		15						
r12	\purple;Руна Сол	Сол	332		5							332		5							332		5						
gsr	\purple;Рубин		362		3							39		18							86		6						
r07	\purple;Руна Тал	Тал	0,1,2,3		5							0,1,2,3		5							0,1,2,3		5						
r41	\purple;Руна Кра	Кра	487		5							487		5							487		5						
r06	\purple;Руна Ит	Ит	16		15							16		15							17		15						
r62	\grey;Секретная Руна\n\purple;Руна Льда	Хол	54,55,56		50				276		0	54,55,56		50				276		0	54,55,56		100				276		0
gcg	\purple;Треснувший Изумруд		74		4							45		6							22		2						
skf	\purple;Некачественный Череп		16		9							110		2							17		9						
r45	\purple;Руна Таи	Таи	39,41,43,45		15							39,41,43,45		15							39,41,43,45		15						
7$c	\purple;Бирюза		45		12							80		15							27		6						
r30	\purple;Руна Бер	Бер	164		5							164		5							164		10						
r15	\purple;Руна Хел	Хел	377		5							377		5							377		5						
gcw	\purple;Треснувший Алмаз		359		1							39,41,43,45		1							329,330,331,332,377		1						
gpw	\purple;Совершенный Алмаз		359		5							39,41,43,45		5							329,330,331,332,377		5						
r08	\purple;Руна Рал	Рал	329		5							329		5							329		5						
r50	\purple;Руна Он	Он	171		5							171		5							171		5						
7$b	\purple;Некачественная Бирюза		45		8							80		10							27		4						
r16	\purple;Руна Ио	Ио	360		5							360		5							360		5						
r23	\purple;Руна Мал	Мал	45		30							45		30							45		40						
r51	\grey;Великая Руна\n\purple;Руна Таха	Таха	22		20							22		20							22		40						
r42	\purple;Руна Вит	Вит	492		5							492		5							492		5						
g$a	\purple;Треснувший Оникс		43		4							164		1							470		2						
r26	\purple;Руна Векс	Векс	118		1							118		1							118		1						
r49	\purple;Руна Лаи	Лаи	25		5							25		5							25		5						
r17	\purple;Руна Люм	Люм	80		20							80		20							80		20						
gfw	\purple;Некачественный Алмаз		359		2							39,41,43,45		2							329,330,331,332,377		2						
yo4	\purple;Безупречный Радужный Камень		183		16							109		8							136		4						
r46	\purple;Руна Ра	Ра	31		200							31		200							31		200						
r24	\purple;Руна Ист	Ист	1		10							1		10							1		10						
g$e	\purple;Совершенный Оникс		43		20	44		2				164		5							470		10						
skz	\purple;Совершенный Череп		16		15							110		5							17		15						
r31	\purple;Руна Джа	Джа	16		25							16		25							17		25						
r35	\purple;Руна Ла	Ла	359,360,361,362		3							359,360,361,362		3							359,360,361,362		3						
skl	\purple;Безупречный Череп		16		13							110		4							17		13						
r01	\purple;Руна Эль	Эль	89		1							89		1							89		1						
5$e	\purple;Совершенный Янтарь		41		20	42		2				363		5							155	800	5						
r59	\grey;Секретная Руна\n\purple;Руна Магии	Маг	52,53		50				276		0	52,53		50				276		0	52,53		100				276		0
r60	\grey;Секретная Руна\n\purple;Руна Яда	Йад	57,58,59	25	1025				276		0	57,58,59	25	1025				276		0	57,58,59	25	2050				276		0
gcy	\purple;Треснувший Топаз		361		1							41		6							485		6						
r05	\purple;Руна Эт	Эт	22		5							22		5							22		10						
gfb	\purple;Некачественный Сапфир		409		2							43		12							138		4						
yo2	\purple;Некачественный Радужный Камень		183		8							109		4							136		2						
r10	\purple;Руна Тул	Тул	331		5							331		5							331		5						
r37	\purple;Руна Икс	Икс	105		15							105		15							105		15						
r03	\purple;Руна Тир	Тир	79		50							79		50							79		75						
r14	\purple;Руна Дол	Дол	21		5							21		5							21		10						
glr	\purple;Безупречный Рубин		362		4							39		24							86		8						
g$b	\purple;Некачественный Оникс		43		8							164		2							470		4						
r53	\grey;Великая Руна\n\purple;Руна Куор	Куор	91		-12							91		-12							91		-12						
gpr	\purple;Совершенный Рубин		362		5							39		30							86		10						
5$d	\purple;Безупречный Янтарь		41		16	42		1				363		4							155	800	4						
r47	\purple;Руна Ксар	Ксар	76,77		2							76,77		2							76,77		2						
r28	\purple;Руна Ло	Ло	41		30							41		30							41		40						
5$a	\purple;Треснувший Янтарь		41		4							363		1							155	800	1						
gpy	\purple;Совершенный Топаз		361		5							41		30							485		10						
r38	\purple;Руна Тур	Тур	500		50							500		50							500		50						
glg	\purple;Безупречный Изумруд		74		16							45		24							22		8						
r54	\grey;Великая Руна\n\purple;Руна Крис	Крис	489		25							489		25							489		100						
r39	\purple;Руна Нас	Нас	444		10							444		10							444		10						
r52	\grey;Великая Руна\n\purple;Руна Гал	Гал	485		5							485		5							485		15						
7$d	\purple;Безупречная Бирюза		45		16	46		1				80		20							27		8						
7$e	\purple;Совершенная Бирюза		45		20	46		2				80		25							27		10						
r43	\purple;Руна Но	Но	102		15							102		15							102		15						
9$a	\purple;Треснувший Кровавик		39		4							487		1							444		2						
9$d	\purple;Безупречный Кровавик		39		16	40		1				487		4							444		8						
gsg	\purple;Изумруд		74		12							45		18							22		6						
r58	\grey;Секретная Руна\n\purple;Руна Земли	Зем	21,22		5				276		0	21,22		5				276		0	21,22		10				276		0
gfr	\purple;Некачественный Рубин		362		2							39		12							86		4						
sku	\purple;Череп		16		11							110		3							17		11						
gfg	\purple;Некачественный Изумруд		74		8							45		12							22		4						
9$e	\purple;Совершенный Кровавик		39		20	40		2				487		5							444		10						
r27	\purple;Руна Ом	Ом	362		5							362		5							362		5						
5$b	\purple;Некачественный Янтарь		41		8							363		2							155	800	2						
gpb	\purple;Совершенный Сапфир		409		5							43		30							138		10						
gpg	\purple;Совершенный Изумруд		74		20							45		30							22		10						
