#index	item	set	key	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
291	Valthek's Blade	Brotherhood of the Vizjerei	Set_labrynth	115																																									
292	Nor Tiraj's Safeguard	Brotherhood of the Vizjerei	Set_labrynth	115	lab_shield																																								
293	Quov Tsin's Crown	Brotherhood of the Vizjerei	Set_labrynth	115	lab_helm																																								
294	Bartuc's Blood	Brotherhood of the Vizjerei	Set_labrynth	115	lab_belt																																								
295	Zoltun's Gauntlets	Brotherhood of the Horadrim	Set_labrynth2	115	lab_gloves																																								
296	Radament's Greaves	Brotherhood of the Horadrim	Set_labrynth2	115	lab_boots																																								
297	Jered Cain's Diamond	Brotherhood of the Horadrim	Set_labrynth2	115	lab_rn1																																								
298	Deckard Cain's Gem	Brotherhood of the Horadrim	Set_labrynth2	115	lab_rn2																																								
299	Tal Rasha's Talisman	Brotherhood of the Horadrim	Set_labrynth2	115	lab_amu																																								
300	Geleb's Greed	Curse of the Zakarum	Set_xaru	100																																									
301	Yaerius' Mediation	Yaerius' Grey Omen	MSSelathiel Archives	100																																									
302	Yaerius' Alembic	Yaerius' Grey Omen	MSSelathiel Archives	100																																									
303	Yaerius' Untruth	Yaerius' Grey Omen	MSSelathiel Archives	100																																									
304	Yaerius' Simulacrum	Yaerius' Grey Omen	MSSelathiel Archives	100																																									
305	Yaerius' Xyston	Yaerius' Grey Omen	MSSelathiel Archives	100																																									
306	Zerae's Blessing	Zerae's Divinity	MSZeraes Divinity	100																																									
307	Zerae's Refinement	Zerae's Divinity	MSZeraes Divinity	100																																									
308	Zerae's Vindication	Zerae's Divinity	MSZeraes Divinity	100																																									
309	Zerae's Redemption	Zerae's Divinity	MSZeraes Divinity	100																																									
310	Zerae's Holy Wrath	Zerae's Divinity	MSZeraes Divinity	100																																									
311	Marchosias' Hatred	Marchosias' Essence	MREssence	100																																									
312	Marchosias' Might	Marchosias' Essence	MREssence	100																																									
313	Marchosias' Evil Grin	Marchosias' Essence	MREssence	100																																									
314	Marchosias' Deception	Marchosias' Essence	MREssence	100																																									
315	Marchosias' Anger	Marchosias' Essence	MREssence	100																																									
316	Steppe Sleeper	Tundra Walker	MSTundra Walker	100																																									
317	Ancient Bronze	Tundra Walker	MSTundra Walker	100																																									
318	Snow Silver	Tundra Walker	MSTundra Walker	100																																									
319	Grey Ranger	Tundra Walker	MSTundra Walker	100																																									
320	Vale Hunter	Tundra Walker	MSTundra Walker	100																																									
321	Lirian Moon	Celestial Orchard	MSOrchard	100																																									
322	The Trickster	Celestial Orchard	MSOrchard	100																																									
323	Giyua's Sacrum	Celestial Orchard	MSOrchard	100																																									
324	The Dragon Grave	Celestial Orchard	MSOrchard	100																																									
325	Femur of the Prophet	Celestial Orchard	MSOrchard	100																																									
326	Quantum Bevel	Universal Law	MSUniversalLaw	100																																									
327	Dead Lens	Universal Law	MSUniversalLaw	100	invbshu																																								
328	World Line	Universal Law	MSUniversalLaw	100																																									
329	Hypersurface	Universal Law	MSUniversalLaw	100																																									
330	Killing Vector	Universal Law	MSUniversalLaw	100	invaxfu																																								
