#index	item	set	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
180	Маскировка Охотника	Охотник на Крупную Дичь	100																																									
181	Когтистый Кулак Охотника	Охотник на Крупную Дичь	100																																									
182	Защитник	Духи Нефалема	100																																									
183	Покровитель	Духи Нефалема	100																																									
184	Страж	Духи Нефалема	100																																									
185	Участь	Духи Нефалема	100																																									
186	Священная Забота	Духи Нефалема	100																																									
187	Хватка Природы	Каои Дулра	100																																									
188	Объятия Природы	Каои Дулра	100																																									
189	Опека Природы	Каои Дулра	100																																									
190	Воля Природы	Каои Дулра	100																																									
191	Гнев Природы	Каои Дулра	100																																									
192	MREmerald Growth2	Радужный Воин	100																																									
193	MREmerald Sky2	Радужный Воин	100																																									
194	MREmerald Cloud2	Радужный Воин	100																																									
195	MREmerald Earth2	Радужный Воин	100																																									
196	MREmerald Flower2	Радужный Воин	100																																									
197	След Одинокого Волка	Путь Одинокого Волка	100																																									
198	Когти Одинокого Волка	Путь Одинокого Волка	100																																									
199	Взор Одинокого Волка	Путь Одинокого Волка	100																																									
200	Мех Одинокого Волка	Путь Одинокого Волка	100																																									
201	Булава Одинокого Волка	Путь Одинокого Волка	100																																									
202	MRScosglen's Legends2	Sacred Earth	100																																									
203	MRScosglen's History2	Sacred Earth	100																																									
204	MRScosglen's Tales2	Sacred Earth	100																																									
205	MRScosglen's Fables2	Sacred Earth	100																																									
206	MRScosglen's Myths2	Sacred Earth	100																																									
207	Погоня Ратмы	Империя Ратмы	100																																									
208	Ловушка Ратмы	Империя Ратмы	100																																									
209	Смертельный Взор Ратмы	Империя Ратмы	100																																									
210	Скелет Ратмы	Империя Ратмы	100																																									
211	Тирания Ратмы	Империя Ратмы	100																																									
212	Towerlord's Bombards	Башня из Слоновой Кости	100																																									
213	Towerlord's Gargoyle	Башня из Слоновой Кости	100																																									
214	Towerlord's Spire	Башня из Слоновой Кости	100																																									
215	Towerlord's Bell	Башня из Слоновой Кости	100																																									
216	Towerlord's Weathervane	Башня из Слоновой Кости	100																																									
217	Хитрость Ахилиоса	Пробуждение Ахилиоса	100																																									
218	Кастеты Ахилиоса	Пробуждение Ахилиоса	100																																									
219	Орлиный Глаз Ахилиоса	Пробуждение Ахилиоса	100																																									
220	Убежище Ахилиоса	Пробуждение Ахилиоса	100																																									
221	Кувалда Ахилиоса	Пробуждение Ахилиоса	100																																									
222	Видим Небеса	Сатанинская Мантра	100																																									
223	Пока Мы	Сатанинская Мантра	100																																									
224	Сквозь Пелену Смерти	Сатанинская Мантра	100																																									
225	Пошли Мне Луч Твоего Света	Сатанинская Мантра	100																																									
226	Архангел Ангел Тьмы	Сатанинская Мантра	100																																									
227	Клещи Цинадида	Ремесло Цинадида	100																																									
228	Наковальня Цинадида	Ремесло Цинадида	100																																									
229	Мехи Цинадида	Ремесло Цинадида	100																																									
230	Кузница Цинадида	Ремесло Цинадида	100																																									
231	Малус Цинадида	Ремесло Цинадида	100																																									
232	Присутствие Хадриэля	Знания Хадриэля	100																																									
233	Отвага Хадриэля	Знания Хадриэля	100																																									
234	Крылья Хадриэля	Знания Хадриэля	100																																									
235	Чистое Сердце Хадриэля	Знания Хадриэля	100																																									
236	Мститель Хадриэля	Знания Хадриэля	100																																									
237	Поступь Малтаэля	Святилище Малтаэля	100																																									
238	Опека Малтаэля	Святилище Малтаэля	100																																									
239	Корона Малтаэля	Святилище Малтаэля	100																																									
240	Ореол Малтаэля	Святилище Малтаэля	100																																									
241	Гнев Малтаэля	Святилище Малтаэля	100																																									
242	Крылатые Сандалии Империуса	Указ Империуса	100																																									
243	Поход Империуса	Указ Империуса	100																																									
244	Аура Империуса	Указ Империуса	100																																									
245	Сияние Империуса	Указ Империуса	100																																									
246	Небесный Молот Империуса	Указ Империуса	100																																									
247	MRWarmage's Wake2	Гнев Боевого Мага	100																																									
248	MRWarmage's Conjuration2	Гнев Боевого Мага	100																																									
249	MRWarmage's Breath2	Гнев Боевого Мага	100																																									
250	MRWarmage's Flameshroud2	Гнев Боевого Мага	100																																									
251	MRWarmage's Fireblade2	Гнев Боевого Мага	100																																									
252	Рунная Петля Занн Эзу	Секреты Занн Эзу	100																																									
253	Тайны Занн Эзу	Секреты Занн Эзу	100																																									
254	Мантия Занн Эзу	Секреты Занн Эзу	100																																									
255	Скрепляющий Обруч Занн Эзу	Секреты Занн Эзу	100																																									
256	Очарование Занн Эзу	Секреты Занн Эзу	100																																									
257	Транс Стихий	Дети Стихий	100																																									
258	Дух Стихий	Дети Стихий	100																																									
259	Битва Стихий	Дети Стихий	100																																									
260	Ярость Стихий	Дети Стихий	100																																									
261	Буря Стихий	Дети Стихий	100																																									
262	Пентада	Обруч Адрии	100																																									
263	Тетрада	Обруч Адрии	100																																									
264	Триада	Обруч Адрии	100																																									
265	Диада	Обруч Адрии	100																																									
266	Монада	Обруч Адрии	100																																									
267	Изумрудный Рост	Радужный Воин	100																																									
268	Изумрудное Небо	Радужный Воин	100																																									
269	Изумрудное Облако	Радужный Воин	100																																									
270	Изумрудная Земля	Радужный Воин	100																																									
271	Изумрудный Цветок	Радужный Воин	100																																									
272	Легенды Скосглена	Последний Король Скосглена	100																																									
273	История Скосглена	Последний Король Скосглена	100																																									
274	Сказки Скосглена	Последний Король Скосглена	100																																									
275	Басни Скосглена	Последний Король Скосглена	100																																									
276	Мифы Скосглена	Последний Король Скосглена	100																																									
277	Натиск Башни	Лорд Башни	100																																									
278	Отказ Башни	Лорд Башни	100																																									
279	Стена Башни	Лорд Башни	100																																									
280	Защита Башни	Лорд Башни	100																																									
281	Бросок Башни	Лорд Башни	100																																									
282	Пробуждение Боевого Мага	Боевой Маг	100																																									
283	Чары Боевого Мага	Боевой Маг	100																																									
284	Дыхание Боевого Мага	Боевой Маг	100																																									
285	Пламенный Саван Боевого Мага	Боевой Маг	100																																									
286	Огненный Клинок Боевого Мага	Боевой Маг	100																																									
287	Опека Богини	Тайны	100																																									
288	Священный Обруч	Тайны	100																																									
289	Пентакль	Тайны	100																																									
290	Котел	Тайны	100																																									
291	Клинок Ведьмы	Тайны	100																																									
292	Кольцо Призыва Лазаруса	Власть Лазаруса	100																																									
293	Ламен Лазаруса	Власть Лазаруса	100																																									
294	Обезьяний Выстрел	Завещание Обезьян	100																																									
295	Обезьянья Шкура	Завещание Обезьян	100																																									
296	Обезьяний Череп	Завещание Обезьян	100																																									
297	Обезьянья Рука	Завещание Обезьян	100																																									
298	Обезьянья Нога	Завещание Обезьян	100																																									
299	Риза Лаза	\orange;[Сет-Посвящение BrotherLaz'у]\n\gold;Архиепископ Лазарус	100																																									
300	Стихарьская Шапка Лаза	\orange;[Сет-Посвящение BrotherLaz'у]\n\gold;Архиепископ Лазарус	100																																									
301	Исполненный По Обету Светоч Лаза	\orange;[Сет-Посвящение BrotherLaz'у]\n\gold;Архиепископ Лазарус	100																																									
303	Владычество xarugas'а	\orange;[Соборный Сет-Посвящение]\n\gold;Все Как Один	100																																									
305	Триумф Stealthmaster'а	\orange;[Соборный Сет-Посвящение]\n\gold;Все Как Один	100																																									
306	Безмолвный Крик Greg'а	\orange;[Соборный Сет-Посвящение]\n\gold;Все Как Один	100																																									
308	\gold;Наташа, Ассассин	\orange;[Сет-Посвящение MarcoNecroX'у]\n\gold;Ковбои Из Ада	100	set_pewpew1																																								
309	\gold;Мужественный, Варвар	\orange;[Сет-Посвящение MarcoNecroX'у]\n\gold;Ковбои Из Ада	100	set_pewpew2																																								
310	\gold;Несуществующий, Паладин	\orange;[Сет-Посвящение MarcoNecroX'у]\n\gold;Ковбои Из Ада	100	set_pewpew3																																								
311	\gold;Зоология, Амазонка	\orange;[Сет-Посвящение MarcoNecroX'у]\n\gold;Ковбои Из Ада	100	set_pewpew4																																								
312	\gold;Таня, Колдунья	\orange;[Сет-Посвящение MarcoNecroX'у]\n\gold;Ковбои Из Ада	100	set_pewpew5																																								
314	Ламен Лаза	\orange;[Сет-Посвящение BrotherLaz'у]\n\gold;Архиепископ Лазарус	100																																									
316	Фенрирово Милосердие Segolia'а	\orange;[Соборный Сет-Посвящение]\n\gold;Все Как Один	100																																									
317	Партизанская Борьба rad82'а	\orange;[Соборный Сет-Посвящение]\n\gold;Все Как Один	100																																									
318	Страж Хоразона	Братство Визжири	120	lab_armor																																								
319	Клинок Валтека	Братство Визжири	120																																									
320	Конвой Нор Тиража	Братство Визжири	120	lab_shield																																								
321	Корона Куов Цина	Братство Визжири	120	lab_helm																																								
322	Кровь Бартука	Братство Визжири	120	lab_belt																																								
323	Рукавицы Золтана	Братство Хорадримов	120	lab_gloves																																								
324	Наголенники Радамента	Братство Хорадримов	120	lab_boots																																								
325	Алмаз Джереда Каина	Братство Хорадримов	120	lab_rn1																																								
326	Самоцвет Декарда Каина	Братство Хорадримов	120	lab_rn2																																								
327	Талисман Тал Раши	Братство Хорадримов	120	lab_amu																																								
