#code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat
50	0	12							к Минимальному Урону Молнией	к Минимальному Урону Молнией		1	104	1					lightmindam
51	0	12							к Максимальному Урону Молнией	к Максимальному Урону Молнией		1	103	1					lightmaxdam
52	0	12							+%d Магического Урона	+%d Магического Урона		1	109	1					magicmindam
53	0	12							+%d Магического Урона	+%d Магического Урона		1	108	1					magicmaxdam
54	0	12							к Минимальному Урону Холодом	к Минимальному Урону Холодом		1	101	1					coldmindam
55	0	12							к Максимальному Урону Холодом	к Максимальному Урону Холодом		1	100	1					coldmaxdam
56	0	10																	coldlength
57	0	14							к мин. урону ядом	к мин. урону ядом		1	99	1					poisonmindam
58	0	14							к макс. урону ядом	к макс. урону ядом		1	98	1					poisonmaxdam
59	0	12																	poisonlength
60	0	10							Кража Жизни при Попадании	Кража Жизни при Попадании		2	93	1					lifedrainmindam
62	0	10							Кража Маны при Попадании	Кража Маны при Попадании		2	94	1					manadrainmindam
64	0	10							Кража Выносливости при Попадании	Кража Выносливости при Попадании		2	95	1					stamdrainmindam
66	0	10							Оглушение	Оглушение		3	93	0					stunlength
67	20	10																	velocitypercent
68	20	10																	attackrate
71	100	8																	value
72	150	10																	durability
73	90	10																	maxdurability
74	1000	15							Восстановление Здоровья	Восстановление Здоровья		32	61	1					hpregen
75	100	10							Увеличение Максимальной Прочности на	Увеличение Максимальной Прочности на		2	9	2					item_maxdurability_percent
76	100	10			77	Увеличение Максимума Жизни и Маны на	Увеличение Максимума Жизни и Маны на		Уменьшение Максимума Жизни	Увеличение Максимума Жизни на		2	63	2	10	2	2		item_maxhp_percent
77	100	10			76	Увеличение Максимума Жизни и Маны на	Увеличение Максимума Жизни и Маны на		Увеличение Максимума Маны на	Увеличение Максимума Маны на		2	59	2	10	2	2		item_maxmana_percent
78	0	10							Атакующему Наносится Урон	Атакующему Наносится Урон		3	18	2					item_attackertakesdamage
79	100	9							Больше Золота от Монстров	Больше Золота от Монстров		2	15	1					item_goldbonus
80	100	9							к Шансу Нахождения Магических Предметов	к Шансу Нахождения Магических Предметов		2	13	1					item_magicbonus
81	0	2							Отброс	Отброс		3	81	0					item_knockback
82	20	9																	item_timeduration
83	0	4							к Навыкам Амазонки 	к Навыкам Амазонки 		13	155	1				3	item_addclassskills
85	25	8							к Получаемому Опыту	к Получаемому Опыту		4	16	1					item_addexperience
86	0	10							к Жизни после каждого Убийства	к Жизни после каждого Убийства		1	21	1					item_healafterkill
87	45	10							к Ценам у Торговцев	к Ценам у Торговцев		20	13	1					item_reducedprices
88	0	32	16	32														16	achievement_counts
89	5	8							к Радиусу Освещения	к Радиусу Освещения		1	11	1					item_lightradius
90	0	24																	item_lightcolor
91	100	10							Требования	Требования		4	8	2					item_req_percent
92		8							Требуемый Уровень	Требуемый Уровень		1	7	1					item_levelreq
93	60	9			99,102,105	ко Всем Боевым Скоростям	ко Всем Боевым Скоростям		к Скорости Атаки	к Скорости Атаки		2	150	1	9	2	1		item_fasterattackrate
94	64	10							ModitemLevReq	ModitemLevReq		4	63	2					item_levelreqpct
96	50	9							к Скорости Бега/Ходьбы	к Скорости Бега/Ходьбы		2	147	1					item_fastermovevelocity
97	1	7										28	86					11	item_nonclassskill
98		1																11	state
99	50	9			93,102,105	ко Всем Боевым Скоростям	ко Всем Боевым Скоростям		к Скорости Восстановления После Удара	к Скорости Восстановления После Удара		2	144	1	9	2	1		item_fastergethitrate
101	0	6																	skill_poison_override_length
102	20	10			93,99,105	ко Всем Боевым Скоростям	ко Всем Боевым Скоростям		к Скорости Блокирования	к Скорости Блокирования		2	141	1	9	2	1		item_fasterblockrate
103	0	1							Игнорирует Сопротивления Нежити	Игнорирует Сопротивления Нежити		3	155	0					skill_bypass_undead
104	0	1							Игнорирует Сопротивления Демонов	Игнорирует Сопротивления Демонов		3	155	0					skill_bypass_demons
105	50	10			93,99,102	ко Всем Боевым Скоростям	ко Всем Боевым Скоростям		к Скорости Сотворения Заклинаний	к Скорости Сотворения Заклинаний		2	153	1	9	2	1		item_fastercastrate
106	0	1							Игнорирует Сопротивления Зверей	Игнорирует Сопротивления Зверей		3	155	0					skill_bypass_beasts
107	1	5										27	86					11	item_singleskill
108	0	1							Убитые Монстры Не Оставляют Трупов	Убитые Монстры Не Оставляют Трупов		3	86	0					item_restinpeace
109	20	8							Сокращение Длительности Проклятий	Сокращение Длительности Проклятий		2	10	1					curse_resistance
110	20	8							Время Отравления Уменьшается на	Время Отравления Уменьшается на		2	16	2					item_poisonlengthresist
111	100	10							Урон	Урон		1	127	2					item_normaldamage
112	25	7							Обращает Цель в Бегство при Попадании	Обращает Цель в Бегство при Попадании		5	84	2					item_howl
113	50	8							Удар Ослепляет Цель	Удар Ослепляет Цель		12	85	2					item_stupidity
114	0	10							Полученного Урона от Оружия Восстанавливает Ману	Полученного Урона от Оружия Восстанавливает Ману		2	16	1					item_damagetomana
115	0	1							Игнорирует Защиту Цели 	Игнорирует Защиту Цели 		3	124	0					item_ignoretargetac
116	0	7							Защита Цели	Защита Цели		20	123	1					item_fractionaltargetac
117	0	1							Монстры Не Могут Лечиться	Монстры Не Могут Лечиться		3	86	0					item_preventheal
118	0	1							Время Заморозки Вдвое Меньше 	Время Заморозки Вдвое Меньше 		3	24	0					item_halffreezeduration
119	20	10							к Рейтингу Атаки	к Рейтингу Атаки		2	122	1					item_tohit_percent
120	500	10							к Защите Монстра за Удар	к Защите Монстра за Удар		1	80	1					item_damagetargetac
121	100	11							Урон Демонам 	Урон Демонам 		4	117	1					item_demondamage_percent
122	100	11							Урон Нежити 	Урон Нежити 		4	113	1					item_undeaddamage_percent
123	128	10							к уровню атаки против демонов	к уровню атаки против демонов		1	115	1					item_demon_tohit
124	128	10							к уровню атаки против нежити	к уровню атаки против нежити		1	111	1					item_undead_tohit
125	0	1							можно метать	можно метать		3	10	0					item_throwable
126	0	3							ModitemColdSkills	ModitemColdSkills		1	162	1				3	item_elemskill
127	0	5							ко Всем Навыкам 	ко Всем Навыкам 		1	163	1					item_allskills
128	0	10			367,368		Атакующий Получает Стихийный Урон		Атакующему Наносится Урон Молнией	Атакующему Наносится Урон Молнией		3	19	2	14	3	2		item_attackertakeslightdamage
131	150	10							Отраженный Урон	Отраженный Урон		2	18	1					thorns_percent
134	5	5							Замораживает Цель	Замораживает Цель		12	83	2					item_freeze
135	0	8							Шанс Открытых Ран	Шанс Открытых Ран		2	88	1					item_openwounds
136	0	8							Шанс Сокрушительного Удара	Шанс Сокрушительного Удара		2	92	1					item_crushingblow
137	0	10							Урон пинком	Урон пинком		1	126	1					item_kickdamage
138	0	10							к Мане после каждого Убийства	к Мане после каждого Убийства		1	21	1					item_manaafterkill
139	0	10							к Жизни после каждого Убийства Демона	к Жизни после каждого Убийства Демона		1	20	1					item_healafterdemonkill
140	0	10																	item_extrablood
141	0	8							Смертельный Удар	Смертельный Удар		2	90	1					item_deadlystrike
142	0	10							Поглощение Огня	Поглощение Огня		2	28	2					item_absorbfire_percent
143	0	10							Поглощение Огня	Поглощение Огня		1	32	1					item_absorbfire
144	0	10							Поглощение Молнии	Поглощение Молнии		2	29	2					item_absorblight_percent
145	0	10							Поглощение Молнии	Поглощение Молнии		1	34	1					item_absorblight
146	0	10							Поглощение Магии	Поглощение Магии		2	31	2					item_absorbmagic_percent
147	0	10							Поглощение Магии	Поглощение Магии		1	38	1					item_absorbmagic
148	0	10							Поглощение Холода	Поглощение Холода		2	30	2					item_absorbcold_percent
149	0	10							Поглощение Холода	Поглощение Холода		1	36	1					item_absorbcold
150	50	8							Замедляет Цель на	Замедляет Цель на		2	81	2					item_slow
151	1	7																11	item_aura
152		1							Неразрушимо	Неразрушимо		3	165	0					item_indesctructible
153		1							Нельзя Заморозить	Нельзя Заморозить		3	25	0					item_cannotbefrozen
154	50	8							Замедление Падения Выносливости	Замедление Падения Выносливости		2	54	1					item_staminadrainpct
155	0	7							Возродить как:	Возродить как:		23	22	1				12	item_reanimate
156	0	10																	item_pierce
157	0	7							Стреляет магическими стрелами	Стреляет магическими стрелами		3	136	0					item_magicarrow
158	0	7							Стреляет взрывающимися стрелами	Стреляет взрывающимися стрелами		3	138	0					item_explosivearrow
159	0	10																	item_throw_mindamage
160	0	10																	item_throw_maxdamage
161	10	6							Необычная Скорость Снарядов	Необычная Скорость Снарядов		3	82	1					skill_handofathena
164	20	8							Шанс Непрерываемой Атаки	Шанс Непрерываемой Атаки		2	25	1					skill_concentration
171	0	10							Общая Защита Персонажа плюс	Общая Защита Персонажа плюс		2	25	2					skill_armor_percent
179		10																10	attack_vs_montype
180		10																10	damage_vs_montype
181		3																	fade
182	100	9							Общая Защита = 0	Общая Защита = 0		3	15	0					armor_override_percent
183	0	5																	item_dyes_color
184	0	5																	x_signet01
185				12					Очков Атрибутов с Печатей Использовано:	Очков Атрибутов с Печатей Использовано:		3	9	2					potion_stat_cap
186				8					Очков Навыков с Печатей Использовано:	Очков Навыков с Печатей Использовано:		3	9	2					potion_skill_cap
187	0	3							Dragonheart Ослепляет Атакующего	Dragonheart Ослепляет Атакующего		12	27	2					passive_lionheart_addstupidth
188	0	3							+%d к навыкам копья и дротика	+%d к навыкам копья и дротика		14	156					16	item_addskill_tab
189	0	16																	damage_divisor
191	0	5																	x_signet02
192	0	5																	x_signet03
193	0	5																	x_signet04
194	0	4																	item_numsockets
195	0	8							%d%% Шанс использовать навык уровня %d %s при Рукопашной Атаке	%d%% Шанс использовать навык уровня %d %s при Рукопашной Атаке		15	165					17	item_skillonattack
196	0	8							%d%% Шанс использовать навык уровня %d %s при Убийстве	%d%% Шанс использовать навык уровня %d %s при Убийстве		15	165					17	item_skillonkill
197	0	8							%d%% Шанс использовать навык уровня %d %s при Смерти	%d%% Шанс использовать навык уровня %d %s при Смерти		15	165					17	item_skillondeath
198	0	8							%d%% Шанс использовать навык уровня %d %s при Попадании	%d%% Шанс использовать навык уровня %d %s при Попадании		15	165					17	item_skillonhit
199	0	7							%d%% Шанс использовать навык уровня %d %s при получении Нового Уровня	%d%% Шанс использовать навык уровня %d %s при получении Нового Уровня		15	165					17	item_skillonlevelup
200	0	7							\orange;Мега Удар\grey;	\orange;Мега Удар\grey;		3	247	0				17	item_megaimpact
201	0	7							%d%% Шанс использовать навык уровня %d %s когда в вас Попали	%d%% Шанс использовать навык уровня %d %s когда в вас Попали		15	165					17	item_skillongethit
202	0	5																	x_signet05
203	0	10							Общий Физический Урон Оружия	Общий Физический Урон Оружия	(Основано на Уровне Персонажа)	8	65	2					item_totaldamage_perlevel
204	0	16							(%d/%d Зарядов)	(%d/%d Зарядов)		24	9					16	item_charged_skill
205	0	5																	x_signet06
206	0	5																	x_signet07
207	0	5																	x_signet08
208	0	9							к Жизни при Попадании	к Жизни при Попадании		1	27	1					item_healonstriking
209	0	9							к Мане при Попадании	к Мане при Попадании		1	25	1					item_manaonstriking
210	0	9							к Жизни при Атаке	к Жизни при Атаке		1	27	1					skill_healonstrikingmelee
211	0	8							Длительность Эффекта Миазм: +2 секунды	Длительность Эффекта Миазм: +2 секунды		3	24	0					hex_dur_syn
213	0	5																	x_signet09
214	0	10							Защита	Защита	(Основано на Уровне Персонажа)	6	77	1					item_armor_perlevel
215	0	10							Повышенная защита	Повышенная защита	(Основано на Уровне Персонажа)	8	78	1					item_armorpercent_perlevel
216	0	10							к Жизни	к Жизни	(Основано на Уровне Персонажа)	6	62	1					item_hp_perlevel
217	0	10							к Мане	к Мане	(Основано на Уровне Персонажа)	6	58	1					item_mana_perlevel
218	0	10							к Максимальному Урону	к Максимальному Урону	(Основано на Уровне Персонажа)	6	130	1					item_maxdamage_perlevel
219	0	5							\green;Улучшено Святыней	\green;Улучшено Святыней		3	250	0					blessings_counter
220	0	5																	x_signet10
221	0	5																	x_signet11
222	0	5																	x_signet12
223	0	5																	x_signet13
224	0	5																	x_signet14
225	0	10							к Рейтингу Атаки	к Рейтингу Атаки	(Основано на Уровне Персонажа)	7	121	1					item_tohitpercent_perlevel
226	0	5																	x_signet15
227	0	5																	x_signet16
228	0	5																	x_signet17
229	0	5																	x_signet18
230	0	10							Сопротивление Холоду	Сопротивление Холоду	(Основано на Уровне Персонажа)	7	44	2					item_resist_cold_perlevel
231	0	10							Сопротивление Огню	Сопротивление Огню	(Основано на Уровне Персонажа)	7	40	2					item_resist_fire_perlevel
232	0	10							Сопротивление Молнии	Сопротивление Молнии	(Основано на Уровне Персонажа)	7	42	2					item_resist_ltng_perlevel
233	0	10							Сопротивление Яду	Сопротивление Яду	(Основано на Уровне Персонажа)	7	38	2					item_resist_pois_perlevel
234	0	5																	x_signet19
235	0	5																	x_signet20
236	0	5																	x_signet21
237	0	5																	x_signet22
238	0	5																	x_signet23
239	0	10							Больше Золота от Монстров	Больше Золота от Монстров	(Основано на Уровне Персонажа)	7	14	1					item_find_gold_perlevel
240	0	10							к Шансу Нахождения Магических Предметов	к Шансу Нахождения Магических Предметов	(Основано на Уровне Персонажа)	7	12	1					item_find_magic_perlevel
241	0	5																	x_signet24
242	0	5																	x_signet25
243	0	5																	x_signet26
244	0	5																	x_signet27
245	1	2							\orange;Parasite Получает 12 Дополнительных Целей\blue;	\orange;Flamefront Имеет Удвоенное Количество Огненных Шаров\blue;		3	245	0					ffront_proj
246	1	2							\orange;Idol of Scosglen Не Имеет Перезарядки\blue;	\orange;Firedance Получает 1% Смертельного Удара за БУН\blue;		3	245	0					firedance_mod
247	0	10							Шанс Сокрушительного Удара	Шанс Сокрушительного Удара	(Основано на Уровне Персонажа)	7	91	1					item_crushingblow_perlevel
248	0	10							Шанс Открытых Ран	Шанс Открытых Ран	(Основано на Уровне Персонажа)	7	87	1					item_openwounds_perlevel
249	0	5																	x_signet30
250	0	10																	item_totembound
251	0	5																	x_signet31
252	0	6							Восстанавливает %d Единиц Прочности за Секунду	Восстанавливает %d Единиц Прочности за Секунду		11	8	0					item_replenish_durability
253	0	6							Восстанавливает количество	Восстанавливает количество		3	9	0					item_replenish_quantity
254	0	8							Повышение емкости	Повышение емкости		3	10	0					item_extra_stack
255	0	5																	x_signet32
256	0	5																	x_signet33
257	1	2							\orange;Parasite Получает 12 Дополнительных Целей\blue;	\orange;Нейтральный: +50% к Общему Урону Vessel-ов от Пассивок\nНечестивый: Blood Thorns Наносят на 40% Больше Общего Урона\nСвятой: Plague Наносит на 150% Больше Общего Урона\blue;		3	245	0					vessel_mod
258	0	5																	x_signet35
259	0	2							Вытягивает 2% Жизни в Секунду	Вытягивает 2% Жизни в Секунду		3	54	0					item_drain_aura
260	0	7							\orange;Громовая Ярость\grey;	\orange;Громовая Ярость\grey;		3	248	0				17	item_thunderfury
261	0	5							Дополнительный Тотем	Дополнительный Тотем		1	155	1					new_totem_syn
263	0	5																	x_signet36
264	0	5																	x_signet37
265	0	10							к Жизни после каждого Убийства	к Жизни после каждого Убийства		1	21	1					item_healafterplayerkill
266	0	7							\orange;Урон по Площади\grey;	\orange;Урон по Площади\grey;		3	248	0				17	item_warp_blue
267	0	5							к Радиусу Стоек	к Радиусу Стоек		1	203	1					item_stance_radius
270	0	3																	item_has_edyrem
271	0	8							%d%% Шанс использовать навык уровня %d %s при Смерти	%d%% Шанс использовать навык уровня %d %s при Смерти		15	165					17	item_skillonanydeath
273	25	7																	item_crushthorns
274	0	8							Hive Добавляет 33% к Живучести от Суммарного Бонуса Урону Заклинаний Яда	Hive Добавляет 33% к Живучести от Суммарного Бонуса Урону Заклинаний Яда		3	10	0					item_poison_set
275	0	9							Повышенный Урон против Некроботов	Повышенный Урон против Некроботов		2	8	1					item_desc_breaker
276	0	1							\dgrey;Не может быть расщеплено\blue;	\dgrey;Не может быть расщеплено\blue;		3	4	0					item_nodcht
277	0	7							\orange;Урон по Площади\grey;	\orange;Урон по Площади\grey;		3	248	0				17	item_warpskillonattack
278	200	10							Фактора Силы к Урону Заклинаний	Фактора Силы к Урону Заклинаний		1	203	1					str_factor
279	0	9							к Урону в Стойке Льва	к Урону в Стойке Льва		2	119	2					lion_stance_syn
280	0	10																	greathunt_buff
281	0	8							Увеличение Радиуса Заряда Новы на	Увеличение Радиуса Заряда Новы на		2	109	2					item_supernova_synergy
282	0	7							%d%% Шанс использовать навык уровня %d %s при Получении Урона	%d%% Шанс использовать навык уровня %d %s при Получении Урона		15	165					17	item_skillondamaged
283	0	7							%d%% Шанс использовать навык уровня %d %s когда вас Атакуют	%d%% Шанс использовать навык уровня %d %s когда вас Атакуют		15	165					17	item_skillongetmeleed
284	0	7							%d%% Шанс использовать навык уровня %d %s когда в вас Попадает Снаряд	%d%% Шанс использовать навык уровня %d %s когда в вас Попадает Снаряд		15	165					17	item_skillongetmissilehit
285	0	5																	x_signet38
286	0	5																	x_signet39
287	0	5																	x_signet40
288	1	2							\orange;Бонус от мистических сфер добавленных к предмету умножен на 4	\orange;Кровавая Ненависть не отнимает у вас жизнь		3	245	0					si_1
291	0	8							Retribute Fire Resist Penalty Increased by	Retribute Fire Resist Penalty Increased by		2	106	2					skill_justkilledsomeone
292	0	7							%d%% Шанс использовать навык уровня %d %s когда Враг Умирает	%d%% Шанс использовать навык уровня %d %s когда Враг Умирает		15	164					17	item_skillonanykill
293	0	1							Удваивает Длительность Terror Strike	Удваивает Длительность Terror Strike		3	31	0					skill_arcanestrike_synergy
294	0	8							\dgreen;Allows Runewords up to Level	\dgreen;Allows Runewords up to Level		3	240	2					runeword_level
295	200	9							к Мане при Атаке	к Мане при Атаке		1	25	1					item_manaonstrikingmelee
296	0	1							\dgreen;Эффект от Мистических Сфер Удваивается при Применении\blue;	\dgreen;Эффект от Мистических Сфер Удваивается при Применении\blue;		3	239	0					item_is_honorific
297	1	2																	W_M
298	0	5																	tp_lock
299	0	10							\grey;Текущий Бонус Урону от Силы:	\grey;Текущий Бонус Урону от Силы:		2	251	2					strength_bonus_wpn
300	0	10							\grey;Текущий Бонус Урону от Ловкости:	\grey;Текущий Бонус Урону от Ловкости:		2	250	2					dexterity_bonus_wpn
301	0	1							Тени Создают Трупы при Попадании 5%	Тени Создают Трупы при Попадании 5%		3	138	0					item_shadows_corpsesynergy
303	0	12							Урона Огнём для Void Archon	Урона Огнём для Void Archon		1	53	1					skill_voidarchon_fire
304	24	7											246						statX_1
305	500	10							к Сопротивлению Холоду у Врага	к Сопротивлению Холоду у Врага		20	93	1					item_pierce_cold
306	500	10							к Сопротивлению Огню у Врага	к Сопротивлению Огню у Врага		20	93	1					item_pierce_fire
307	500	10							к Сопротивлению Молнии у Врага	к Сопротивлению Молнии у Врага		20	93	1					item_pierce_ltng
308	500	10							к Сопротивлению Яду у Врага	к Сопротивлению Яду у Врага		20	93	1					item_pierce_pois
309	2048	12							Перезарядка %s Уменьшена на %.1g	Перезарядка %s Снижена на %.1g		33	131	2				17	skill_cooldown_reduce
310	0	5																	x_signet46
311	0	5																	x_signet47
312	0	5																	x_signet48
313	0	10																	darkportal
314	0	5																	x_signet50
315	0	8																	firelength
316	0	8										3		0					burningmin
317	0	8										3		0					burningmax
324	0	6																	item_extra_charges
329	100	9			330,331,332,357	к Урону Заклинаний	к Урону Заклинаний		к Урону Заклинаний Огня	к Урону Заклинаний Огня		4	93	1	5	4	1		passive_fire_mastery
330	100	9			329,331,332,357	к Урону Заклинаний	к Урону Заклинаний		к Урону Заклинаний Молнии	к Урону Заклинаний Молнии		4	93	1	5	4	1		passive_ltng_mastery
331	100	9			329,330,332,357	к Урону Заклинаний	к Урону Заклинаний		к Урону Заклинаний Холода	к Урону Заклинаний Холода		4	93	1	5	4	1		passive_cold_mastery
332	100	9			329,330,331,357	к Урону Заклинаний	к Урону Заклинаний		к Урону Заклинаний Яда	к Урону Заклинаний Яда		4	93	1	5	4	1		passive_pois_mastery
333	0	8			334,335,336	Ко Всем Сопротивлениям у Врага	Ко Всем Сопротивлениям у Врага		к Сопротивлению Огню у Врага	к Сопротивлению Огню у Врага		20	93	1	6	20	1		passive_fire_pierce
334	0	8			333,335,336	Ко Всем Сопротивлениям у Врага	Ко Всем Сопротивлениям у Врага		к Сопротивлению Молнии у Врага	к Сопротивлению Молнии у Врага		20	93	1	6	20	1		passive_ltng_pierce
335	0	8			333,334,336	Ко Всем Сопротивлениям у Врага	Ко Всем Сопротивлениям у Врага		к Сопротивлению Холоду у Врага	к Сопротивлению Холоду у Врага		20	93	1	6	20	1		passive_cold_pierce
336	0	8			333,334,335	Ко Всем Сопротивлениям у Врага	Ко Всем Сопротивлениям у Врага		к Сопротивлению Яду у Врага	к Сопротивлению Яду у Врага		20	93	1	6	20	1		passive_pois_pierce
337	0	8																	passive_critical_strike
338	0	8			339,340	Шанс Избежать Урона	Шанс Избежать Урона		Избежать Урона	Избежать Урона		2	45	1	8	2	1		passive_dodge
339	0	8			338,340	Шанс Избежать Урона	Шанс Избежать Урона		Избежать Урона	Избежать Урона		2	45	1	8	2	1		passive_avoid
340	0	8			338,339	Шанс Избежать Урона	Шанс Избежать Урона		Избежать Урона	Избежать Урона		2	45	1	8	2	1		passive_evade
341	0	8																	passive_warmth
342	0	8																	passive_mastery_melee_th
343	0	8				ModitemPeril	ModitemPeril								4	3	0		passive_mastery_melee_dmg
344	0	8																	passive_mastery_melee_crit
345	0	8																	passive_mastery_throw_th
346	0	8																	passive_mastery_throw_dmg
347	0	8																	passive_mastery_throw_crit
348	0	8																	passive_weaponblock
349	0	9																	passive_summon_resist
356	0	2																	questitemdifficulty
357	100	9			329,330,331,332	к Урону Заклинаний	к Урону Заклинаний		к Физ./Маг. Урону Заклинаний	к Физ./Маг. Урону Заклинаний		4	93	1	5	4	1		passive_pm_mastery
358	0	8																	passive_mag_pierce
359	50	9			360,361,362		ко Всем Атрибутам		к Силе	к Силе		2	79	1	3	2	1		item_strength_percent
360	50	9			359,361,362		ко Всем Атрибутам		к Ловкости	к Ловкости		2	79	1	3	2	1		item_dexterity_percent
361	50	9			359,360,362		ко Всем Атрибутам		к Энергии	к Энергии		2	79	1	3	2	1		item_energy_percent
362	50	9			359,360,361		ко Всем Атрибутам		к Живучести	к Живучести		2	79	1	3	2	1		item_vitality_percent
363	50	8							Замедляет Нападающего на	Замедляет Нападающего на		2	17	2					item_slowthorns
364	25	7							Атакующий Убежит после Удара	Атакующий Убежит после Удара		2	84	2					item_howlthorns
365	5	5							Замораживает Атакующего	Замораживает Атакующего		12	83	2					item_freezethorns
366	50	8							Ослепляет Атакующего	Ослепляет Атакующего		12	85	2					item_stupiditythorns
367	0	10			128,368		Атакующий Получает Стихийный Урон		Атакующему Наносится Урон Холодом	Атакующему Наносится Урон Холодом		3	19	2	14	3	2		item_attackertakescolddamage
368	0	10			128,367		Атакующий Получает Стихийный Урон		Атакующему Наносится Урон Огнем	Атакующему Наносится Урон Огнем		3	19	2	14	3	2		item_attackertakesfiredamage
369	0	5																	x_signet51
370	0	5																	x_signet52
371	0	7							\orange;Изумительная Грация\grey;	\orange;Изумительная Грация\grey;		3	247	0				17	item_amazinggrace
372	0	1							\dgrey;Не может быть извлечено из гнёзд\blue;	\dgrey;Не может быть извлечено из гнёзд\blue;		3	4	0					item_nounsock
373	300	9																	passive_phys_pierce
374	50	10																	trap_chain
375	0	15										31	246	0				15	desc_top
376	50	8							Замедляет Ближнюю Цель на	Замедляет Ближнюю Цель на		2	82	2					item_slow_offweapon
