#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	strBonus	dexBonus	type	sockettype	class
6@N	Parma (4)		2	2	0		24	368	288									invsmlu				ishd,tier	0	6
6@O	Totem Shield (1)		2	3	0		3	0	44									invxshu				ishd,tier	0	6
6@P	Bladed Shield (2)		2	3	0		12	0	81									invxpku				ishd,tier	0	6
700	Splint Mail (2)		2	3	0		11	60	0									invspl				tors,tier		-1
701	Plate Mail (2)		2	3	0		11	63	0									invplt				tors,tier		-1
702	Field Plate (2)		2	3	0		12	63	0									invfld				tors,tier		-1
703	Light Plate (2)		2	3	0		12	65	0									invltp				tors,tier		-1
704	Gothic Plate (2)		2	3	0		13	68	0									invgth				tors,tier		-1
705	Full Plate Mail (2)		2	3	0		14	70	0									invful				tors,tier		-1
706	Ancient Armor (2)		2	3	0		15	77	0									invaar				tors,tier		-1
707	Cap (2)		2	2	0		8	50	0									invcap				helm,tier		-1
708	Skull Cap (2)		2	2	0		10	55	0									invskp				helm,tier		-1
709	Helm (2)		2	2	0		11	57	0									invhlm				helm,tier		-1
710	Full Helm (2)		2	2	0		11	60	0									invfhl				helm,tier		-1
711	Great Helm (2)		2	2	0		12	62	0									invghm				helm,tier		-1
712	Crown (2)		2	2	0		14	67	0									invcrn				crow,tier		-1
713	Buckler (2)		2	2	0		8	50	25									invbuc				shie,tier	0	-1
714	Small Shield (2)		2	2	0		10	50	46									invsml				shie,tier	0	-1
715	Large Shield (2)		2	3	0		10	53	67									invlrg				shie,tier	0	-1
716	Kite Shield (2)		2	3	0		11	55	87									invkit				shie,tier	0	-1
717	Tower Shield (2)		2	3	0		12	58	107									invtow				shie,tier	0	-1
718	Gothic Shield (2)		2	4	0		14	60	128									invgts				shie,tier	0	-1
719	Sash (2)		2	1	0		8	50	0									invlbl				belt,tier		-1
720	Light Belt (2)		2	1	0		10	55	0									invvbl				belt,tier		-1
721	Belt (2)		2	1	0		11	56	0									invmbl				belt,tier		-1
722	Heavy Belt (2)		2	1	0		12	62	0									invtbl				belt,tier		-1
723	Plated Belt (2)		2	1	0		13	68	0									invhbl				belt,tier		-1
724	Leather Gloves (2)		2	2	0		8	50	0									invlgl				glov,tier		-1
725	Heavy Gloves (2)		2	2	0		10	52	0									invvgl				glov,tier		-1
726	Chain Gloves (2)		2	2	0		11	57	0									invmgl				glov,tier		-1
727	Light Gauntlets (2)		2	2	0		12	60	0									invtgl				glov,tier		-1
728	Gauntlets (2)		2	2	0		13	62	0									invhgl				glov,tier		-1
729	Boots (2)		2	2	0		8	50	0									invlbt				boot,tier		-1
730	Heavy Boots (2)		2	2	0		10	55	0									invvbt				boot,tier		-1
731	Chain Boots (2)		2	2	0		11	58	0									invmbt				boot,tier		-1
732	Light Plated Boots (2)		2	2	0		12	62	0									invtbt				boot,tier		-1
733	Greaves (2)		2	2	0		13	45	0									invhbt				boot,tier		-1
734	Bone Shield (2)		2	3	0		11	0	65									invbsh				bshi,tier	0	-1
735	Spiked Shield (2)		2	3	0		12	0	81									invspk				bshi,tier	0	-1
736	Mask (2)		2	2	0		12	60	0									invmsk				bhlm,tier		-1
737	Bone Helm (2)		2	2	0		13	63	0									invbhm				bhlm,tier		-1
784	Quilted Armor (3)		2	3	0		17	175	0									invqlt				tors,tier		-1
785	Leather Armor (3)		2	3	0		17	184	0									invlea				tors,tier		-1
786	Hard Leather Armor (3)		2	3	0		18	193	0									invhla				tors,tier		-1
787	Studded Leather (3)		2	3	0		19	193	0									invstu				tors,tier		-1
788	Ring Mail (3)		2	3	0		19	193	0									invrng				tors,tier		-1
789	Scale Mail (3)		2	3	0		19	202	0									invscl				tors,tier		-1
790	Chain Mail (3)		2	3	0		19	210	0									invchn				tors,tier		-1
791	Breast Plate (3)		2	3	0		20	210	0									invbrs				tors,tier		-1
792	Splint Mail (3)		2	3	0		20	210	0									invspl				tors,tier		-1
793	Plate Mail (3)		2	3	0		21	219	0									invplt				tors,tier		-1
794	Field Plate (3)		2	3	0		21	219	0									invfld				tors,tier		-1
795	Light Plate (3)		2	3	0		21	228	0									invltp				tors,tier		-1
796	Gothic Plate (3)		2	3	0		22	237	0									invgth				tors,tier		-1
797	Full Plate Mail (3)		2	3	0		23	245	0									invful				tors,tier		-1
798	Ancient Armor (3)		2	3	0		23	270	0									invaar				tors,tier		-1
799	Cap (3)		2	2	0		17	175	0									invcap				helm,tier		-1
7@G	Gambeson (Sacred)		2	3	0		30	0	486									invxtuu				sstr		1
7@J	Ceremonial Armor (4)		2	3	0		27	0	622									invaaru				stor,tier		1
7@K	Cervelliere (1)		2	2	0		2	28	0									invfhlu				azhm,tier		0
7@L	Einherjar Helm (2)		2	2	0		12	0	78									invuhms				azhm,tier		0
7@M	Spangenhelm (3)		2	2	0		23	237	0									invxrnu				azhm,tier		0
7@N	Parma (Sacred)		2	2	0		30	525	529									invsmlu				sisd	0	6
800	Skull Cap (3)		2	2	0		18	192	0									invskp				helm,tier		-1
801	Helm (3)		2	2	0		19	201	0									invhlm				helm,tier		-1
802	Full Helm (3)		2	2	0		20	210	0									invfhl				helm,tier		-1
803	Great Helm (3)		2	2	0		21	218	0									invghm				helm,tier		-1
804	Crown (3)		2	2	0		23	236	0									invcrn				crow,tier		-1
805	Buckler (3)		2	2	0		17	175	53									invbuc				shie,tier	0	-1
806	Small Shield (3)		2	2	0		18	175	96									invsml				shie,tier	0	-1
807	Large Shield (3)		2	3	0		19	184	139									invlrg				shie,tier	0	-1
808	Kite Shield (3)		2	3	0		20	193	183									invkit				shie,tier	0	-1
809	Tower Shield (3)		2	3	0		21	202	226									invtow				shie,tier	0	-1
810	Gothic Shield (3)		2	4	0		22	210	270									invgts				shie,tier	0	-1
811	Sash (3)		2	1	0		17	125	0									invlbl				belt,tier		-1
812	Light Belt (3)		2	1	0		19	192	0									invvbl				belt,tier		-1
813	Belt (3)		2	1	0		20	201	0									invmbl				belt,tier		-1
814	Heavy Belt (3)		2	1	0		20	218	0									invtbl				belt,tier		-1
815	Plated Belt (3)		2	1	0		22	236	0									invhbl				belt,tier		-1
816	Leather Gloves (3)		2	2	0		17	175	0									invlgl				glov,tier		-1
817	Heavy Gloves (3)		2	2	0		19	183	0									invvgl				glov,tier		-1
818	Chain Gloves (3)		2	2	0		20	201	0									invmgl				glov,tier		-1
819	Light Gauntlets (3)		2	2	0		20	210	0									invtgl				glov,tier		-1
820	Gauntlets (3)		2	2	0		22	218	0									invhgl				glov,tier		-1
821	Boots (3)		2	2	0		17	175	0									invlbt				boot,tier		-1
822	Heavy Boots (3)		2	2	0		19	193	0									invvbt				boot,tier		-1
823	Chain Boots (3)		2	2	0		19	202	0									invmbt				boot,tier		-1
824	Light Plated Boots (3)		2	2	0		20	218	0									invtbt				boot,tier		-1
825	Greaves (3)		2	2	0		22	227	0									invhbt				boot,tier		-1
826	Bone Shield (3)		2	3	0		20	0	137									invbsh				bshi,tier	0	-1
827	Spiked Shield (3)		2	3	0		21	0	170									invspk				bshi,tier	0	-1
828	Mask (3)		2	2	0		21	210	0									invmsk				bhlm,tier		-1
829	Bone Helm (3)		2	2	0		22	219	0									invbhm				bhlm,tier		-1
830	Quilted Armor (4)		2	3	0		22	350	0									invqlt				tors,tier		-1
831	Leather Armor (4)		2	3	0		22	368	0									invlea				tors,tier		-1
832	Hard Leather Armor (4)		2	3	0		22	385	0									invhla				tors,tier		-1
833	Studded Leather (4)		2	3	0		23	385	0									invstu				tors,tier		-1
834	Ring Mail (4)		2	3	0		23	385	0									invrng				tors,tier		-1
835	Scale Mail (4)		2	3	0		23	403	0									invscl				tors,tier		-1
836	Chain Mail (4)		2	3	0		24	420	0									invchn				tors,tier		-1
837	Breast Plate (4)		2	3	0		25	420	0									invbrs				tors,tier		-1
838	Splint Mail (4)		2	3	0		24	420	0									invspl				tors,tier		-1
839	Plate Mail (4)		2	3	0		25	438	0									invplt				tors,tier		-1
840	Field Plate (4)		2	3	0		25	438	0									invfld				tors,tier		-1
841	Light Plate (4)		2	3	0		25	455	0									invltp				tors,tier		-1
842	Gothic Plate (4)		2	3	0		26	473	0									invgth				tors,tier		-1
843	Full Plate Mail (4)		2	3	0		27	490	0									invful				tors,tier		-1
844	Ancient Armor (4)		2	3	0		27	539	0									invaar				tors,tier		-1
845	Cap (4)		2	2	0		22	350	0									invcap				helm,tier		-1
846	Skull Cap (4)		2	2	0		23	384	0									invskp				helm,tier		-1
847	Helm (4)		2	2	0		24	402	0									invhlm				helm,tier		-1
848	Full Helm (4)		2	2	0		24	420	0									invfhl				helm,tier		-1
849	Great Helm (4)		2	2	0		25	436	0									invghm				helm,tier		-1
850	Crown (4)		2	2	0		27	472	0									invcrn				crow,tier		-1
851	Buckler (4)		2	2	0		21	350	109									invbuc				shie,tier	0	-1
852	Small Shield (4)		2	2	0		23	350	199									invsml				shie,tier	0	-1
853	Large Shield (4)		2	3	0		24	368	288									invlrg				shie,tier	0	-1
854	Kite Shield (4)		2	3	0		24	385	378									invkit				shie,tier	0	-1
855	Tower Shield (4)		2	3	0		25	403	468									invtow				shie,tier	0	-1
856	Gothic Shield (4)		2	4	0		27	420	558									invgts				shie,tier	0	-1
857	Sash (4)		2	1	0		21	250	0									invlbl				belt,tier		-1
858	Light Belt (4)		2	1	0		23	384	0									invvbl				belt,tier		-1
859	Belt (4)		2	1	0		24	402	0									invmbl				belt,tier		-1
860	Heavy Belt (4)		2	1	0		25	436	0									invtbl				belt,tier		-1
861	Plated Belt (4)		2	1	0		26	472	0									invhbl				belt,tier		-1
862	Leather Gloves (4)		2	2	0		21	350	0									invlgl				glov,tier		-1
863	Heavy Gloves (4)		2	2	0		23	366	0									invvgl				glov,tier		-1
864	Chain Gloves (4)		2	2	0		24	402	0									invmgl				glov,tier		-1
865	Light Gauntlets (4)		2	2	0		25	420	0									invtgl				glov,tier		-1
866	Gauntlets (4)		2	2	0		26	436	0									invhgl				glov,tier		-1
867	Boots (4)		2	2	0		21	350	0									invlbt				boot,tier		-1
868	Heavy Boots (4)		2	2	0		23	386	0									invvbt				boot,tier		-1
869	Chain Boots (4)		2	2	0		24	403	0									invmbt				boot,tier		-1
870	Light Plated Boots (4)		2	2	0		25	436	0									invtbt				boot,tier		-1
871	Greaves (4)		2	2	0		26	454	0									invhbt				boot,tier		-1
872	Bone Shield (4)		2	3	0		24	0	282									invbsh				bshi,tier	0	-1
873	Spiked Shield (4)		2	3	0		25	0	353									invspk				bshi,tier	0	-1
874	Mask (4)		2	2	0		25	420	0									invmsk				bhlm,tier		-1
875	Bone Helm (4)		2	2	0		27	438	0									invbhm				bhlm,tier		-1
8@G	Lamellar Armor (1)		2	3	0		2	0	31									invxrss				stor,tier		1
8@H	Kazarghand (2)		2	3	0		12	0	81									invxaru				stor,tier		1
8@I	Banded Plate (3)		2	3	0		23	0	281									invfulu				stor,tier		1
8@J	Ceremonial Armor (Sacred)		2	3	0		30	0	722									invaaru				sstr		1
8@M	Spangenhelm (4)		2	2	0		27	473	0									invxrnu				azhm,tier		0
8@N	Aspis (1)		2	3	0		3	28	59									invxrgu				ishd,tier	0	6
8@O	Totem Shield (2)		2	3	0		12	0	65									invxshu				ishd,tier	0	6
8@P	Bladed Shield (3)		2	3	0		21	0	170									invxpku				ishd,tier	0	6
9@I	Banded Plate (4)		2	3	0		27	0	583									invfulu				stor,tier		1
9@J	Morion (1)		2	2	0		1	25	0									invxkpu				azhm,tier		0
9@K	Cervelliere (2)		2	2	0		11	55	0									invfhlu				azhm,tier		0
9@L	Einherjar Helm (3)		2	2	0		21	0	164									invuhms				azhm,tier		0
9@M	Spangenhelm (Sacred)		2	2	0		30	675	0									invxrnu				szhm		0
9@P	Bladed Shield (4)		2	3	0		26	0	353									invxpku				ishd,tier	0	6
@01	Quilted Armor (Sacred)		2	3	0		30	500	0									invqlt				qtor		-1
@02	Leather Armor (Sacred)		2	3	0		30	525	0									invlea				qtor		-1
@03	Hard Leather Armor (Sacred)		2	3	0		30	550	0									invhla				qtor		-1
@04	Studded Leather (Sacred)		2	3	0		30	550	0									invstu				qtor		-1
@05	Ring Mail (Sacred)		2	3	0		30	550	0									invrng				qtor		-1
@06	Scale Mail (Sacred)		2	3	0		30	575	0									invscl				qtor		-1
@07	Chain Mail (Sacred)		2	3	0		30	600	0									invchn				qtor		-1
@08	Breast Plate (Sacred)		2	3	0		30	600	0									invbrs				qtor		-1
@09	Splint Mail (Sacred)		2	3	0		30	600	0									invspl				qtor		-1
@10	Plate Mail (Sacred)		2	3	0		30	625	0									invplt				qtor		-1
@11	Field Plate (Sacred)		2	3	0		30	625	0									invfld				qtor		-1
@12	Light Plate (Sacred)		2	3	0		30	650	0									invltp				qtor		-1
@13	Gothic Plate (Sacred)		2	3	0		30	675	0									invgth				qtor		-1
@14	Full Plate Mail (Sacred)		2	3	0		30	700	0									invful				qtor		-1
@15	Ancient Armor (Sacred)		2	3	0		30	770	0									invaar				qtor		-1
@16	Cap (Sacred)		2	2	0		30	500	0									invcap				qhlm		-1
@17	Skull Cap (Sacred)		2	2	0		30	550	0									invskp				qhlm		-1
@18	Helm (Sacred)		2	2	0		30	575	0									invhlm				qhlm		-1
@19	Full Helm (Sacred)		2	2	0		30	600	0									invfhl				qhlm		-1
@20	Great Helm (Sacred)		2	2	0		30	625	0									invghm				qhlm		-1
@21	Crown (Sacred)		2	2	0		30	675	0									invcrn				qhlm		-1
@22	Buckler (Sacred)		2	2	0		30	500	469									invbuc				qshi	0	-1
@23	Small Shield (Sacred)		2	2	0		30	500	499									invsml				qshi	0	-1
@24	Large Shield (Sacred)		2	3	0		30	525	529									invlrg				qshi	0	-1
@25	Kite Shield (Sacred)		2	3	0		30	550	559									invkit				qshi	0	-1
@26	Tower Shield (Sacred)		2	3	0		30	575	589									invtow				qshi	0	-1
@27	Gothic Shield (Sacred)		2	4	0		30	600	619									invgts				qshi	0	-1
@28	Sash (Sacred)		2	1	0		30	500	0									invlbl				belt,qblt		-1
@29	Light Belt (Sacred)		2	1	0		30	550	0									invvbl				belt,qblt		-1
@30	Belt (Sacred)		2	1	0		30	575	0									invmbl				belt,qblt		-1
@31	Heavy Belt (Sacred)		2	1	0		30	625	0									invtbl				belt,qblt		-1
@32	Plated Belt (Sacred)		2	1	0		30	675	0									invhbl				belt,qblt		-1
@33	Leather Gloves (Sacred)		2	2	0		30	500	0									invlgl				qglv		-1
@34	Heavy Gloves (Sacred)		2	2	0		30	525	0									invvgl				qglv		-1
@35	Chain Gloves (Sacred)		2	2	0		30	575	0									invmgl				qglv		-1
@36	Light Gauntlets (Sacred)		2	2	0		30	600	0									invtgl				qglv		-1
@37	Gauntlets (Sacred)		2	2	0		30	625	0									invhgl				qglv		-1
@38	Boots (Sacred)		2	2	0		30	500	0									invlbt				qbot		-1
@39	Heavy Boots (Sacred)		2	2	0		30	550	0									invvbt				qbot		-1
@40	Chain Boots (Sacred)		2	2	0		30	575	0									invmbt				qbot		-1
@41	Light Plated Boots (Sacred)		2	2	0		30	625	0									invtbt				qbot		-1
@42	Greaves (Sacred)		2	2	0		30	650	0									invhbt				qbot		-1
@43	Bone Shield (Sacred)		2	3	0		30	0	527									invbsh				qbon	0	-1
@44	Spiked Shield (Sacred)		2	3	0		30	0	550									invspk				qbon	0	-1
@45	Mask (Sacred)		2	2	0		30	600	0									invmsk				qbhe		-1
@46	Bone Helm (Sacred)		2	2	0		30	625	0									invbhm				qbhe		-1
@47	Wolf Head (Sacred)		2	2	0		30	500	0									invdr1				qplt		5
@48	Hawk Helm (Sacred)		2	2	0		30	500	0									invdr2				qplt		5
@49	Antlers (Sacred)		2	2	0		30	500	0									invdr3				qplt		5
@50	Falcon Mask (Sacred)		2	2	0		30	500	0									invdr4				qplt		5
@51	Spirit Mask (Sacred)		2	2	0		30	650	0									invdr5				qplt		5
@52	Jawbone Cap (Sacred)		2	2	0		30	500	0									invba1				qphm		4
@53	Fanged Helm (Sacred)		2	2	0		30	500	0									invba2				qphm		4
@54	Horned Helm (Sacred)		2	2	0		30	500	0									invba3				qphm		4
@55	Assault Helmet (Sacred)		2	2	0		30	600	0									invba4				qphm		4
@56	Avenger Guard (Sacred)		2	2	0		30	625	0									invba5				qphm		4
@57	Targe (Sacred)		2	2	0		30	0	437									invpa1				qaur	0	3
@58	Rondache (Sacred)		2	2	0		30	0	440									invpa2				qaur	0	3
@59	Heraldic Shield (Sacred)		2	4	0		30	500	0									invpa3				qaur	0	3
@60	Aerin Shield (Sacred)		2	4	0		30	500	0									invpa4				qaur	0	3
@61	Crown Shield (Sacred)		2	2	0		30	0	447									invpa5				qaur	0	3
@62	Preserved Head (Sacred)		2	2	0		30	0	436									invne1				qhed	0	2
