"Cutthroat1"	"Злоба Бартука"
"ModStre9o"	"Поглощает урон огнем"
"ModStre9p"	"Поглощает урон холодом"
"ModStre9q"	"Поглощает урон молнией"
"ModStre9r"	"Поглощает урон ядом"
"of the Wraith"	"Духа"
"of Equilibrium"	"Равновесия"
"Valkyrie's"	"Валькирии"
"Maiden's"	"Девы"
"Blank"	"Бездна"
"strEskilllighttoattack"	" к вашим атакам"
"StrSklTabItem1"	"+%d к навыкам копья и дротика"
"StrSklTabItem2"	"+%d к пассивным и магическим навыкам"
"StrSklTabItem3"	"+%d к навыкам лук и арбалет"
"StrSklTabItem4"	"+%d к защитным аурам"
"StrSklTabItem5"	"+%d к аурам атаки"
"StrSklTabItem6"	"+%d к боевым навыкам"
"StrSklTabItem6"	"+%d к навыкам вызова"
"StrSklTabItem7"	"+%d к навыкам яда и кости"
"StrSklTabItem8"	"+%d к проклятиям"
"StrSklTabItem10"	"+%d к военным кличам"
"StrSklTabItem11"	"+%d к боевым навыкам"
"StrSklTabItem12"	"+%d к мастерствам"
"StrSklTabItem13"	"+%d к навыкам холода"
"StrSklTabItem14"	"+%d к навыкам молнии"
"StrSklTabItem15"	"+%d к огненным навыкам"
"StrSklTabItem16"	"+%d к навыкам вызова"
"StrSklTabItem17"	"+%d к навыкам смены формы"
"StrSklTabItem18"	"+%d к стихийным навыкам"
"StrSklTabItem19"	"+%d к ловушкам"
"StrSklTabItem20"	"+%d к дисциплинам тени"
"StrSklTabItem21"	"+%d к военным искусствам"
"x"	"Персонаж '%s' не использовался более 3-х месяцев, поэтому его песенка спета."
"upgraderestrictEx"	"Только белые или небесные вещи без гнезд."
"UndeadDescriptX"	"Нежить"
"DemonID"	"Демон"
"strScaryMonDescA"	""
"strScaryMonDescB"	""
"strScaryMonDesc1"	"Иммунитет к Огню"
"strScaryMonDesc2"	"Иммунитет к Холоду"
"strScaryMonDesc3"	"Иммунитет к Молнии"
"strScaryMonDesc4"	"Иммунитет к Яду"
"strScaryMonDesc5"	"Иммунитет к Физ. Урону"
"strScaryMonDesc6"	"Иммунитет к Маг. Урону"
"PlayerNameOnItemstring"	"[ms]%s'овский[fs]%s'овская[nl]%s'овское[pl]%s'овские"
"PlayerNameOnItemstringX"	"%s'ляля"
"SetItemFormatX"	"a0n1:%0"
"x"	"РЕЙТИНГ Median XL"
"x"	"РЕЙТИНГ СМЕРТНЫХ Median XL"
"D2bnetHelp47a"	"The EXPANSION LADDER displays the top characters, ranked by experience. The default setting displays overall rankings, but you can view sorted lists after selecting the By Class option."
"D2bnetHelp48a"	"The EXPANSION HARDCORE LADDER displays the top Hardcore characters, ranked by experience. The default setting displays overall rankings, but you can view sorted lists after selecting By Class option."
"x"	"Починить все"
"x"	"Починить все, что можно: %d"
"x"	"Надетые предметы не требуют ремонта"
"Druid"	"Друид"
"Assassin"	"Ассассин"
"partychardru"	"Друид"
"partycharass"	"Ассассин"
"x"	"Невозможно войти в игру. Персонаж Diablo II не может войти в игру, созданную персонажем расширения Diablo II."
"x"	"Невозможно войти в игру. Персонаж расширения Diablo II не может войти в игру, созданную персонажем Diablo II."
"charmonsterX"	"%s\grey;: %d%%"
"charmontohit1X"	"Средний шанс того, что %s\grey; ударит вас: %d%%"
"charmontohit2X"	"Шанс Блока: %d%%\nСредний шанс того, что %s\grey; ударит вас: %d%%"
"Party1X"	"%s подписал с вами договоренность о совместном совершении самоубийства."
"Party2X"	"%s подписала с вами договоренность о совместном совершении самоубийства."
"Party10"	"%s больше не позволяет обшаривать его труп."
"Party11"	"%s больше не позволяет обшаривать ее труп."
"Party12"	"Вы враждебны друг другу."
"Party13"	"%s враждебен к вам, но вы дружественны к нему."
"Party14"	"%s враждебна к вам, но вы дружественны к ней."
"Party 15"	"%s дружественен к вам, но вы враждебны к нему."
"Party16"	"%s дружественна к вам, но вы враждебны к ней."
"Party17"	"Вы дружественны друг другу."
"Party18"	"Вы не можете потрошить трупы друг друга."
"Party19"	"%s может обшаривать ваш труп, но вы не можете обшаривать его."
"Party20"	"%s может обшаривать ваш труп, но вы не можете обшаривать ее."
"Party21"	"%s не может обшаривать ваш труп, но вы можете обшаривать его."
"Party22"	"%s не может обшаривать ваш труп, но вы можете обшаривать ее."
"Party23"	"Никто из вас не может ограбить труп другого."
"Civerb's Ward"	"Civerb's Ward"
"Civerb's Icon"	"Civerb's Icon"
"Civerb's Cudgel"	"Civerb's Cudgel"
"Hsarus' Iron Heel"	"Hsarus' Iron Heel"
"Hsarus' Iron Fist"	"Hsarus' Iron Fist"
"Hsarus' Iron Stay"	"Hsarus' Iron Stay"
"Cleglaw's Tooth"	"Cleglaw's Tooth"
"Cleglaw's Claw"	"Cleglaw's Claw"
"Cleglaw's Pincers"	"Cleglaw's Pincers"
"Iratha's Cord"	"Iratha's Cord"
"Iratha's Coil"	"Iratha's Coil"
"Iratha's Cuff"	"Iratha's Cuff"
"Iratha's Collar"	"Iratha's Collar"
"Isenhart's Horns"	"Isenhart's Horns"
"Isenhart's Case"	"Isenhart's Case"
"Isenhart's Parry"	"Isenhart's Parry"
"Isenhart's Lightbrand"	"Isenhart's Lightbrand"
"Vidala's Snare"	"Vidala's Snare"
"Vidala's Ambush"	"Vidala's Ambush"
"Vidala's Fetlock"	"Vidala's Fetlock"
"Vidala's Barb"	"Vidala's Barb"
"Milabrega's Robe"	"Milabrega's Robe"
"Milabrega's Diadem"	"Milabrega's Diadem"
"Milabrega's Rod"	"Milabrega's Rod"
"Milabrega's Orb"	"Milabrega's Orb"
"Cathan's Seal"	"Cathan's Seal"
"Cathan's Sigil"	"Cathan's Sigil"
"Cathan's Visage"	"Cathan's Visage"
"Cathan's Mesh"	"Cathan's Mesh"
"Cathan's Rule"	"Cathan's Rule"
"Tancred's Crowbill"	"Tancred's Crowbill"
"Tancred's Spine"	"Tancred's Spine"
"Tancred's Hobnails"	"Tancred's Hobnails"
"Tancred's Weird"	"Tancred's Weird"
"Tancred's Skull"	"Tancred's Skull"
"Sigon's Visor"	"Sigon's Visor"
"Sigon's Shelter"	"Sigon's Shelter"
"Sigon's Gage"	"Sigon's Gage"
"Sigon's Sabot"	"Sigon's Sabot"
"Sigon's Wrap"	"Sigon's Wrap"
"Sigon's Guard"	"Sigon's Guard"
"Infernal Cranium"	"Infernal Cranium"
"Infernal Torch"	"Infernal Torch"
"Infernal Sign"	"Infernal Sign"
"Berserker's Headgear"	"Berserker's Headgear"
"Berserker's Hauberk"	"Berserker's Hauberk"
"Berserker's Hatchet"	"Berserker's Hatchet"
"Death's Hand"	"Death's Hand"
"Death's Guard"	"Death's Guard"
"Death's Touch"	"Death's Touch"
"Angelic Sickle"	"Angelic Sickle"
"Angelic Mantle"	"Angelic Mantle"
"Angelic Halo"	"Angelic Halo"
"Angelic Wings"	"Angelic Wings"
"Arctic Horn"	"Arctic Horn"
"Arctic Furs"	"Arctic Furs"
"Arctic Binding"	"Arctic Binding"
"Arctic Mitts"	"Arctic Mitts"
"Arcanna's Sign"	"Arcanna's Sign"
"Arcanna's Deathwand"	"Arcanna's Deathwand"
"Arcanna's Head"	"Arcanna's Head"
"Arcanna's Flesh"	"Arcanna's Flesh"
"skillxname0"	" "
"skillxsd0"	" "
"skillxld0"	" "
"skillxan0"	" "
"skillxname1"	" "
"skillxsd1"	" "
"skillxld1"	" "
"skillxan1"	" "
"skillxname2"	" "
"skillxsd2"	" "
"skillxld2"	" "
"skillxan2"	" "
"skillxname3"	" "
"skillxsd3"	" "
"skillxld3"	" "
"skillxan3"	" "
"skillxname4"	" "
"skillxsd4"	" "
"skillxld4"	" "
"skillxan4"	" "
"skillxname5"	" "
"skillxsd5"	" "
"skillxld5"	" "
"skillxan5"	" "
"skillxname6"	" "
"skillxsd6"	" "
"skillxld6"	" "
"skillxan6"	" "
"skillxname7"	" "
"skillxsd7"	" "
"skillxld7"	"or bolts with fire/nmagically enhances your arrows"
"skillxan7"	" "
"skillxname8"	" "
"skillxsd8"	" "
"skillxld8"	"cold arrows only do half of their regular damage/nby adding cold damage and a slowing effect/nmagically enhances your arrows or bolts"
"skillxan8"	" "
"skillxname9"	" "
"skillxsd9"	" "
"skillxld9"	" "
"skillxan9"	" "
"skillxname10"	" "
"skillxsd10"	" "
"skillxld10"	" "
"skillxan10"	" "
"skillxname11"	" "
"skillxsd11"	" "
"skillxld11"	"cold arrows only do half of their regular damage/nby adding cold damage and a slowing effect/nmagically enhances your arrows or bolts"
"skillxan11"	" "
"skillxname12"	" "
"skillxsd12"	" "
"skillxld12"	" "
"skillxan12"	" "
"skillxname13"	" "
"skillxsd13"	" "
"skillxld13"	" "
"skillxan13"	" "
"skillxname14"	" "
"skillxsd14"	" "
"skillxld14"	" "
"skillxan14"	" "
"skillxname15"	" "
"skillxsd15"	" "
"skillxld15"	" "
"skillxan15"	" "
"skillxname16"	" "
"skillxsd16"	" "
"skillxld16"	"при контакте, поражает всех врагов вблизи/nзаряжает стрелу или арб.снаряд, чтобы он взорвался"
"skillxan16"	" "
"skillxname17"	" "
"skillxsd17"	" "
"skillxld17"	" "
"skillxan17"	" "
"skillxname18"	" "
"skillxsd18"	" "
"skillxld18"	" "
"skillxan18"	" "
"skillxname19"	" "
"skillxsd19"	" "
"skillxld19"	" "
"skillxan19"	" "
"skillxname20"	" "
"skillxsd20"	" "
"skillxld20"	" "
"skillxan20"	" "
"skillxname21"	" "
"skillxsd21"	" "
"skillxld21"	"замораживает ваших врагов,/nмагически заряжает вашу стрелу или арб.снаряд"
"skillxan21"	" "
"skillxname22"	" "
"skillxsd22"	" "
"skillxld22"	" "
"skillxan22"	" "
"skillxname23"	" "
"skillxsd23"	" "
"skillxld23"	" "
"skillxan23"	" "
"skillxname24"	" "
"skillxsd24"	" "
"skillxld24"	" "
"skillxan24"	" "
"skillxname25"	" "
"skillxsd25"	" "
"skillxld25"	" "
"skillxan25"	" "
"skillxname26"	" "
"skillxsd26"	" "
"skillxld26"	" "
"skillxan26"	" "
"skillxname27"	" "
"skillxsd27"	" "
"skillxld27"	"создается пламя при ударе/nнаносит небольшой урон огнем и/nзаряжает стрелы и арб. снаряды"
"skillxan27"	" "
"skillxname28"	" "
"skillxsd28"	" "
"skillxld28"	" "
"skillxan28"	" "
"skillxname29"	" "
"skillxsd29"	" "
"skillxld29"	" "
"skillxan29"	" "
"skillxname30"	" "
"skillxsd30"	" "
"skillxld30"	" "
"skillxan30"	" "
"skillxname31"	" "
"skillxsd31"	" "
"skillxld31"	"для заморозки групп врагов/nмагически заряжает стрелу или арб. снаряд"
"skillxan31"	" "
"skillxname32"	" "
"skillxsd32"	" "
"skillxld32"	" "
"skillxan32"	" "
"skillxname33"	" "
"skillxsd33"	" "
"skillxld33"	" "
"skillxan33"	" "
"skillxname34"	" "
"skillxsd34"	" "
"skillxld34"	" "
"skillxan34"	" "
"skillxname35"	" "
"skillxsd35"	" "
"skillxld35"	" "
"skillxan35"	" "
"skillxname36"	" "
"skillxsd36"	" "
"skillxld36"	" "
"skillxan36"	" "
"skillxname37"	" "
"skillxsd37"	" "
"skillxld37"	" "
"skillxan37"	" "
"skillxname38"	" "
"skillxsd38"	" "
"skillxld38"	" "
"skillxan38"	" "
"skillxname39"	" "
"skillxsd39"	" "
"skillxld39"	" "
"skillxan39"	" "
"skillxname40"	" "
"skillxsd40"	" "
"skillxld40"	" "
"skillxan40"	" "
"skillxname41"	" "
"skillxsd41"	" "
"skillxld41"	" "
"skillxan41"	" "
"skillxname42"	" "
"skillxsd42"	" "
"skillxld42"	"здоровье всех ближайших врагов/nсоздает электрическое поле, снижающее"
"skillxan42"	" "
"skillxname43"	" "
"skillxsd43"	" "
"skillxld43"	" "
"skillxan43"	" "
"skillxname44"	" "
"skillxsd44"	" "
"skillxld44"	" "
"skillxan44"	" "
"skillxname45"	" "
"skillxsd45"	" "
"skillxld45"	" "
"skillxan45"	" "
"skillxname46"	" "
"skillxsd46"	" "
"skillxld46"	" "
"skillxan46"	" "
"skillxname47"	" "
"skillxsd47"	" "
"skillxld47"	" "
"skillxan47"	" "
"skillxname48"	" "
"skillxsd48"	" "
"skillxld48"	" "
"skillxan48"	" "
"skillxname49"	" "
"skillxsd49"	" "
"skillxld49"	" "
"skillxan49"	" "
"skillxname50"	" "
"skillxsd50"	" "
"skillxld50"	" "
"skillxan50"	" "
"skillxname51"	" "
"skillxsd51"	" "
"skillxld51"	" "
"skillxan51"	" "
"skillxname52"	" "
"skillxsd52"	" "
"skillxld52"	" "
"skillxan52"	" "
"skillxname53"	" "
"skillxsd53"	" "
"skillxld53"	" "
"skillxan53"	" "
"skillxname54"	" "
"skillxsd54"	" "
"skillxld54"	" "
"skillxan54"	" "
"skillxname55"	" "
"skillxsd55"	" "
"skillxld55"	" "
"skillxan55"	" "
"skillxname56"	" "
"skillxsd56"	" "
"skillxld56"	" "
"skillxan56"	" "
"skillxname57"	" "
"skillxsd57"	" "
"skillxld57"	" "
"skillxan57"	" "
"skillxname58"	" "
"skillxsd58"	" "
"skillxld58"	" "
"skillxan58"	" "
"skillxname59"	" "
"skillxsd59"	" "
"skillxld59"	" "
"skillxan59"	" "
"skillxname60"	" "
"skillxsd60"	" "
"skillxld60"	" "
"skillxan60"	" "
"skillxsname61"	" "
"skillxsd61"	" "
"skillxld61"	" "
"skillxan61"	" "
"skillxname62"	" "
"skillxsd62"	" "
"skillxld62"	" "
"skillxan62"	" "
"skillxname63"	" "
"skillxsd63"	"пассивно - повышает урон молнией"
"skillxld63"	"пассивно - повышает урон, причиняемый вашими заклинаниями молнии "
"skillxan63"	" "
"skillxname64"	" "
"skillxsd64"	" "
"skillxld64"	" "
"skillxan64"	" "
"skillxname65"	" "
"skillxsd65"	" "
"skillxld65"	" "
"skillxan65"	" "
"skillxname66"	" "
"skillxsd66"	" "
"skillxld66"	" "
"skillxan66"	" "
"skillxname67"	" "
"skillxsd67"	" "
"skillxld67"	" "
"skillxan67"	" "
"skillxname68"	" "
"skillxsd68"	" "
"skillxld68"	" "
"skillxan68"	" "
"skillxname69"	" "
"skillxsd69"	" "
"skillxld69"	" "
"skillxan69"	" "
"skillxname70"	" "
"skillxsd70"	" "
"skillxld70"	" "
"skillxan70"	" "
"skillxname71"	" "
"skillxsd71"	" "
"skillxld71"	" "
"skillxan71"	" "
"skillxname72"	" "
"skillxsd72"	" "
"skillxld72"	" "
"skillxan72"	" "
"skillxname73"	" "
"skillxsd73"	" "
"skillxld73"	" "
"skillxan73"	" "
"skillxname74"	" "
"skillxsd74"	" "
"skillxld74"	" "
"skillxan74"	" "
"skillxname75"	" "
"skillxsd75"	" "
"skillxld75"	" "
"skillxan75"	" "
"skillxname76"	" "
"skillxsd76"	" "
"skillxld76"	" "
"skillxan76"	" "
"skillxname77"	" "
"skillxsd77"	" "
"skillxld77"	" "
"skillxan77"	" "
"skillxname78"	" "
"skillxsd78"	" "
"skillxld78"	" "
"skillxan78"	" "
"skillxname79"	" "
"skillxsd79"	" "
"skillxld79"	" "
"skillxan79"	" "
"skillxname80"	" "
"skillxsd80"	" "
"skillxld80"	" "
"skillxan80"	" "
"skillxname81"	" "
"skillxsd81"	" "
"skillxld81"	" "
"skillxan81"	" "
"skillxname82"	" "
"skillxsd82"	" "
"skillxld82"	" "
"skillxan82"	" "
"skillxname83"	" "
"skillxsd83"	" "
"skillxld83"	" "
"skillxan83"	" "
"skillxname84"	" "
"skillxsd84"	" "
"skillxld84"	" "
"skillxan84"	" "
"skillxname85"	" "
"skillxsd85"	" "
"skillxld85"	" "
"skillxan85"	" "
"skillxname86"	" "
"skillxsd86"	" "
"skillxld86"	"не снимается другими заклятиями/nцелью всех ближайших монстров,/nпроклятие монстра, он становится"
"skillxan86"	" "
"skillxname87"	" "
"skillxsd87"	" "
"skillxld87"	" "
"skillxan87"	" "
"skillxname88"	" "
"skillxsd88"	" "
"skillxld88"	" "
"skillxan88"	" "
"skillxname89"	" "
"skillxsd89"	" "
"skillxld89"	" "
"skillxan89"	" "
"skillxname90"	" "
"skillxsd90"	" "
"skillxld90"	" "
"skillxan90"	" "
"skillxname91"	" "
"skillxsd91"	" "
"skillxld91"	" "
"skillxan91"	" "
"skillxname92"	" "
"skillxsd92"	" "
"skillxld92"	" "
"skillxan92"	" "
"skillxname93"	" "
"skillxsd93"	" "
"skillxld93"	" "
"skillxan93"	" "
"skillxname94"	" "
"skillxsd94"	" "
"skillxld94"	" "
"skillxan94"	" "
"skillxname95"	" "
"skillxsd95"	" "
"skillxld95"	" "
"skillxan95"	" "
"skillxname96"	" "
"skillxsd96"	" "
"skillxld96"	" "
"skillxan96"	" "
"skillxname97"	" "
"skillxsd97"	" "
"skillxld97"	" "
"skillxan97"	" "
"skillxname98"	" "
"skillxsd98"	" "
"skillxld98"	" "
"skillxan98"	" "
"skillxname99"	" "
"skillxsd99"	" "
"skillxld99"	" "
"skillxan99"	" "
"skillxname100"	" "
"skillxsd100"	" "
"skillxld100"	" "
"skillxan100"	" "
"skillxname101"	" "
"skillxsd101"	" "
"skillxld101"	" "
"skillxan101"	" "
"skillxname102"	" "
"skillxsd102"	" "
"skillxld102"	" "
"skillxan102"	" "
"skillxname103"	" "
"skillxsd103"	" "
"skillxld103"	" "
"skillxan103"	" "
"skillxname104"	" "
"skillxsd104"	" "
"skillxld104"	" "
"skillxan104"	" "
"skillxname105"	" "
"skillxsd105"	" "
"skillxld105"	" "
"skillxan105"	" "
"skillxname106"	" "
"skillxsd106"	" "
"skillxld106"	" "
"skillxan106"	" "
"skillxname107"	" "
"skillxsd107"	" "
"skillxld107"	" "
"skillxan107"	" "
"skillxname108"	" "
"skillxsd108"	" "
"skillxld108"	" "
"skillxan108"	" "
"skillxname109"	" "
"skillxsd109"	" "
"skillxld109"	" "
"skillxan109"	" "
"skillxname110"	" "
"skillxsd110"	" "
"skillxld110"	" "
"skillxan110"	" "
"skillxname111"	" "
"skillxsd111"	" "
"skillxld111"	" "
"skillxan111"	" "
"skillxname112"	" "
"skillxsd112"	" "
"skillxld112"	" "
"skillxan112"	" "
"skillxname113"	" "
"skillxsd113"	" "
"skillxld113"	" "
"skillxan113"	" "
"skillxname114"	" "
"skillxsd114"	" "
"skillxld114"	" "
"skillxan114"	" "
"skillxname115"	" "
"skillxsd115"	" "
"skillxld115"	" "
"skillxan115"	" "
"skillxname116"	" "
"skillxsd116"	" "
"skillxld116"	" "
"skillxan116"	" "
"skillxname117"	" "
"skillxsd117"	" "
"skillxld117"	" "
"skillxan117"	" "
"skillxname118"	" "
"skillxsd118"	" "
"skillxld118"	"и добавляет урон молнией к вашим атакам/nэлектричества, повреждая близких врагов/nбудучи активной, аура вызывает импульсы"
"skillxan118"	" "
"skillxname119"	" "
"skillxsd119"	" "
"skillxld119"	" "
"skillxan119"	" "
"skillxname120"	" "
"skillxsd120"	" "
"skillxld120"	" "
"skillxan120"	" "
"skillxname121"	" "
"skillxsd121"	" "
"skillxld121"	" "
"skillxan121"	" "
"skillxname122"	" "
"skillxsd122"	"аура - повышение урона и скорости атаки"
"skillxld122"	"и уровень атаки ваш и вашей группы/nбудучи активной, аура повышает урон, скорость атаки,"
"skillxan122"	" "
"skillxname123"	" "
"skillxsd123"	"аура - ослабление врагов"
"skillxld123"	" "
"skillxan123"	" "
"skillxname124"	" "
"skillxsd124"	" "
"skillxld124"	"Ваша жизнь и мана/nзабирает души врагов/nкогда активна, аура пытается искупить"
"skillxan124"	" "
"skillxname125"	" "
"skillxsd125"	" "
"skillxld125"	" "
"skillxan125"	" "
"skillxname126"	" "
"skillxsd126"	" "
"skillxld126"	" "
"skillxan126"	" "
"skillxname127"	" "
"skillxsd127"	" "
"skillxld127"	" "
"skillxan127"	" "
"skillxname128"	" "
"skillxsd128"	" "
"skillxld128"	" "
"skillxan128"	" "
"skillxname129"	" "
"skillxsd129"	" "
"skillxld129"	" "
"skillxan129"	" "
"skillxname130"	" "
"skillxsd130"	" "
"skillxld130"	" "
"skillxan130"	" "
"skillxname131"	" "
"skillxsd131"	" "
"skillxld131"	" "
"skillxan131"	" "
"skillxname132"	" "
"skillxsd132"	" "
"skillxld132"	" "
"skillxan132"	" "
"skillxname133"	" "
"skillxsd133"	" "
"skillxld133"	" "
"skillxan133"	" "
"skillxname134"	" "
"skillxsd134"	" "
"skillxld134"	" "
"skillxan134"	" "
"skillxname135"	" "
"skillxsd135"	" "
"skillxld135"	" "
"skillxan135"	" "
"skillxname136"	" "
"skillxsd136"	" "
"skillxld136"	" "
"skillxan136"	" "
"skillxname137"	" "
"skillxsd137"	" "
"skillxld137"	" "
"skillxan137"	" "
"skillxname138"	" "
"skillxsd138"	" "
"skillxld138"	" "
"skillxan138"	" "
"skillxname139"	" "
"skillxsd139"	" "
"skillxld139"	" "
"skillxan139"	" "
"skillxname140"	" "
"skillxsd140"	" "
"skillxld140"	" "
"skillxan140"	" "
"skillxname141"	" "
"skillxsd141"	" "
"skillxld141"	" "
"skillxan141"	" "
"skillxname142"	" "
"skillxsd142"	" "
"skillxld142"	" "
"skillxan142"	" "
"skillxname143"	" "
"skillxsd143"	" "
"skillxld143"	" "
"skillxan143"	" "
"skillxname144"	" "
"skillxsd144"	" "
"skillxld144"	" "
"skillxan144"	" "
"skillxname145"	" "
"skillxsd145"	" "
"skillxld145"	" "
"skillxan145"	" "
"skillxname146"	" "
"skillxsd146"	" "
"skillxld146"	" "
"skillxan146"	" "
"skillxname147"	" "
"skillxsd147"	" "
"skillxld147"	" "
"skillxan147"	" "
"skillxname148"	" "
"skillxsd148"	" "
"skillxld148"	" "
"skillxan148"	" "
"skillxname149"	" "
"skillxsd149"	" "
"skillxld149"	" "
"skillxan149"	" "
"skillxname150"	" "
"skillxsd150"	" "
"skillxld150"	" "
"skillxan150"	" "
"skillxname151"	" "
"skillxsd151"	" "
"skillxld151"	" "
"skillxan151"	" "
"skillxname152"	" "
"skillxsd152"	" "
"skillxld152"	" "
"skillxan152"	" "
"skillxname153"	" "
"skillxsd153"	" "
"skillxld153"	" "
"skillxan153"	" "
"skillxname154"	" "
"skillxsd154"	" "
"skillxld154"	" "
"skillxan154"	" "
"skillxname155"	" "
"skillxsd155"	" "
"skillxld155"	" "
"skillxan155"	" "
"strHostileTimeout"	"Вы должны немного подождать, чтобы объявить о своей неприязни другому игроку."
"ShrId0"	"Нулевой Алтарь"
"ShrId1"	"Пополняющий Алтарь"
"ShrId2"	"Алтарь жизни"
"ShrId3"	"Алтарь маны"
"ShrId4"	"Алтарь обмена здоровьем"
"ShrId5"	"Алтарь обмена маной"
"ShrId6"	"Алтарь брони"
"ShrId7"	"Алтарь боя"
"ShrId8"	"Алтарь сопротивления огню"
"ShrId9"	"Алтарь сопротивления холоду"
"ShrId10"	"Алтарь сопротивления молнии"
"ShrId11"	"Алтарь иммунитета к яду"
"ShrId12"	"Алтарь навыка"
"ShrId13"	"Алтарь восстановления маны"
"ShrId14"	"Алтарь выносливости"
"ShrId15"	"Алтарь опыта"
"ShrId16"	"Алтарь Энира"
"ShrId17"	"Алтарь портала"
"ShrId18"	"Алтарь драгоценностей"
"ShrId19"	"Алтарь огня"
"ShrId20"	"Алтарь монстра"
"ShrId21"	"Взрывающийся алтарь"
"ShrId22"	"Ядовитый алтарь"
"x"	"СОЗДАТЬ"
"CfgSkillPick"	"Быстрый выбор навыка"
"x"	"Проверка пароля"
"MercX101"	"Варайя"
"MercX102"	"Хан"
"MercX103"	"Клиск"
"MercX104"	"Борс"
"MercX105"	"Бром"
"MercX106"	"Виглаф"
"MercX107"	"Хротгар"
"MercX108"	"Скилд"
"MercX109"	"Хелфдан"
"MercX110"	"Хеорогар"
"MercX111"	"Халгонт"
"MercX112"	"Иделак"
"MercX113"	"Эгтоу"
"MercX114"	"Бодан"
"MercX115"	"Вулграф"
"MercX116"	"Хилд"
"MercX117"	"Хитолаф"
"MercX118"	"Видер"
"MercX119"	"Викхиат"
"MercX120"	"Унферт"
"MercX121"	"Сигмунд"
"MercX122"	"Херемод"
"MercX123"	"Хенгест"
"MercX124"	"Фолквальд"
"MercX125"	"Фрисиан"
"MercX126"	"Хнеф"
"MercX127"	"Гутлаф"
"MercX128"	"Ослаф"
"MercX129"	"Урменлаф"
"MercX130"	"Гармунд"
"MercX131"	"Фривару"
"MercX132"	"Идгилс"
"MercX133"	"Онела"
"MercX134"	"Дамиен"
"MercX135"	"Эрфор"
"MercX136"	"Веохстан"
"MercX137"	"Вулф"
"MercX138"	"Булви"
"MercX139"	"Лиф"
"MercX140"	"Магнус"
"MercX141"	"Клату"
"MercX142"	"Друс"
"MercX143"	"Хоку"
"MercX144"	"Корд"
"MercX145"	"Утер"
"MercX146"	"Ип"
"MercX147"	"Улф"
"MercX148"	"Тарр"
"MercX149"	"Каэлим"
"MercX150"	"Улрик"
"MercX151"	"Аларик"
"MercX152"	"Этелред"
"MercX153"	"Каден"
"MercX154"	"Элгифу"
"MercX155"	"Тостиг"
"MercX156"	"Алкуин"
"MercX157"	"Емунд"
"MercX158"	"Сигурд"
"MercX159"	"Горм"
"MercX160"	"Холлис"
"MercX161"	"Рагнар"
"MercX162"	"Торкел"
"MercX163"	"Вулфстан"
"MercX164"	"Албан"
"MercX165"	"Балрок"
"MercX166"	"Билл"
"MercX167"	"Теодорик"
"r16"	"\purple;Руна Ио"
"r16L"	"Ио"
"r13"	"\purple;Руна Шаэл"
"r13L"	"Шаэл"
"r31"	"\purple;Руна Джа"
"r31L"	"Джа"
"DarkStalker"	"Темный Охотник"
"VileArcher"	"Подлый Лучник"
"Runeword22"	"Делирий"
"Whichwild String"	"Witchwild String"
