Id	Height	OverlayHeight	pixHeight	SizeX	SizeY	spawnCol	MeleeRng	BaseW	HitClass	HDv	TRv	LGv	Rav	Lav	RHv	LHv	SHv	S1v	S2v	S3v	S4v	S5v	S6v	S7v	S8v	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	mDT	mNU	mWL	mGH	mA1	mA2	mBL	mSC	mS1	mS2	mS3	mS4	mDD	mKB	mSQ	mRN	dDT	dNU	dWL	dGH	dA1	dA2	dBL	dSC	dS1	dS2	dS3	dS4	dDD	dKB	dSQ	dRN	A1mv	A2mv	SCmv	S1mv	S2mv	S3mv	S4mv	noGfxHitTest	htTop	htLeft	htWidth	htHeight	restore	automapCel	noMap	noOvly	isSel	alSel	noSel	shiftSel	corpseSel	isAtt	revive	critter	small	large	soft	inert	objCol	deadCol	unflatDead	Shadow	noUniqueShift	compositeDeath	localBlood	Bleed	Light	light-r	light-g	light-b	Heart	BodyPart	InfernoLen	InfernoAnim	InfernoRollback	ResurrectMode	ResurrectSkill	EOL
bighead5	3	3	96	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx	xxx	1			NU		0
foulcrow1	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx	xxx	1			NU		0
foulcrow2	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx	xxx	1			NU		0
foulcrow3	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx	xxx	1			NU		0
foulcrow4	2	2	88	2	2		0	hth	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx	xxx	1			NU		0
fallen1	1	1	64	2	2		0	hth	3		lit				ssd,clb,axe		nil,sml,buc,tch	lit,med	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx	xxx	1			S1		0
fallen2	1	1	64	2	2		0	hth	3		lit				ssd,clb,axe		nil,sml,buc,tch	lit,med	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx	xxx	1			S1		0
fallen3	1	1	64	2	2		0	hth	3		lit				ssd,clb,axe		nil,sml,buc,tch	lit,med	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx	xxx	1			S1		0
fallen4	1	1	64	2	2		0	hth	3		lit				ssd,clb,axe		nil,sml,buc,tch	lit,med	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx	xxx	1			S1		0
fallen5	1	1	64	2	2		0	hth	3		lit				ssd,clb,axe		nil,sml,buc,tch	lit,med	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx	xxx	1			S1		0
brute2	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx	xxx	1			NU		0
brute3	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx	xxx	1			NU		0
brute4	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx	xxx	1			NU		0
brute5	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx	xxx	1			NU		0
brute1	3	3	104	3	3		0	hth	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx	xxx	1			NU		0
sandraider1	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx	xxx	1			NU		0
sandraider2	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx	xxx	1			NU		0
sandraider3	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx	xxx	1			NU		0
sandraider4	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx	xxx	1			NU		0
sandraider5	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx	xxx	1			NU		0
gorgon1	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx	xxx	1			NU		0
gorgon2	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx	xxx	1			NU		0
gorgon3	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx	xxx	1			NU		0
gorgon4	3	2	96	3	3		0	hth	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx	xxx	1			NU		0
wraith1	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx	xxx	1			NU		0
wraith2	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx	xxx	1			NU		0
wraith3	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx	xxx	1			NU		0
wraith4	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx	xxx	1			NU		0
wraith5	3	2	96	2	2		0	hth	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx	xxx	1			NU		0
corruptrogue1	3	2	80	2	2		0	1hs	3	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr		nil,buc,lrg,kit	lit,med,hvy	lit,med,hvy	lit,med,hvy						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx	xxx	1			NU		0
corruptrogue2	3	2	80	2	2		0	1hs	3	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr		nil,buc,lrg,kit	lit,med,hvy	lit,med,hvy	lit,med,hvy						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx	xxx	1			NU		0
corruptrogue3	3	2	80	2	2		0	1hs	3	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr		nil,buc,lrg,kit	lit,med,hvy	lit,med,hvy	lit,med,hvy						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx	xxx	1			NU		0
corruptrogue4	3	2	80	2	2		0	1hs	3	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr		nil,buc,lrg,kit	lit,med,hvy	lit,med,hvy	lit,med,hvy						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx	xxx	1			NU		0
corruptrogue5	3	2	80	2	2		0	1hs	3	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr		nil,buc,lrg,kit	lit,med,hvy	lit,med,hvy	lit,med,hvy						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx	xxx	1			NU		0
baboon1	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
baboon2	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
baboon3	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
baboon4	3	3	96	3	3		0	hth	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
baboon5	3	3	96	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
goatman1	3	2	96	2	2		0	2hs	3		lit				btx,hal,lax,mau,scy,whm												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
goatman2	3	2	96	2	2		0	2hs	3		lit				btx,hal,lax,mau,scy,whm												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
goatman3	3	2	96	2	2		0	2hs	3		lit				btx,hal,lax,mau,scy,whm												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
goatman4	3	2	96	2	2		0	2hs	3		lit				btx,hal,lax,mau,scy,whm												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
goatman5	3	2	96	2	2		0	2hs	3		lit				btx,hal,lax,mau,scy,whm												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
fallenshaman1	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx	xxx	1			NU		0
fallenshaman2	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx	xxx	1			NU		0
fallenshaman3	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx	xxx	1			NU		0
fallenshaman4	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx	xxx	1			NU		0
fallenshaman5	1	2	64	2	2		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx	xxx	1			NU		0
quillrat1	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx	xxx	1			NU		0
quillrat2	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx	xxx	1			NU		0
quillrat3	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx	xxx	1			NU		0
quillrat4	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx	xxx	1			NU		0
quillrat5	1	1	48	2	2		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx	xxx	1			NU		0
sandmaggot1	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx	xxx	1			NU		0
sandmaggot2	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx	xxx	1			NU		0
sandmaggot3	1	1	48	3	3		0	hth	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx	xxx	1			NU		0
sandmaggot4	1	1	48	3	3		0	hth	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx	xxx	1			NU		0
sandmaggot5	1	1	48	3	3		0	hth	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx	xxx	1			NU		0
clawviper1	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
clawviper2	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
clawviper3	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
clawviper4	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
clawviper5	3	2	80	3	3		0	hth	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx	xxx	1			NU		0
sandleaper1	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx	xxx	1			NU		0
sandleaper2	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx	xxx	1			NU		0
sandleaper3	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx	xxx	1			NU		0
sandleaper4	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx	xxx	1			NU		0
sandleaper5	3	1	96	2	2		0	hth	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx	xxx	1			NU		0
pantherwoman1	3	2	96	2	2		0	hth	3	lit,bab,fan,pha,pon	lit,med,hvy		lit,med,hvy	lit,med,hvy		whp	buc	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	bld				1	1		1	1		1	1	1	1	1	1	1				11	1	1	1	1	1		1						1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
pantherwoman2	3	2	96	2	2		0	hth	3	lit,bab,fan,pha,pon	lit,med,hvy		lit,med,hvy	lit,med,hvy		whp	buc	lit,med,hvy	lit,med,hvy	lit,med,hvy	lit,med,hvy	bld				1	1		1	1		1	1	1	1	1	1	1				11	1	1	1	1	1		1						1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx	xxx	1			NU		0
