Name	complete	* status	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	Rune Name	server	eol
Gabriel	1		scep									r40						swingcast3		30	30	dmg%		115	143	att-skill	579	20	27	extra-ltng		16	20	dmg-max		51	75	pal		3	5	str-vit-regen		100	100	Gabriel		0
Durga	1		scep									r49						ama		3	4	dmg-minion		100	100	extra-fire		21	25	cast3		40	40	heal-kill		51	100	blood-elem		11	13	howl-thorns		11	15	Durga		0
Galdr	1		scep									r51						oskill	1193	11	19	desc-top	11353	9	9	state	126	1	1	extra-pierce-fico		15	15	pal		3	5	extra-fico		3	13	block		1	1	Galdr		0
Aegina	1	R	aspe									r11						dmg%		30	57	dmg-cold	25	1	25	oskill	571	1	4	manasteal		31	40	wirts		21	25	att-skill	702	5	3					Aegina		0
Sankara	1		aspe									r34						swing3		30	30	dmg%		87	114	dmg-max		26	50	ac-global		31	50	heal-kill		101	150	kill-skill	814	5	9	att-skill	330	5	58	Sankara		0
Rusalka	1	R	aspe									r46						dmg%		172	200	dmg-min		76	125	att-skill	1002	25	32	oskill	1110	1	12	kill-skill	387	30	60	extra-cop		71	100	all-stats		51	100	Rusalka		0
Evanescence	1		aspe									r51						ama		2	4	dmg%		144	171	dmg-max		91	140	swing3		100	100	oskill	464	2	23	red-dmg%		21	25	heal-melee		250	250	Evanescence		0
Scar	1	R	ajav									r16						dmg%		58	86	kill-skill	313	50	32	crush		3	5	dmg-fire		13	38	skill	324	3	4	dex		15	15					Scar		0
Dragonfly	1	R	ajav									r26						dmg%		87	114	oskill	693	1	6	lifesteal		9	12	slow		11	15	swing3		20	20	dmg-fire		38	63	move3		10	10	Dragonfly		0
Trishula	1		ajav									r34						dmg%		87	114	dmg-elem	125	125	250	unity		21	40	oskill	357	6	12	oskill	358	6	12	pierce-fcl		16	25					Trishula		0
Stalactite	1		ajav									r52						wirts		100	100	dmg%		144	171	dmg-cold	50	125	250	kill-skill	708	30	60	reanimate	2343	4	4	abs-cold%		5	5	pierce-cold		25	30	Stalactite		0
Corsair	1	R	abow									r15						oskill	635	1	4	dmg%		30	57	gold%		13	25	mag%		16	20	swing3		20	20	dex%		11	15					Corsair		0
IceBreaker2	1		abow									r29						res-cold		51	70	dmg%		87	114	crush		7	7	dmg-max		26	38	nofreeze		1	1	kill-skill	453	25	46					IceBreaker2		0
Colliding Worlds	1		abow									r43						oskill	384	1	6	dmg%		115	143	dmg-max		38	50	str		41	50	dex		41	50	charged	397	10	5					Colliding Worlds		0
Manta	1	R	abow									r51						dmg-max		91	115	desc-bottom	11301	8	8	dmg%		172	200	reanimate	2336	4	4	lifesteal		16	21	swing3		60	60	kill-skill	999	5	18	Manta		0
Shedim	1	R	h2h									r02						att%		25	25	dmg%		24	46	pierce-pois		6	8	dmg-pois	25	128	256	res-pois-len		11	20	mana-kill		11	15	dmg-undead		50	50	Shedim		0
Fiend	1	R	h2h									r17						att-skill	699	20	6	dmg%		58	86	dmg-fire		50	63	swing3		25	25	mag%		11	20	oskill	833	1	7	oskill	824	1	7	Fiend		0
Frequency	1	R	h2h									r27						dex%		5	5	dmg%		87	114	att-skill	579	10	20	res-ltng		31	60	hit-skill	540	13	7	dmg-stun		125	125	dmg-ltng		1	250	Frequency		0
Choronzon	1		h2h									r34						dmg%		115	143	att-skill	459	20	24	pierce-cold		16	25	dmg-minion		21	40	gold%		30	30	hp-mana		333	333					Choronzon		0
Anarchy	1	Y	h2h									r46						cast3		30	30	extra-fire		16	25	extra-ltng		16	25	ass		2	4	mana-kill		51	60	hp%-mp%		15	15					Anarchy		0
Hail	1	Y	h2h									r48						dmg%		144	171	kill-skill	595	20	29	dmg-max		76	100	swing3		40	40	dmg-cold	25	125	375	ass		2	2					Hail		0
Nahemah	1		h2h									r52						reanimate	2337	10	10	dmg%		172	200	oskill	569	16	19	oskill	469	16	19	dmg-max		101	125	dmg-cold	50	250	500					Nahemah		0
Khattak	1	R	nagi									r08						extra-ltng		3	3	dmg%		35	46	swing3		20	20	uninterrupt		11	20	dmg-max		30	30	balance3		40	40					Khattak		0
Hieros Gamos	1		nagi									r46						dex%		21	25	oskill	323	1	6	vit%		21	25	dmg%		144	171	swing3		40	40	oskill	76	1	9	kill-skill	450	2	11	Hieros Gamos		0
Lataif-as-Sitta	1		nagi									r52						dmg%		172	200	dmg-max		101	150	swing3		50	50	ass		6	6	oskill	447	11	16	dmg-demon		200	200	oskill	455	11	16	Lataif-as-Sitta		0
Ram	1	R	bswd	baxe								r10						dmg%		30	57	oskill	643	1	4	str%		11	15	bar		1	1	str		16	20	dmg-stun		25	25					Ram		0
Essus	1	R	bswd	baxe								r22						dmg%		30	57	dmg-max		6	10	oskill	688	1	9	stupidity		2	4	hp%		11	15									Essus		0
Thunderbird	1	R	bswd	baxe								r32						att-skill	807	25	17	dmg%		87	114	att-skill	680	5	26	extra-ltng		16	20	pierce-ltng		6	10	ease		-10	-10	res-ltng		50	50	Thunderbird		0
Savitr	1		bswd	baxe								r37						dmg%		115	143	light		4	4	att-skill	779	5	14	att-skill	515	5	40	crush		3	5	bar		2	4					Savitr		0
Khan	1		bswd	baxe								r43						dmg%		115	143	dmg/lvl	24	24	24	dmg-minion		41	50	maxspirits		1	1	ac-global		31	50	all-stats%		20	20					Khan		0
Lahmu	1		bswd	baxe								r49						pierce-pois		21	25	dmg%		144	171	dmg-max		76	100	indestruct		1	1	life-manasteal		14	18	str		100	100	vit		100	100	Lahmu		0
Kahless	1		bswd	baxe								r51						dmg%		172	200	dmg-max		116	140	att-skill	518	25	56	extra-fire		11	20	dmg-fire		400	550	swing3		60	60	reanimate	1863	1	1	Kahless		0
Peacock	1	R	dbow									r13						dmg%		30	57	dmg-elem	50	7	13	res-courage		25	25	slow		10	10													Peacock		0
Lynx	1	R	dbow									r27						dmg%		87	114	kill-skill	510	2	8	swing3		20	20	dmg-max		26	32	str%		25	25	dex%		25	25					Lynx		0
Sylvanshine	1		dbow									r33						dmg%		144	171	dmg-max		101	125	dex		50	50	manasteal		21	25	kill-skill	701	15	40	dmg-cold	125	125	250					Sylvanshine		0
Cernunnos	1		dbow									r44						dmg-minion		31	40	dmg%		144	171	reanimate	2332	3	5	dmg-max		76	100	hit-skill	492	13	5	heal-kill		51	75	ac-hth		205	205	Cernunnos		0
Raudna	1		dbow									r51						dmg%		172	200	dmg-max		66	90	hit-skill	492	13	7	kill-skill	707	33	60	dru		3	5	crush		13	13	ease		-20	-20	Raudna		0
Ocean	1	R	dstf									r05						gethit-skill	702	10	4	dru		1	1	extra-cold		6	8	regen-mana		31	50	mag%		6	6	all-stats		6	10					Ocean		0
Samhain	1	R	dstf									r12						extra-pois		8	10	extra-fire		8	10	dru		2	2	heal-kill		11	20	cast3		40	40	regen		21	25					Samhain		0
Augur	1	R	dstf									r20						addxp		1	1	oskill	569	1	7	oskill	570	1	7	dru		2	4	all-stats%		16	20	mag%		16	25	ac/lvl	320	320	320	Augur		0
Lincos	1		dstf									r29						enr%		21	30	dru		3	6	oskill	473	21	24	pierce-fcp		10	10	regen-mana		21	40	res-all-max		2	2					Lincos		0
Laadan	1		dstf									r37						cast3		85	85	dru		4	7	oskill	474	24	29	mana		500	500	slow-thorns		16	20	cd-reduce	474	150	150	ease		-10	-10	Laadan		0
Lojban	1		dstf									r45						res-all		26	35	dru		6	8	dmg-minion		51	60	extra-pois		41	50	pierce-pois		6	10	att%-minion		21	50	oskill	469	9	14	Lojban		0
Loxian	1		dstf									r52						enr-factor		136	185	red-dmg%		11	15	dru		8	10	extra-all		41	50	ac-global		51	75	cast3		20	20					Loxian		0
Black Cat	1	R	nscy									r02						att%		75	75	hp		7	7	dmg%		30	57	mag%		-7	-7	att-skill	530	10	2	kill-skill	553	25	40	crush		3	5	Black Cat		0
Mantra	1	R	nscy									r13						dex		15	15	str		15	15	dmg%		30	57	dmg-pois	25	256	512	pierce-pois		16	20	res-pois-len		31	40	dmg-stun		50	50	Mantra		0
Chthon	1		nscy									r29						kill-skill	612	25	3	dmg-global		100	100	kill-skill	500	13	10	dmg%		87	114	dmg-max		50	50									Chthon		0
Inti	1	R	nscy									r41						res-all-minion		10	10	oskill	335	25	27	oskill	322	25	27	swing3		70	70	allskills		2	4	dmg-fire		188	375	dmg%		115	143	Inti		0
Leviathan	1		nscy									r51						dmg-max		91	115	dmg%		172	200	slow		21	25	oskill	670	8	27	red-dmg%		11	15	str%		31	50	dex%		31	50	Leviathan		0
Loa	1	R	nknf									r05						dmg%		30	57	manasteal		21	40	reanimate	2288	2	3	light		1	1	dmg-max		5	5									Loa		0
Jinx	1	R	nknf									r13						dmg%		30	57	dex		20	20	addxp		1	2	hit-skill	346	25	5													Jinx		0
Misery	1	R	nknf									r23						dmg%		58	86	heal-hit		11	15	slow		11	15	oskill	331	1	6	dmg-pois	25	640	1280	nec		1	2	hp		250	250	Misery		0
Seid	1		nknf									r36						dmg%		144	171	nec		1	2	oskill	96	1	4	blood-elem		6	8	swing3		20	20	mana%		21	25					Seid		0
Roc	1		nknf									r51						dmg-max		66	90	dmg%		172	200	oskill	353	3	12	dex%		31	40	str%		21	25	howl		32	32	reanimate	725	5	10	Roc		0
Deep Water	1	R	nstf									r06						nec		1	1	extra-all		6	10	res-all		11	15	oskill	706	1	4													Deep Water		0
Ladon	1		nstf									r25						res-fire		31	50	nec		3	5	oskill	564	1	12	extra-fire		16	20	oskill	453	1	12	red-dmg		11	15					Ladon		0
Hali	1		nstf									r38						att%-minion		1	50	oskill	1022	1	14	dmg-minion		31	50	nec		4	6	res-all		31	50	hp		-100	-100	maxminions		1	1	Hali		0
Dagda	1	R	nstf									r49						nec		5	7	oskill	363	4	19	oskill	363	4	19	all-stats		21	40	cast3		15	15	hp%-mp%		15	15	gold%		19	19	Dagda		0
Santa Compana	1		nstf									r52						castgethit3		50	50	oskill	445	1	3	oskill	1002	22	24	maxminions		1	1	ac-global		41	50	hp-minion		51	60	nec		8	10	Santa Compana		0
Koan	1	R	wand									r09						regen-mana		31	40	gold%		-3	-3	nec		1	1	avoidance		10	10													Koan		0
Ghoul	1	R	wand									r20						addxp		1	1	maxminions		1	1	extra-cold		11	13	nec		1	2	oskill	567	1	5									Ghoul		0
Dead Ringer	1		wand									r39						hp-minion		1	10	state	157	1	1	desc-druid		1	1	oskill	396	9	12	oskill	67	4	6	allskills		1	2	hp%		11	20	Dead Ringer		0
Ngozi	1		wand									r41						oskill	22	17	26	oskill	118	8	9	extra-all		16	20	cast3		10	10	oskill	388	17	26	howl-thorns		11	15					Ngozi		0
Semhazai	1		wand									r51						enr-factor		26	45	maxminions		1	1	hp-minion		-25	-25	nec		2	4	oskill	459	6	19	cast3		15	15	oskill	562	8	22	Semhazai		0
Genie	1	R	nxbw									r08						oskill	521	1	1	dmg%		30	57	slow		11	15	hit-skill	1002	5	7	nec		1	1	reanimate	915	3	5					Genie		0
Atlantis	1	R	nxbw									r19						dex		30	30	kill-skill	473	15	10	str		20	20	dmg%		58	86	mana%		21	25	dmg-global		11	15	gold%		13	19	Atlantis		0
Aether	1	R	nxbw									r31						dmg%		72	100	manasteal		11	14	avoidance		10	10	ignore-ac		1	1	str%		21	25	kill-skill	563	20	17					Aether		0
Crucible	1		nxbw									r46						dmg%		115	143	kill-skill	389	15	42	dmg-fire		125	375	dmg-undead		150	150	charged	766	20	25	res-fire		31	60	gethit-skill	564	4	19	Crucible		0
Kronos	1	Y	nxbw									r51						dmg%		172	200	kill-skill	542	100	17	kill-skill	683	25	15	dmg-max		128	165	str%		31	40	crush-vit%		11	13	oskill	758	1	1	Kronos		0
Jihad	1	R	pclb	pmac	pham							r05						dmg-max		1	3	dmg%		24	46	uninterrupt		11	20	dmg-demon		200	200	kill-skill	37	10	15	pal		1	1	swing3		15	15	Jihad		0
Intifada	1	R	pclb	pmac	pham							r15						dmg%		87	114	att-skill	595	13	8	no-ac		-100	-100	crush		6	10	dmg-minion		31	50	hp-minion		-21	-25					Intifada		0
Lammasu	1	R	pclb	pmac	pham							r25						res-cold		1	10	dmg-stun		125	125	extra-all		11	15	slow		25	25	swing3		40	40	pal		1	2	res-all-minion		25	25	Lammasu		0
Brahman	1	R	pclb	pmac	pham							r39						dmg%		144	171	lh-stupidity		2	4	oskill	370	1	4	dmg-max		51	88	ac		1000	1000	balance3		100	100	oskill	359	1	6	Brahman		0
Oriflamme	1		pclb	pmac	pham							r51						dmg-max		91	140	dmg%		172	200	str/bl	640	640	640	dex/bl	640	640	640	oskill	637	25	27	extra-fire		31	40	swing3		50	50	Oriflamme		0
Ensi	1	R	pspe									r12						dmg%		58	86	att-skill	699	15	4	swing3		40	40	dmg-fire		7	19	stupidity		2	3									Ensi		0
Nehushtan	1	R	pspe									r27						vit%		-15	-15	dmg%		115	143	dmg-pois	25	512	1536	pierce-pois		11	13	swing3		-10	-10	att-skill	81	25	16	light		-2	-2	Nehushtan		0
Taqiyya	1	R	pspe									r40						balance3		60	60	dmg%		144	171	dmg-norm		38	88	uninterrupt		50	50	swingcast3		50	50	att-skill	75	25	42	att-skill	79	25	42	Taqiyya		0
Orisha	1		pspe									r48						oskill	58	3	15	extra-fire		21	30	extra-cold		21	30	pal		3	5	swing3		60	60	enr-factor		31	50	mana%		50	50	Orisha		0
Rex Deus	1		pspe									r52						dmg%		172	200	heal-thorns		51	100	dmg-max		76	100	dmg-demon		500	500	heal-kill		101	150	all-stats		50	50					Rex Deus		0
Circe	1	R	orb									r11						enr%		11	15	oskill	96	1	1	pagan2		1	1	extra-pois		6	8	extra-ltng		6	8									Circe		0
Ker	1	R	orb									r20						addxp		1	1	oskill	1109	1	4	oskill	57	1	4	extra-cold		11	13	extra-pois		11	13	mana%		21	30					Ker		0
Kabbalah	1	Y	orb									r36						enr%		20	20	sor		3	3	oskill	1365	6	16	extra-fire		16	20	block		1	1	addxp		2	4					Kabbalah		0
Hestia	1		orb									r50						oskill	388	1	3	sor		3	4	extra-fire/lvl	12	12	12	res-fire		100	100	mag%		11	20	abs-fire%		5	5	nofreeze		1	1	Hestia		0
Kallisti	1		orb									r51						howl-thorns		11	15	oskill	397	1	6	extra-pois		21	25	sor		4	5	cast3		40	40	all-thorns	75	500	500	pierce-pois		7	9	Kallisti		0
Inanna	1	R	scrd									r12						dmg%		24	46	res-all		21	25	slow		25	25	uninterrupt		11	20	heal-melee		41	50									Inanna		0
Grace	1		scrd									r36						dmg%		115	143	block3		30	30	swing3		45	45	avoidance		10	10	dmg-min		13	25	sor		1	2	unity		21	40	Grace		0
Khany	1	R	scrd									r50						dmg%		115	143	dmg/lvl	16	16	16	att-skill	347	5	29	extra-all		16	20	dmg-ltng		1	750	sor		1	2	swingcast3		50	50	Khany		0
Shaula	1		scrd									r52						enr-factor		35	35	att-skill	473	15	29	dmg-norm		38	63	mana%		50	50	slow		33	33	dmg%		144	171	reanimate	1561	5	10	Shaula		0
Rebel	1	Y	tors									r01						res-all		16	20	ac%		12	23	dmg-global		6	10	str		20	20	dex		20	20	vit		-10	-10	enr		-10	-10	Rebel		0
LumenArcana	1	Y	tors									r06						ac%		18	35	light		2	2	allskills		1	1	pierce-fire		3	8	pierce-cold		3	8	pierce-ltng		3	8	pierce-pois		3	8	Lumen Arcana		0
Celebration	1		tors									r13						all-stats		11	20	mag%		16	25	att-skill	825	10	11	light		2	2	extra-all		6	8	att%		50	50					Celebration		0
Thelema	1		tors									r19						vit		50	50	mana-thorns		41	50	ac%		30	57	allskills		1	1	cast3		25	25	att%-minion		61	100	dmg-minion		41	60	Thelema		0
Cathedral	1		tors									r25						extra-pois		16	20	ac%		87	114	poison-dur		51	75	ac		1311	1311	charged	398	50	20	regen/lvl	32	32	32					Cathedral		0
Mirage	1	R	tors									r33						slow-thorns		11	15	red-dmg		31	40	move3		5	5	swingcast3		30	30	allskills		1	1	res-all		51	60	fade		1	1	Mirage		0
Dragonheart	1	Y	tors									r41						allskills		2	2	swing3		50	50	ac%/lvl	52	52	52	hp		500	500													Dragonheart		0
Erawan	1	Y	tors									r48						ac%		144	171	red-dmg%		11	15	ac-global		11	20	crush		5	5	str%		25	25	vit%		25	25					Erawan		0
Unity	1		tors									r52						enr-factor		20	20	unity		75	75	balance		50	50	dex		-25	-25	allskills		1	1	res-all		51	60	ac%		144	171	Unity		0
Summit	1	R	helm									r01						gold%		19	25	ease		-15	-15	cheap		5	5																	Summit		0
Cannonball	1	Y	helm									r08						extra-fire		1	3	move3		5	8	stam		10	10	crush		3	3	att-skill	496	1	6	charged	564	5	5					Cannonball		0
Ra	1	R	helm									r17						allskills		1	1	gold%		7	13	howl-thorns		11	15	pierce-fire		6	10	pierce-pois		6	10	cast3		25	25					Ra		0
Alchemy	1	R	helm									r26						regen		21	25	hp-minion		21	30	regen		21	25	ac%		58	86	block3		25	25	swing3		25	25					Alchemy		0
Dreadlord	1		helm									r35						att%-minion		41	50	dmg-minion		41	50	oskill	694	1	6	nec		0	1	crush		3	3	ac%		115	143	att-skill	443	25	22	Dreadlord		0
Cauldron	1	Y	helm									r44						att-skill	468	20	11	allskills		1	1	dmg-pois	25	612	1832	ac%		115	143													Cauldron		0
Eidolon	1	Y	helm									r51						dmg-max		20	20	ac%		144	171	allskills		1	2	ac-global		21	30	light		4	4	res-all		31	40	all-stats%		20	20	Eidolon		0
Sphinx	1	R	circ									r11						thorns%		25	25	ac		101	150	all-stats		11	15	ama		1	1	light		4	4	gold%		13	16					Sphinx		0
Lily	1	R	circ									r31						ac%		4	15	regen		21	30	heal-kill		11	20	charged	397	20	5	vit%		11	15	allskills		1	2	heal-hit		1	1	Lily		0
Eulenspiegel	1	R	circ									r38						cast3		20	20	gethit-skill	54	1	1	enr-factor		31	50	allskills		2	2	enr%		21	25	dex%		21	25					Eulenspiegel		0
Wintermute	1		circ									r53						ease		-28	-28	ac-global		21	30	allskills		2	2	extra-all		16	20	mana		750	750	oskill	706	1	9	res-all		31	40	Wintermute		0
Geas	1	R	shld									r04						poison-dur		21	25	uninterrupt		11	15	ac%		12	23	res-all		15	15	res-pois		-90	-90									Geas		0
Pharaoh	1	R	shld									r12						extra-pois		3	5	allskills		1	1	str		11	15	vit		11	15	ease		-10	-10									Pharaoh		0
Nomad	1	R	shld									r20						addxp		2	3	gold%		13	19	ac%		58	86	ac		163	163	att-skill	469	5	44	block3		40	40	stam		10		Nomad		0
Goddess	1	Y	shld									r30						uninterrupt		45	45	nofreeze		1	1	ac		-150	-150	allskills		2	2	ease		-10	-10									Goddess		0
Kodo	1		shld									r40						kill-skill	600	5	8	blood-phys		11	15	str%		11	20	ac%		115	143	vit%		11	20	crush		5	5					Kodo		0
WallOfFire	1	Y	shld									r50						ac-global		11	20	ac%		144	171	vit%		31	40	block3		40	40	fire-thorns		500	500	str%		31	40	allskills		1	1	WallOfFire		0
Avatar	1	Y	shld									r53						ease		45	45	ac%		172	200	castgethit3		45	45	mag%		16	25	allskills		1	1	pierce-fcl		25	30					Avatar		0
Iblis	1	R	glov									r04						poison-dur		1	3	abs-fire%		2	2	extra-fire		8	10	enr%		10	10	light		5	5									Iblis		0
Mercy	1	R	glov									r13						str		1	10	att-skill	553	5	14	vit%		11	15	ac		26	26	dmg-max		6	8									Mercy		0
Kali	1	Y	glov									r21						res-fire		1	1	kill-skill	518	15	13	allskills		2	2	ac		-214	-214	res-fire-max		4	4									Kali		0
