Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	* THM	* THM (N)	* THM (H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
14	67	92	1200	67	92	1200	101	771	11500	101	771	11500	202	1542	23000	538	826	50000	538	826	50000	30	43	515	30	43	515	124	213	500	124	213	500
15	72	98	1200	72	98	1200	107	817	11500	107	817	11500	214	1634	23000	580	931	50000	580	931	50000	32	44	515	32	44	515	125	215	500	125	215	500
16	77	105	1200	77	105	1200	112	858	11500	112	858	11500	224	1716	23000	620	1038	50000	620	1038	50000	34	47	515	34	47	515	126	218	500	126	218	500
17	82	111	1200	82	111	1200	118	902	11500	118	902	11500	236	1804	23000	656	1151	50000	656	1151	50000	38	52	515	38	52	515	128	220	500	128	220	500
18	87	117	1200	87	117	1200	124	946	11500	124	946	11500	248	1892	23000	694	1272	50000	694	1272	50000	39	54	515	39	54	515	129	221	500	129	221	500
19	92	123	1200	92	123	1200	130	988	11500	130	988	11500	260	1976	23000	729	1401	50000	729	1401	50000	42	57	515	42	57	515	130	225	500	130	225	500
20	97	130	1200	97	130	1200	135	1029	11500	135	1029	11500	270	2058	23000	763	1538	50000	763	1538	50000	44	60	515	44	60	515	132	226	500	132	226	500
21	102	136	1200	102	136	1200	141	1071	11500	141	1071	11500	282	2142	23000	833	1678	50000	833	1678	50000	46	63	515	46	63	515	133	227	500	133	227	500
22	107	142	1200	107	142	1200	146	1116	11500	146	1116	11500	292	2232	23000	907	1826	50000	907	1826	50000	50	67	515	50	67	515	134	231	500	134	231	500
23	112	148	1200	112	148	1200	152	1158	11500	152	1158	11500	304	2316	23000	986	1985	50000	986	1985	50000	52	70	515	52	70	515	136	232	500	136	232	500
24	117	155	1200	117	155	1200	158	1200	11500	158	1200	11500	316	2400	23000	1067	2146	50000	1067	2146	50000	56	75	515	56	75	515	137	233	500	137	233	500
25	122	161	1200	122	161	1200	163	1241	11500	163	1241	11500	326	2482	23000	1150	2312	50000	1150	2312	50000	57	76	515	57	76	515	138	237	500	138	237	500
26	127	167	1200	127	167	1200	169	1287	11500	169	1287	11500	338	2574	23000	1238	2487	50000	1238	2487	50000	59	79	515	59	79	515	140	238	500	140	238	500
27	132	173	1200	132	173	1200	174	1328	11500	174	1328	11500	348	2656	23000	1330	2672	50000	1330	2672	50000	63	84	515	63	84	515	141	240	500	141	240	500
28	137	180	1200	137	180	1200	180	1370	11500	180	1370	11500	360	2740	23000	1424	2860	50000	1424	2860	50000	65	86	515	65	86	515	142	243	500	142	243	500
29	142	186	1200	142	186	1200	186	1414	11500	186	1414	11500	372	2828	23000	1521	3053	50000	1521	3053	50000	69	92	515	69	92	515	144	245	500	144	245	500
30	147	192	1200	147	192	1200	191	1457	11500	191	1457	11500	382	2914	23000	1622	3255	50000	1622	3255	50000	71	94	515	71	94	515	145	246	500	145	246	500
31	152	198	1200	152	198	1200	197	1503	11500	197	1503	11500	394	3006	23000	1728	3467	50000	1728	3467	50000	73	96	515	73	96	515	146	250	500	146	250	500
32	157	205	1200	157	205	1200	202	1544	11500	202	1544	11500	404	3088	23000	1836	3685	50000	1836	3685	50000	76	101	515	76	101	515	148	251	500	148	251	500
33	162	211	1200	162	211	1200	208	1586	11500	208	1586	11500	416	3172	23000	1946	3905	50000	1946	3905	50000	79	105	515	79	105	515	149	252	500	149	252	500
34	167	217	1200	167	217	1200	214	1630	11500	214	1630	11500	428	3260	23000	2061	4133	50000	2061	4133	50000	82	108	515	82	108	515	150	256	500	150	256	500
35	172	223	1200	172	223	1200	220	1672	11500	220	1672	11500	440	3344	23000	2180	4372	50000	2180	4372	50000	84	111	515	84	111	515	152	257	500	152	257	500
36	177	230	1200	177	230	1200	225	1715	11500	225	1715	11500	450	3430	23000	2302	4615	50000	2302	4615	50000	88	116	515	88	116	515	153	258	500	153	258	500
37	182	236	1200	182	236	1200	231	1757	11500	231	1757	11500	462	3514	23000	2426	4865	50000	2426	4865	50000	91	119	515	91	119	515	154	262	500	154	262	500
38	187	242	1200	187	242	1200	236	1802	11500	236	1802	11500	472	3604	23000	2554	5120	50000	2554	5120	50000	95	124	515	95	124	515	156	263	500	156	263	500
39	192	248	1200	192	248	1200	242	1844	11500	242	1844	11500	484	3688	23000	2687	5386	50000	2687	5386	50000	97	127	515	97	127	515	157	265	500	157	265	500
40	197	255	1200	197	255	1200	248	1884	11500	248	1884	11500	496	3768	23000	2822	5655	50000	2822	5655	50000	99	130	515	99	130	515	158	268	500	158	268	500
41	202	261	1200	202	261	1200	253	1927	11500	253	1927	11500	506	3854	23000	2959	5931	50000	2959	5931	50000	104	136	515	104	136	515	160	270	500	160	270	500
42	207	267	1200	207	267	1200	259	1971	11500	259	1971	11500	518	3942	23000	3101	6213	50000	3101	6213	50000	106	138	515	106	138	515	161	271	500	161	271	500
43	212	273	1200	212	273	1200	264	2014	11500	264	2014	11500	528	4028	23000	3247	6506	50000	3247	6506	50000	109	143	515	109	143	515	162	275	500	162	275	500
44	217	280	1200	217	280	1200	270	2054	11500	270	2054	11500	540	4108	23000	3395	6801	50000	3395	6801	50000	112	146	515	112	146	515	164	276	500	164	276	500
45	222	286	1200	222	286	1200	276	2100	11500	276	2100	11500	552	4200	23000	3546	7105	50000	3546	7105	50000	116	151	515	116	151	515	165	277	500	165	277	500
46	227	292	1200	227	292	1200	281	2141	11500	281	2141	11500	562	4282	23000	3701	7413	50000	3701	7413	50000	120	156	515	120	156	515	166	281	500	166	281	500
47	232	298	1200	232	298	1200	287	2187	11500	287	2187	11500	574	4374	23000	3861	7733	50000	3861	7733	50000	121	158	515	121	158	515	168	282	500	168	282	500
48	237	305	1200	237	305	1200	292	2228	11500	292	2228	11500	584	4456	23000	4023	8058	50000	4023	8058	50000	124	162	515	124	162	515	169	283	500	169	283	500
49	242	311	1200	242	311	1200	298	2272	11500	298	2272	11500	596	4544	23000	4187	8386	50000	4187	8386	50000	129	168	515	129	168	515	170	287	500	170	287	500
50	247	317	1200	247	317	1200	304	2316	11500	304	2316	11500	608	4632	23000	4356	8725	50000	4356	8725	50000	132	172	515	132	172	515	172	288	500	172	288	500
51	252	323	1200	252	323	1200	310	2358	11500	310	2358	11500	620	4716	23000	4529	9071	50000	4529	9071	50000	135	175	515	135	175	515	173	290	500	173	290	500
52	257	330	1200	257	330	1200	315	2399	11500	315	2399	11500	630	4798	23000	4705	9421	50000	4705	9421	50000	138	179	515	138	179	515	174	293	500	174	293	500
53	262	336	1200	262	336	1200	321	2441	11500	321	2441	11500	642	4882	23000	4883	9778	50000	4883	9778	50000	142	184	515	142	184	515	176	295	500	176	295	500
54	267	342	1200	267	342	1200	326	2486	11500	326	2486	11500	652	4972	23000	5065	10141	50000	5065	10141	50000	146	189	515	146	189	515	177	296	500	177	296	500
55	272	348	1200	272	348	1200	332	2528	11500	332	2528	11500	664	5056	23000	5252	10515	50000	5252	10515	50000	150	194	515	150	194	515	178	300	500	178	300	500
56	277	355	1200	277	355	1200	338	2570	11500	338	2570	11500	676	5140	23000	5441	10893	50000	5441	10893	50000	153	198	515	153	198	515	180	301	500	180	301	500
57	282	361	1200	282	361	1200	343	2611	11500	343	2611	11500	686	5222	23000	5632	11275	50000	5632	11275	50000	156	202	515	156	202	515	181	302	500	181	302	500
58	287	367	1200	287	367	1200	349	2657	11500	349	2657	11500	698	5314	23000	5828	11667	50000	5828	11667	50000	160	207	515	160	207	515	182	306	500	182	306	500
59	292	373	1200	292	373	1200	354	2698	11500	354	2698	11500	708	5396	23000	6028	12067	50000	6028	12067	50000	164	212	515	164	212	515	184	307	500	184	307	500
60	297	380	1200	297	380	1200	360	2740	11500	360	2740	11500	720	5480	23000	6230	12472	50000	6230	12472	50000	167	216	515	167	216	515	185	308	500	185	308	500
61	302	386	1200	302	386	1200	366	2784	11500	366	2784	11500	732	5568	23000	6435	12881	50000	6435	12881	50000	172	222	515	172	222	515	186	312	500	186	312	500
62	307	392	1200	307	392	1200	371	2827	11500	371	2827	11500	742	5654	23000	6644	13300	50000	6644	13300	50000	176	227	515	176	227	515	188	313	500	188	313	500
63	312	398	1200	312	398	1200	377	2873	11500	377	2873	11500	754	5746	23000	6858	13727	50000	6858	13727	50000	179	231	515	179	231	515	189	315	500	189	315	500
64	317	405	1200	317	405	1200	382	2914	11500	382	2914	11500	764	5828	23000	7074	14160	50000	7074	14160	50000	183	237	515	183	237	515	190	318	500	190	318	500
65	322	411	1200	322	411	1200	388	2956	11500	388	2956	11500	776	5912	23000	7292	14595	50000	7292	14595	50000	187	242	515	187	242	515	192	320	500	192	320	500
66	327	417	1200	327	417	1200	394	3000	11500	394	3000	11500	788	6000	23000	7515	15041	50000	7515	15041	50000	191	247	515	191	247	515	193	321	500	193	321	500
67	332	423	1200	332	423	1200	400	3042	11500	400	3042	11500	800	6084	23000	7742	15495	50000	7742	15495	50000	194	250	515	194	250	515	194	325	500	194	325	500
68	337	430	1200	337	430	1200	405	3085	11500	405	3085	11500	810	6170	23000	7972	15955	50000	7972	15955	50000	198	256	515	198	256	515	196	326	500	196	326	500
69	342	436	1200	342	436	1200	411	3127	11500	411	3127	11500	822	6254	23000	8204	16420	50000	8204	16420	50000	203	262	515	203	262	515	197	327	500	197	327	500
70	347	442	1200	347	442	1200	416	3172	11500	416	3172	11500	832	6344	23000	8440	16892	50000	8440	16892	50000	206	266	515	206	266	515	198	331	500	198	331	500
71	352	448	1200	352	448	1200	422	3214	11500	422	3214	11500	844	6428	23000	8681	17373	50000	8681	17373	50000	211	272	515	211	272	515	200	332	500	200	332	500
72	357	455	1200	357	455	1200	428	3254	11500	428	3254	11500	856	6508	23000	8924	17860	50000	8924	17860	50000	214	276	515	214	276	515	201	333	500	201	333	500
73	362	461	1200	362	461	1200	433	3297	11500	433	3297	11500	866	6594	23000	9169	18351	50000	9169	18351	50000	218	281	515	218	281	515	202	337	500	202	337	500
74	367	467	1200	367	467	1200	439	3341	11500	439	3341	11500	878	6682	23000	9419	18851	50000	9419	18851	50000	222	286	515	222	286	515	204	338	500	204	338	500
75	372	473	1200	372	473	1200	444	3384	11500	444	3384	11500	888	6768	23000	9673	19358	50000	9673	19358	50000	227	292	515	227	292	515	205	340	500	205	340	500
76	377	480	1200	377	480	1200	450	3424	11500	450	3424	11500	900	6848	23000	9929	19871	50000	9929	19871	50000	231	298	515	231	298	515	206	343	500	206	343	500
77	382	486	1200	382	486	1200	456	3470	11500	456	3470	11500	912	6940	23000	10188	20387	50000	10188	20387	50000	236	304	515	236	304	515	208	345	500	208	345	500
78	387	492	1200	387	492	1200	461	3511	11500	461	3511	11500	922	7022	23000	10451	20913	50000	10451	20913	50000	239	308	515	239	308	515	209	346	500	209	346	500
79	392	498	1200	392	498	1200	467	3557	11500	467	3557	11500	934	7114	23000	10719	21451	50000	10719	21451	50000	243	313	515	243	313	515	210	350	500	210	350	500
80	397	505	1200	397	505	1200	472	3598	11500	472	3598	11500	944	7196	23000	10989	21991	50000	10989	21991	50000	247	318	515	247	318	515	212	351	500	212	351	500
81	402	511	1200	402	511	1200	478	3642	11500	478	3642	11500	956	7284	23000	11261	22533	50000	11261	22533	50000	252	324	515	252	324	515	213	352	500	213	352	500
82	407	517	1200	407	517	1200	484	3686	11500	484	3686	11500	968	7372	23000	11538	23087	50000	11538	23087	50000	255	328	515	255	328	515	214	356	500	214	356	500
83	412	523	1200	412	523	1200	490	3728	11500	490	3728	11500	980	7456	23000	11819	23651	50000	11819	23651	50000	260	334	515	260	334	515	216	357	500	216	357	500
84	417	530	1200	417	530	1200	495	3769	11500	495	3769	11500	990	7538	23000	12103	24218	50000	12103	24218	50000	265	340	515	265	340	515	217	358	500	217	358	500
85	422	536	1200	422	536	1200	501	3811	11500	501	3811	11500	1002	7622	23000	12389	24791	50000	12389	24791	50000	269	345	515	269	345	515	218	362	500	218	362	500
86	427	542	1200	427	542	1200	506	3856	11500	506	3856	11500	1012	7712	23000	12679	25371	50000	12679	25371	50000	273	350	515	273	350	515	220	363	500	220	363	500
87	432	548	1200	432	548	1200	512	3898	11500	512	3898	11500	1024	7796	23000	12974	25960	50000	12974	25960	50000	277	356	515	277	356	515	221	365	500	221	365	500
88	437	555	1200	437	555	1200	518	3940	11500	518	3940	11500	1036	7880	23000	13271	26553	50000	13271	26553	50000	280	359	515	280	359	515	222	368	500	222	368	500
89	442	561	1200	442	561	1200	523	3981	11500	523	3981	11500	1046	7962	23000	13570	27152	50000	13570	27152	50000	285	366	515	285	366	515	224	370	500	224	370	500
90	447	567	1200	447	567	1200	529	4027	11500	529	4027	11500	1058	8054	23000	13874	27760	50000	13874	27760	50000	288	370	515	288	370	515	225	371	500	225	371	500
91	452	573	1200	452	573	1200	534	4068	11500	534	4068	11500	1068	8136	23000	14182	28375	50000	14182	28375	50000	292	375	515	292	375	515	226	375	500	226	375	500
92	457	580	1200	457	580	1200	540	4110	11500	540	4110	11500	1080	8220	23000	14492	28995	50000	14492	28995	50000	298	382	515	298	382	515	228	376	500	228	376	500
93	462	586	1200	462	586	1200	546	4154	11500	546	4154	11500	1092	8308	23000	14805	29621	50000	14805	29621	50000	302	388	515	302	388	515	229	377	500	229	377	500
94	467	592	1200	467	592	1200	551	4197	11500	551	4197	11500	1102	8394	23000	15122	30255	50000	15122	30255	50000	305	391	515	305	391	515	230	381	500	230	381	500
95	472	598	1200	472	598	1200	557	4243	11500	557	4243	11500	1114	8486	23000	15444	30900	50000	15444	30900	50000	310	398	515	310	398	515	232	382	500	232	382	500
96	477	605	1200	477	605	1200	562	4284	11500	562	4284	11500	1124	8568	23000	15768	31547	50000	15768	31547	50000	314	402	515	314	402	515	233	383	500	233	383	500
97	482	611	1200	482	611	1200	568	4326	11500	568	4326	11500	1136	8652	23000	16094	32200	50000	16094	32200	50000	317	407	515	317	407	515	234	387	500	234	387	500
98	487	617	1200	487	617	1200	574	4370	11500	574	4370	11500	1148	8740	23000	16425	32861	50000	16425	32861	50000	321	412	515	321	412	515	236	388	500	236	388	500
99	492	623	1200	492	623	1200	580	4412	11500	580	4412	11500	1160	8824	23000	16760	33532	50000	16760	33532	50000	326	418	515	326	418	515	237	390	500	237	390	500
100	497	630	1200	497	630	1200	585	4455	11500	585	4455	11500	1170	8910	23000	17098	34207	50000	17098	34207	50000	330	423	515	330	423	515	238	393	500	238	393	500
101	502	636	1200	502	636	1200	591	4497	11500	591	4497	11500	1182	8994	23000	17438	34887	50000	17438	34887	50000	336	430	515	336	430	515	240	395	500	240	395	500
102	507	642	1200	507	642	1200	596	4542	11500	596	4542	11500	1192	9084	23000	17782	35575	50000	17782	35575	50000	339	434	515	339	434	515	241	396	500	241	396	500
103	512	648	1200	512	648	1200	602	4584	11500	602	4584	11500	1204	9168	23000	18131	36273	50000	18131	36273	50000	343	439	515	343	439	515	242	400	500	242	400	500
104	517	655	1200	517	655	1200	608	4624	11500	608	4624	11500	1216	9248	23000	18482	36975	50000	18482	36975	50000	347	444	515	347	444	515	244	401	500	244	401	500
105	522	661	1200	522	661	1200	613	4667	11500	613	4667	11500	1226	9334	23000	18835	37681	50000	18835	37681	50000	351	449	515	351	449	515	245	402	500	245	402	500
106	527	667	1200	527	667	1200	619	4711	11500	619	4711	11500	1238	9422	23000	19193	38398	50000	19193	38398	50000	355	454	515	355	454	515	246	406	500	246	406	500
107	532	673	1200	532	673	1200	624	4754	11500	624	4754	11500	1248	9508	23000	19555	39121	50000	19555	39121	50000	359	460	515	359	460	515	248	407	500	248	407	500
108	537	680	1200	537	680	1200	630	4794	11500	630	4794	11500	1260	9588	23000	19919	39851	50000	19919	39851	50000	364	466	515	364	466	515	249	408	500	249	408	500
109	542	686	1200	542	686	1200	636	4840	11500	636	4840	11500	1272	9680	23000	20286	40585	50000	20286	40585	50000	368	471	515	368	471	515	250	412	500	250	412	500
110	547	692	1200	547	692	1200	641	4881	11500	641	4881	11500	1282	9762	23000	20657	41326	50000	20657	41326	50000	372	476	515	372	476	515	252	413	500	252	413	500
111	552	698	1200	552	698	1200	647	4927	11500	647	4927	11500	1294	9854	23000	21033	42078	50000	21033	42078	50000	376	481	515	376	481	515	253	415	500	253	415	500
112	557	705	1200	557	705	1200	652	4968	11500	652	4968	11500	1304	9936	23000	21411	42833	50000	21411	42833	50000	380	486	515	380	486	515	254	418	500	254	418	500
113	562	711	1200	562	711	1200	658	5012	11500	658	5012	11500	1316	10024	23000	21791	43593	50000	21791	43593	50000	385	492	515	385	492	515	256	420	500	256	420	500
114	567	717	1200	567	717	1200	664	5056	11500	664	5056	11500	1328	10112	23000	22176	44365	50000	22176	44365	50000	388	496	515	388	496	515	257	421	500	257	421	500
115	572	723	1200	572	723	1200	670	5098	11500	670	5098	11500	1340	10196	23000	22565	45141	50000	22565	45141	50000	392	502	515	392	502	515	258	425	500	258	425	500
116	577	730	1200	577	730	1200	675	5139	11500	675	5139	11500	1350	10278	23000	22957	46750	50000	22957	46750	50000	397	502	515	397	502	515	260	426	500	260	426	500
117	582	736	1200	582	736	1200	681	5181	11500	681	5181	11500	1362	10362	23000	23351	46750	50000	23351	46750	50000	401	502	515	401	502	515	261	427	500	261	427	500
118	587	742	1200	587	742	1200	686	5226	11500	686	5226	11500	1372	10452	23000	23749	46750	50000	23749	46750	50000	405	502	515	405	502	515	262	431	500	262	431	500
119	592	748	1200	592	748	1200	692	5268	11500	692	5268	11500	1384	10536	23000	24152	46750	50000	24152	46750	50000	410	502	515	410	502	515	264	432	500	264	432	500
120	597	755	1200	597	755	1200	698	5310	11500	698	5310	11500	1396	10620	23000	24557	46750	50000	24557	46750	50000	412	502	515	412	502	515	265	433	500	265	433	500
121	798	1206	1200	798	1206	1200	1396	10620	11500	1396	10620	11500	2792	21240	23000	32662	46750	50000	32662	46750	50000	457	502	515	457	502	515	400	500	500	400	500	500
122	798	1206	1200	798	1206	1200	1396	10620	11500	1396	10620	11500	2792	21240	23000	32662	46750	50000	32662	46750	50000	457	502	515	457	502	515	400	500	500	400	500	500
