index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	*uber	*TXTtoHTML_ordering	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
BladeTalonsSU3		1		1	1	120	100	95@		A		83	ACTIVE					5	5000	dgry	dgry						sock		3	3	dex-add	76	76	76	att-skill	702	13	36	att-skill	699	13	36	att-skill	680	13	36	death-skill	820	100	36	ass		2	3	dmg-norm		200	300	dmg%		251	300	swing3		50	50	dur%		66	66	att%		50	50	0
ScissorsKatarSU3		1		1	1	120	100	96@	Scissors Katar (Sacred)			84	ACTIVE					5	5000	dred	dred						sock		3	3	dmg-fire		666	666	reanimate	1862	1	1	oskill	445	5	10	att-skill	453	10	33	kill-skill	927	2	2	swing3		66	66	reanimate	360	5	5	dmg%		333	333	dex-add	76	76	76									0
NaginataSU3		1		1	1	120	100	!07	Naginata (Sacred)			85	ACTIVE					5	5000	dgrn	dgrn		naginagi				sock		6	6	dex-add	102	102	102	oskill	15	10	20	desc_superbeasty		1	1	dmg%		301	350	dmg-min		250	500	dmg-max		500	750	pierce-fcl		10	30	state	161	1	1					slow		10	30	innate-skill	760	100	1	0
SpathaSU3		1		1	1	120	100	6@5		FUCKING		86	ACTIVE					5	5000	dred	dred						sock		3	3	str-add	76	76	76	hp-minion		50	75	dmg-minion		100	100	bar		2	4	res-all-minion		50	50	maxspirits		3	4	gethit-skill	96	5	16	mag%		100	120	gold%		400	500	light		3	5	cast3		40	40	0
BackswordSU3		1		1	1	120	100	4@6		HIDDEN		87	ACTIVE					5	5000	blac	blac						sock		3	3	str-add	76	76	76	motw-phys		50	100	oskill	513	1	1	oskill	96	1	1	blood-phys		50	100	damage-skill	511	1	2	skill-dur		100	100	dmg%		300	350	swing3		60	60	allskills		2	3					0
IdaSU3		1		1	1	120	100	2@7		MESSAGE		88	ACTIVE					5	5000	oran	oran						sock		6	6	str-add	76	76	76	shamans-syn		100	150	swing3		60	60	bar		3	4	dmg%		300	350	dmg-norm		150	250	hp-minion		100	100	att-skill	30	50	36	att%		150	150	extra-fire		70	80	heal-melee		100	150	0
BronzeSwordSU3		1		1	1	120	100	9@7				89	ACTIVE					5	5000	whit	whit						sock		6	6	str-add	76	76	76	oskill	322	20	25	oskill	460	20	25	hp-minion		50	50	res-all-minion		25	25	dmg-minion		50	75	att%-minion		75	100	bar		2	3	cast3		30	35	hp		500	500	str%		30	35	0
KriegsmesserSU3		1		1	1	120	100	7@8	Kriegsmesser (Sacred)			90	ACTIVE					5	5000	blac	blac						sock		6	6	str-add	76	76	76	hit-skill	375	1	23	dmg%		300	350	att%		150	150	dmg-max		300	350	lifesteal		20	25	reanimate	649	50	50	all-stats		40	50	swing3		40	50	innate-skill	760	100	1					0
MammenAxeSU3		1		1	1	120	100	!28				91	ACTIVE					5	5000	blac	blac						sock		3	3	str-add	76	76	76	dmg%		300	350	dmg-norm		200	250	kill-skill	59	10	12	reanimate	1843	0	1	ignore-ac		1	1	hp%		10	15	move3		50	50	dmg-fire		500	750	pierce-fire		50	50	res-all-max		5	5	0
HammerheadAxeSU3		1		1	1	120	100	!34				92	ACTIVE					5	5000	cgrn	cgrn						sock		6	6	str-add	76	76	76	att-skill	780	15	35	dmg%		300	350	dmg-norm		200	300	swing3		30	30	heal-kill		50	100	att%		150	150	move3		60	60	res-all		25	50	dmg-demon		100	100					0
OnoSU3		1		1	1	120	100	!41				93	ACTIVE					5	5000	cred	cred						sock		6	6	str-add	102	102	102	innate-fury	147	50	1	dmg%		300	350	dmg-norm		500	750	swing3		50	50	lifesteal		17	21	att		500	1000	kill-skill	354	20	26	ac		2000	3000	reanimate	1861	3	5	slow		20	20	0
ValaskaSU3		1		1	1	120	100	!48	Valaska (Sacred)			94	ACTIVE					5	5000	dgld	dgld						sock		6	6	str-add	102	102	102	innate-fury	147	50	1	oskill	479	13	17	pierce-fire		50	50	pierce-cold		50	50	pierce-ltng		50	50	swing3		60	60	dex		200	250	heal-kill		100	100	kill-skill	820	5	26	bar		4	6	0
LabrysSU3		1		1	1	120	100	!55	Labrys (Sacred)			95	ACTIVE					5	5000	dred	dred		labrryss				sock		6	6	str-add	102	102	102	oskill	392	5	15	state	189	1	1	dmg%		301	350	dmg-max		600	800	att-skill	394	10	24	swing3		50	50	heal-kill		50	100	indestruct		1	1	innate-fury	147	50	1	desc_fatasstriton		1	1	0
CompoundBowSU3		1		1	1	120	100	7@1	Compound Bow (Sacred)			96	ACTIVE					5	5000	dgry	dgry						sock		6	6	str-add	76	76	76	oskill	331	25	25	oskill	305	25	25	dmg%		300	350	dmg-norm		200	400	pierce-ltng		25	25	pierce-cold		25	25	pierce-fire		25	25	pierce-pois		25	25	death-skill	820	100	25	move3		60	60	0
SerpentBowSU3		1		1	1	120	100	5@2	Serpent Bow (Sacred)			97	ACTIVE					5	5000	cred	cred						sock		6	6	str-add	76	76	76	kill-skill	762	5	20	oskill	644	5	15	dmg-fire		250	500	dmg-cold		250	500	dmg-ltng		250	500	hit-skill	779	1	3	att%		150	150	res-all-max		5	5	move3		50	50	reanimate	5	50	50	0
MapleBowSU3		1		1	1	120	100	3@3				98	ACTIVE					5	5000	whit	whit						sock		6	6	str-add	102	102	102	crush		40	40	dmg%		300	350	dmg-norm		200	300	kill-skill	702	10	23	swing3		60	60	dru		2	3	dmg-demon		150	150	lifesteal		20	25	reduce-ac		10	10	dmg-cold		500	700	0
ViperBowSU3		1		1	1	120	100	1@4	Viper Bow (Sacred)			99	ACTIVE					5	5000	dgry	dgry						sock		6	6	str-add	76	76	76	oskill	1047	11	14	slow		20	20	dmg-norm		300	500	heal-kill		100	150	all-stats		50	100	gethit-skill	38	100	1	dmg%		250	300	crush		15	15	swing3		50	50					0
RecurveBowSU3		1		1	1	120	100	8@4				100	ACTIVE					5	5000	dgrn	dgrn						sock		6	6	str-add	102	102	102	hit-skill	385	1	13	att%		100	150	dru		1	2	slow		20	30	swing3		30	30	dmg-norm		100	200	dmg%		300	350	heal-kill		50	100	mag%/lvl	50							0
FlamenStaffSU3		1		1	1	120	100	!62	Flamen Staff (Sacred)			101	ACTIVE					5	5000	cblu	cblu		flammeen				sock		4	4	str-add	25	25	25	druid-enhanced		2	2	pierce-cold		20	30	pierce-fire		20	30	dru		8	10	cast3		50	50	str-factor		100	150	str%		30	30	extra-all		20	50	heal-kill		100	150	reanimate	1145	10	10	0
RaptorScytheSU3		1		1	1	120	100	!14				102	ACTIVE					5	5000	blac	blac						sock		6	6	str-add	102	102	102	innate-impact	146	25	1	oskill	479	26	35	pierce-fire		40	50	pierce-cold		40	50	pierce-ltng		40	50	swing3		60	60	dmg-ltng		750	750	dmg-cold		750	750	dmg-fire		750	750	att%		250	250	0
BonesplitterSU3		1		1	1	120	100	!21				103	ACTIVE					5	5000	blac	blac						sock		6	6	str-add	102	102	102	innate-impact	146	25	1	dmg%		300	350	pierce-cold		100	100	res-cold-max		10	10	res-cold		50	75	att%		150	200	dmg-norm		500	750	hit-skill	104	10	19	swing3		50	70	oskill	1048	12	16	0
MarrowStaffSU3		1		1	1	120	100	!69				104	ACTIVE					5	5000	dgld	dgld						sock		6	6	str-add	25	25	25	oskill	356	36	42	stance-radius		30	30	reanimate	760	50	50	reanimate	1079	2	2	hp-minion		100	100	res-all-minion		25	50	nec		8	10	heal-kill		100	130	cast3		50	70	dmg-minion		75	100	0
HexbladeSU3		1		1	1	120	100	!76				105	ACTIVE					5	5000	cgrn	cgrn						sock		3	3	dex-add	76	76	76	slow		25	25	dmg%		300	350	att%		150	150	swing3		30	30	lifesteal		25	30	nec		3	4	pierce-fire		40	50	dmg-fire		750	1000	red-dmg%		10	10	hp-minion		75	75	0
SpiritEdgeSU3		1		1	1	120	100	!83				106	ACTIVE					5	5000	blac	blac						sock		3	3	dex-add	76	76	76	avoidance		5	5	slow		15	15	dmg%		251	300	dmg-norm		300	400	res-all		25	30	swing3		60	60	kill-skill	1004	5	66	heal-hit		1	1	nec		1	2	ac-global		50	75	0
NeedleCrossbowSU3		1		1	1	120	100	4@D				107	ACTIVE					5	5000	oran	oran						sock		6	6	str-add	76	76	76	dmg%		251	300	skill	614	4	7	nec		3	4	skill	413	16	23	dmg-norm		150	250	att%		130	130	swing3		30	40	move3		50	50	gold%		300	300	heal-kill		25	75	0
DartThrowerSU3		1		1	1	120	100	2@E				108	ACTIVE					5	5000	lgld	lgld						sock		6	6	str-add	76	76	76	dmg%		251	300	nec		2	3	hit-skill	419	1	14	dmg-norm		150	250	slow		25	25	swing3		20	20	res-all		30	35	reanimate	1856	1	1	move3		100	100	ac		2000	2000	0
StingerCrossbowSU3		1		1	1	120	100	9@E				109	ACTIVE					5	5000	whit	whit						sock		6	6	str-add	76	76	76	ac-global		25	50	res-all-max		5	5	kill-skill	820	10	32	extra-all		40	50	swing3		40	40	att%		125	125	heal-hit		1	1	pierce-fire		50	50	hit-skill	453	2	31	red-dmg%		5	5	0
TrebuchetSU3		1		1	1	120	100	7@F				110	ACTIVE					5	5000	cblu	cblu						sock		6	6	str-add	76	76	76	ignore-ac		1	1	dmg%		300	350	dmg-norm		400	600	swing3		30	30	mag%		150	150	kill-skill	330	20	54	heal-kill		75	75	nec		2	3	avoidance		5	5	dmg-fire		500	600	0
WandSU3		1		1	1	120	100	69@				111	ACTIVE					5	5000	dblu	dblu						sock		2	2	dex-add	25	25	25	reanimate	824	15	15	pierce-ltng		50	50	extra-ltng		50	100	res-ltng-max		15	15	nec		2	3	red-dmg%		5	5	enr%		20	25	enr-factor		75	75	hp-minion		50	75	extra-totems		1	1	0
YewWandSU3		1		1	1	120	100	70@				112	ACTIVE					5	5000	lyel	lyel						sock		2	2	dex-add	25	25	25	reanimate	823	15	15	pierce-fire		50	50	extra-fire		50	100	res-fire-max		15	15	nec		2	3	red-dmg%		5	5	enr%		20	25	enr-factor		75	75	hp-minion		50	75	extra-totems		1	1	0
BoneWandSU3		1		1	1	120	100	71@				113	ACTIVE					5	5000	cgld	cgld						sock		2	2	dex-add	25	25	25	reanimate	825	15	15	pierce-cold		50	50	extra-cold		50	100	res-cold-max		15	15	nec		2	3	red-dmg%		5	5	enr%		20	25	enr-factor		75	75	hp-minion		50	75	extra-totems		1	1	0
GrimWandSU3		1		1	1	120	100	72@				114	ACTIVE					5	5000	blac	blac		grimmw				sock		2	2	dex-add	25	25	25	hp-minion		50	60	dmg-minion		30	40	nec		2	3	res-all		20	25	res-all-minion		25	25					oskill	687	13	15	move3		50	50	gold%		350	450	avoidance		5	5	0
BonebreakerSU3		1		1	1	120	100	5@9				115	ACTIVE					5	5000	oran	oran						sock		3	3	str-add	76	76	76	oskill	453	17	28	pierce-fire		25	25	extra-fire		50	100	pal		2	3	heal-kill		75	100	cast3		50	50	move3		70	70	res-all		25	35	extra-pm		80	100	gold%		750	750	0
GoedendagSU3		1		1	1	120	100	3@A	Goedendag (Sacred)			116	ACTIVE					5	5000	cred	cred						sock		3	3	str-add	76	76	76	extra-pm		100	100	cast3		60	60	res-all-max		5	5	all-stats		30	40	pal		4	5	red-dmg%		10	10	enr-factor		50	100	res-all		25	30	pierce-fire		25	25	extra-fire		40	50	0
AngelStarSU3		1		1	1	120	100	1@B				117	ACTIVE					5	5000	cgrn	cgrn						sock		3	3	str-add	76	76	76	extra-all		40	50	dmg%		250	300	dmg-norm		150	200	swing3		40	40	avoidance		5	5	reanimate	1190	20	20	att-skill	469	25	41	pierce-cold		30	30	pierce-fire		30	30	pal		2	3	0
HandOfGodSU3		1		1	1	120	100	6@C	Hand of Fap (Sacred)			118	ACTIVE					5	5000	blac	blac		palhammer				sock		6	6	str-add	102	102	102	innate-grace	84	5	1	ignore-ac		1	1	dmg%		300	350	dmg-norm		250	500	swing3		50	50	kill-skill	540	100	18	oskill	646	16	17	dmg-fire		750	1250	pierce-fire		50	50	reanimate	1854	2	2	0
HolyLanceSU3		1		1	1	120	100	!90	Holy Shit (Sacred)			119	ACTIVE					5	5000	blac	blac						sock		6	6	str-add	102	102	102	innate-grace	84	5	1	hit-skill	263	30	37	pierce-pois		50	50	att%		150	150	all-stats		50	100	lifesteal		30	35	swing3		60	60	dmg%		300	350	dmg-max		1000	1000	pal		2	3	0
TepoztopilliSU3		1		1	1	120	100	!97				120	ACTIVE					5	5000	dgld	dgld						sock		6	6	str-add	102	102	102	innate-grace	84	5	1	oskill	15	25	30	dmg%		300	350	dmg-norm		500	750	hp		500	500	dmg-fire		500	750	dmg-ltng		500	750	dmg-cold		500	750	att%		250	250	heal-kill		100	125	0
EagleOrbSU3		1		1	1	120	100	80@	Eagle Orb (Sacred)			121	ACTIVE					5	5000	oran	oran						sock		2	2	dex-add	51	51	51	reanimate	966	0	0	reanimate	1853	1	5	sor		3	4	heal-kill		50	50	enr-factor		100	150	extra-all		30	60	enr		100	150	cast3		50	50	block		1	1					0
SacredGlobeSU3		1		1	1	120	100	81@	Globe (Sacred)	<-- ROFL		122	ACTIVE					5	5000	cred	cred						sock		2	2	dex-add	25	25	25	oskill	322	35	35	oskill	513	1	1	motw-phys		100	100	motw-dur		150	150	res-all-minion		50	50	hp-minion		50	50	dmg-minion		75	75	cast3		60	60	ac		3000	3000	pierce-cold		50	75	0
SmokedSphereSU3		1		1	1	120	100	82@				123	ACTIVE					5	5000	lblu	lblu						sock		2	2	dex-add	25	25	25	oskill	1037	10	15	cast3		80	100	heal-kill		80	80	res-all		30	35	extra-all		40	50	dmg-to-mana		15	15	avoidance		10	10	enr		100	150	mana%		50	50	mana		1000	1500	0
ClapsedOrbSU3		1		1	1	120	100	83@				124	ACTIVE					5	5000	dgrn	dgrn						sock		2	2	dex-add	25	25	25	pierce-ltng		40	50	pierce-fire		40	50	extra-fire		40	50	extra-ltng		40	50	reanimate	1266	10	10	enr%		15	25	cast3		40	40	gold%		300	300	enr-factor		80	100	hp		500	500	0
JaredsStoneSU3		1		1	1	120	100	84@				125	ACTIVE					5	5000	cgrn	cgrn						sock		3	3	dex-add	51	51	51	oskill	1031	30	35	sor		3	4	pierce-pois		40	50	extra-pois		50	60	reanimate	1817	20	20	enr%		20	20	heal-kill		80	100	pierce-fire		40	50	kill-skill	816	30	28	cast3		50	50	0
WarpBladeSU3		1		1	1	120	100	!5!				126	ACTIVE					5	5000	blac	blac		warpbbl				sock		6	6	dex-add	76	76	76	innate-skill	760	100	1	state	124	1	1	dmg%		300	350	dmg-norm		50	150	lifesteal		15	20	swing3		25	25	hit-skill	884	1	1	att%		75	100	sor		1	2	avoidance		5	5	0
QuiltedArmorSU3		1		1	1	120	100	@01	Quilted Armor (Sacred)			127	ACTIVE					5	5000	cred	cred						sock		6	6					ac%		300	350	ac		5000	5000	reanimate	1627	0	5	reanimate	1628	0	5	reanimate	1624	0	5	reanimate	1625	0	5	reanimate	1626	0	5	ac		5000	5000									0
LeatherArmorSU3		1		1	1	120	100	@02				128	ACTIVE					5	5000	blac	blac						sock		6	6	oskill	324	20	25	att%		250	300	str%		15	20	dex%		15	20	red-dmg		150	150	allskills		1	2	dur%		50	75	red-dmg%		15	15	res-all		30	45									0
HardLeatherArmorSU3		1		1	1	120	100	@03				129	ACTIVE					5	5000	cgrn	cgrn						sock		6	6	ac%		201	250	extra-all		30	60	allskills		1	2	pierce-all		10	25	ac		300	300	enr		50	75	stam		250	250	light		-5	-5	ease		-50	-50	hp/lvl	40			heal-kill		50	75	0
StuddedLeatherSU3		1		1	1	120	100	@04	ARE			130	ACTIVE					5	5000	dgrn	dgrn						sock		6	6	ac%		201	250	pierce-fire		50	50	extra-fire		50	75	res-fire-max		5	5	reanimate	1156	5	5	death-skill	855	100	5	swing3		20	20	balance3		30	30	allskills		1	2	ac		333	333	heal-kill		20	30	0
RingMailSU3		1		1	1	120	100	@05	YOU			131	ACTIVE					5	5000	dred	dred						sock		6	6	ac%		201	250	pierce-pois		50	50	extra-pois		50	75	res-pois-max		5	5	reanimate	1606	5	5	death-skill	864	100	16	cast3		30	30	allskills		1	2	hp		300	300	red-dmg%		5	10	oskill	467	14	18	0
ScaleMailSU3		1		1	1	120	100	@06				132	ACTIVE					5	5000	cblu	cblu						sock		6	6	pierce-cold		50	50	extra-cold		25	75	oskill	457	12	16	reanimate	1482	10	15	move3		50	50	allskills		1	2	ac%		250	300	res-cold-max		5	5	death-skill	508	100	16									0
ChainMailSU3		1		1	1	120	100	@07	FUCKING			133	ACTIVE					5	5000	dgrn	dgrn						sock		6	6	ac%		201	250	pierce-ltng		50	50	extra-ltng		50	75	res-ltng-max		5	5	reanimate	1819	5	5	oskill	462	13	16	cast3		50	50	allskills		1	2	mana		500	500	avoidance		5	5					0
BreastPlateSU3		1		1	1	120	100	@08	KIDDING			134	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		201	250	extra-pm		75	100	reanimate	1186	10	10	oskill	349	16	21	hp%		10	10	mana		500	500	mana%		10	10	regen-mana		25	25	ac		500	500	move3		30	30	res-mag		15	15	0
SplintMailSU3		1		1	1	120	100	@09	ME			135	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		251	300	res-all		50	75	res-all-max		5	5	abs-cold		5	10	abs-ltng		5	10	abs-mag		5	10	abs-fire		5	10	red-dmg%		15	15	nofreeze		1	1	res-pois-len		50	50	hp		100	100	0
PlateMailSU3		1		1	1	120	100	@10	???????			136	ACTIVE					5	5000	dyel	dyel						sock		6	6	ac%		251	300	att-skill	327	20	20	dmg-max		150	150	lifesteal		10	15	str		50	100	dex		50	100	regen		100	100	balance3		50	50	mag%		150	150	allskills		1	2	ease		-50	-50	0
FieldPlateSU3		1		1	1	120	100	@11				137	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		251	300	dmg-norm		200	200	hit-skill	691	10	10	ac		200	200	heal-kill		100	150	red-dmg		50	50	res-all		20	25	crush		21	25	slow		10	10									0
LightPlateSU3		1		1	1	120	100	@12				138	ACTIVE					5	5000	blac	blac						sock		6	6	ac%		251	300	ac		200	200	indestruct		1	1	ac-miss		500	500	dur%		50	88	gethit-skill	346	10	3	charged	356	10	10	swing3		30	30	red-dmg%		10	10									0
GothicPlateSU3		1		1	1	120	100	@13				139	ACTIVE					5	5000	dred	dred						sock		6	6	ac%		301	350	reanimate	1842	1	1	lifesteal		25	25	deadly		10	10	dmg-demon		150	150	dmg-norm		100	150	att%		150	150	reduce-ac		10	10	light		-5	-5	hit-skill	917	1	36	innate-skill	760	100	1	0
FullPlateMailSU3		1		1	1	120	100	@14				140	ACTIVE					5	5000	whit	whit						sock		6	6	ac%		301	350	pierce-all		20	20	extra-all		50	60	allskills		1	2	ac		666	666	cast3		30	30	reanimate	1848	0	1	death-skill	820	100	23	light		5	5	ease		30	30					0
AncientArmorSU3		1		1	1	120	100	@15				141	ACTIVE					5	5000	blac	blac		mercbombb				sock		6	6	no-ac		-100	-100	gethit-skill	565	100	5	death-skill	564	100	33	death-skill	388	100	33	death-skill	580	100	33	death-skill	820	100	33	death-skill	340	100	33	death-skill	762	100	33	death-skill	501	100	33	death-skill	950	100	33	death-skill	864	100	33	0
CapSU3		1		1	1	120	100	@16				142	ACTIVE					5	5000	whit	whit						sock		4	4	ac%		100	150	reanimate	1766	0	10	kill-skill	513	1	23	extra-all		20	20	dmg-norm		25	75	red-dmg%		5	5	res-all		21	25	att%		150	150	heal-kill		25	50	mag%		100	100					0
SkullCapSU3		1		1	1	120	100	@17				143	ACTIVE					5	5000	dred	dred						sock		4	4	ac%		151	200	pierce-all		1	1	pierce-fire		1	1	all-stats		1	1	enr		1	1	all-stats%		1	1	enr%		1	1	res-all-max		1	1	res-fire-max		1	1	res-all		1	1	res-fire		1	1	0
HelmSU3		1		1	1	120	100	@18				144	ACTIVE					5	5000	cblu	cblu						sock		4	4	ac%		201	250	avoidance		5	5	hit-skill	382	1	3	str		15	20	dex		15	20	hp		100	100	mana		100	100	regen		150	150	swing3		30	30	res-pois-len		25	25	allskills		1	1	0
FullHelmSU3		1		1	1	120	100	@19				145	ACTIVE					5	5000	cred	cred						sock		4	4	ac%		251	300	allskills		2	2	kill-skill	145	10	21	pierce-fire		10	25	extra-fire		25	40	res-fire-max		5	5	dmg-fire		666	666	move3		50	50	oskill	983	16	32									0
GreatHelmSU3		1		1	1	120	100	@20				146	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		300	350	reanimate	1786	2	2	reanimate	1785	5	5	red-dmg%		5	5	ac		500	500	hp%		5	5	dmg-norm		50	150	move3		30	30	allskills		1	1	gethit-skill	449	1	16	swing3		25	25	0
CrownSU3		1		1	1	120	100	@21				147	ACTIVE					5	5000	dgld	dgld						sock		4	4	ac%		300	350	ignore-ac		1	1	mag%		50	100	allskills		1	2	red-dmg%		10	10	indestruct		1	1	rip		1	1	crush		10	10	dmg-norm		50	75	heal-kill		66	66	death-skill	580	100	50	0
CircletSU3		1		1	1	120	100	@67				148	ACTIVE					5	5000	cgld	cgld						sock		4	4	hp-minion		30	50	dmg-minion		30	50	res-all-minion		15	25	allskills		1	2	ease		-50	-50	ac		500	500	enr		40	50	vit		40	50	all-stats%		5	10									0
CoronetSU3		1		1	1	120	100	@68				149	ACTIVE					5	5000	whit	whit						sock		4	4	mag%		100	100	extra-all		25	30	hp%		5	5	red-dmg%		10	10	res-all		21	25	allskills		0	1	allskills		0	1	allskills		0	1	mana%		15	15	mana		333	333					0
TiaraSU3		1		1	1	120	100	@69				150	ACTIVE					5	5000	blac	blac						sock		4	4	reanimate	1060	10	15	lifesteal		15	20	dmg-fire		111	111	dmg-cold		111	111	dmg-ltng		111	111	pierce-ltng		11	11	pierce-cold		11	11	pierce-fire		11	11	allskills		0	2									0
DiademSU3		1		1	1	120	100	@70				151	ACTIVE					5	5000	blac	blac						sock		4	4	allskills		3	4	red-dmg%		10	10	str		1	75	dex		1	75	enr		1	75	vit		1	75	hp		200	200	mana		200	200	move3		40	40	res-all		10	15					0
MaskSU3		1		1	1	120	100	@45				152	ACTIVE					5	5000	blac	blac						sock		4	4	ac%		150	200	reanimate	1692	10	10	all-stats		25	50	balance3		25	25	allskills		1	1	hp-minion		50	50	vit%		20	25	heal-kill		25	25	att%		100	150	ease		-20	-20	res-pois-len		25	25	0
BoneHelmSU3		1		1	1	120	100	@46	Bone Helm (Sacred)			153	ACTIVE					1	1	dgry	dgry		trollskullz				sock		1	1	allskills		0	5	ac		-500	500	rip		1	1	reanimate	1839	100	100	res-all		-50	50	res-all-max		-10	10	all-stats		-100	100	regen		-500	500	hp		-150	150	move3		-50	50	block		-2	2	0
BucklerSU3		1		1	1	120	100	@22				154	ACTIVE					5	5000	cblu	cblu						sock		4	4					hit-skill	798	1	1	pierce-cold		50	50	dmg-cold		999	999	res-cold-max		5	5	res-cold		50	50	enr		50	150	ease		-50	-50	mana%		20	20	avoidance		5	5	block		1	1	0
SmallShieldSU3		1		1	1	120	100	@23				155	ACTIVE					5	5000	dyel	dyel						sock		4	4	ac%		151	200	hp%		10	10	hp-minion		50	50	dmg-minion		50	50	res-all-minion		25	25	allskills		1	2	mana		300	500	ac-global		25	50	str		25	50	cast3		30	30	light		1	2	0
LargeShieldSU3		1		1	1	120	100	@24				156	ACTIVE					5	5000	cgrn	cgrn						sock		4	4	ac%		201	250					mana%		10	10	cast3		25	25	allskills		1	2	gold%		150	150	enr-factor		50	75	enr%		20	25	block		1	1	ease		-10	-10	extra-all		30	30	0
