index	name	* Laz / status	* Laz / type	*class	*type	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
MREssence	MREssence	NEW DRU	wolf	Druid	Werewolf	100	105	dru		1	1	hp%		20	20	str%		40	40	red-dmg%		15	15																	oskill	1284	8	8	str		400	400	lifesteal		20	20	swing3		50	50	res-all-max		2	2	state	175	1	1	reanimate	2348	8	8	dmg-max		125	125	0
MSRathma's Empire	MSRathma's Empire	necromancer set	melee	Necromancer	Melee	100	105	lifesteal		20	20	crush		10	10	hp%		20	20	all-stats		25	25																	all-stats		150	150	res-all		35	35	ac-global		150	150	att-skill	500	40	19	state	175	1	1	crush		10	10	res-all-max		2	2	move3		10	10	0
MSAchilios' Wake	MSAchilios' Wake	necromancer set	bow	Necromancer	Crossbow	100	105	str		50	50	dmg-max		20	20	res-all		50	50	nec		2	2																	kill-skill	535	20	6	pierce-pois		30	30	dmg-max		125	125	crush		10	10	res-all		45	45	reanimate	1571	2	2	swing3		50	50	state	175	1	1	0
MSSatanic Mantra	MSSatanic Mantra	necromancer set	minion	Necromancer	Summoner	100	105	str		50	50	att%-minion		200	200	oskill	358	34	34	stance-radius		15	15																	maxminions		1	1	res-all-minion		50	50	dmg-minion		100	100	hp-minion		100	100	oskill	687	17	17	state	175	1	1	nec		6	6	oskill	1110	25	25	0
MSTowerlord	MSTowerlord	NEW NECRO	totemic	Necromancer	Totemic	100	105	str		75	75	dex		75	75	extra-all		50	50	nec		3	3																	state	175	1	1	oskill	967	10	10	oskill	1022	10	10	oskill	22	10	10	res-all-max		4	4	hp		1000	1000	hp-minion		200	200	nec		6	6	0
Set_Lazbro	Set_Lazbro	BrotherLaz	summoner	Necromancer	Summoner	100	110	res-all-minion		25	25	dmg-minion		50	50	hp-minion		100	100	att%-minion		100	100																	syn2	615	1	1	res-all-minion		25	25	desc-top	11425	9	9	hpdmg-minion		150	150	nec		3	3	hp%		25	25	att%-minion		200	200	state	175	1	1	0
MSOrchard	MSOrchard	NEW NEC	malice	Necromancer	Malice	100	105	enr		50	50	nec		2	2	pierce-pois		40	40	nec		2	2																	kill-skill	820	5	45	extra-all		25	25	state	175	1	1	res-all-max		2	2	hp		400	400	ac		1500	1500	reanimate	1926	3	3					0
MSCinadide's Craft	MSCinadide's Craft	paladin set	holy melee	Paladin	Holy Melee	100	105	nofreeze		1	1	str		80	80	oskill	652	24	24	dmg-max		50	50																	dmg-global		400	400	all-stats		200	200	pierce-pois		60	60	res-all		100	100	crush		25	25	slow		25	25	state	175	1	1	oskill	424	1	1	0
MSHadriel's Lore	MSHadriel's Lore	paladin set	holy caster	Paladin	Holy Caster	100	105	gold%		20	20	pal		2	2	enr-factor		100	100	oskill	399	15	15																	pal		4	4	ac-global		200	200	heal-kill		75	75	enr		200	200	vit		200	200	extra-ficom		50	50	state	175	1	1	pierce-fico		30	30	0
MSMalthael's Sanctuary	MSMalthael's Sanctuary	paladin set	unholy melee	Paladin	Unholy Melee	100	105	att-skill	453	10	34	heal-melee		150	150	att-skill	63	10	34	vit%		20	20																	res-all		50	50	vit%		20	20	pal		3	3	hp%-mp%		15	15	oskill	464	12	12	state	175	1	1									0
MSImperius' Edict	MSImperius' Edict	paladin set	unholy caster	Paladin	Unholy Caster	100	105	str%		20	20	enr%		20	20	dex%		20	20	enr%		20	20																	howl-thorns		33	33	pierce-ltng		20	20	pierce-pois		20	20	enr-factor		100	100	all-stats		150	150	avoidance		20	20	reanimate	1251	1	1	state	175	1	1	0
MSSelathiel Archives	MSSelathielArchives	NEW PAL	sup	Paladin	Neutral	100	105	pal		2	2	extra-all		20	20	vessel-dmg		50	50	vessel-tgt		3	3																	state	175	1	1	att-skill	248	5	1	hp		1000	1000	pierce-all		15	15	all-stats		250	250	ac		5000	5000	oskill	682	31	31	anykill-skill	480	1	36	0
MSZann Esu's Secrets	MSZann Esu's Secrets	sorceress set	cold	Sorceress	Cold	100	105	block		1	1	ac-global		40	40	hp-minion		100	100	oskill	570	8	8																	oskill	703	36	36	oskill	798	38	38	res-all		75	75	red-dmg%		50	50	hp-minion		100	100	heal-kill		100	100	dmg-minion		50	50	state	175	1	1	0
MSEdyrem's Children	MSEdyrem's Children	sorceress set	lightning	Sorceress	Lightning	100	105	all-stats		50	50	oskill	826	21	21	cast3		75	75	extra-cold		25	25																	oskill	346	16	16	sor		4	4	pierce-ltng		10	10	all-stats		50	50	enr-factor		150	150	ac		2500	2500	red-dmg%		15	15	state	175	1	1	0
MSAdria's Circle	MSAdria's Circle	sorceress set	poison	Sorceress	Poison	100	105	sor		2	2	res-pois		50	50	red-dmg%		10	10	sor		2	2																	res-all		30	30	poison-dur		25	25	avoidance		20	20	all-stats		50	50	sor		5	5	extra-pois		50	50	poison-set		33	33	state	175	1	1	0
MSWarmage2	MSWarmage2	sorceress set	fire	Sorceress	Fire	100	105	str		50	50	oskill	566	24	24	oskill	563	16	16	res-all		75	75																	oskill	613	30	30	gethit-skill	814	2	40	sor		5	5	extra-all		25	25	enr%		100	100	move3		10	10	avoidance		5	5	state	175	1	1	0
MSThe Mysteries	MSThe Mysteries	sorceress set	melee	Sorceress	Melee	100	105	sor		2	2	dex		50	50	oskill	859	21	21	red-dmg%		10	10																	dmg-norm		100	100	crush		10	10	ac		4000	4000	oskill	307	17	17	avoidance		5	5	oskill	449	4	4	state	175	1	1					0
MSTestament of the Apes	MSTestament of the Apes	GUEST SET	ranged	Any	Crossbow	100	105	att%		250	250	str		50	50	dmg-global		200	200	str		75	75																	kill-skill	780	5	3	oskill	636	10	10	crush		25	25	oskill	32	18	18	red-dmg%		20	20	all-stats%		50	50	gethitr-skill	441	10	18	state	175	1	1	0
Set_PewPew	Set_PewPew	MarcoNecroX	overall	Any	Elemental	100	120	allskills		2	2	all-stats%		15	15	res-all		25	25	pierce-all		25	25																	state	175	1	1	heal-kill		150	150	extra-all		35	35	block		1	1	move3		50	50	oskill	346	5	5	reanimate	1963	1	1					0
Set_xaru	Set_xaru	Community Set	?	Any	Fire	100	115	oskill	356	8	8	all-stats		10	10	res-fire-max		4	4	oskill	983	3	3																	all-stats		75	75	pierce-fire		60	60	extra-fire		50	50	state	186	1	1	hp%		10	10	dmg-fire		167	167	state	175	1	1	allskills		2	2	0
MSUnusedLol	MSUnusedLol	all		Any	Legacy	100	105																																																																	0
Set_labrynth	Set_labrynth			Any	Yshari Bosses'	100	105																																	oskill	1147	50	50	oskill	1148	50	50	no-ac		-100	-100	res-all-max		15	15	block		50	50	red-dmg%		50	50	res-all		400	400					0
Set_labrynth2	Set_labrynth2			Any	Yshari Minions'	100	105																																	all3		100	100	aura	1151	1	1	rip		1	1	uninterrupt		100	100	hp		1000	1000	res-all		-200	-200	fade		1	1					0
M_HeadHunter	M_HeadHunter			Any	Trophy	100	130																																	syn1	1512	1	1	desc-top	11434	9	9	state	421	1	1																					0
M_Nephalems	M_Nephalems			Any	Edyrem	100	115	res-all		25	25	allskills		2	2																									syn1	1513	1	1	desc-top	11435	9	9	hp-edyrem		500	500	syn1	773	1	1	state	175	1	1	state	408	1	1	att-skill	449	5	40	oskill	593	15	15	0
M_Thunderstorm	M_Thunderstorm			Amazon	Oskill	100	120																																	state	409	1	1	syn1	1068	1	1	desc-top	11439	9	9																					0
M_BattleDevices	M_BattleDevices			Assassin	Oskill	100	120																																	state	409	1	1	desc-top	11440	9	9	syn1	884	1	1	mana-hit		1	1																	0
M_GuardianRogue	M_GuardianRogue			Barbarian	Oskill	100	120																																	state	409	1	1	syn4	890	1	1	desc-top	11444	9	9	pierce-cold		15	15																	0
M_OakTeaching	M_OakTeaching			Druid	Oskill	100	120																																	state	409	1	1	syn1	67	1	1	desc-top	11445	9	9	heal-kill		75	75																	0
M_TheOffering	M_TheOffering			Necromancer	Oskill	100	120																																	state	409	1	1	desc-top	11446	9	9	syn1	18	1	1	lifesteal		15	15																	0
M_Armageddon	M_Armageddon			Paladin	Oskill	100	120																																	state	409	1	1	desc-top	11447	9	9	syn1	699	1	1	anykill-skill	699	4	50																	0
M_Wintertide	M_Wintertide			Sorceress	Oskill	100	120																																	state	409	1	1	desc-top	11448	9	9	syn3	474	1	1	freeze-thorns		20	20																	0
M_AstroghasMoon	M_AstroghasMoon			Any	Oskill	100	120	res-pois		75	75	res-pois-max		2	2																									state	409	1	1	oskill	979	23	23	pierce-pois		25	25	slow		5	5	syn1	802	1	1	desc-top	11449	9	9									0
