index	code	enabled	rarity	lvl	lvl req	type	category	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	(S)StrName	chrtransform	invtransform	carry1	nolimit	cost mult	cost add	flippyfile	invfile	dropsound	dropsfxframe	usesound	(S)legacy	(S)updateitem	version	ladder	*eol
Xtalline2	lok	1	2	1	120	1 - Charm r	Uber Reward	abs-fire%		10	10	abs-cold%		10	10	abs-ltng%		10	10	oskill	773	1	1																																		lblu	lblu	1	1	5	5000										0
x#y	x#x	1	1	1	50	1 - Charm s	Uber Reward	dmg-fire		4	5	dmg-cold	75	4	5	dmg-ltng		4	5																																								1	1	5	1000										0
Sacred Sunstone	x01	1	1	1	90	1 - Charm t1	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Shadow Vortex	x02	1	1	1	90	1 - Charm t2	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Worldstone Orb	x03	1	1	1	90	1 - Charm t3	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Caoi Dulra Fruit	x04	1	1	1	90	1 - Charm t4	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Soulstone Shard	x05	1	1	1	90	1 - Charm t5	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Orb of Divinity	x06	1	1	1	90	1 - Charm t6	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
Nexus Crystal	x07	1	1	1	90	1 - Charm t7	Uber Reward	light		2	2	needs-upgraded		1	1	needs-lced		1	1	skillcap		1	1																																				1	1	5	5000		newclasscharm								0
EternalBonePile	x0x	1	1	1	100	1 - Charm u	Uber Reward	ama		1	2	ass		1	2	bar		1	2	dru		1	2	nec		1	2	pal		1	2	sor		1	2	stam		500	500																				1	1	5	5000										0
SunstoneOfFire	x1x	1	1	1	0	1 - Charm v2	Uber Reward	blessings-counter		1	1																																																1	1	5	5000										0
SunstoneOfIce	x2x	1	1	1	0	1 - Charm v4	Uber Reward	blessings-counter		1	1																																																1	1	5	5000										0
SunstoneOfThunder	x3x	1	1	1	0	1 - Charm v6	Uber Reward	blessings-counter		1	1																																																1	1	5	5000										0
SunstoneOfTheGods	x4x	1	1	1	100	1 - Charm v7	Uber Reward	hp%		11	15	mana%		11	15	fire-min		13	25	fire-max		26	38	cold-min		13	25	cold-max		26	38	ltng-min		13	25	ltng-max		26	38	cold-len		25	25																1	1	5	5000										0
NewSixAngelBag	yq2	1	1	1	60	1 - Charm w3	Uber Reward	res-fire		21	25	res-cold		21	25	res-ltng		21	25	fire-min		26	38	fire-max		38	63	cold-min		26	38	cold-max		38	63	ltng-min		26	38	ltng-max		38	63	cold-len		25	25												1	1	5	5000										0
JollyRoger	yq7	1	1	1	5	1 - Charm x1	Uber Reward	desc-instructions		1	1	desc-difficulty		1	1	aura	290	1	1	hmc-checker		4	4																																				1	1	5	5000										0
ZakarumsEar	yq8	1	1	1	80	1 - Charm x2	Uber Reward	addxp		16	25	all-stats%		6	10	light		2	2																																								1	1	5	5000										0
TomeOfTheSpider	yqe	1	1	1	100	1 - Charm x3	Uber Reward	half-freeze		1	1	enr-factor		21	25	skillcap		1	1	oskill	829	1	1																																				1	1	5	5000										0
HerbalQuintessence	yqx	1	1	1	100	1 - Charm x4	Uber Reward	regen		11	40	att%		21	150	cast3		10	10	swing3		10	10																																				1	1	5	5000										0
HotTJ	0u1	1	1	1	40	1 - Charm z1	Uber Reward	dmg-global/lvl	8	8	8	enr-factor		21	25																																												1	1	5	5000										0
TheBookOfLies2	k@k	1	1	1	60	1 - Charm z2	Uber Reward	hp		51	500	mana		51	500																																										cred	cred	1	1	5	5000										0
UniqueDemonsbane	t@t	1	1	1	100	1 - Charm z3	Uber Reward	ama		0	2	ass		0	2	bar		0	2	dru		0	2	nec		0	2	pal		0	2	sor		0	2	regen		50	50																		oran	oran	1	1	5	5000		demonsbaneZ								0
ColdFusionSchematics	w@w	1	1	1	100	1 - Charm z4	Uber Reward	hit-skill	542	5	10	str		11	50	dex		11	50	enr		11	50	vit		11	50	death-skill	564	100	59																										lblu	lblu	1	1	5	5000		coldfusion								0
BookOfLaz	x@x	1	1	1	100	1 - Charm z5	Uber Reward	dmg-norm		13	13	gold%		101	125	allskills		1	1	dmg-demon		51	75	res-all		11	15	reanimate	2224	0	3																										blac	blac	1	1	5	5000		bookoflaz	swallowyoursoul		swallowyoursoul					0
TheTesseract	amu	1	1	120	100	2 - Amulet (Sacred) a	Realm Reserved	extra-fire		1	25	extra-cold		1	25	extra-ltng		1	25	extra-pois		1	25	pierce-fire		1	28	pierce-cold		1	28	pierce-ltng		1	28	pierce-pois		1	28	allskills		2	2	cast3		25	25													1	5	5000									1	0
KhanduranRoyalPendant	amu	1	1	120	100	2 - Amulet (Sacred) b	Realm Reserved	skillcap		1	1	charged	616	25	5	block		1	1																																									1	5	5000									1	0
LocketOfDreams	amu	1	1	120	100	2 - Amulet (Sacred) c	Realm Reserved	allskills		2	2	pot-rate		41	50	vit		100	100	gold%		225	225	light		2	2	heal-thorns		151	200																													1	5	5000									1	0
JerhynsTawiz	amu	1	10	1	0	2 - Amulet (Sacred) d	Realm Reserved	addxp		20	20	dmg-demon		21	25	regen		100	100																																									1	5	5000									1	0
NewGrandArmor	@15	1	8	120	100	2 - Ancient Armor (Sacred)	Realm Reserved	sock		6	6	ac%		172	200	dmg-global		100	100	hp%		11	15	hp		500	500	regen		401	500	red-dmg		100	100	red-dmg%		10	10	red-mag		10	10	ease		500	500										dred	dred		1	5	5000									1	0
NewAeterna	05@	1	8	120	100	2 - Broad Sword (Sacred)	Realm Reserved	sock		6	6	str-add		51	51	dmg%		171	200	dmg-mag		500	625	swing3		100	100	innate-grace	84	5	1	att-skill	340	5	25	ease		-50	-50	att-damage		50	50														blac	blac		1	5	5000									1	0
NewWhiteVoid	13@	1	1	120	100	2 - Great Sword (Sacred)	Realm Reserved	sock		6	6	str-add		76	76	dmg%		144	171	dmg-mag		375	625	dmg-max		101	125	crush		6	8	noheal		1	1	dmg-global		101	150	mana-melee		100	100	reanimate	2295	25	25	ease		777	777						lgry	lgry		1	5	5000									1	0
New5Wishmaster	jew	1	50	1	0	2 - Jewel a	Realm Reserved	mag%		10	10	att-skill	116	2	1																																													1	5	5000									1	0
Atomus	jew	1	1	120	0	2 - Jewel b	Realm Reserved	allskills		1	1	all-stats		50	50	att-skill	762	1	23	addxp		50	50																																				1	1	5	5000									1	0
NewSiggardsRevenge	7@N	1	8	120	100	2 - Parma (Sacred)	Realm Reserved	sock		4	4	ac%		115	143	block		2	2	dex		150	150	str		-50	-50	att%		101	150	reanimate	1378	5	5	dmg-demon		301	350	indestruct		1	1	demon-heal		101	150	crush		10	10						blac	blac		1	5	5000									1	0
NewSoulReaver	!14	1	8	120	100	2 - Raptor Scythe (Sacred)	Realm Reserved	sock		6	6	str-add		102	102	dmg%		172	200	nec		4	4	dmg-global		151	200	manasteal		21	25	lifesteal		21	25	heal-melee		250	250	mana-melee		500	500	reanimate	2293	50	50	innate-impact	146	25	1						blac	blac		1	5	5000									1	0
TheNoobLoop	rin	1	10	1	0	2 - Ring (Sacred) a	Realm Reserved	str		11	15	dex		11	15	dmg-norm		3	5	addxp		5	5																																					1	5	5000									1	0
RingOfMourning	rin	1	1	120	100	2 - Ring (Sacred) b	Realm Reserved	vit		-100	-100	dex		200	200	regen-mana		11	15	balance3		25	25																																					1	5	5000									1	0
BlackHandSigil	rin	1	1	120	100	2 - Ring (Sacred) c	Realm Reserved	kill-skill	330	3	62	dmg-pois	200	1024	1024	dmg-norm		13	25	light		-5	-5																																					1	5	5000									1	0
AkaratsNails	rin	1	1	120	100	2 - Ring (Sacred) d	Realm Reserved	regen		-250	-250	dmg-global		150	150	crush		8	8	openwounds		10	10	att-skill	500	10	2																																	1	5	5000									1	0
NewFuryHell	7@F	1	8	120	100	2 - Trebuchet (Sacred)	Realm Reserved	sock		6	6	str-add		76	76	dmg%		172	200	dmg-fire		375	500	extra-fire		51	75	pierce-fire		22	28	hit-skill	311	1	30	res-fire-max		5	5	abs-fire		100	100	reanimate	2277	1	1										lred	lred		1	5	5000									1	0
Catechumen	w23	1	10	12	7	Aerin Shield (Grade 1)	Tiered Unique	sock		2	2	ac%		12	29	dmg-undead		31	50	dmg-min		4	7	dmg-max		8	13	ease		-11	-15	res-fire		13	15	res-cold		13	15	res-ltng		13	15	res-pois		16	25	reanimate	2228	2	3	att-skill	451	5	6		lgld	lgld		1	5	5000										0
Catechumen	w43	1	10	27	16	Aerin Shield (Grade 2)	Tiered Unique	sock		2	2	ac%		30	46	dmg-undead		51	70	dmg-min		7	9	dmg-max		13	18	ease		-16	-20	res-fire		16	18	res-cold		16	18	res-ltng		16	18	res-pois		26	35	reanimate	2228	3	4	att-skill	451	7	12		lgld	lgld		1	5	5000										0
Catechumen	w63	1	10	41	25	Aerin Shield (Grade 3)	Tiered Unique	sock		2	2	ac%		47	63	dmg-undead		71	90	dmg-min		9	12	dmg-max		18	23	ease		-21	-25	res-fire		19	21	res-cold		19	21	res-ltng		19	21	res-pois		36	45	reanimate	2228	5	6	att-skill	451	9	18		lgld	lgld		1	5	5000										0
Catechumen	w83	1	10	56	34	Aerin Shield (Grade 4)	Tiered Unique	sock		3	3	ac%		64	80	dmg-undead		91	110	dmg-min		12	14	dmg-max		23	28	ease		-26	-30	res-fire		22	24	res-cold		22	24	res-ltng		22	24	res-pois		46	55	reanimate	2228	6	7	att-skill	451	11	24		lgld	lgld		1	5	5000										0
Catechumen	e13	1	10	71	42	Aerin Shield (Grade 5)	Tiered Unique	sock		3	3	ac%		81	97	dmg-undead		111	130	dmg-min		14	17	dmg-max		28	33	ease		-31	-35	res-fire		25	27	res-cold		25	27	res-ltng		25	27	res-pois		56	65	reanimate	2228	8	9	att-skill	451	13	30		lgld	lgld		1	5	5000										0
Catechumen	e33	1	10	85	51	Aerin Shield (Grade 6)	Tiered Unique	sock		4	4	ac%		98	114	dmg-undead		131	150	dmg-min		17	19	dmg-max		33	38	ease		-36	-40	res-fire		28	30	res-cold		28	30	res-ltng		28	30	res-pois		66	75	reanimate	2228	9	10	att-skill	451	15	36		lgld	lgld		1	5	5000										0
Astreon's Citadel	@60	1	20	120	100	Aerin Shield (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		144	171	ac-global		11	15	res-ltng		100	100	res-cold		100	100	all-stats%		11	15	pal		1	1	addxp		-5	-5	dur%		-75	-75	block		1	1	avoidance		5	5	uninterrupt		20	20		dgry	lgry		1	5	5000										0
New2TobiosKey	@60	1	8	120	100	Aerin Shield (Sacred(2))	Sacred(2) Unique	sock		4	4	ac%		115	143	extra-fire		16	20	extra-pm		16	20	wrath-synergy		31	40	pagan2		2	2	enr		100	100	ac		1000	1000	enr-factor		50	50	cast3		20	20	res-fire		50	50	res-ltng		-25	-25		dgld	lred		1	5	5000										0
AerinShieldSU3	@60	1	1	120	100	Aerin Shield (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		172	200	block		2	3	oskill	475	22	27	swing3		25	25	block3		30	30	heal-hit		1	2	pal		1	2	red-dmg%		5	5	dmg-norm		7	8										dgld	dgld		1	5	5000										0
Queen of Glass	614	1	10	19	11	Ancient Armor (Grade 1)	Tiered Unique	sock		2	2	ac%		18	29	ease		-11	-15	cast3		15	15	pierce-all		6	8	move3		5	5	res-cold		21	25	res-ltng		21	25	dur%		-90	-90	mana		151	250										blac	dgry		1	5	5000										0
Queen of Glass	660	1	10	33	20	Ancient Armor (Grade 2)	Tiered Unique	sock		3	3	ac%		30	40	ease		-16	-20	cast3		20	20	pierce-all		8	10	move3		10	10	res-cold		26	30	res-ltng		26	30	dur%		-90	-90	mana		251	350										blac	dgry		1	5	5000										0
Queen of Glass	706	1	10	49	30	Ancient Armor (Grade 3)	Tiered Unique	sock		4	4	ac%		41	52	ease		-21	-25	cast3		25	25	pierce-all		11	13	move3		15	15	res-cold		31	35	res-ltng		31	35	dur%		-90	-90	mana		351	450										blac	dgry		1	5	5000										0
Queen of Glass	752	1	10	63	38	Ancient Armor (Grade 4)	Tiered Unique	sock		4	4	ac%		52	63	ease		-26	-30	cast3		30	30	pierce-all		13	15	move3		20	20	res-cold		36	40	res-ltng		36	40	dur%		-90	-90	mana		451	550										blac	dgry		1	5	5000										0
Queen of Glass	798	1	10	78	47	Ancient Armor (Grade 5)	Tiered Unique	sock		5	5	ac%		64	75	ease		-31	-35	cast3		35	35	pierce-all		16	18	move3		25	25	res-cold		41	45	res-ltng		41	45	dur%		-90	-90	mana		551	650										blac	dgry		1	5	5000										0
Queen of Glass	844	1	10	90	54	Ancient Armor (Grade 6)	Tiered Unique	sock		6	6	ac%		75	86	ease		-36	-40	cast3		40	40	pierce-all		18	20	move3		30	30	res-cold		46	50	res-ltng		46	50	dur%		-90	-90	mana		651	750										blac	dgry		1	5	5000										0
Torn Flesh of Gods	@15	1	20	120	100	Ancient Armor (Sacred(1))	Sacred(1) Unique	sock		6	6	ac%		172	200	heal-melee		101	150	vit		100	100	red-dmg		61	100	allskills		1	2	res-all		-75	-75	ease		50	50	str		100	100	hp		1000	1000										lred	lred		1	5	5000										0
KhazraPlate	@15	1	8	120	100	Ancient Armor (Sacred(2))	Sacred(2) Unique	sock		6	6	ac%		172	200	crush		8	8	ease		200	200	red-dmg%		10	10	str%		25	25	vit%		25	25	dmg-demon		100	100	deadly		10	10	desc-dbaura		1	1	aura	297	1	1						dred	dred		1	5	5000										0
AncientArmorSU3	@15	1	1	120	100	Ancient Armor (Sacred(3))	Sacred(3) Unique	sock		6	6	no-ac		-100	-100	gethit-skill	565	100	5	death-skill	564	100	33	death-skill	388	100	33	death-skill	580	100	33	death-skill	820	100	33	death-skill	340	100	33	death-skill	762	100	33	death-skill	501	100	33	death-skill	950	100	33	death-skill	862	100	33		blac	blac		1	5	5000		mercbombb								0
Vindicatress	4@A	1	10	12	8	Angel Star (Grade 1)	Tiered Unique	sock		1	1	str-add	76	76	76	extra-fire		6	8	gethit-skill	496	1	2	extra-pm		6	8	cast3		10	10	res-fire		21	30	res-mag		2	3	enr		21	30	pal		1	1	ease		-6	-10	reanimate	1146	6	8		lyel	lyel		1	5	5000										0
Vindicatress	5@A	1	10	26	17	Angel Star (Grade 2)	Tiered Unique	sock		2	2	str-add	76	76	76	extra-fire		8	10	gethit-skill	496	1	4	extra-pm		8	10	cast3		20	20	res-fire		31	40	res-mag		3	4	enr		31	40	pal		1	2	ease		-11	-15	reanimate	1146	8	10		lyel	lyel		1	5	5000										0
Vindicatress	6@A	1	10	41	26	Angel Star (Grade 3)	Tiered Unique	sock		2	2	str-add	76	76	76	extra-fire		11	13	gethit-skill	496	2	6	extra-pm		11	13	cast3		30	30	res-fire		41	50	res-mag		5	6	enr		41	50	pal		1	2	ease		-16	-20	reanimate	1146	11	13		lyel	lyel		1	5	5000										0
Vindicatress	7@A	1	10	56	36	Angel Star (Grade 4)	Tiered Unique	sock		2	2	str-add	76	76	76	extra-fire		13	15	gethit-skill	496	2	8	extra-pm		13	15	cast3		40	40	res-fire		51	60	res-mag		6	7	enr		51	60	pal		1	3	ease		-21	-25	reanimate	1146	13	15		lyel	lyel		1	5	5000										0
Vindicatress	8@A	1	10	70	45	Angel Star (Grade 5)	Tiered Unique	sock		3	3	str-add	76	76	76	extra-fire		16	18	gethit-skill	496	3	10	extra-pm		16	18	cast3		50	50	res-fire		61	70	res-mag		8	9	enr		61	70	pal		2	3	ease		-26	-30	reanimate	1146	16	18		lyel	lyel		1	5	5000										0
Vindicatress	9@A	1	10	85	54	Angel Star (Grade 6)	Tiered Unique	sock		3	3	str-add	76	76	76	extra-fire		18	20	gethit-skill	496	3	12	extra-pm		18	20	cast3		60	60	res-fire		71	80	res-mag		9	10	enr		71	80	pal		2	4	ease		-31	-35	reanimate	1146	18	20		lyel	lyel		1	5	5000										0
The Angiris Star	1@B	1	20	120	100	Angel Star (Sacred(1))	Sacred(1) Unique	sock		3	3	str-add	76	76	76	dmg%		144	171	dmg-demon		201	250	str%		21	25	vit%		21	25	block		1	1	pal		4	5	hit-skill	542	50	10	kill-skill	820	10	27	dmg-max		76	100	dmg-min		26	38		lblu	lblu		1	5	5000										0
NewTheDragonStar	1@B	1	8	120	100	Angel Star (Sacred(2))	Sacred(2) Unique	sock		3	3	str-add	76	76	76	dmg%		172	200	dmg-norm		38	75	dmg-minion		101	125	pierce-pois		29	35	att-skill	563	5	12	oskill	614	2	3	pal		2	2	vit		-50	-50										blac	blac		1	5	5000										0
AngelStarSU3	1@B	1	1	120	100	Angel Star (Sacred(3))	Sacred(3) Unique	sock		3	3	str-add	76	76	76	extra-all		20	25	dmg%		143	171	dmg-norm		38	50	swing3		40	40	avoidance		5	5	reanimate	2209	3	3	att-skill	469	25	41	pierce-cold		21	21	pierce-fire		21	21	pal		2	3		cgrn	cgrn		1	5	5000										0
Nymph's Grace	w12	1	10	9	6	Antlers (Grade 1)	Tiered Unique	sock		2	2	ac%		24	40	dex%		8	10	vit%		8	10	slow-thorns-r		8	10	gethitr-skill	492	5	1	avoidance		5	5																						oran	cgrn		1	5	5000										0
Nymph's Grace	w32	1	10	24	14	Antlers (Grade 2)	Tiered Unique	sock		2	2	ac%		41	57	dex%		11	13	vit%		11	13	slow-thorns-r		11	13	gethitr-skill	492	7	1	avoidance		6	6																						oran	cgrn		1	5	5000										0
Nymph's Grace	w52	1	10	39	23	Antlers (Grade 3)	Tiered Unique	sock		2	2	ac%		58	75	dex%		14	16	vit%		14	16	slow-thorns-r		14	16	gethitr-skill	492	9	1	avoidance		7	7																						oran	cgrn		1	5	5000										0
Nymph's Grace	w72	1	10	53	32	Antlers (Grade 4)	Tiered Unique	sock		3	3	ac%		75	92	dex%		17	19	vit%		17	19	slow-thorns-r		17	19	gethitr-skill	492	11	1	avoidance		8	8																						oran	cgrn		1	5	5000										0
Nymph's Grace	w92	1	10	68	41	Antlers (Grade 5)	Tiered Unique	sock		3	3	ac%		92	109	dex%		20	22	vit%		20	22	slow-thorns-r		20	22	gethitr-skill	492	13	1	avoidance		9	9																						oran	cgrn		1	5	5000										0
Nymph's Grace	e22	1	10	82	49	Antlers (Grade 6)	Tiered Unique	sock		4	4	ac%		109	126	dex%		23	25	vit%		23	25	slow-thorns-r		23	25	gethitr-skill	492	15	1	avoidance		10	10																						oran	cgrn		1	5	5000										0
Goatlord	@49	1	20	120	100	Antlers (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		115	143	lifesteal		14	18	kill-skill	632	25	42	res-fire		51	75	abs-fire%		6	10	hp%		11	15	dmg-max		25	25	reanimate	2251	6	8	dmg-demon		150	150										dred	dred		1	5	5000										0
Ramcharge	@49	1	8	120	100	Antlers (Sacred(2))	Sacred(2) Unique	sock		4	4	ac%		172	200	ease		500	500	str%		21	25	slow		5	5	dmg-norm		38	113	dmg-global		50	50	howl		3	3																		dgry	dgry		1	5	5000										0
AntlersSU3	@49	1	1	120	100	Antlers (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		144	171	cast3		25	25	enr-factor%		20	20	enr%		30	30	extra-fire		20	25	extra-cold		20	25	mana%		15	15	heal-kill		25	50	avoidance		5	5	pierce-fire		15	18	pierce-cold		15	18		cred	cred		1	5	5000										0
Bathos	8@N	1	10	10	6	Aspis (Grade 1)	Tiered Unique	sock		1	1	hp-minion		6	10	dmg-minion		16	25	uninterrupt		8	10	res-fire		11	15	lifesteal		2	4	dex		8	10																						dred	dred		1	5	5000										0
Bathos	9@N	1	10	25	15	Aspis (Grade 2)	Tiered Unique	sock		2	2	hp-minion		11	15	dmg-minion		26	35	uninterrupt		11	13	res-fire		16	20	lifesteal		5	7	dex		11	13																						dred	dred		1	5	5000										0
Bathos	1@O	1	10	39	24	Aspis (Grade 3)	Tiered Unique	sock		3	3	hp-minion		16	20	dmg-minion		36	45	uninterrupt		14	16	res-fire		21	25	lifesteal		8	10	dex		14	16																						dred	dred		1	5	5000										0
Bathos	2@O	1	10	54	33	Aspis (Grade 4)	Tiered Unique	sock		3	3	hp-minion		21	25	dmg-minion		46	55	uninterrupt		17	19	res-fire		26	30	lifesteal		11	13	dex		17	19																						dred	dred		1	5	5000										0
Bathos	3@O	1	10	68	41	Aspis (Grade 5)	Tiered Unique	sock		4	4	hp-minion		26	30	dmg-minion		56	65	uninterrupt		20	22	res-fire		31	35	lifesteal		14	16	dex		20	22																						dred	dred		1	5	5000										0
Bathos	4@O	1	10	83	50	Aspis (Grade 6)	Tiered Unique	sock		4	4	hp-minion		31	35	dmg-minion		66	75	uninterrupt		23	25	res-fire		36	40	lifesteal		17	19	dex		23	25																						dred	dred		1	5	5000										0
Cloudwhirl	5@O	1	20	120	100	Aspis (Sacred(1))	Sacred(1) Unique	sock		4	4	ac%		58	86	extra-ltng		16	20	oskill	705	6	14	res-ltng		31	50	cast3		50	50	pierce-ltng		8	14	ease		-20	-20	dmg-ltng		1	113	block		1	1	swing3		50	50						dgry	dgry		1	5	5000										0
NewGongItem	5@O	1	8	120	100	Aspis (Sacred(2))	Sacred(2) Unique	sock		6	6	ac%		144	171	att-skill	780	1	12	crush		2	3	str%		11	15	ass		2	2	dex%		21	25	dmg-ltng		1	250	dmg-cold	25	1	250	hit-skill	450	1	18	heal-kill		250	250	block		1	1		blac	dgld		1	5	5000										0
AspisSU3	5@O	1	1	120	100	Aspis (Sacred(3))	Sacred(3) Unique	sock		4	4	ac%		144	171	charged	603	33	14	ass		2	2	hp-minion		40	50	dmg-minion		40	50	att%-minion		100	100	res-all-minion		10	10	move3		30	30	red-dmg%		10	10										whit	whit		1	5	5000										0
Thunderdome	w18	1	10	13	8	Assault Helmet (Grade 1)	Tiered Unique	sock		2	2	ac%		24	40	att-skill	807	10	4	ltng-min		1	1	ltng-max		4	8	levelup-skill	463	100	14	str%		7	10	oskill	669	3	5																		dgry	dgry		1	5	5000										0
Thunderdome	w38	1	10	27	16	Assault Helmet (Grade 2)	Tiered Unique	sock		2	2	ac%		41	57	att-skill	807	14	9	ltng-min		1	1	ltng-max		8	15	levelup-skill	463	100	21	str%		11	14	oskill	669	6	8																		dgry	dgry		1	5	5000										0
Thunderdome	w58	1	10	41	25	Assault Helmet (Grade 3)	Tiered Unique	sock		2	2	ac%		58	75	att-skill	807	18	14	ltng-min		1	1	ltng-max		16	30	levelup-skill	463	100	28	str%		15	18	oskill	669	9	11																		dgry	dgry		1	5	5000										0
