name	code
Grand Scepter (Grade 3)	266
Grand Scepter (Grade 4)	334
Grand Scepter (Grade 5)	402
Grand Scepter (Grade 6)	470
Great Axe (Grade 1)	122
Great Axe (Grade 2)	190
Great Axe (Grade 3)	258
Great Axe (Grade 4)	326
Great Axe (Grade 5)	394
Great Axe (Grade 6)	462
Great Maul (Grade 1)	l36
Great Maul (Grade 2)	l39
Great Maul (Grade 3)	l42
Great Maul (Grade 4)	l45
Great Maul (Grade 5)	l48
Great Maul (Grade 6)	l51
Great Sword (Grade 1)	112
Great Sword (Grade 2)	180
Great Sword (Grade 3)	248
Great Sword (Grade 4)	316
Great Sword (Grade 5)	384
Great Sword (Grade 6)	452
Grim Wand (Grade 1)	l13
Grim Wand (Grade 2)	l17
Grim Wand (Grade 3)	l21
Grim Wand (Grade 4)	l25
Grim Wand (Grade 5)	l29
Grim Wand (Grade 6)	l33
Halberd (Grade 1)	159
Halberd (Grade 2)	227
Halberd (Grade 3)	295
Halberd (Grade 4)	363
Halberd (Grade 5)	431
Halberd (Grade 6)	499
Hand Axe (Grade 1)	114
Hand Axe (Grade 2)	182
Hand Axe (Grade 3)	250
Hand Axe (Grade 4)	318
Hand Axe (Grade 5)	386
Hand Axe (Grade 6)	454
Hand of God (Grade 1)	9@B
Hand of God (Grade 2)	1@C
Hand of God (Grade 3)	2@C
Hand of God (Grade 4)	3@C
Hand of God (Grade 5)	4@C
Hand of God (Grade 6)	5@C
Hatchet Hands (Grade 1)	j22
Hatchet Hands (Grade 2)	j39
Hatchet Hands (Grade 3)	j56
Hatchet Hands (Grade 4)	j73
Hatchet Hands (Grade 5)	j90
Hatchet Hands (Grade 6)	o17
Heavy Crossbow (Grade 1)	l54
Heavy Crossbow (Grade 2)	l58
Heavy Crossbow (Grade 3)	l62
Heavy Crossbow (Grade 4)	l66
Heavy Crossbow (Grade 5)	l70
Heavy Crossbow (Grade 6)	l74
