Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	* Laz / temp	* Laz / temp2	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl8	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	1	1576	56	5	6	50	4	262	30	572	72	618	30	2	9	10	6	80	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	1	1576	56	5	6	50	4	262	30	572	72	618	30	2	9	10	6	80	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	1	160	32	1	2	50	4	106	30	204	72	203	12		1	2	2	0	8	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	1	1224	64	3	4	50	4	232	30	500	72	406	24	1	5	6	4	66	7	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	90	150	merc01	merc41	100	1	3240	104	7	8	50	4	348	30	780	72	1150	36	2	13	14	6	121	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	1	160	32	1	2	50	4	106	30	204	72	203	12		1	2	2	0	8	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	1	1224	64	3	4	50	4	232	30	500	72	406	24	1	5	6	4	66	7	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	90	150	merc01	merc41	150	1	3240	104	7	8	50	4	348	30	780	72	1150	36	2	13	14	6	121	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	1	1104	64	3	4	50	4	222	30	476	72	365	24	1	5	6	4	63	7	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	90	150	merc01	merc41	6000	1	3120	104	7	8	50	4	340	30	756	72	1109	36	2	13	14	6	118	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	1	1104	64	3	4	50	4	222	30	476	72	365	24	1	5	6	4	63	7	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	90	150	merc01	merc41	7500	1	3120	104	7	8	50	4	340	30	756	72	1109	36	2	13	14	6	118	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	90	150	merc01	merc41	12500	1	2800	104	7	7	50	4	330	30	734	72	998	36	2	12	13	6	115	5	bow		farw	5	Unbugged Cascade	4	140	0	5	0	Female Vanquish	4	15	0	7	0	Wraith Arrow	4	20	0	2	0	Arrowside	4	10	0	7	0	War Spirit	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	90	150	merc01	merc41	14000	1	2800	104	7	7	50	4	330	30	734	72	998	36	2	12	13	6	115	5	bow		carw	5	Merc Spore Shot	4	130	0	3	0	Pagan Rites	4	15	0	1	0	Hireling Vindicate	4	20	0	4	0	Deathstrike	4	25	0	2	8	Mon Hireling Tremor	4	10	0	2	0	Act 1 Exp Aura	4	1000	0	1	0	2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	comb	5	Retaliate	4	150	0	6	0	Gorefest	4	20	0	1	0	Merc Super Lifeblood	4	20	0	1	0	King of Blades	4	5	0	5	0	DisinUber	4	5	0	13	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	def	5	Merc Claw Tornado	4	150	0	1	0	Merc Werebear	4	800	0	3	0	Merc Bloodlust	4	10	0	1	0	Male Pounce	4	20	0	3	8	Merc Thorn Field	4	20	0	24	16	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	off	5	Titan Strike	4	150	0	3	0	Guard Tower	4	10	0	25	0	Merc Glacial Nova	4	10	0	6	8	Untimered Fortress	4	20	0	1	0	Chronofield	4	10	0	9	0	Act 2 Exp Aura	4	1000	0	1	0	2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	1	1152	56	2304	112	350	35	148	40	160	24	15	10		1	7	4	25	7	swor	shie	fire	10	MHuntingB	7	80	0	8	24	Merc Possess	7	10	0	3	0	Miasma	7	30	0	5	0	Hailstorm	7	60	0	15	24	MercVSpirit	7	20	0	21	16	Act 3 Exp Aura	7	1000	0	1	0	2	2	2	1
