index	set	item	*item	rarity	lvl	* Laz / comments	lvl req	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	*eol
Tancred's Hobnails	Tancred's Battlegear	lbt	Boots	7	500	old LoD	20																																																																													dgld	dgld						5	2500	2	0
Tancred's Weird	Tancred's Battlegear	amu	Amulet	7	500	old LoD	20																																																																													dgld	dgld						5	2500	2	0
Tancred's Skull	Tancred's Battlegear	bhm	Bone Helm	7	500	old LoD	20																																																																													dgld	dgld						5	2500	2	0
Sigon's Gage	Sigon's Complete Steel	hgl	Gauntlets	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Sigon's Visor	Sigon's Complete Steel	ghm	Great Helm	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Sigon's Shelter	Sigon's Complete Steel	gth	Gothic Plate	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Sigon's Sabot	Sigon's Complete Steel	hbt	Greaves	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Sigon's Wrap	Sigon's Complete Steel	hbl	Plated Belt	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Sigon's Guard	Sigon's Complete Steel	tow	Tower Shield	7	500	old LoD	6																																																																													whit	whit						5	2500	2	0
Infernal Cranium	Infernal Tools	cap	Cap	7	500	old LoD	5																																																																													lyel	lyel						5	2500	2	0
Infernal Torch	Infernal Tools	gwn	Grim Wand	7	500	old LoD	5																																																																													lyel	lyel						5	2500	2	0
Infernal Sign	Infernal Tools	tbl	Heavy Belt	7	500	old LoD	5																																																																													lyel	lyel						5	2500	2	0
Berserker's Headgear	Berserker's Garb	hlm	Helm	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Berserker's Hauberk	Berserker's Garb	spl	Splint Mail	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Berserker's Hatchet	Berserker's Garb	2ax	Double Axe	7	500	old LoD	3																																																																													dred	dred						5	2500	2	0
Death's Hand	Death's Disguise	lgl	Leather Gloves	7	500	old LoD	6																																																																													lred	lred						5	2500	2	0
Death's Guard	Death's Disguise	lbl	Sash	7	500	old LoD	6																																																																													lred	lred						5	2500	2	0
Death's Touch	Death's Disguise	wsd	War Sword	7	500	old LoD	6																																																																													lred	lred						5	2500	2	0
Angelic Sickle	Angelical Raiment	sbr	Sabre	7	500	old LoD	12																																																																													lgry	lgry						5	2500	2	0
Angelic Mantle	Angelical Raiment	rng	Ring Mail	7	500	old LoD	12																																																																													lgry	lgry						5	2500	2	0
Angelic Halo	Angelical Raiment	rin	Ring	3	500	old LoD	12																																																																													lgry	lgry						5	2500	2	0
Angelic Wings	Angelical Raiment	amu	Amulet	7	500	old LoD	12																																																																													lgry	lgry						5	2500	2	0
Arctic Horn	Arctic Gear	swb	Short War Bow	7	500	old LoD	2																																																																													lgld	lgld						5	2500	2	0
Arctic Furs	Arctic Gear	qui	Quilted Armor	7	500	old LoD	2																																																																													lgld	lgld						5	2500	2	0
Arctic Binding	Arctic Gear	vbl	Light Belt	7	500	old LoD	2																																																																													lgld	lgld						5	2500	2	0
Arctic Mitts	Arctic Gear	tgl	Light Gauntlets	7	500	old LoD	2																																																																													lgld	lgld						5	2500	2	0
Arcanna's Sign	Arcanna's Tricks	amu	Amulet	1	500	old LoD	15																																																																													blac	blac						5	2500	2	0
Arcanna's Deathwand	Arcanna's Tricks	wst	War Staff	7	500	old LoD	15																																																																													blac	blac						5	2500	2	0
Arcanna's Head	Arcanna's Tricks	skp	Skull Cap	7	500	old LoD	15																																																																													blac	blac						5	2500	2	0
Arcanna's Flesh	Arcanna's Tricks	ltp	Light Plate	7	500	old LoD	15																																																																													blac	blac						5	2500	2	0
Expansion																																																																																														0
Natalya's Totem	Natalya's Odium	xh9	Grim Helm	7	500	old LoD	59																																																																													dgry	dgry						5	5000		0
Natalya's Mark	Natalya's Odium	7qr	Scissors Suwayyah	7	500	old LoD	79																																																																													dgry	dgry						5	5000		0
Natalya's Shadow	Natalya's Odium	ucl	Loricated Mail	7	500	old LoD	73																																																																													dgry	dgry						5	5000		0
Natalya's Soul	Natalya's Odium	xmb	Mesh Boots	7	500	old LoD	25																																																																													dgry	dgry						5	5000		0
Aldur's Stony Gaze	Aldur's Watchtower	dr8	Hunter's Guise	7	500	old LoD	36																																																																													oran	oran						5	5000	2	0
Aldur's Deception	Aldur's Watchtower	uul	Shadow Plate	7	500	old LoD	76																																																																													oran	oran						5	5000	2	0
Aldur's Gauntlet	Aldur's Watchtower	9mt	Jagged Star	7	500	old LoD	42																																																																													oran	oran						5	5000	2	0
Aldur's Advance	Aldur's Watchtower	xtb	Battle Boots	7	500	old LoD	45																																																																													oran	oran						5	5000	2	0
Immortal King's Will	Immortal King	ba5	Avenger Guard	7	500	old LoD	47																																																																													lgry	lgry						5	5000		0
Immortal King's Soul Cage 	Immortal King	uar	Sacred Armor	7	500	old LoD	76																																																																													lgry	lgry						5	5000	2	0
Immortal King's Detail	Immortal King	zhb	War Belt	7	500	old LoD	29																																																																													lgry	lgry						5	5000	2	0
Immortal King's Forge	Immortal King	xhg	War Gauntlets	7	500	old LoD	30																																																																													lgry	lgry						5	5000	2	0
Immortal King's Pillar	Immortal King	xhb	War Boots	7	500	old LoD	31																																																																													lgry	lgry						5	5000	2	0
Immortal King's Stone Crusher	Immortal King	7m7	Ogre Maul	7	500	old LoD	76																																																																													lgry	lgry						5	5000	2	0
Tal Rasha's Fire-Spun Cloth	Tal Rasha's Wrappings	zmb	Mesh Belt	7	500	old LoD	53																																																																													dpur	dpur						5	5000	2	0
Tal Rasha's Adjudication	Tal Rasha's Wrappings	amu	Amulet	1	500	old LoD	67																																																																													dpur	dpur						5	5000	2	0
Tal Rasha's Lidless Eye	Tal Rasha's Wrappings	oba	Swirling Crystal	7	500	old LoD	65																																																																													dpur	dpur						5	5000	2	0
Tal Rasha's Howling Wind	Tal Rasha's Wrappings	uth	Lacquered Plate	7	500	old LoD	71																																																																													dpur	dpur						5	5000	2	0
Tal Rasha's Horadric Crest	Tal Rasha's Wrappings	xsk	Death Mask	7	500	old LoD	66																																																																													dpur	dpur						5	5000		0
Griswold's Valor	Griswold's Legacy	urn	Corona	7	500	old LoD	69																																																																													dgld	dgld						5	5000	2	0
Griswold's Heart	Griswold's Legacy	xar	Ornate Plate	7	500	old LoD	45																																																																													dgld	dgld						5	5000		0
Griswolds's Redemption	Griswold's Legacy	7ws	Caduceus	7	500	old LoD	53																																																																													dgld	dgld						5	5000	2	0
Griswold's Honor	Griswold's Legacy	paf	Vortex Shield	7	500	old LoD	68																																																																													dgld	dgld						5	5000		0
Trang-Oul's Guise	Trang-Oul's Avatar	uh9	Bone Visage	7	500	old LoD	65																																																																													dgld	dgld						5	5000		0
Trang-Oul's Scales	Trang-Oul's Avatar	xul	Chaos Armor	7	500	old LoD	49																																																																													dyel	dyel						5	5000	2	0
Trang-Oul's Wing	Trang-Oul's Avatar	ne9	Cantor Trophy	7	500	old LoD	54																																																																													dyel	dyel						5	5000	2	0
Trang-Oul's Claws	Trang-Oul's Avatar	xmg	Heavy Bracers	7	500	old LoD	45																																																																													dyel	dyel						5	5000		0
Trang-Oul's Girth	Trang-Oul's Avatar	utc	Troll Belt	7	500	old LoD	47																																																																													dyel	dyel						5	5000	2	0
M'avina's True Sight	M'avina's Battle Hymn	ci3	Diadem	7	500	old LoD	59																																																																													whit	whit						5	5000	2	0
M'avina's Embrace	M'avina's Battle Hymn	uld	Kraken Shell	7	500	old LoD	70																																																																													whit	whit						5	5000	2	0
M'avina's Icy Clutch	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	500	old LoD	32																																																																													whit	whit						5	5000	2	0
M'avina's Tenet	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	500	old LoD	45																																																																													whit	whit						5	5000	2	0
M'avina's Caster	M'avina's Battle Hymn	amc	Grand Matron Bow	7	500	old LoD	70																																																																													whit	whit						5	5000	2	0
Telling of Beads	The Disciple	amu	Amulet	1	500	old LoD	30																																																																													lblu	lblu						5	5000		0
Laying of Hands	The Disciple	ulg	Bramble Mitts	7	500	old LoD	63																																																																													lblu	lblu						5	5000		0
Rite of Passage	The Disciple	xlb	Demonhide Boots	7	500	old LoD	29																																																																													lblu	lblu						5	5000		0
Spiritual Custodian	The Disciple	uui	Dusk Shroud	7	500	old LoD	43																																																																													lblu	lblu						5	5000		0
Credendum	The Disciple	umc	Mithril Coil	7	500	old LoD	65																																																																													lblu	lblu						5	5000		0
Dangoon's Teaching	Heaven's Brethren	7ma	Reinforced Mace	7	500	old LoD	68																																																																																				5	5000		0
Heaven's Taebaek	Heaven's Brethren	uts	Ward	7	500	old LoD	81																																																																																				5	5000		0
Haemosu's Adament	Heaven's Brethren	xrs	Cuirass	7	500	old LoD	44																																																																																				5	5000		0
Ondal's Almighty	Heaven's Brethren	uhm	Spired Helm	7	500	old LoD	69																																																																																				5	5000		0
Guillaume's Face	Orphan's Call	xhm	Winged Helm	7	500	old LoD	34																																																																													lgry	lgry						5	5000		0
Wilhelm's Pride	Orphan's Call	ztb	Battle Belt	7	500	old LoD	42																																																																													lgry	lgry						5	5000		0
Magnus' Skin	Orphan's Call	xvg	Sharkskin Gloves	7	500	old LoD	37																																																																													lgry	lgry						5	5000		0
Wihtstan's Guard	Orphan's Call	xml	Round Shield	7	500	old LoD	29																																																																													lgry	lgry						5	5000		0
Hwanin's Splendor	Hwanin's Majesty	xrn	Grand Crown	7	500	old LoD	45																																																																																				5	5000		0
Hwanin's Refuge	Hwanin's Majesty	xcl	Tigulated Mail	7	500	old LoD	30																																																																																				5	5000		0
Hwanin's Seal	Hwanin's Majesty	mbl	Belt	7	500	old LoD	35																																																																																				5	5000		0
Hwanin's Justice	Hwanin's Majesty	9vo	Bill	7	500	old LoD	28																																																																																				5	5000		0
Sazabi's Cobalt Redeemer	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	500	old LoD	73																																																																													dblu	dblu						5	5000		0
Sazabi's Ghost Liberator	Sazabi's Grand Tribute	upl	Balrog Skin	7	500	old LoD	67																																																																													dblu	dblu						5	5000		0
Sazabi's Mental Sheath	Sazabi's Grand Tribute	xhl	Basinet	7	500	old LoD	43																																																																													dblu	dblu						5	5000		0
Bul-Kathos' Sacred Charge	Bul-Kathos' Children	7gd	Colossus Blade	7	500	old LoD	61																																																																													dgrn	dgrn						5	5000		0
Bul-Kathos' Tribal Guardian	Bul-Kathos' Children	7wd	Mythical Sword	7	500	old LoD	54																																																																													dgrn	dgrn						5	5000		0
Cow King's Horns	Cow King's Leathers	xap	War Hat	7	500	old LoD	25																																																																																				5	5000		0
Cow King's Hide	Cow King's Leathers	stu	Studded Leather	7	500	old LoD	18																																																																																				5	5000		0
Cow King's Hoofs	Cow King's Leathers	vbt	Heavy Boots	7	500	old LoD	13																																																																																				5	5000		0
Naj's Puzzler	Naj's Ancient Set	6cs	Elder Staff	7	500	old LoD	78																																																																																				5	5000		0
Naj's Light Plate	Naj's Ancient Set	ult	Hellforge Plate	7	500	old LoD	71																																																																																				5	5000		0
Naj's Circlet	Naj's Ancient Set	ci0	Circlet	7	500	old LoD	28																																																																																				5	5000		0
McAuley's Paragon	McAuley's Folly	cap	Cap	3	500	old LoD	25																																																																													lpur	lpur						5	5000		0
McAuley's Riprap	McAuley's Folly	vbt	Heavy Boots	7	500	old LoD	20																																																																													lpur	lpur						5	5000		0
McAuley's Taboo	McAuley's Folly	vgl	Heavy Gloves	7	500	old LoD	28																																																																													lpur	lpur						5	5000		0
McAuley's Superstition	McAuley's Folly	bwn	Bone Wand	7	500	old LoD	25																																																																													lpur	lpur						5	5000		0
MRFrost	MSPantheon	@38	Boots (Sacred)	30	1		80	ac%		100	150	ease		-33	-33	res-cold		31	50	dex%		11	15	balance3		30	30	str%		11	15	mag%		11	13																																																	dgry	cblu						5	5000		0
MRWater	MSPantheon	@33	Leather Gloves (Sacred)	30	1		80	ac%		100	150	ease		-33	-33	res-fire		31	50	dex%		11	15	uninterrupt		11	15	str%		11	15	gold%		13	19																																																	dgry	lblu						5	5000		0
MRHeaven	MSUnusedLol	xx					666																																																																													dgry	dgry						5	5000		0
MREarth	MSPantheon	@07	Chain Mail (Sacred)	30	1		80	ac%		100	150	balance3		15	15	dmg-norm		13	25	dex%		16	20	res-ltng		31	50	ease		-33	-33	lifesteal		3	6																																																	dgry	oran						5	5000		0
MRFire	MSPantheon	85@	Stag Bow (Sacred)	30	1		80	dmg%		100	150	dmg-norm		25	50	fire-max		300	300	cold-max		300	300	ltng-max		300	300	hit-skill	492	5	1	class-restrict	1	1	1																																																	dgry	lred						5	5000		0
MRCelestia's Charge	MSCelestia's Myth	@41	Light Plated Boots (Sacred)	30	1		90	ac%		140	170	dex%		11	15	str		31	50	balance3		20	20	move3		8	8	ac-global		11	15	kill-skill	496	2	6																																																	dgld	lgld						5	5000		0
MRCelestia's Ribbon	MSCelestia's Myth	@32	Plated Belt (Sacred)	30	1		90	ac%		140	170	str%		11	15	dex		31	50	ama		1	1	swing3		15	15	red-dmg%		5	5																																																					dgld	lgld						5	5000		0
MRCelestia's Glory	MSUnusedLol	xx					666																																																																													dgld	lgld						5	5000		0
MRCelestia's Wings	MSCelestia's Myth	@13	Gothic Plate (Sacred)	30	1		90	ac%		140	170	dmg-norm		25	38	str%		21	25	dex		31	50	res-all		21	25	ac		350	350	ama		1	1	vit%		21	25																																													dgld	lgld						5	5000		0
MRCelestia's Passion	MSCelestia's Myth	87@	Maiden Spear (Sacred)	30	1		90	dmg%		200	200	dmg-norm		75	125	ac-global		50	50	innate-impact	146	25	1	att-skill	513	1	13	att-skill	449	1	4																																																					dgld	lgld						5	5000		0
MRVasily's Moonwalkers	MSUnusedLol	xx					666																																																																													dblu	dblu						5	5000		0
MRVasily's Crescent	MSVasily's Following	9@M	Spangenhelm (Sacred)	30	1		80	ac%		100	150	dex%		11	15	extra-cold		16	20	res-cold		41	50	dmg-max		13	25	balance3		15	15	kill-skill	459	7	30																																																	dblu	dblu						5	5000		0
MRVasily's Shepherd Moon	MSVasily's Following	@09	Splint Mail (Sacred)	30	1		80	ac%		100	150	howl-thorns		3	5	enr%		11	20	dex%		11	15	ama		1	1	block3		25	25	crush		5	5																																																	dred	dblu						5	5000		0
MRVasily's Eclipse	MSVasily's Following	07!	Athulua's Hand (Sacred)	30	1		80	ac%		100	150	str%		21	25	crush		5	5	ease		-50	-50	howl-thorns		3	5	lifesteal		16	20	manasteal		16	20	block3		40	40																																													dblu	dblu						5	5000		0
MRVasily's Falling Star	MSVasily's Following	89@	Maiden Javelin (Sacred)	30	1		80	dmg%		150	200	ease		-50	-50	str%		21	25	dmg-max		51	100	dex%		21	25	swing3		40	40																																																					dblu	dblu						5	5000		0
MRRed Vex' Sin	MSRed Vex' Embrace	@29	Light Belt (Sacred)	30	1		90	ac%		100	150	ease		-50	-50	block3		20	20	pierce-fire		14	15	res-all-minion		11	15	heal-kill		21	40	hp-minion		11	15																																																	cred	cred						5	5000		0
MRRed Vex' Curse	MSRed Vex' Embrace	6@K	Morion (Sacred)	30	1		90	ac%		100	150	ease		-50	-50	balance3		25	25	dmg-minion		31	40	block3		20	20	extra-fire		6	8	mana-kill		31	40																																																	cred	cred						5	5000		0
MRRed Vex' Mantle	MSUnusedLol	xx					666																																																																													cred	cred						5	5000		0
MRRed Vex' Idol	MSRed Vex' Embrace	14!	Phoenix Shield (Sacred)	30	1		90	ac%		100	150	ease		-50	-50	cast3		30	30	pierce-fire		26	30	hp-minion		41	50	ama		1	2	oskill	58	7	10																																																	cred	cred						5	5000		0
MRRed Vex' Flayer	MSRed Vex' Embrace	25@	Club (Sacred)	30	1		90	ama		2	3	cast3		40	40	enr-factor		81	100	res-fire		51	60	extra-fire		16	20	extra-pm		16	20	hp-minion		31	40																																																	cred	cred						5	5000		0
MRWitchhunter's Rope	MSUnusedLol	xx					666																																																																													blac	blac						5	5000		0
MRWitchhunter's Hood	MSWitchhunter's Attire	@16	Cap (Sacred)	30	1		90	ac%		80	120	ease		-50	-50	res-all		31	40	red-dmg%		5	5	ac-global		16	20	str%		16	20	dex%		16	20	res-all-max		2	2																																													blac	blac						5	5000		0
MRWitchhunter's Faith	MSWitchhunter's Attire	@01	Quilted Armor (Sacred)	30	1		90	ease		-50	-50	swing3		25	25	dex		41	50	enr		41	50	ass		2	2	att-skill	518	15	26																																																					blac	blac						5	5000		0
MRWitchhunter's Crucifix	MSWitchhunter's Attire	91@	Wrist Blade (Sacred)	30	1		90	dmg%		140	170	ease		-40	-40	extra-pois		16	25	res-pois		41	50	enr		31	50	dmg-minion		41	50																																																					blac	blac						5	5000		0
MRWitchhunter's Fire	MSWitchhunter's Attire	93@	Cestus (Sacred)	30	1		90	dmg%		140	170	ease		-40	-40	extra-fire		16	25	res-fire		41	50	enr		31	50	hp-minion		41	50																																																					blac	blac						5	5000		0
MRSerpent's Tail	MSThe Snake Pit	@40	Chain Boots (Sacred)	30	1		100	ac%		100	150	ease		-40	-40	dex%		11	15	uninterrupt		11	15	vit%		11	15	ass		1	1	ac		450	450																																																	lgrn	lgrn						5	5000		0
MRSerpent's Coil	MSThe Snake Pit	@30	Belt (Sacred)	30	1		100	ac%		100	150	ease		-40	-40	dex%		11	15	ass		1	1	swing3		15	15	balance3		30	30																																																					lgrn	lgrn						5	5000		0
MRSerpent's Tongue	MSThe Snake Pit	@70	Diadem (Sacred)	30	1		100	str		31	40	dex		31	40	lifesteal		7	9	manasteal		7	9	crush		3	3	vit		31	40	att-skill	467	5	46																																																	lgrn	lgrn						5	5000		0
MRSerpent's Scales	MSUnusedLol	xx					666																																																																													lgrn	lgrn						5	5000		0
MRSerpent's Fangs	MSThe Snake Pit	!07	Naginata (Sacred)	30	1		100	dmg%		144	171	dmg-norm		63	125	swing3		40	40	ass		3	5	deadly		5	5	dmg-stun		25	25																																																					lgrn	lgrn						5	5000		0
MRTracker's Runeward	MSCreed	@30	Belt (Sacred)	30	1		90	ac%		100	150	dmg-ltng		38	75	res-all		11	15	ass		1	1	dex		41	50	ease		-33	-33																																																					oran	oran						5	5000		0
MRTracker's Totem	MSUnusedLol	xx					666																																																																													oran	oran						5	5000		0
MRTracker's Stealth	MSCreed	@07	Chain Mail (Sacred)	30	1		90	ac%		100	150	dmg-mag		38	75	swing3		20	20	heal-kill		31	50	dex%		11	15	ease		-33	-33																																																					oran	oran						5	5000		0
MRTracker's Effigy	MSCreed	5@O	Aspis (Sacred)	30	1		90	ac%		100	150	dmg-fire		38	75	block3		25	25	res-all		21	25	ass		1	2	dmg-norm		13	19	reanimate	2345	3	4	swing3		40	40																																													oran	oran						5	5000		0
MRTracker's Strike	MSCreed	48@	Flying Knife (Sacred)	30	1		90	dmg%		140	170	swing3		40	40	dmg-norm		38	75	hit-skill	806	13	6	dex		41	50																																																									oran	oran						5	5000		0
MRVizjun's Progress	MSUnusedLol	xx					666																																																																													lblu	lblu						5	5000		0
MRVizjun's Foresight	MSVizjun's Devices	@20	Great Helm (Sacred)	30	1		80	ac%		100	150	cast3		20	20	balance3		25	25	ease		-40	-40	extra-ltng		11	15	extra-fire		11	15	enr%		11	15																																																	lblu	lblu						5	5000		0
MRVizjun's Engine	MSVizjun's Devices	@03	Hard Leather Armor (Sacred)	30	1		80	ac%		100	150	cast3		30	30	ease		-40	-40	ass		1	2	extra-fire		16	20	extra-ltng		16	20																																																					lblu	lblu						5	5000		0
MRVizjun's Monitor	MSVizjun's Devices	90@	Katar (Sacred)	30	1		80	balance3		25	25	ass		4	4	extra-ltng		21	25	vit%		20	25	enr%		20	25	str		50	50																																																					lblu	lblu						5	5000		0
MRVizjun's Science	MSVizjun's Devices	91@	Wrist Blade (Sacred)	30	1		80	cast3		40	40	block3		20	20	ass		4	4	extra-fire		16	20	extra-ltng		16	20	enr		31	50	vit		31	50																																																	lblu	lblu						5	5000		0
MRCrane's Reach	MSUnusedLol	xx					666																																																																													dred	dred						5	5000		0
MRSnake's Battle Chant	MSGathering of the Tribes	@28	Sash (Sacred)	30	1		80	ac%		120	200	enr%		11	15	str		31	50	heal-melee		31	40	mana-melee		31	40	mana		333	333	slow-thorns		5	5	ac		500	1000																																													dred	dred						5	5000		0
MRWolf's Fang	MSGathering of the Tribes	@54	Horned Helm (Sacred)	30	1		80	ac%		100	150	dex%		11	15	vit		31	50	lifesteal		3	6	hp-minion		-15	-15	hp		333	333																																																					dred	dred						5	5000		0
MRBear's Warding	MSGathering of the Tribes	@14	Full Plate Mail (Sacred)	30	1		80	ac%		100	150	str%		11	15	enr		31	50	uninterrupt		11	15	ac-global		11	15	bar		1	3	slow-thorns		11	15																																																	dred	dred						5	5000		0
MRThe Coming Storm	MSGathering of the Tribes	!41	Ono (Sacred)	30	1		80	dmg%		144	200	dmg-norm		100	150	att-skill	461	25	43	dmg-ltng		1	375	dmg-demon		150	150	innate-fury	147	25	1	att-skill	600	2	13																																																	dred	dred						5	5000		0
MRRockslide	MSUnusedLol	xx					666																																																																													lblu	dgry						5	5000		0
MRRavine	MSMount Arreat	@54	Horned Helm (Sacred)	30	1		90	ac%		140	170	str		81	100	res-ltng		31	50	dmg-global		31	50	bar		2	3	red-dmg%		5	5																																																					lblu	dgry						5	5000		0
MRAvalanche	MSMount Arreat	@15	Ancient Armor (Sacred)	30	1		90	ac%		140	170	vit		41	50	res-cold		31	50	ac-global		11	15	bar		1	2	cold-thorns	125	500	500	dmg-stun		11	15																																																	lblu	dgry						5	5000		0
MRSnowstorm	MSMount Arreat	28!	Bull Shield (Sacred)	30	1		90	ac%		140	170	ac		500	1000	dmg-norm		50	100	dmg-cold	50	375	625	att-skill	458	10	35	res-cold		31	50	bar		2	2	pierce-cold		11	15																																													lblu	cblu						5	5000		0
MREruption	MSMount Arreat	08@	Two-Handed Sword (Sacred)	30	1		90	dmg%		144	200	dmg-norm		50	125	dmg-fire		400	700	att-skill	699	15	35	res-fire		31	50	bar		2	2	pierce-fire		11	15																																																	lblu	cred						5	5000		0
MRHunter's Trackless Step	MSBig Game Hunter	@39	Heavy Boots (Sacred)	30	1		90	ac%		100	150	stam		15	15	vit		21	40	res-ltng		31	40	crush		3	3	red-dmg%		5	5																																																					dgrn	dgrn						5	5000		0
MRHunter's Trophy	MSUnusedLol	xx					666																																																																													dgrn	dgrn						5	5000		0
