code	name	type	type2	alternateGfx	namestr	spelldesc	spelldescstr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
4@6	Backsword (Sacred)	sbsd		flc	4@6					1	1	48	51									-15	30	0	526	0	100		83	30		12864		403	scm	4@6	4@6	4@6	1hs	1hs	5	1hsl	1	3					flpflc	inv9sbu			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
150	Balanced Axe (Grade 1)	taxe	tier	hax	150					20	1	5	12					4	19			-10	20	0	77	0	20		10	3		20		402	hax	150	150	150	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	2	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0	0		689	7	5	0	3					255					255					255					255					255					255					255					255		1		1	1					255					255					255					255		1		1	1					255					255		1		1	1			2	2	0	xxx	xxx	1	0
286	Balanced Axe (Grade 2)	taxe	tier	hax	286					20	1	9	21					12	37			-10	20	0	115	0	20		39	12		80		404	hax	286	286	286	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	4	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0	0		689	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
422	Balanced Axe (Grade 3)	taxe	tier	hax	422					20	1	14	32					22	59			-10	20	0	225	0	20		68	21		136		405	hax	422	422	422	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	5	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0	0		689	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
490	Balanced Axe (Grade 4)	taxe	tier	hax	490					20	1	16	37					27	71			-10	20	0	445	0	20		81	26		166		406	hax	490	490	490	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0	0		689	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
51@	Balanced Axe (Sacred)	qtax		hax	51@					2	1	37	47					56	78			-10	20	0	586	0	20		81	30		166		406	hax	51@	51@	51@	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0	0		689	7	5	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
148	Balanced Knife (Grade 1)	tkni	tier	dgr	148					20	1	8	9					10	12			-10	0	20	0	91	16		12	3		24		401	dgr	148	148	148	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	1	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		687	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255		1		1	1			1	2	0	xxx	xxx	1	0
284	Balanced Knife (Grade 2)	tkni	tier	dgr	284					20	1	14	16					22	26			-10	0	20	0	132	16		41	13		96		402	dgr	284	284	284	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		687	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
420	Balanced Knife (Grade 3)	tkni	tier	dgr	420					20	1	21	24					37	42			-10	0	20	0	258	16		70	22		140		402	dgr	420	420	420	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		687	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
488	Balanced Knife (Grade 4)	tkni	tier	dgr	488					20	1	24	28					44	51			-10	0	20	0	508	16		85	27		170		402	dgr	488	488	488	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		687	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
49@	Balanced Knife (Sacred)	qtkn		dgr	49@					2	1	41	43					65	68			-10	0	20	0	612	16		85	30		170		402	dgr	49@	49@	49@	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		687	7	4	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
156	Bardiche (Grade 1)	pole	tier	hal	156					20	1				1	4	10				3	10	30	0	17	1	26		200	0		102		402	hal	156	156	156	stf	stf	5	2hsl	2	4					flpbar	invbar			1	2	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
292	Bardiche (Grade 2)	pole	tier	hal	292					20	1				1	10	13				3	10	30	0	38	19	26		200	8		408		404	hal	292	292	292	stf	stf	5	2hsl	2	4					flpbar	invbar			1	4	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
428	Bardiche (Grade 3)	pole	tier	hal	428					20	1				1	18	22				3	10	30	0	86	39	26		200	18		1632		405	hal	428	428	428	stf	stf	5	2hsl	2	4					flpbar	invbar			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
496	Bardiche (Grade 4)	pole	tier	hal	496					20	1				1	22	26				3	10	30	0	176	71	26		200	22		3264		406	hal	496	496	496	stf	stf	5	2hsl	2	4					flpbar	invbar			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
57@	Bardiche (Sacred)	qpol		hal	57@					2	1				1	53	56				3	10	30	0	406	71	26		200	30		3264		406	hal	57@	57@	57@	stf	stf	5	2hsl	2	4					flpbar	invbar			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
110	Bastard Sword (Grade 1)	2hsd	tier	clm	110					20	1	9	11	1	1	16	17				1	5	30	0	73	0	90		9	3		312		402	clm	110	110	110	1hs	2hs	5	2hss	1	4					flpbsw	invbsw			1	2	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255		1		1	1					255					255					255					255					255		1		1	1					255					255					255					255			1	2	0	xxx	xxx	1	0
246	Bastard Sword (Grade 2)	2hsd	tier	clm	246					20	1	17	20	1	1	30	32				1	5	30	0	110	0	90		38	12		1248		403	clm	246	246	246	1hs	2hs	5	2hss	1	4					flpbsw	invbsw			1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
382	Bastard Sword (Grade 3)	2hsd	tier	clm	382					20	1	26	31	1	1	46	49				1	5	30	0	216	0	90		68	21		4992		404	clm	382	382	382	1hs	2hs	5	2hss	1	4					flpbsw	invbsw			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
450	Bastard Sword (Grade 4)	2hsd	tier	clm	450					20	1	31	37	1	1	56	59				1	5	30	0	427	0	90		82	26		9984		404	clm	450	450	450	1hs	2hs	5	2hss	1	4					flpbsw	invbsw			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
11@	Bastard Sword (Sacred)	s2hd		clm	11@					2	1	44	47	1	1	70	72				1	5	30	0	535	0	90		82	30		9984		404	clm	11@	11@	11@	1hs	2hs	5	2hss	1	4					flpbsw	invbsw			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
121	Battle Axe (Grade 1)	2hax	tier	btx	121					20	1				1	14	18				1	15	30	0	60	0	90		8	2		328		402	lax	121	121	121	stf	stf	5	2hsl	2	3					flpbtx	invbtx			1	2	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255		1		1	1					255					255					255					255					255					255		1		1	1		1		1	1					255					255					255					255					255			5	2	0	xxx	xxx	1	0
257	Battle Axe (Grade 2)	2hax	tier	btx	257					20	1				1	26	35				1	15	30	0	93	0	90		37	12		1312		404	lax	257	257	257	stf	stf	5	2hsl	2	3					flpbtx	invbtx			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
393	Battle Axe (Grade 3)	2hax	tier	btx	393					20	1				1	43	54				1	15	30	0	186	0	90		67	21		5248		405	lax	393	393	393	stf	stf	5	2hsl	2	3					flpbtx	invbtx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
461	Battle Axe (Grade 4)	2hax	tier	btx	461					20	1				1	51	65				1	15	30	0	369	0	90		81	25		10496		406	lax	461	461	461	stf	stf	5	2hsl	2	3					flpbtx	invbtx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
22@	Battle Axe (Sacred)	s2ha		btx	22@					2	1				1	76	83				1	15	30	0	486	0	90		81	30		10496		406	lax	22@	22@	22@	stf	stf	5	2hsl	2	3					flpbtx	invbtx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
