Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1		16	128	255	192	0	0	1	0	2025	11	57	120	11	60	120	800	900	1000							1	0	8		cavetroll1	roguebow1	fallenfather2	rogue1h2	rogue2h2	elite_deadA	fungus1	creepshow1														cavetroll1	roguebow1	fallenfather2	rogue1h2	rogue2h2	elite_deadA	fungus1	creepshow1													cavetroll1	roguebow1	fallenfather2	rogue1h2	rogue2h2	fungus1	creepshow1														rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1		16	128	255	192	0	0	1	0	2025	13	57	120	13	62	120	750	850	1000							1	0	8		gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	elite_ghostA	cavetroll1														gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	elite_ghostA	cavetroll1													gnat1	rogue1h2	rogue2h2	fallenfather2	dead2	wisp1	cavetroll1														rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1		16	128	255	192	0	0	1	0	2025	15	58	120	15	65	120	750	850	1000							1	0	8		wisp1	roguebow2	fallenfather2	infernalteddy2	quills2	ghost1	elite_gnatA	cavetroll1														wisp1	roguebow2	fallenfather2	infernalteddy2	quills2	ghost1	elite_gnatA	cavetroll1													wisp1	roguebow2	fallenfather2	infernalteddy2	quills2	ghost1	cavetroll1														rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0			6	119	119	119	119	119	119	1500	2500	0	1	0	0	1	1	1	1	0	1	2	9	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1		64	128	255	192	0	0	1	0	2025	75	100	120	95	115	120	3250	3600	4000							1	0	6		robedagger	zombierags	greenzombie	cloakdagger	orkshaman	necromorb																robedagger	zombierags	greenzombie	cloakdagger	orkshaman	necromorb																																			rat	bat			30	30							0	9	255	Cave Level 2	To The Cave Level 2	A1L14	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0			7	28	34	28	34	28	34	1500	2624	0	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	15	-1	-1	-1	-1	-1	-1		192	255	255	0	0	0	1	0	2025	75	100	120	85	115	120	900	1000	1100							1	0	0		quest_overlord																					quest_overlord																																								rat	bat			30	30							0	9	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1		255	255	0	0	0	0	1	0	2025	13	85	120	60	115	120	0	0	0							1	0	0		quest_butcher																					quest_butcher																																								rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1		255	64	64	255	0	0	1	0	7500	55	85	120	65	115	120	2400	2600	2800							1	0	19		uq_lightning4	uq_corpsespitter3	uq_croakyA	uq_quills4	uq_onyxknight2	uq_gargoylebeast2	uq_dragonknight3	uq_cultist2	uq_berserk2	uq_firewizardE	uq_bugbearE	uq_centaur3	uq_wyrdwolf2	uq_creepshow2	uq_darkfey3	uq_overseer_pest	uq_troll_elite	uq_mahasattva	uq_sarandesh_elite		1	uq_lightning4	uq_corpsespitter3	uq_croakyA	uq_quills4	uq_onyxknight2	uq_gargoylebeast2	uq_dragonknight3	uq_cultist2	uq_berserk2	uq_firewizardE	uq_bugbearE	uq_centaur3	uq_wyrdwolf2	uq_creepshow2	uq_darkfey3	uq_overseer_pest	uq_troll_elite	uq_sarandesh_elite	uq_mahasattva																						rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1		96	0	255	0	0	0	1	0	2025	9	56	120	9	57	120	1500	1700	2000							1	0	5		spidey1	dead1	elite_wingedfiendA	treeppl1	corpseworm																	spidey1	dead1	elite_wingedfiendA	treeppl1	corpseworm																spidey1	dead1	treeppl1	corpseworm																													0	2	255	Burial Grounds	To The Burial Grounds	A1L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0			10	250	250	250	250	250	250	2000	1000	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	0	17	0	0	0	0	0	0	-1	8	-1	-1	-1	-1	-1	-1		32	255	48	48	0	0	1	0	2500	100	115	120	90	115	120	5250	6000	7000							1	0	8		ureh_dead	ureh_turret1	ureh_turret2																			ureh_dead	#ureh_turret1	#ureh_turret2	ureh_darkwarden																	#ureh_turret1	#ureh_turret2																			rat	snake	bunny		30	30	5						8	4	255	Crypt	To The Crypt	A1L19	7	8	9	10	1	0	0	0	5	2	15	25	10	0	0	0	1
Act 1 - Crypt 2 A	19	0	0			11	200	200	250	250	250	250	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1		48	32	128	128	0	0	1	0	2025	50	70	120	50	115	120	1584	3000	3500							1	0	20		hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	astrogha	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight		hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	astrogha	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight	hell_mother	hell_worm	hell_aciddog	hell_cultist	hell_croaky	hell_javcat	hell_killermoo	hell_roguebow	hell_succubusclan	hell_bane	hell_viper	hell_turtle	hell_inflate	hell_creepshow	hell_magmademon	hell_firewizard	hell_gargoylebeast	hell_runepriest	hell_dragonknight		rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1		48	32	128	128	0	0	1	0	100	75	100	120	85	115	120	0	0	0							1	0	0		hiddenboss																					hiddenboss																																								rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1		56	32	128	128	0	0	1	0	100	14	57	120	14	64	120	1536	1700	2000							1	0	6		rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2																rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2															rogue1h3	roguebow2	ghost1	crystal1																	rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 B	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1		64	32	128	128	0	0	1	0	2025	14	57	120	14	64	120	1536	1700	2000							1	0	6		rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2																rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2															rogue1h3	roguebow2	ghost1	crystal1																	rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 C	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1		72	32	128	128	0	0	1	0	100	14	57	120	14	64	120	1536	1700	2000							1	0	6		rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2																rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2															rogue1h3	roguebow2	ghost1	crystal1																	rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 D	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1		80	32	128	128	0	0	1	0	2025	14	57	120	14	64	120	1536	1700	2000							1	0	6		rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2																rogue1h3	roguebow2	ghost1	elite_archskelA	crystal1	porkchop_elite2															rogue1h3	roguebow2	ghost1	crystal1																	rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 E	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1		88	32	128	128	0	0	1	0	1000	15	70	120	15	65	120	1500	1700	2000							1	0	1		rogue1h3																					l4dwitch2																																								rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Monastery	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1		64	212	255	224	0	0	1	0	2025	15	59	120	15	65	120	900	1000	1100							1	0	8		evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	elite_fallenfatherA	cultist1														evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	elite_fallenfatherA	cultist1													evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	cultist1																										48	6	255	Monastery Gate	To The Monastery Gate	A1L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Courtyard 1	27	0	0			0	56	40	56	40	56	40	0	-40	26	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1		4	8	8	8	1	0	1	0	2025	16	59	120	16	66	120	1800	2000	2200							1	0	10		evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	roguebow2	infernalteddy2	elite_fallenfatherA	cultist1												evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	roguebow2	infernalteddy2	elite_fallenfatherA	cultist1											evilskel2	archskel2	rogue2h3	rogue1h3	wisp1	fallenfather3	roguebow2	infernalteddy2	cultist1																								0	7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0	1
Act 1 - Barracks	28	0	0			0	200	200	200	200	200	200	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1		64	255	178	64	0	0	1	0	2025	16	59	120	16	66	120	3600	3900	4200							1	0	11	SHADOWCREEPER HERE	cultist1	evilskel2	archskel2	rogue2h3	fallenfather3	skelmagecold1	skelmagefire1	skelmageltng1	inflate1	elite_fallenfatherA	null_monster											cultist1	evilskel2	archskel2	rogue2h3	fallenfather3	skelmagecold1	skelmagefire1	skelmageltng1	inflate1	elite_fallenfatherA	shadowcreeperM2										cultist1	evilskel2	archskel2	rogue2h3	fallenfather3	skelmagecold1	skelmagefire1	skelmageltng1	inflate1												rat	bat			30	30							8	8	255	Barracks	To The Barracks	A1L29	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0	1
Act 1 - Jail 1	29	0	0			18	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1		48	255	178	64	1	0	1	0	2025	17	59	120	17	68	120	3600	3900	4200							1	1	9	SHADOWCREEPER HERE	cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	inflate1	ghost1	elite_fallenfatherA	null_monster													cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	inflate1	ghost1	elite_fallenfatherA	shadowcreeperM2												cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	inflate1	ghost1														rat	bat			30	30							8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0	1
Act 1 - Jail 2	30	0	0			19	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1		32	255	178	64	0	0	1	0	2025	17	59	120	17	68	120	3600	3900	4200							1	1	9	SHADOWCREEPER HERE	cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1	elite_roguebowA	null_monster													cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1	elite_roguebowA	shadowcreeperM2												cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1														rat	bat			30	30							8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0	1
Act 1 - Jail 3	31	0	0			20	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	30	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1		16	255	178	64	0	0	1	0	2025	18	59	120	18	69	120	3600	3900	4200							1	1	9	SHADOWCREEPER HERE	cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1	elite_roguebowA	null_monster													cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1	elite_roguebowA	shadowcreeperM2												cultist1	archskel2	skelmagecold1	skelmagefire1	skelmageltng1	goatpriest1	ghost1														rat	bat			30	30							0	8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0	1
Act 1 - Courtyard 2	32	0	0			0	18	20	18	20	18	20	4000	1000	0	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	31	33	0	0	0	0	0	0	14	-1	-1	-1	-1	-1	-1	-1		4	8	8	8	0	0	1	0	2025	18	59	120	18	115	120	1080	1150	1400							1	0	0		dark_boss																					dark_boss																																																				0	22	7	Inner Cloister	To The Inner Cloister	A1L33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
