Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* category	* comment	* Marco / loc	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	Level	Level(N)	Level(H)	*eol
bighead1	10	bighead1	bighead2	1	Afflicted	bighead1		bighead	Bighead		@5	Classic			1	1												2	3		8	8	1	bighead	bighead	10	15	14	13				88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																	140	100	100	-20	-20	-20																			0				11	11	11	0	66	127	63	81	76	113	110							65	123	76	103	63	106	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		15	54	120	0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2		bighead	Bighead		BH	Classic			1	1												2	4		8	8	1	bighead	bighead	10	15	14	13				86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																	140	100	100	-20	-20	-20																			0				10	10	10	0	67	130	63	81	63	101	110							66	125	76	103	56	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		14	53	120	0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3		bighead	Bighead		BH	Classic			1	1												1	2		6	6	1	bighead	bighead	10	15	14	13				80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																	140	100	100	-20	-20	-20																			0				5	5	5	0	62	124	64	81	76	101	110							63	122	77	103	63	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		6	46	120	0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4		bighead	Bighead		BH	Classic			1	1												1	3		6	6	1	bighead	bighead	10	15	14	13				83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																	140	100	100	-20	-20	-20																			0				8	8	8	0	67	128	63	81	67	101	110							66	124	76	103	58	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		10	50	120	0
bighead5	14	bighead1	bighead6	4	Damned	bighead5		bighead	Bighead		BH	Classic			1	1												3	4		9	9	2	bighead	bighead	10	15	14	13				90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																	140	100	100	-20	-20	-20																			0				22	22	22	0	65	126	63	88	71	106	110							65	123	76	106	60	103	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		34	71	120	0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	Classic			1													2	4		5	5	2	foulcrow	foulcrow	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	140	100	100	-20	-20	-20																			0				5	5	5	0	19	46	13	37	26	51	115							19	45	66	38	48	80	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															5	46	120	0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	Classic			1													3	4		5	5	2	foulcrow	foulcrow	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	140	100	100	-20	-20	-20																			0				7	7	7	0	21	41	14	37	41	61	115							20	43	67	38	55	85	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															8	48	120	0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	Classic			1													3	5		6	6	2	foulcrow	foulcrow	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	140	100	100	-20	-20	-20																			0				17	17	17	0	21	45	13	37	37	64	115							20	45	66	38	53	87	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															20	56	120	0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	Classic			1													4	5		8	8	2	foulcrow	foulcrow	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	140	100	100	-20	-20	-20																			0				22	22	22	0	22	44	13	36	36	72	115							21	44	66	38	53	91	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															28	61	120	0
fallen1	19	fallen1	fallen2	0	FallenOne	fallenchild1	other	fallen	Brute		FA	Classic			1							fallenchild1		1	1	2	3	2	3		8	8	1	fallen	fallen	10	5	4	3							15	10	5	75	80	85	50	50	50																						1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				9	9	9	0	40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																3	45	120	0
fallen2	20	fallen1	fallen3	1	Invader	fallenchild2	other	fallen	Brute		FA	Classic			1							fallenchild2		1	1	2	3	2	3		8	8	1	fallen	fallen	10	5	4	3							10	5	0	80	85	90	50	50	50																						1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				9	9	9	0	40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																5	46	120	0
fallen3	21	fallen1	fallen4	2	Defiler	fallenchild3	other	fallen	Brute		FA	Classic			1							fallenchild3		1	1	2	3	2	3		8	8	1	fallen	fallen	10	5	4	3							5	0	0	85	90	95	50	50	50																						1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				9	9	9	0	40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																10	50	120	0
fallen4	22	fallen1	fallen5	3	Scourge	fallenchild4	other	fallen	Brute		FA	Classic			1							fallenchild4		1	1	2	3	2	3		8	8	1	fallen	fallen	10	5	4	3							0	0	0	90	95	100	50	50	50																						1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				9	9	9	0	40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																14	53	120	0
fallen5	23	fallen1	fallen6	3	Scourge	fallenchild4	other	fallen	Brute		FA	Classic			1							fallenchild4		1	1	2	3	2	3		8	8	1	fallen	fallen	10	5	4	3							0	0	0	90	95	100	50	50	50																						1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				9	9	9	0	40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																14	53	120	0
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	Classic			1													1	2		5	5	1	brute	brute	10	15	14	13							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																										140	100	100	-20	-20	-20																			0				6	6	6	0	139	224	84	121	76	101	95	126	151	100				142	217	84	120	73	110	95	118	145	100				222	255	85	120	70	120	95	110	140	100																																																																6	48	120	0
brute3	25	brute2	brute4	1	Yeti	brute3		brute	Brute		YE	Classic			1													2	2		5	5	1	brute	brute	10	15	14	13							0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																										140	100	100	-20	-20	-20																			0				10	10	10	0	146	236	84	121	58	101	95	115	129	100				145	223	84	120	64	110	95	112	134	100				222	255	85	120	70	120	95	110	140	100																																																																11	50	120	0
brute4	26	brute2	brute5	2	Crusher	brute4		brute	Brute		YE	Classic			1													2	3		6	6	2	brute	brute	10	15	14	13							0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																										140	100	100	-20	-20	-20																			0				19	19	19	0	143	231	84	120	62	101	95	108	139	100				144	220	84	120	66	110	95	109	139	100				222	255	85	120	70	120	95	110	140	100																																																																24	60	120	0
brute5	27	brute2	brute1	3	WailingBeast	brute5		brute	Brute		YE	Classic			1													3	4		6	6	1	brute	brute	10	15	14	13							0	0	0	90	90	95	60	60	50																						1	1									1			1	1							1																										140	100	100	-20	-20	-20																			0				23	23	23	0	142	230	85	121	61	107	95	114	141	100				143	220	85	120	65	113	95	112	140	100				222	255	85	120	70	120	95	110	140	100				A1	fire					15	15	35		15	30	50																																																29	66	120	0
brute1	28	brute2		4	GargantuanBeast	brute1		brute	Brute		YE	Classic			1													1	1		4	4	1	brute	brute	10	15	14	13							0	0	0	100	100	100	45	45	35																						1	1									1			1	1							1																										140	100	100	-20	-20	-20																			0				4	4	4	0	129	215	84	121	67	101	95	101	134	100				137	212	84	120	68	110	95	105	137	100				222	255	85	120	70	120	95	110	140	100																																																																3	45	120	0
sandraider1	29	sandraider1	sandraider3	0	SandRaider	sandraider1		sandraider	SandRaider		SR	Classic			1													2	3		6	6	1	sandraider	sandraider	10	15	14	13				40	40	40	70	70	40	75	80	85	70	75	85	18	12	9				50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	1																						140	100	100	-20	-20	-20																			0				25	25	25	0	136	211	84	117	67	101	175	110	140	180	80	100	250	135	195	97	123	66	105	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																16	54	120	0
hungrywolf	30	hungrywolf		0	Mon_SavageWolf	spiritwolf	hungrywolf		Mosquito		wf	Classic			1													1	1		9	15	1	wolf	wolf	10	15	15	15										100	100	100	25	25	25	5	5	5																			1	1												1	1									Item Werewolf	A1	50																						140	100	100	-20	-20	-20																			0				21	21	21	0	800	800	100		5	8	100							1000	1000	100	120	10	13	100							2400	2400	100	120	13	15	100																																																																			30	75	120	0
sandraider3	31	sandraider1	sandraider4	2	Invader	sandraider3		sandraider	SandRaider		SR	Classic			1													3	4		8	8	1	sandraider	sandraider	10	15	14	13				50	40	35	70	50	10	85	90	95	70	80	90	13	9	6				50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	3																						140	100	100	-20	-20	-20																			0				34	34	34	0	135	211	84	117	67	92	175	110	140	180	80	100	250	135	195	97	123	66	101	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																23	59	120	0
sandraider4	32	sandraider1	sandraider5	3	Infidel	sandraider4		sandraider	SandRaider		SR	Classic			1													3	5		8	8	1	sandraider	sandraider	10	15	14	13				55	40	35	70	40	10	88	95	99	70	80	90	10	7	5	1	1	1	50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	4																						140	100	100	-20	-20	-20																			0				44	44	44	0	135	211	85	116	63	94	175	110	140	180	80	100	250	135	195	97	123	64	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	cold	100	100	130	75	100	120	150	75	100	140	180	75																																															30	66	120	0
sandraider5	33	sandraider1	sandraider6	4	Assailant	sandraider5		sandraider	SandRaider		SR	Classic			1													4	5		9	9	1	sandraider	sandraider	10	15	14	13				60	40	35	70	30	10	90	99	100	70	80	90	7	5	4				50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	5																						140	100	100	-20	-20	-20																			0				48	48	48	0	134	210	84	123	65	95	175	110	140	180	80	100	250	134	195	97	126	65	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																33	74	120	0
gorgon1	34	gorgon1	gorgon2	0	unused	gorgon1			Idle		GO	Classic			1													0	0		0	0					15	14	13																																																																																				0			-20	-20	-20																			0																																																																																																											0	0	0	0
gorgon2	35	gorgon1	gorgon3	1	unused	gorgon2			Idle		GO	Classic			1													0	0		0	0					15	14	13																																																																																				0			-20	-20	-20																			0																																																																																																											0	0	0	0
gorgon3	36	gorgon1	gorgon4	2	unused	gorgon3			Idle		GO	Classic			1													0	0		0	0					15	14	13																																																																																				0			-20	-20	-20																			0																																																																																																											0	0	0	0
gorgon4	37	gorgon1		3	unused	gorgon4			Idle		GO	Classic			1													0	0		0	0					15	14	13																																																																																				0			-20	-20	-20																			0																																																																																																											0	0	0	0
wraith1	38	wraith1	wraith2	0	Ghost	wraith1		wraith	Wraith	drains mana	WR	Classic			1													1	2		6	6	1	wraith	wraith	10	15	14	13				50	60	60	12	10	8	70	75	80																									1	1					1			1	1			1	1																																	140	100	100	-20	-20	-20																			0				8	8	8	0	83	165	84	93	61	121	95							74	127	107	99	60	113	95							182	195	130	105	60	105	95							A1	mana	40	60	100		40	100	200		40	200	300																																																9	48	120	0
wraith2	39	wraith1	wraith3	1	Wraith	wraith2		wraith	Wraith	drains mana	WR	Classic			1													1	3		8	8	1	wraith	wraith	10	15	14	13				60	70	70	10	8	6	75	80	85																									1	1					1			1	1			1	1																																	140	100	100	-20	-20	-20																			0				11	11	11	0	87	173	84	92	58	115	95							76	131	107	98	59	110	95							182	195	130	105	60	105	95							A1	mana	45	57	100		45	100	200		45	200	300																																																13	51	120	0
wraith3	40	wraith1	wraith4	2	Specter	wraith3		wraith	Wraith	drains mana	WR	Classic			1													2	3		8	8	1	wraith	wraith	10	15	14	13				70	80	80	8	6	4	80	85	90																									1	1					1			1	1			1	1																																	140	100	100	-20	-20	-20																			0				19	19	19	0	86	173	84	92	62	101	95							75	131	107	98	61	103	95							182	195	130	105	60	105	95							A1	mana	50	38	69		50	100	200		50	200	300																																																24	60	120	0
wraith4	41	wraith1	wraith5	3	Apparition	wraith4		wraith	Wraith	drains mana	WR	Classic			1													2	4		9	9	1	wraith	wraith	10	15	14	13				80	90	90	6	4	4	85	90	95																									1	1					1			1	1			1	1																																	140	100	100	-20	-20	-20																			0				20	20	20	0	86	172	85	93	62	108	95							75	131	107	99	61	106	95							182	195	130	105	60	105	95							A1	mana	60	46	84		60	100	200		60	200	300																																																25	61	120	0
wraith5	42	wraith1	wraith6	4	DarkShape	wraith5		wraith	Wraith	drains mana	WR	Classic			1													3	4		10	10	1	wraith	wraith	10	15	14	13				90	100	100	4	4	4	90	95	99																									1	1					1			1	1			1	1																																	140	100	100	-20	-20	-20																			0				22	22	22	0	85	172	85	93	65	108	95							75	131	107	99	62	106	95							182	195	130	105	60	105	95							A1	mana	70	50	107		70	100	200		70	200	300																																																28	64	120	0
corruptrogue1	43	corruptrogue1	corruptrogue2	0	DarkHunter	corruptrogue1	other	corruptrogue	CorruptRogue		CR	Classic			1													2	3		6	6	2	corruptrogue	corruptrogue	10	15	14	13				60	70	80	15	10	7	75	80	85	100	100	100	20	50	75																			1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				12	12	12	0	58	101	84	78	34	101	130							59	100	89	86	44	105	130							180	200	95	95	55	110	130																																																																			3	45	120	0
corruptrogue2	44	corruptrogue1	corruptrogue3	1	VileHunter	corruptrogue2	other	corruptrogue	CorruptRogue		CR	Classic			1													2	4		8	10	2	corruptrogue	corruptrogue	10	15	14	13				70	80	90	12	9	7	80	85	90	100	100	100	20	50	75																			1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				18	18	18	0	62	101	84	78	51	126	130							61	100	89	86	53	118	130							180	200	95	95	55	110	130																																																																			6	48	120	0
corruptrogue3	45	corruptrogue1	corruptrogue4	2	DarkStalker	corruptrogue3	countess	corruptrogue	CorruptRogue		CR	Classic		Superuniques	1													3	4		8	13	2	corruptrogue	corruptrogue	10	5	4	3				100	100	100	3	3	3	100	100	100	100	100	100	75	85	95																			1	1							1		1			1	1							1		CountessFirewall	A1	4																						140	100	100	-20	-20	-20																			0				25	25	25	0	134	224	168	158	102	234	260							126	212	178	174	106	226	260							360	400	190	190	110	220	260																																																																			15	70	120	0
corruptrogue4	46	corruptrogue1	corruptrogue5	3	BlackRogue	corruptrogue4	other	corruptrogue	CorruptRogue		CR	Classic			1													3	5		9	15	2	corruptrogue	corruptrogue	10	15	14	13				90	95	95	7	5	5	88	95	95	100	100	100	20	50	75																			1	1							1		1			1	1							1																										140	100	100	-20	-20	-20																			0				33	33	33	0	66	111	84	79	43	115	130							63	105	89	87	49	112	130							180	200	95	95	55	110	130																																																																			11	50	120	0
