name	*name	*type	* status	szFlavorText	code	alternategfx	namestr	type	type2	compactsave	version	level	levelreq	rarity	spawnable	minac	maxac	speed	nodurability	cost	gamble cost	auto prefix	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol
Not used		Unused			jaw	jaw	jaw	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpjaw	invjaw			1	cqv	10	40	0	0	item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			eyz	eyz	eyz	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpeye	inveye			1	mpo	0	0	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			hrn	hrn	hrn	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flphorn	invhorn			1	aqv	10	40	0	0	item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			tal	tal	tal	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flptail	invtail			1	vps	0	0	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			flg	flg	flg	body		0	0	0	0	1	0			0	1				16	1	2	0	0	0	flpflag	invflag			0	xxx			0	0	item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			fng	fng	fng	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpfang	invfang			1	key	1	1	0	0	item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			qll	qll	qll	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpquil	invquil			1	aqv	10	40	0	0	item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			sol	sol	sol	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpsple	invsple			1	mpo	0	0	0	0	item_rare	12		0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			scz	scz	scz	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpscp	invscp			1	hpf	0	0	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Not used		Unused			spe	spe	spe	body		0	0	0	0	1	0			0	1				16	1	1	0	0	0	flpsple	invsple			1	gps	1	1	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Torch		Unused			tch	bsh	tch	torc		1	0	0	0	0	0			0	1				7	1	2	0	0	0	flptrch	invtrch			0	xxx			0	0	item_staff	12	item_staff	0	1	3	6	0	0	0	2	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Mephisto Key		Unused			luv	key	luv	key		0	0	0	0	1	0			0	1				16	1	2	0	0	0	flpmph	invmph			0	xxx			0	0	item_key	12	item_key	0	0	5	0	0	0	0	0	0	0	20	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
scroll of self resurrect		Unused			xyz	scr	xyz	ques		0	0	0	0	999	0			0	1				16	1	1	0	0	0	flpwps	invxyz			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
herb		Unused			hrb	hrb	hrb	herb		0	100	3	0	3	0			0	1				16	1	1	0	0	0	flphrb	invhrb			0	xxx			1	0	item_herb	12	item_herb	0	0	5	0	1	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Small Red Potion		Unused			rps	rps	rps	hpot		1	100	0	0	1	0			0	1				16	1	1	0	0	0	flprps	invrps			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	1	5	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Large Red Potion		Unused			rpl	rpl	rpl	hpot		1	100	0	0	1	0			0	1				16	1	1	0	0	0	flprpl	invrpl			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	1	5	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Small Blue Potion		Unused			bps	bps	bps	mpot		1	100	0	0	1	0			0	1				16	1	1	0	0	0	flpbps	invbps			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	1	5	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Large Blue Potion		Unused			bpl	bpl	bpl	mpot		1	100	0	0	1	0			0	1				16	1	1	0	0	0	flpbpl	invbpl			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	1	5	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Scroll		Unused			0sc	rsc	0sc	scro		0	100	0	0	0	1			0	1				16	1	1	0	0	0	flprsc	invrsc			0	xxx			1	0	item_scroll	10	item_scroll	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Token of Absolution		Respec Potion			toa	toa	toa	ques		0	100	0	0	999	1			0	1				16	1	1	0	0	0	flppot	pot04			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	0	0	0	0			0	-1												1	toaDesc		0	0	0	non	0					255					255	1	1	1	1	255					255	1	1	1	1	255					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	1	1	1	1	255	1	1	1	1	255					255					255					255			0	0	0	xxx	xxx			1	1		0
Bark Scroll		Quests			bks	bks	bks	ques		1	0	0	0	0	0			0	1				16	2	2	0	0	0	flpscr	invscb			0	xxx			0	0	item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
deciphered Bark Scroll		Quests			bkd	bkd	bkd	ques		1	0	0	0	0	0			0	1				16	2	2	0	0	0	flpscr	invscb			0	xxx			0	0	item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
jade figurine		Quests			j34	bks	j34	ques		1	0	0	0	0	0			0	1				16	1	2	0	0	0	flpjbi	invjbi			0	xxx			0	0	item_rare	12		1	0	3	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
gold bird		Quests			g34	bks	g34	ques		1	0	0	0	0	0			0	1				16	1	2	0	0	0	flpgbi	invgbi			0	xxx			0	0	item_rare	12		1	0	4	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
lam esen's tome		Quests			bbb	bbb	bbb	ques		1	0	0	0	0	0			0	1				16	2	2	0	0	0	flpbbb	invbbb			0	xxx			0	0	item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	16	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Scroll of Horadric Quest Info		Quests			tr1	grg	tr1	ques		1	0	0	0	999	0			0	1				16	2	2	0	0	0	flphscr	invhscr			0	xxx			0	0	item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	10	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Mephisto SoulStone		Quests			mss	scr	mss	ques		1	0	0	0	999	0			0	1				16	1	1	0	0	0	flpmss	invmss			0	xxx			0	0	item_gem	12	item_gem	1	0	5	0	0	0	0	0	0	0	23	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Book of Skill		Quests			ass	tbk	ass	ques		1	0	0	0	999	0			0	1				16	2	2	0	0	0	flpbbk	invsbk			0	xxx			1	0	item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	15	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Maguffin		Quests			ice	scr	ice	ques		0	100	0	0	999	0			0	1				16	1	1	0	0	0	flpwps	invxyz			0	xxx			0	0	item_potion	14	item_potion_drink	0	0	5	0	0	0	0	0	0	0	32	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Player Ear		Quests			ear	ear	ear	play		1	0	0	0	1	0			0	1				16	1	1	0	0	0	flpear	invear			0	xxx			0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Horadric Cube		Quests			box	rbk	box	ques		0	0	0	0	0	0			0	1				16	2	2	0	0	0	flpbox	invbox			0	xxx			1	0	item_rare	12		0	0	5	0	0	0	0	0	0	0	10		0	-1	7														0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
KhalimEye		Quests			qey	eyz	qey	ques		1	0	0	0	1	0			0	1				16	1	1	0	0	0	flpeye	inveye			0	xxx	 	 	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
KhalimHeart		Quests			qhr	hrt	qhr	ques		1	0	0	0	1	0			0	1				16	1	1	0	0	0	flphrt	invhrt			0	xxx	 	 	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
KhalimBrain		Quests			qbr	brz	qbr	ques		1	0	0	0	1	0			0	1				16	1	1	0	0	0	flpbrnz	invbrnz			0	xxx	 	 	0	0	item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Scroll of Malah - Boost Resistances		Quests			tr2	scr	tr2	thng		1	100	0	0	999	0			0	1				16	2	2	0	0	0	flpscr	invscb			0	xxx			0	0	item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	32	1	0	-1												1	MalahScrollX		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
viper amulet		Quests			vip	vip	vip	amul		0	0	15	0	4	0			0	1				16	1	1	0	0	0	flpamu	invvip	invvip		0	xxx			0	0	item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0	10	1	0	-1															0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
amulet		Equip			amu	amu	amu	amul		0	0	1	0	4	1			0	1	1	300000		16	1	1	0	0	0	flpamu	invamu			0	xxx			0	0	item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
ring		Equip			rin	rin	rin	ring		0	0	1	0	4	1			0	1	1	200000		16	1	1	0	0	0	flprin	invrin			0	xxx			0	0	item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Jewel		Equip			jew	gpw	jew	jewl		0	100	1	0	8	1			0	1				16	1	1	0	0	0	flpgsw	invgswe			0	xxx			0	0	item_jewel	12	item_jewel	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
gold		Misc			gld	gld	gld	gold		1	0	0	0	1	1			0	1				16	1	1	0	0	0	flpgld	invgld			0	xxx			0	0	item_gold	12	item_gold	0	0	5	0	0	0	1	0	5000	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Charm Small		Misc			cm1	rld	cm1	scha		0	100	28	0	4	1			0	1		45000		16	1	1	0	0	0	flpchm1	invch1			0	xxx			0	0	item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Charm Medium		Misc			cm2	rda	cm2	mcha		0	100	14	0	8	1			0	1		38000		16	1	2	0	0	0	flpchm2	invch2			0	xxx			0	0	item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Charm Large		Misc			cm3	rgd	cm3	lcha		0	100	1	0	12	1			0	1		32000		16	1	3	0	0	0	flpchm3	invsst			0	xxx			0	0	item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	1	xxx	xxx						0
Town Portal Book		Misc			tbk	bbk	tbk	book		0	0	0	0	0	0			0	1				16	1	2	0	0	0	flpbbk	invbbk			0	xxx			0	0	item_book	12	item_book	0	0	5	0	0	0	1	1	100	5			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Identify Book		Misc			ibk	rbk	ibk	book		0	0	0	0	0	0			0	1				16	1	2	0	0	0	flprbk	invrbk			0	xxx			0	0	item_book	12	item_book	0	0	5	0	0	0	1	1	100	5			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Town Portal Scroll		Misc			tsc	bsc	tsc	scro		1	0	0	0	0	0			0	1				16	1	1	0	0	0	flpbsc	invbsc			0	xxx			0	0	item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Identify Scroll		Misc			isc	rsc	isc	scro		1	0	0	0	0	0			0	1				16	1	1	0	0	0	flprsc	invrsc			0	xxx			0	0	item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx						0
Arrows		Misc			aqv	aqv	aqv	bowq		0	0	0	0	1	1			0	1				16	1	3	0	0	0	flpqvr	invqvr			0	xxx			0	0	item_quiver	12	item_quiver	0	0	5	0	0	0	1	100	500	200			0	-1															0	1	0	non	0	3	5			255	1	3			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255					255					255			0	0	0	xxx	xxx			1			0
Bolts		Misc			cqv	cqv	cqv	xboq		0	0	0	0	1	1			0	1				16	1	3	0	0	0	flpqvr	invcqv			0	xxx			0	0	item_quiver	12	item_quiver	0	0	5	0	0	0	1	60	500	150			0	-1															0	1	0	non	0	3	5			255	1	3			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255					255					255			0	0	0	xxx	xxx			1			0
Skeleton Key		Misc			key	key	key	key		0	0	0	0	1	1			0	1				16	1	1	0	0	0	flpkey	invkey			0	xxx			0	0	item_key	12	item_key	0	0	5	0	0	0	1	1	50	10			0	-1															0	0	0	non	0					255					255	1	2	1	2	255					255	6	9	6	9	255					255	2	3	2	3	255					255					255					255					255					255					255	1	1			255					255					255	1	2	1	2	255			0	0	0	xxx	xxx			1	1		0
Lesser Healing Potion		Potions			hp1	hp1	hp1	hpot		1	0	0	0	1	1			0	1	25			16	1	1	0	0	0	flprps	invhp1			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	6	regenpotion	poison	regenpotion	250	hpregen	((stat('maxhp'.accr)/250)*(100+stat('potion_efficiency'.accr)))/100	velocitypercent	-15			1	ItemstatsPot1		0	0	0	non	0					255					255	1	1			255					255	1	1			255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255			0	0	0	hp4	hp5			1	1		0
Light Healing Potion		Potions			hp2	hp2	hp2	hpot		1	0	0	0	1	1			0	1	50			16	1	1	0	0	0	flprps	invhp2			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	6	regenpotion	poison	regenpotion	225	hpregen	((stat('maxhp'.accr)/225)*(100+stat('potion_efficiency'.accr)))/100	velocitypercent	-15			1	ItemstatsPot2		0	0	0	non	0					255					255					255					255	1	1			255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255			0	0	0	hp4	hp5			1	1		0
Healing Potion		Potions			hp3	hp3	hp3	hpot		1	0	0	0	1	1			0	1	100			16	1	1	0	0	0	flprps	invhp3			0	xxx			1	0	item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	6	regenpotion	poison	regenpotion	200	hpregen	((stat('maxhp'.accr)/200)*(100+stat('potion_efficiency'.accr)))/100	velocitypercent	-15			1	ItemstatsPot3		0	0	0	non	0					255					255					255					255					255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255			0	0	0	hp4	hp5			1	1		0
