ItemType	Code	Id	*name	*order*	*status	subdivide	makepage	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Flawless Gem	gem3	94						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Perfect Gem	gem4	95						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Amethyst	gema	96						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Diamond	gemd	97						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Emerald	geme	98						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Ruby	gemr	99						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Sapphire	gems	100						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Topaz	gemt	101						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Skull	gemz	102						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Crystal Sword	crsd	103	Crystal Swords	2				swor		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Special Shield	bshi	104	Special Shields	45				shie		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Special Helm	bhlm	105	Special Helms	43				helm		1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Crown	crow	106	Helms	41				helm		1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Thanks For Playing	woot	107			starting bird			ques		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Trigger Curse Item	tcur	108			unused			amul		0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		3	invamu1	invamu2	invamu3				misc	0
Thingy	thng	109			all cube reagents					0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Scroll of Summoning	summ	110		65	summon oskill item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		0							misc	0
Reward Charm	grtz	111	Quest Charms	11	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0		0							misc	0
Scythe	scyh	112	Scythes					pole		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Gem Pile 1	gep1	113			dull [disabled]					0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Gem Pile 2	gep2	114			regular			gep1		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Gem Pile 3	gep3	115			glowing			gep2		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Gem Pile 4	gep4	116		64	brilliant			gep3		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Challenge Charm 1	araa	117	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	ama	0							misc	0
Challenge Charm 2	arab	118	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	ass	0							misc	0
Challenge Charm 3	arac	119	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	bar	0							misc	0
Challenge Charm 4	arad	120	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	dru	0							misc	0
Challenge Charm 5	arae	121	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	nec	0							misc	0
Challenge Charm 6	araf	122	Class Charms	64	reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	pal	0							misc	0
Challenge Charm 7	arag	123	Class Charms		reward item			char		0	0					0	0	0	0			0	1	0	0	0	0	0	0	3		0	sor	0							misc	0
Rainbow Gem	gemx	124						gem		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Shield (Sacred)	qshi	125	Shields	44				shie	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Armor (Sacred)	qtor	126	Body Armors	39				tors	ct2a	1	1	tors	tors			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Boots (Sacred)	qbot	127	Boots	48				boot	ct1a	1	1	feet	feet			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Gloves (Sacred)	qglv	128	Gloves	47				glov	ct1a	1	1	glov	glov			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Belt (Sacred)	qblt	129	Belts	46				belt	ct1a	1	1	belt	belt			0	0	0	0		1	0	0	0	0	2	2	2	0	3		1		0							armo	0
Scepter (Sacred)	qscp	130	Scepters	8				scep	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
Wand (Sacred)	qwnd	131	Necromancer Wands	32				wand	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Staff (Sacred)	qstf	132	Staves	15				staf	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0		0							weap	0
Bow (Sacred)	qbow	133	Bows	16				bow	ct2w	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	3		0		0							weap	0
Axe (Sacred)	qaxe	134	One-Handed Axes	4				axe	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Club (Sacred)	qclb	135	Clubs					club	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Sword (Sacred)	qswd	136	One-Handed Swords	1				swor	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Hammer (Sacred)	qham	137	Hammers	7				hamm		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Knife (Sacred)	qknf	138	Daggers	12				knif	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Spear (Sacred)	qspe	139	Spears	10				spea	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Polearm (Sacred)	qpol	140	Polearms					pole	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Crossbow (Sacred)	qxbw	141	Crossbows	17				xbow	ct2w	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Mace (Sacred)	qmac	142	Maces	6				mace	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Helm (Sacred)	qhlm	143	Helms	40				helm	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Throwing Knife (Sacred)	qtkn	144	Throwing Knives	13				tkni	ct1w	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Throwing Axe (Sacred)	qtax	145	Throwing Axes	14				taxe	ct1w	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Javelin (Sacred)	qjvn	146	Javelins	9				jave	ct1w	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	6	6	6	0	3		0		0							misc	0
Circlet (Sacred)	qcic	147	Circlets	42				circ	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Hand to Hand (Sacred)	qh2h	148	Assassin Claws	21				h2h	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ass	0							weap	0
Orb (Sacred)	qorb	149	Sorceress Orbs	37				orb	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	3	3	3	0	2		0	sor	0							weap	0
Voodoo Heads (Sacred)	qhed	150	Necromancer Shields	55				head	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	4	4	0	2		0	nec	0							armo	0
Auric Shields (Sacred)	qaur	151	Paladin Shields	57				ashd	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							armo	0
Primal Helm (Sacred)	qphm	152	Barbarian Helms	53				phlm	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	2		0	bar	0							armo	0
Pelt (Sacred)	qplt	153	Druid Helms	54				pelt	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	2		0	dru	0							armo	0
Amazon Bow (Sacred)	qabw	154	Amazon Bows	18				abow	ct2w	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	2		0	ama	0							weap	0
Amazon Spear (Sacred)	qasp	155	Amazon Spears	19				aspe	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ama	0							weap	0
Amazon Javelin (Sacred)	qajv	156	Amazon Javelins	20				ajav	ct1w	1	1	rarm	larm			1	1	1	1		1	0	0	0	0	3	3	3	0	2		0	ama	0							misc	0
Crystal Sword (Sacred)	qcrs	157	Crystal Swords	2				crsd	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Special Shield (Sacred)	qbon	158	Special Shields	45				qshi		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Special Helm (Sacred)	qbhe	159	Special Helms	43				qhlm		1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Crown (Sacred)	qcrn	160	Helms	41				qbhe		1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Scythe (Sacred)	qscy	161	Scythes	11				scyh	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Amazon Helm	azhm	162	Amazon Helms	49				helm		1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	ama	0							armo	0
Amazon Helm (Sacred)	szhm	163	Amazon Helms	49				azhm	ct1a	1	1	head	head			0	0	0	0		1	0	0	0	0	4	4	4	0	2		1	ama	0							armo	0
Amazon Shield	azsd	164	Amazon Shields	50				shie		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	ama	0							armo	0
Amazon Shield (Sacred)	sasz	165	Amazon Shields	50				azsd	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	ama	0							armo	0
Assassin Naginata	nagi	166	Assassin Naginatas	22				mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ass	0							weap	0
Assassin Naginata (Sacred)	snag	167	Assassin Naginatas	22				nagi	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	ass	0							weap	0
Assassin Shield	ishd	168	Assassin Shields	51				shie		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	ass	0							armo	0
Assassin Shield (Sacred)	sisd	169	Assassin Shields	51				ishd	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	ass	0							armo	0
Barbarian Axe	baxe	170	Barbarian One-Handed Axes	24				axe	barb	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
Barbarian Axe (Sacred)	sbax	171	Barbarian One-Handed Axes	24				baxe	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
Barbarian Shield	basd	172	Barbarian Shields	52				shie	barb	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	bar	0							armo	0
Barbarian Shield (Sacred)	saba	173	Barbarian Shields	52				basd	ct1a	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		1	bar	0							armo	0
Barbarian Sword	bswd	174	Barbarian Swords	23				swor	barb	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
Barbarian Sword (Sacred)	sbsd	175	Barbarian Swords	23				bswd	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	bar	0							weap	0
Druid Bow	dbow	176	Druid Bows	26				bow	dbox	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	2		0	dru	0							weap	0
Druid Bow (Sacred)	sdbw	177	Druid Bows	26				dbow	ct2w	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	2		0	dru	0							weap	0
Druid Staff	dstf	178	Druid Staves	27				staf	dbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	dru	0							weap	0
Druid Staff (Sacred)	sdst	179	Druid Staves	27				dstf	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	dru	0							weap	0
Necromancer Knife	nknf	180	Necromancer Daggers	30				knif	nbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Knife (Sacred)	snkf	181	Necromancer Daggers	30				nknf	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Scythe	nscy	182	Necromancer Scythes	28				scyh	nbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Scythe (Sacred)	snsy	183	Necromancer Scythes	28				nscy	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Staff	nstf	184	Necromancer Staves	29				staf	nbox	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Staff (Sacred)	snst	185	Necromancer Staves	29				nstf	ct2w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Xbow	nxbw	186	Necromancer Crossbows	31				xbow	nbox	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Necromancer Xbow (Sacred)	snxb	187	Necromancer Crossbows	31				nxbw	ct2w	1	1	rarm	larm	xboq		0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	nec	0							weap	0
Paladin Club	pclb	188	Paladin Clubs	33				club		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Club (Sacred)	spcb	189	Paladin Clubs	33				pclb	ct1w	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
Paladin Hammer	pham	190	Paladin Hammers	35				hamm		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	2		0	pal	0							weap	0
