Treasure Class	* Laz / contains	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	* Laz / pct	Item2	Prob2	* Laz / pct	Item3	Prob3	* Laz / pct	Item4	Prob4	* Laz / pct	Item5	Prob5	* Laz / pct	Item6	Prob6	* Laz / pct	Item7	Prob7	* Laz / pct	Item8	Prob8	* Laz / pct	Item9	Prob9	* Laz / pct	Item10	Prob10	* Laz / pct	SumItems	TotalProb	DropChance	Term
Hpotion 5				1						dog	15		hp3	10	5%	hp4	40	23%	hp5	40	23%	mp3	10	5%	mp4	30	17%	mp5	30	17%	rvs	10	5%										0
Hpotion 6				1						dog	15		hp4	40	22%	hp5	60	33%	mp4	20	11%	mp5	40	22%	rvs	10	5%	rvl	10	5%													0
Potion 1	Unused			1						hp1	8	47%	hp2	3	17%	mp1	3	17%	mp2	2	11%	rvs	1	5%																			0
Potion 2	Unused			1						hp1	2	13%	hp2	4	26%	hp3	3	20%	mp1	1	6%	mp2	2	13%	mp3	2	13%	rvs	1	6%													0
Potion 3	Unused			1						hp2	2	11%	hp3	5	27%	hp4	4	22%	mp2	1	5%	mp3	3	16%	mp4	2	11%	rvs	1	5%													0
Potion 4	Unused			1						hp3	2	12%	hp4	4	25%	hp5	3	18%	mp3	1	6%	mp4	3	18%	mp5	2	12%	rvs	1	6%													0
Potion 5	Unused			1						hp3	1	5%	hp4	4	23%	hp5	4	23%	mp3	1	5%	mp4	3	17%	mp5	3	17%	rvs	1	5%													0
Potion 6	Unused			1						hp4	4	22%	hp5	6	33%	mp4	2	11%	mp5	4	22%	rvs	1	5%	rvl	1	5%																0
Runes 1				1						r01	3	16%	r02	3	16%	r01	3	16%	r02	3	16%	r01	3	16%	r02	3	16%																0
Runes 2				1						r03	3	21%	r04	3	21%	Runes 1	4	57%																									0
Runes 3				1						r05	3	14%	r06	3	14%	Runes 2	7	71%																									0
Runes 4				1						r07	3	10%	r08	3	10%	Runes 3	11	78%																									0
Runes 5				1						r09	3	8%	r10	3	8%	Runes 4	16	82%																									0
Runes 6				1						r11	3	7%	r12	3	7%	Runes 5	22	85%																									0
Runes 7				1						r13	3	6%	r14	3	6%	Runes 6	29	87%																									0
Runes 8				1						r15	3	4%	r16	3	4%	Runes 7	37	90%																									0
Runes 9				1						r17	3	3%	r18	3	3%	Runes 8	46	92%																									0
Runes 10				1						r19	3	2%	r20	3	2%	Runes 9	56	94%																									0
Runes 11				1						r21	3	2%	r22	3	2%	Runes 10	67	95%																									0
Runes 12				1						r23	3	1%	r24	3	1%	Runes 11	79	97%																									0
Runes 13				1						r25	3	1%	r26	3	1%	Runes 12	92	97%																									0
Runes 14				1						r27	3	0%	r28	3	0%	Runes 13	106	98%																									0
Runes 15				1						r29	3	0%	r30	3	0%	Runes 14	121	98%																									0
Runes 16				1						r31	3	0%	r32	3	0%	Runes 15	137	99%																									0
Runes 17				1						r33	3	0%	r34	3	0%	Runes 16	154	99%																									0
Runes 18				1						r35	3	0%	r36	3	0%	Runes 17	172	99%																									0
Runes 19				1						r37	3	0%	r38	3	0%	Runes 18	191	99%																									0
Runes 20				1						r39	3	0%	r40	3	0%	Runes 19	211	99%																									0
Runes 21				1						r41	3	0%	r42	3	0%	Runes 20	232	99%																									0
Runes 22				1						r43	3	0%	r44	3	0%	Runes 21	254	99%																									0
Runes 23				1						r45	3	0%	r46	3	0%	Runes 22	277	99%																									0
Runes 24				1						r47	3	0%	r48	3	0%	Runes 23	301	99%																									0
Runes 25				1						r49	3	0%	r50	3	0%	Runes 24	326	99%																									0
Runes Super				1						r51	6	0%	r52	4	0%	r53	2	0%	r51	6	0%	r52	4	0%	r53	2	0%	Runes 25	4950	7224													0
Runes Toraja				1						r54	6	0%	r55	4	0%	r56	2	0%	r54	6	0%	r55	4	0%	r56	2	0%	Runes 25	4950	7224													0
Signets Minor				1						zku	30	Exp	zkw	67	Gold	zkq	3																										0
Signets Full				1						zkr	10	Gexp	zkx	10	Ggold	zkq	5	Learning	Signets Minor	75																							0
Act 1 Junk				1						Hpotion 1	49		Misc 0	20		Ammo	5		Elixir	8		Signets Minor	1		Hpotion 1	20																	0
Act 2 Junk				1						Hpotion 1	48		Misc 0	20		Ammo	5		Elixir	9		Act 1 Junk	4		Signets Minor	1		Blank TC	20														0
Act 3 Junk				1						Hpotion 2	47		Misc 1	20		Ammo	5		Elixir	9		Act 2 Junk	7		Signets Minor	1		Blank TC	20														0
Act 4 Junk				1						Hpotion 3	46		Misc 1	20		Ammo	5		Elixir	10		Act 3 Junk	10		Signets Minor	1		Blank TC	20														0
Act 5 Junk				1						Hpotion 4	45		Misc 2	20		Ammo	5		Elixir	10		Act 4 Junk	13		Signets Minor	1		Blank TC	20														0
Act 1 (N) Junk				1						Hpotion 5	44		Misc 2	20		Ammo	5		Elixir	11		Act 5 Junk	16		Signets Minor	1		Blank TC	20														0
Act 2 (N) Junk				1						Hpotion 6	43		Misc 2	20		Ammo	5		Elixir	11		Act 5 Junk	19		Signets Minor	1		Blank TC	20														0
Act 3 (N) Junk				1						Hpotion 6	42		Misc 2	20		Ammo	5		Elixir	12		Act 5 Junk	22		Signets Minor	1		Blank TC	20														0
Act 4 (N) Junk				1						Hpotion 6	41		Misc 2	20		Ammo	5		Elixir	12		Act 5 Junk	25		Signets Minor	1		Blank TC	20														0
Act 5 (N) Junk				1						Hpotion 6	40		Misc 2	20		Ammo	5		Elixir	13		Act 5 Junk	28		Signets Minor	1		Blank TC	20														0
Act 1 (H) Junk				1						Hpotion 6	39		Misc 2	20		Ammo	5		Elixir	13		Act 5 Junk	31		Signets Full	1		Blank TC	20														0
Act 2 (H) Junk				1						Hpotion 6	38		Misc 2	20		Ammo	5		Elixir	14		Act 5 Junk	34		Signets Full	1		Blank TC	20														0
Act 3 (H) Junk				1						Hpotion 6	37		Misc 2	20		Ammo	5		Elixir	14		Act 5 Junk	37		Signets Full	1		Blank TC	20														0
Act 4 (H) Junk				1						Hpotion 6	36		Misc 2	20		Ammo	5		Elixir	15		Act 5 Junk	40		Signets Full	1		Blank TC	20														0
Act 5 (H) Junk				1						Hpotion 6	35		Misc 2	20		Ammo	5		Elixir	15		Act 5 Junk	43		Signets Full	2		Blank TC	20														0
Act 1 Equip A		1	0	1						weap3	7		armo3	7																													0
Act 1 Equip B		1	5	1						weap3	3		armo3	3		weap6	7		armo6	7																							0
Act 1 Equip C		1	9	1						weap3	2		armo3	1		weap6	6		armo6	3		weap9	14		armo9	7		weap12	2		armo12	1											0
Act 2 Equip A		1	12	1						weap6	2		armo6	1		weap9	6		armo9	3		weap12	14		armo12	7		weap15	2		armo15	1		Act 1 Equip C	4	4			4	36	66	0	0
Act 2 Equip B		1	15	1						weap9	2		armo9	1		weap12	6		armo12	3		weap15	14		armo15	7		weap18	2		armo18	1		Act 2 Equip A	5	1			1	36	96	1	0
Act 2 Equip C		1	18	1						weap12	2		armo12	1		weap15	6		armo15	3		weap18	14		armo18	7		weap21	2		armo21	1		Act 2 Equip B	6	1			1	36	116	1	0
Act 3 Equip A		1	20	1						weap15	2		armo15	1		weap18	6		armo18	3		weap21	14		armo21	7		weap24	2		armo24	1		Act 2 Equip C	7	1			1	36	136	1	0
Act 3 Equip B		1	22	1						weap18	2		armo18	1		weap21	6		armo21	3		weap24	14		armo24	7		weap27	2		armo27	1		Act 3 Equip A	9	2			1	36	236	1	0
Act 3 Equip C		1	24	1						weap21	2		armo21	1		weap24	6		armo24	3		weap27	14		armo27	7		weap30	2		armo30	1		Act 3 Equip B	10	1			1	36	376	1	0
Act 4 Equip A		1	26	1						weap24	2		armo24	1		weap27	6		armo27	3		weap30	14		armo30	7		weap33	2		armo33	1		Act 3 Equip C	12	2			2	33	463	1	0
Act 4 Equip B		1	29	1						weap27	2		armo27	1		weap30	6		armo30	3		weap33	14		armo33	7		weap36	2		armo36	1		Act 4 Equip A	14	2			2	32	532	1	0
Act 5 Equip A		1	32	1						weap27	2		armo27	1		weap30	6		armo30	3		weap33	14		armo33	7		weap36	2		armo36	1		Act 4 Equip B	17	3			2	41	670	1	0
Act 5 Equip B		1	34	1						weap30	2		armo30	1		weap33	6		armo33	2		weap36	14		armo36	7		weap39	2		armo39	1		Act 5 Equip A	20	3			3	35	766	1	0
Act 5 Equip C		1	36	1						weap30	2		armo30	1		weap33	6		armo33	2		weap36	14		armo36	7		weap39	2		armo39	1		Act 5 Equip B	23	3			3	35	868	1	0
Act 1 (N) Equip A		1	38	1						weap33	2		armo33	1		weap36	6		armo36	3		weap39	14		armo39	7		weap42	2		armo42	1		Act 5 Equip C	26	3			3	36	971	1	0
Act 1 (N) Equip B		1	40	1						weap33	2		armo33	1		weap36	6		armo36	3		weap39	14		armo39	7		weap42	2		armo42	1		Act 1 (N) Equip A	30	4			4	42	1147	1	0
Act 1 (N) Equip C		1	42	1						weap36	2		armo36	1		weap39	6		armo39	3		weap42	14		armo42	7		weap45	2		armo45	1		Act 1 (N) Equip A	34	4			4	36	1056	1	0
Act 2 (N) Equip A		1	44	1						weap36	2		armo36	1		weap39	6		armo39	3		weap42	14		armo42	7		weap45	2		armo45	1		Act 1 (N) Equip B	39	5			4	42	1275	1	0
Act 2 (N) Equip B		1	46	1						weap39	2		armo39	1		weap42	6		armo42	3		weap45	14		armo45	7		weap48	2		armo48	1		Act 2 (N) Equip A	44	5			5	36	1141	1	0
Act 2 (N) Equip C		1	48	1						weap39	2		armo39	1		weap42	6		armo42	3		weap45	14		armo45	7		weap48	2		armo48	1		Act 2 (N) Equip A	50	6			5	42	1360	1	0
Act 3 (N) Equip A		1	50	1						weap42	2		armo42	1		weap45	6		armo45	3		weap48	14		armo48	7		weap51	2		armo51	1		Act 2 (N) Equip B	56	6			5	36	1226	1	0
Act 3 (N) Equip B		1	52	1						weap42	2		armo42	1		weap45	6		armo45	3		weap48	14		armo48	7		weap51	2		armo51	1		Act 3 (N) Equip A	63	7			6	42	1487	1	0
Act 3 (N) Equip C		1	54	1						weap45	2		armo45	1		weap48	6		armo48	3		weap51	14		armo51	7		weap54	2		armo54	1		Act 3 (N) Equip A	70	7			6	36	1311	1	0
Act 4 (N) Equip A		1	56	1						weap45	2		armo45	1		weap48	6		armo48	3		weap51	14		armo51	7		weap54	2		armo54	1		Act 3 (N) Equip B	77	7			6	42	1572	1	0
Act 4 (N) Equip B		1	58	1						weap48	2		armo48	1		weap51	6		armo51	3		weap54	14		armo54	7		weap57	2		armo57	1		Act 4 (N) Equip A	86	9			7	36	1396	1	0
Act 4 (N) Equip C		1	60	1						weap48	2		armo48	1		weap51	6		armo51	3		weap54	14		armo54	7		weap57	2		armo57	1		Act 4 (N) Equip A	95	9			7	42	1700	1	0
Act 5 (N) Equip A		1	62	1						weap51	2		armo51	1		weap54	6		armo54	3		weap57	14		armo57	7		weap60	2		armo60	1		Act 4 (N) Equip B	104	9			7	36	1481	1	0
Act 5 (N) Equip B		1	64	1						weap51	2		armo51	1		weap54	6		armo54	3		weap57	14		armo57	7		weap60	2		armo60	1		Act 5 (N) Equip A	115	11			8	42	1785	1	0
Act 5 (N) Equip C		1	66	1						weap54	2		armo54	1		weap57	6		armo57	3		weap60	14		armo60	7		weap63	2		armo63	1		Act 5 (N) Equip B	126	11			8	36	1566	1	0
Act 1 (H) Equip A		1	68	1						weap54	2		armo54	1		weap57	6		armo57	3		weap60	14		armo60	7		weap63	2		armo63	1		Act 5 (N) Equip C	137	11			8	42	1827	1	0
Act 1 (H) Equip B		1	70	1						weap57	2		armo57	1		weap60	6		armo60	3		weap63	14		armo63	7		weap66	2		armo66	1		Act 1 (H) Equip A	150	13			9	36	1566	1	0
Act 1 (H) Equip C		1	71	1						weap57	2		armo57	1		weap60	6		armo60	3		weap63	14		armo63	7		weap66	2		armo66	1		Act 1 (H) Equip A	163	13			9	42	1827	1	0
Act 2 (H) Equip A		1	73	1						weap60	2		armo60	1		weap63	6		armo63	3		weap66	14		armo66	7		weap69	2		armo69	1		Act 1 (H) Equip B	177	14			9	36	1566	1	0
Act 2 (H) Equip B		1	75	1						weap60	2		armo60	1		weap63	6		armo63	3		weap66	14		armo66	7		weap69	2		armo69	1		Act 2 (H) Equip A	192	15			10	42	1827	1	0
Act 2 (H) Equip C		1	76	1						weap63	2		armo63	1		weap66	6		armo66	3		weap69	14		armo69	7		weap72	2		armo72	1		Act 2 (H) Equip A	208	16			10	36	1566	1	0
Act 3 (H) Equip A		1	77	1						weap63	2		armo63	1		weap66	6		armo66	3		weap69	14		armo69	7		weap72	2		armo72	1		Act 2 (H) Equip B	225	17			10	42	1827	1	0
Act 3 (H) Equip B		1	78	1						weap66	2		armo66	1		weap69	6		armo69	3		weap72	14		armo72	7		weap75	2		armo75	1		Act 3 (H) Equip A	243	18			11	36	1566	1	0
Act 3 (H) Equip C		1	79	1						weap66	2		armo66	1		weap69	6		armo69	3		weap72	14		armo72	7		weap75	2		armo75	1		Act 3 (H) Equip A	262	19			11	42	1827	1	0
Act 4 (H) Equip A		1	80	1						weap69	2		armo69	1		weap72	6		armo72	3		weap75	14		armo75	7		weap78	2		armo78	1		Act 3 (H) Equip B	282	20			11	36	1566	1	0
Act 4 (H) Equip B		1	81	1						weap69	2		armo69	1		weap72	6		armo72	3		weap75	14		armo75	7		weap78	2		armo78	1		Act 4 (H) Equip A	303	21			12	42	1827	1	0
Act 4 (H) Equip C		1	82	1						weap72	2		armo72	1		weap75	6		armo75	3		weap78	14		armo78	7		weap81	2		armo81	1		Act 4 (H) Equip A	325	22			12	36	1566	1	0
Act 5 (H) Equip A		1	83	1						weap75	2		armo75	1		weap78	6		armo78	3		weap81	14		armo81	7		weap84	2		armo84	1		Act 4 (H) Equip B	348	23			12	36	1566	1	0
Act 5 (H) Equip B		1	84	1						weap78	2		armo78	1		weap81	6		armo81	3		weap84	14		armo84	7		weap87	2		armo87	1		Act 5 (H) Equip A	373	25			13	36	1566	1	0
Act 5 (H) Equip C		1	85	1						weap81	2		armo81	1		weap84	6		armo84	3		weap87	14		armo87	7		weap90	2		armo90	1		Act 5 (H) Equip B	399	26			13	35	1565	1	0
Act 1 Melee A	Unused	2	0	1						mele3	7		armo3	7																													0
Act 1 Melee B	Unused	2	5	1						mele3	3		armo3	3		mele6	7		armo6	7																							0
Act 1 Melee C	Unused	2	9	1						mele3	2		armo3	1		mele6	6		armo6	3		mele9	14		armo9	7		mele12	2		armo12	1											0
Act 2 Melee A	Unused	2	12	1						mele6	2		armo6	1		mele9	6		armo9	3		mele12	14		armo12	7		mele15	2		armo15	1		Act 1 Melee C	5					36	66	0	0
Act 2 Melee B	Unused	2	15	1						mele9	2		armo9	1		mele12	6		armo12	3		mele15	14		armo15	7		mele18	2		armo18	1		Act 2 Melee A	9					36	96	1	0
Act 2 Melee C	Unused	2	18	1						mele12	2		armo12	1		mele15	6		armo15	3		mele18	14		armo18	7		mele21	2		armo21	1		Act 2 Melee B	13					36	126	1	0
Act 3 Melee A	Unused	2	20	1						mele15	2		armo15	1		mele18	6		armo18	3		mele21	14		armo21	7		mele24	2		armo24	1		Act 2 Melee C	17					36	156	1	0
Act 3 Melee B	Unused	2	22	1						mele18	2		armo18	1		mele21	6		armo21	3		mele24	14		armo24	7		mele27	2		armo27	1		Act 3 Melee A	21					36	186	1	0
Act 3 Melee C	Unused	2	24	1						mele21	2		armo21	1		mele24	6		armo24	3		mele27	14		armo27	7		mele30	2		armo30	1		Act 3 Melee B	24					36	216	1	0
Act 4 Melee A	Unused	2	26	1						mele24	2		armo24	1		mele27	6		armo27	3		mele30	14		armo30	4		mele33	2		armo33	1		Act 3 Melee C	27					33	243	1	0
Act 4 Melee B	Unused	2	29	1						mele27	2		armo27	1		mele30	6		armo30	3		mele33	14		armo33	3		mele36	2		armo36	1		Act 4 Melee A	31					32	292	1	0
Act 5 Melee A	Unused	2	32	1						mele27	2		armo27	1		mele30	6		armo30	3		mele33	14		armo33	3		mele36	7		armo36	5		Act 4 Melee B	271					41	441	1	0
Act 5 Melee B	Unused	2	34	1						mele30	2		armo30	1		mele33	6		armo33	2		mele36	14		armo36	7		mele39	2		armo39	1		Act 5 Melee A	37					35	524	1	0
Act 5 Melee C	Unused	2	36	1						mele30	2		armo30	1		mele33	6		armo33	2		mele36	14		armo36	7		mele39	2		armo39	1		Act 5 Melee B	319					35	664	1	0
Act 1 (N) Melee A	Unused	2	38	1						weap33	2		armo33	1		weap36	6		armo36	3		weap39	14		armo39	7		weap42	2		armo42	1		Act 5 Melee C	43					36	805	1	0
Act 1 (N) Melee B	Unused	2	40	1						weap36	2		armo36	1		weap39	6		armo39	3		weap42	14		armo42	7		weap45	2		armo45	1		Act 1 (N) Melee A	49					36	971	1	0
Act 2 (N) Melee A	Unused	2	42	1						weap36	2		armo36	1		weap39	6		armo39	3		weap42	14		armo42	7		weap45	6		armo45	3		Act 1 (N) Melee B	415					42	1190	1	0
Act 2 (N) Melee B	Unused	2	44	1						weap39	2		armo39	1		weap42	6		armo42	3		weap45	14		armo45	7		weap48	2		armo48	1		Act 2 (N) Melee A	55					36	1056	1	0
Act 3 (N) Melee A	Unused	2	46	1						weap42	2		armo42	1		weap45	6		armo45	3		weap48	14		armo48	7		weap51	2		armo51	1		Act 2 (N) Melee B	62					36	1099	1	0
Act 3 (N) Melee B	Unused	2	48	1						weap45	2		armo45	1		weap48	6		armo48	3		weap51	14		armo51	7		weap54	2		armo54	1		Act 3 (N) Melee A	69					36	1141	1	0
Act 4 (N) Melee A	Unused	2	51	1						weap45	2		armo45	1		weap48	6		armo48	3		weap51	14		armo51	7		weap54	6		armo54	3		Act 3 (N) Melee B	579					42	1381	1	0
Act 4 (N) Melee B	Unused	2	54	1						weap48	2		armo48	1		weap51	6		armo51	3		weap54	14		armo54	7		weap57	2		armo57	1		Act 4 (N) Melee A	76					36	1226	1	0
Act 5 (N) Melee A	Unused	2	57	1						weap51	2		armo51	1		weap54	6		armo54	3		weap57	14		armo57	7		weap60	2		armo60	1		Act 4 (N) Melee B	85					36	1311	1	0
Act 5 (N) Melee B	Unused	2	60	1						weap51	2		armo51	1		weap54	6		armo54	3		weap57	14		armo57	7		weap60	6		armo60	3		Act 5 (N) Melee A	723					42	1785	1	0
Act 5 (N) Melee C	Unused	2	63	1						weap54	2		armo54	1		weap57	6		armo57	3		weap60	14		armo60	7		weap63	2		armo63	1		Act 5 (N) Melee B	96					36	1566	1	0
Act 1 (H) Melee A	Unused	2	66	1						weap54	2		armo54	1		weap57	6		armo57	3		weap60	14		armo60	7		weap63	6		armo63	3		Act 5 (N) Melee C	816					42	1823	1	0
Act 1 (H) Melee B	Unused	2	68	1						weap57	2		armo57	1		weap60	6		armo60	3		weap63	14		armo63	7		weap66	2		armo66	1		Act 1 (H) Melee A	109					36	1566	1	0
Act 2 (H) Melee A	Unused	2	71	1						weap60	2		armo60	1		weap63	6		armo63	3		weap66	14		armo66	7		weap69	2		armo69	1		Act 1 (H) Melee B	124					36	1566	1	0
Act 2 (H) Melee B	Unused	2	73	1						weap63	2		armo63	1		weap66	6		armo66	3		weap69	14		armo69	7		weap72	2		armo72	1		Act 2 (H) Melee A	144					36	1566	1	0
Act 3 (H) Melee A	Unused	2	75	1						weap63	2		armo63	1		weap66	6		armo66	3		weap69	14		armo69	7		weap72	6		armo72	3		Act 2 (H) Melee B	1245					42	1823	1	0
Act 3 (H) Melee B	Unused	2	77	1						weap66	2		armo66	1		weap69	6		armo69	3		weap72	14		armo72	7		weap75	2		armo75	1		Act 3 (H) Melee A	169					36	1566	1	0
Act 4 (H) Melee A	Unused	2	79	1						weap69	2		armo69	1		weap72	6		armo72	3		weap75	14		armo75	7		weap78	2		armo78	1		Act 3 (H) Melee B	201					36	1566	1	0
Act 4 (H) Melee B	Unused	2	80	1						weap72	2		armo72	1		weap75	6		armo75	3		weap78	14		armo78	7		weap81	2		armo81	1		Act 4 (H) Melee A	242					36	1566	1	0
Act 5 (H) Melee A	Unused	2	81	1						weap75	2		armo75	1		weap78	6		armo78	3		weap81	14		armo81	7		weap84	2		armo84	1		Act 4 (H) Melee B	267					36	1566	1	0
Act 5 (H) Melee B	Unused	2	83	1						weap78	2		armo78	1		weap81	6		armo81	3		weap84	14		armo84	7		weap87	2		armo87	1		Act 5 (H) Melee A	296					36	1566	1	0
Act 5 (H) Melee C	Unused	2	85	1						weap81	2		armo81	1		weap84	6		armo84	3		weap87	14		armo87	7		weap90	1		armo90	1		Act 5 (H) Melee B	874					35	1565	1	0
Act 1 Bow A	Unused	3	0	1						bow3	36																																0
Act 1 Bow B	Unused	3	5	1						bow3	20		bow6	16																													0
Act 1 Bow C	Unused	3	9	1						bow3	10		bow6	16		bow9	10																										0
Act 2 Bow A	Unused	3	12	1						bow3	3		bow6	15		bow9	15		bow12	3																							0
Act 2 Bow B	Unused	3	15	1						bow3	1		bow6	7		bow9	20		bow12	7		bow15	1																				0
Act 2 Bow C	Unused	3	18	1						bow3	1		bow6	3		bow9	14		bow12	14		bow15	3		bow18	1																	0
Act 3 Bow A	Unused	3	20	1						bow3	1		bow6	3		bow9	6		bow12	12		bow15	6		bow18	3		bow21	1														0
Act 3 Bow B	Unused	3	22	1						bow3	1		bow6	3		bow9	6		bow12	8		bow15	8		bow18	6		bow21	3		bow24	1											0
Act 3 Bow C	Unused	3	24	1						bow3	1		bow6	2		bow9	5		bow12	7		bow15	8		bow18	7		bow21	4		bow24	2											0
Act 4 Bow A	Unused	3	26	1						bow6	1		bow9	3		bow12	6		bow15	8		bow18	8		bow21	6		bow24	3		bow27	1		Act 3 Bow C	8					36	146	1	0
