Id	hcIdx	BaseId	NextInClass	MonStatsEx	MonProp	NameStr	DescStr	* category	* comment	*PresetLevel	* Marco / loc	enabled	killable	Align	switchai	noAura	boss	primeevil	petIgnore	flying	threat	Code	TransLvl	AI	Velocity	Run	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	aidel	aidel(N)	aidel(H)	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	noRatio	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	Crit	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	DamageRegen	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	MonType	MonSound	isMelee	lUndead	hUndead	demon	TreasureClass1	TreasureClass1(N)	TreasureClass1(H)	isSpawn	MinGrp	MaxGrp	Rarity	sparsePopulate	rangedtype	minion1	minion2	PartyMin	PartyMax	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	placespawn	spawn	spawnx	spawny	spawnmode	SetBoss	BossXfer	opendoors	nomultishot	neverCount	interact	npc	inventory	inTown	deathDmg	genericSpawn	SkillDamage	UMonSound	zoo	SendSkills	Level	Level(N)	Level(H)	*eol
brute5	27	brute2	brute1	brute5		WailingBeast		Classic				1	1		1						10	YE	3	Brute	6	6							0	0	0	90	90	95	60	60	50													15	14	13																									142	230	85	121	61	107	95	114	141	100				143	220	85	120	65	113	95	112	140	100				222	255	85	120	70	120	95	110	140	100				0		23	23	23	0																			brute	brute	1							1	3	4	1							A1	fire					15	15	35		15	30	50																																							140	100	100	-20	-20	-20																							1										brute	1		29	66	110	0
brute1	28	brute2		brute1		GargantuanBeast		Classic				1	1		1						10	YE	4	Brute	4	4							0	0	0	100	100	100	45	45	35													15	14	13																									129	215	84	121	67	101	95	101	134	100				137	212	84	120	68	110	95	105	137	100				222	255	85	120	70	120	95	110	140	100				0		4	4	4	0																			brute	brute	1							1	1	1	1																																																										140	100	100	-20	-20	-20																							1										brute	1		3	45	110	0
sandraider1	29	sandraider1	sandraider3	sandraider1		SandRaider		Classic				1	1		1						10	SR	0	SandRaider	6	6				40	40	40	70	70	40	75	80	85	70	75	85	18	12	9				50	50	50				15	14	13	Fire Hit	seq_firehit	1																						136	211	84	117	67	101	175	110	140	180	80	100	250	135	195	97	123	66	105	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	0		25	25	25	0																			sandraider	sandraider	1							1	2	3	1							S1	fire	100	100	130		100	120	150		100	140	180																																							140	100	100	-20	-20	-20																							1										sandraider	1		16	54	110	0
hungrywolf	30	hungrywolf		spiritwolf	other	Mon_SavageWolf		Classic				1	1		1						10	wf	0	Mosquito	8	15										100	100	100	25	25	25	5	5	5										15	15	15	Item Werewolf	A1	50																						800	800	100		5	8	100							1000	1000	100	120	10	13	100							2400	2400	100	120	13	15	100							0		21	21	21	0																				wolf	1							1	1	1	1																																																										140	100	100	-20	-20	-20																																	wolf			30	75	110	0
sandraider3	31	sandraider1	sandraider4	sandraider3		Invader		Classic				1	1		1						10	SR	2	SandRaider	8	8				50	40	35	70	50	10	85	90	95	70	80	90	13	9	6				50	50	50				15	14	13	Fire Hit	seq_firehit	3																						135	211	84	117	67	92	175	110	140	180	80	100	250	135	195	97	123	66	101	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	0		34	34	34	0																			sandraider	sandraider	1							1	3	4	1							S1	fire	100	100	130		100	120	150		100	140	180																																							140	100	100	-20	-20	-20																							1										sandraider	1		23	59	110	0
sandraider4	32	sandraider1	sandraider5	sandraider4		Infidel		Classic				1	1		1						10	SR	3	SandRaider	8	8				55	40	35	70	40	10	88	95	99	70	80	90	10	7	5	1	1	1	50	50	50				15	14	13	Fire Hit	seq_firehit	4																						135	211	85	116	63	94	175	110	140	180	80	100	250	135	195	97	123	64	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	0		44	44	44	0																			sandraider	sandraider	1							1	3	5	1							S1	cold	100	100	130	75	100	120	150	75	100	140	180	75																																						140	100	100	-20	-20	-20																							1										sandraider	1		30	66	110	0
sandraider5	33	sandraider1	sandraider6	sandraider5		Assailant		Classic				1	1		1						10	SR	4	SandRaider	9	9				60	40	35	70	30	10	90	99	100	70	80	90	7	5	4				50	50	50				15	14	13	Fire Hit	seq_firehit	5																						134	210	84	123	65	95	175	110	140	180	80	100	250	134	195	97	126	65	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	0		48	48	48	0																			sandraider	sandraider	1							1	4	5	1							S1	fire	100	100	130		100	120	150		100	140	180																																							140	100	100	-20	-20	-20																							1										sandraider	1		33	74	110	0
gorgon1	34	gorgon1	gorgon2	gorgon1		unused		Classic				1										GO	0	Idle	0	0																												15	14	13																																																																					0																													0	0																																																											0			-20	-20	-20																																				0	0	0	0
gorgon2	35	gorgon1	gorgon3	gorgon2		unused		Classic				1										GO	1	Idle	0	0																												15	14	13																																																																					0																													0	0																																																											0			-20	-20	-20																																				0	0	0	0
gorgon3	36	gorgon1	gorgon4	gorgon3		unused		Classic				1										GO	2	Idle	0	0																												15	14	13																																																																					0																													0	0																																																											0			-20	-20	-20																																				0	0	0	0
gorgon4	37	gorgon1		gorgon4		unused		Classic				1										GO	3	Idle	0	0																												15	14	13																																																																					0																													0	0																																																											0			-20	-20	-20																																				0	0	0	0
wraith1	38	wraith1	wraith2	wraith1		Ghost	drains mana	Classic				1	1		1					1	10	WR	0	Wraith	6	6				50	60	60	12	10	8	70	75	80																15	14	13																									83	165	84	93	61	121	95							74	127	107	99	60	113	95							182	195	130	105	60	105	95							0		8	8	8	0																			wraith	wraith	1	1						1	1	2	1							A1	mana	40	60	100		40	100	200		40	200	300																																							140	100	100	-20	-20	-20																							1										wraith			9	48	110	0
wraith2	39	wraith1	wraith3	wraith2		Wraith	drains mana	Classic				1	1		1					1	10	WR	1	Wraith	8	8				60	70	70	10	8	6	75	80	85																15	14	13																									87	173	84	92	58	115	95							76	131	107	98	59	110	95							182	195	130	105	60	105	95							0		11	11	11	0																			wraith	wraith	1	1						1	1	3	1							A1	mana	45	57	100		45	100	200		45	200	300																																							140	100	100	-20	-20	-20																							1										wraith			13	51	110	0
wraith3	40	wraith1	wraith4	wraith3		Specter	drains mana	Classic				1	1		1					1	10	WR	2	Wraith	8	8				70	80	80	8	6	4	80	85	90																15	14	13																									86	173	84	92	62	101	95							75	131	107	98	61	103	95							182	195	130	105	60	105	95							0		19	19	19	0																			wraith	wraith	1	1						1	2	3	1							A1	mana	50	38	69		50	100	200		50	200	300																																							140	100	100	-20	-20	-20																							1										wraith			24	60	110	0
wraith4	41	wraith1	wraith5	wraith4		Apparition	drains mana	Classic				1	1		1					1	10	WR	3	Wraith	9	9				80	90	90	6	4	4	85	90	95																15	14	13																									86	172	85	93	62	108	95							75	131	107	99	61	106	95							182	195	130	105	60	105	95							0		20	20	20	0																			wraith	wraith	1	1						1	2	4	1							A1	mana	60	46	84		60	100	200		60	200	300																																							140	100	100	-20	-20	-20																							1										wraith			25	61	110	0
wraith5	42	wraith1	wraith6	wraith5		DarkShape	drains mana	Classic				1	1		1					1	10	WR	4	Wraith	10	10				90	100	100	4	4	4	90	95	99																15	14	13																									85	172	85	93	65	108	95							75	131	107	99	62	106	95							182	195	130	105	60	105	95							0		22	22	22	0																			wraith	wraith	1	1						1	3	4	1							A1	mana	70	50	107		70	100	200		70	200	300																																							140	100	100	-20	-20	-20																							1										wraith			28	64	110	0
corruptrogue1	43	corruptrogue1	corruptrogue2	corruptrogue1	other	DarkHunter		Classic				1	1		1						10	CR	0	CorruptRogue	6	6				60	70	80	15	10	7	75	80	85	100	100	100	20	50	75										15	14	13																									58	101	84	78	34	101	130							59	100	89	86	44	105	130							180	200	95	95	55	110	130							0		12	12	12	0																			corruptrogue	corruptrogue	1			1				1	2	3	2																																																										140	100	100	-20	-20	-20																							1										corruptrogue	1		3	45	110	0
corruptrogue2	44	corruptrogue1	corruptrogue3	corruptrogue2	other	VileHunter		Classic				1	1		1						10	CR	1	CorruptRogue	8	10				70	80	90	12	9	7	80	85	90	100	100	100	20	50	75										15	14	13																									62	101	84	78	51	126	130							61	100	89	86	53	118	130							180	200	95	95	55	110	130							0		18	18	18	0																			corruptrogue	corruptrogue	1			1				1	2	4	2																																																										140	100	100	-20	-20	-20																							1										corruptrogue	1		6	48	110	0
corruptrogue3	45	corruptrogue1	corruptrogue4	corruptrogue3	other	DarkStalker		Classic				1	1		1						10	CR	2	CorruptRogue	8	13				100	100	100	3	3	3	100	100	100	100	100	100	75	85	95										5	4	3	CountessFirewall	A1	4																						134	224	168	158	102	234	260							126	212	178	174	106	226	260							360	400	190	190	110	220	260							0		25	25	25	0																			corruptrogue	corruptrogue	1			1				1	3	4	2																																																										140	100	100	-20	-20	-20																							1										corruptrogue	1		15	70	110	0
corruptrogue4	46	corruptrogue1	corruptrogue5	corruptrogue4	other	BlackRogue		Classic				1	1		1						10	CR	3	CorruptRogue	9	15				90	95	95	7	5	5	88	95	95	100	100	100	20	50	75										15	14	13																									66	111	84	79	43	115	130							63	105	89	87	49	112	130							180	200	95	95	55	110	130							0		33	33	33	0																			corruptrogue	corruptrogue	1			1				1	3	5	2																																																										140	100	100	-20	-20	-20																							1										corruptrogue	1		11	50	110	0
