Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
bigcat2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Fanaticism		548	2	4													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		548	5	7											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		548	4	6						0
bigcat3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Fanaticism		548	4	6	death-skill	Mon Point Blank Fissure		527	100	7							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		548	7	9	death-skill		527	100	11						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		548	6	8	death-skill		527	100	14	0
bigcat4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Fanaticism		548	4	6	death-skill	Mon Point Blank Volcano		528	100	10							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		548	7	9	death-skill		528	100	14						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		548	6	8	death-skill		528	100	17	0
corpsespitter1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	extra-fire			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	extra-fire			400	400						0
croaky1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	pierce-fire				15	15													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	pierce-fire			30	30											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	pierce-fire			45	45						0
croaky2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Frog Prince		508	100	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		508	100	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		508	100	13						0
croaky3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Frog Prince		508	100	8													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		508	100	12											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		508	100	15						0
dead4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Hunting Banshee		827	100	30	fade				1	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		827	100	34	fade			1	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		827	100	37	fade			1	1	0
evilpriest1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
evilpriest2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
evilpriest3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
evilpriest4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
evilpriest5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
fallenchild5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Point Blank Fireball		526	100	9													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		526	100	13											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		526	100	16						0
fallenfather5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Shadow Demon Blood		297	7	7	death-skill	Mon Energy Beam		503	100	2							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		297	10	10	death-skill		503	100	6						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		297	13	13	death-skill		503	100	9	0
fallenfather5_res	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Shadow Demon Blood		297	1	1	death-skill	Mon Energy Beam		503	100	2							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		297	1	1	death-skill		503	100	6						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		297	1	1	death-skill		503	100	9	0
fallenhero1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	3	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	7	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	10	12						0
fallenhero2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	3	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	7	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	10	12						0
fallenhero3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	3	5	crush				25	25							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	7	9	crush			50	50						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	10	12	crush			75	75	0
fallenhero4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	3	5	slow				25	25							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	7	9	slow			50	50						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	10	12	slow			75	75	0
fallenhero5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Weaker Concentration		547	3	5	hit-skill	Mon Famine Heal		504	20	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		547	7	9	hit-skill		504	35	5						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		547	10	12	hit-skill		504	50	8	0
flyingscimitar	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Nova (not Supernova)		48	100	8	hit-skill	Teleport		54	50	1							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		48	100	12	hit-skill		54	50	1						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		48	100	15	hit-skill		54	50	1	0
gnat1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	openwounds				100	100													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	openwounds			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	openwounds			100	100						0
gnat3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	openwounds				100	100													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	openwounds			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	openwounds			100	100						0
goatwarrior3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	slow				15	15													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	slow			25	25											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	slow			35	35						0
goatpriest4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Dark Power		687	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		687	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		687	100	8						0
goatpriest5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Dark Power		687	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		687	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		687	100	8						0
hthcat1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mark of the Wild		1013	15	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		1013	15	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		1013	15	8						0
icedemon1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	extra-cold			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	extra-cold			200	200						0
infernalteddy3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Fire Immunity Aura		506	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		506	2	2											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		506	2	2						0
infernalteddy4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Lightning Immunity Aura		522	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		522	2	2											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		522	2	2						0
infernalteddy5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	aura	Mon Cold Immunity Aura		499	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	aura		499	2	2											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	aura		499	2	2						0
lightning1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Static Trap		537	100	5													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		537	100	9											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		537	100	12						0
maggotqueen1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Gamma Field		120	100	50													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		120	100	53											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		120	100	52						0
quills1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Spike Nova		875	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		875	100	4											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		875	100	3						0
rogue1h4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Celerity		496	20	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		496	20	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		496	20	8						0
spidey2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
spidey3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Point Blank Fireball		526	50	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		526	50	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		526	50	8						0
spidey4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Flash		807	25	4													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		807	25	8											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		807	25	11						0
stormcaster1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	extra-pm			100	100											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	extra-pm			300	300						0
succubus1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Lower Resist		91	50	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		91	50	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		91	50	13						0
succubus2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Lower Resist		91	50	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		91	50	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		91	50	13						0
succubus3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Lower Resist		91	50	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		91	50	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		91	50	13						0
succubus4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Lower Resist		91	50	6													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		91	50	10											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		91	50	13						0
succubus5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Mon Uber Disco Inferno		543	100	7	death-skill	Lower Resist		91	50	6							mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		543	100	11	death-skill		91	50	10						mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		543	100	14	death-skill		91	50	13	0
toad1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Mon Elemental Fury		747	5	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		747	5	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		747	5	8						0
turtle1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Rust Storm		531	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		531	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		531	100	8						0
undeadbird1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	death-skill	Bloodlust		96	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	death-skill		96	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	death-skill		96	100	8						0
undeadknight3	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1																			mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1																mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75											0
undeadknight4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1						0
undeadknight5	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1						0
undeadmage1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	fade				1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	fade			1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	fade			1	1						0
wingedfiend2	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	att-skill	Teleport		54	5	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	att-skill		54	5	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	att-skill		54	5	1						0
wingedfiend4	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	hit-skill	Mon Charged Bolt		497	100	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	hit-skill		497	100	5											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	hit-skill		497	100	8						0
zakarumcleric1	Normal monsters	mon-buff		25		25	25	hit-skill			483	100	1	death-skill			484	100	1	state	wefoundawitch		16	1	1													mon-buff	50		50	50	hit-skill		483	100	1	death-skill		484	100	1	state		16	1	1											mon-buff	75		75	75	hit-skill		483	100	1	death-skill		484	100	1	red-dmg%	2		75	75	state		16	1	1						0
