class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rarmwidth	rarmheight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsowidth	torsoheight	lArmLeft	lArmRight	lArmTop	lArmBottom	larmwidth	larmheight	headLeft	headRight	headTop	headBottom	headwidth	headheight	neckLeft	neckRight	neckTop	neckBottom	neckwidth	neckheight	rHandLeft	rHandRight	rHandTop	rHandBottom	rhandwidth	rhandheight	lHandLeft	lHandRight	lHandTop	lHandBottom	lhandwidth	lhandheight	beltLeft	beltRight	beltTop	beltBottom	beltwidth	beltheight	feetLeft	feetRight	feetTop	feetBottom	feetwidth	feetheight	glovesLeft	glovesRight	glovesTop	glovesBottom	gloveswidth	glovesheight
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	302	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Assassin	320	640	0	441	10	8	339	626	153	384	29	29	331	386	26	138	55	112	398	453	68	148	54	82	575	630	26	138	55	112	398	452	6	57	54	51	470	493	22	46	23	24	470	493	68	92	23	24	470	493	115	139	23	24	508	562	64	89	52	25	508	562	96	148	54	52	508	562	6	59	54	53
Amazon2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Sorceress2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Necromancer2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Paladin2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Barbarian2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	96	154	324	333	190	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	10	8	96	386	75	301	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
Assassin2	400	720	60	501	10	8	419	706	213	443	29	29	410	465	86	198	55	112	478	534	125	207	54	82	656	711	87	199	55	112	479	533	65	116	54	51	550	573	82	106	23	24	550	573	128	152	23	24	550	573	176	200	23	24	590	644	125	150	52	25	590	644	158	210	54	52	590	644	65	118	54	53
