Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	*Laz / mods	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Snapchip Shatter	Brokenstorm	su_icedemon3	53		6	18	0	fast cold	5	5	1	0	0		23	23	23	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
Anodized Elite	Sinwar of the Storm	sinwar_special	54		17	27	0	lightning spectral	8	8	1	0	0		38	38	38	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
Vinvear Molech	Howlingire the Shade	howlingire_special	55		5	6	0	strong fast	2	2	1	0	0		23	23	23	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
Sharp Tooth Sayer	Stormbane	stormbane_special	56		6	8	35	fast resist shatter	4	4	1	0	0		24	24	24	Act 3 Super A	Act 3 (N) Super A	Act 3 (H) Super A	0
Magma Torquer	Spirit of Hatred	hatred_special	57		0	0	0		0	0	1	0	0		9	9	9	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
Blaze Ripper	Spirit of Terror	terror_special	58		0	0	0		0	0	1	0	0		10	10	10	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
Frozenstein	Coldkill Iceguard	su_dragon3	59		6	26	0	fast tele	8	8	1	0	0		19	19	19	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0		0	0	1	0	1		28	28	28	Nihlathak (D)	Nihlathak (N) (D)	Nihlathak (H) (D)	0
Baal Subject 1	Red Vex	wimp_succubusclan	61		7	25	0	curse mana	6	6	0	0	1		29	29	29	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
Baal Subject 2	Blackstorm	hell_bane	62		6	25	0	fast mana	4	4	0	0	1		21	21	21	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
Baal Subject 3	Dreadjudge	hell_evilpriest	63		5	26	0	strong tele	8	8	1	0	1		36	36	36	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
Baal Subject 4	Sir Gorash	wimp_killermoo	64		5	7	0	strong curse	8	8	1	0	1		20	20	20	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
Baal Subject 5	CrazyTower	crazy_tower	65		8	9	0	resist fire	0	0	1	0	1		20	20	20	Pre Baal	Pre Baal (N)	Pre Baal (H)	0
Death Projector	Death Projector	quest_laser	66		0	0	0		0	0	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Laser Reward	0
Inarius	Inarius	quest_inarius	67		11	25	0	maggot mana	0	0	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Inarius Reward	0
High Cleric Gray	High Cleric Gray	quest_subboss	68		0	0	0		0	0	1	0	1		8	8	8	Act 5 Cast C	Act 5 (N) Cast C	Act 5 (H) Cast C	0
High Cleric Dorian	High Cleric Dorian	quest_subboss	69		0	0	0		0	0	1	0	1		8	8	8	Act 5 Cast C	Act 5 (N) Cast C	Act 5 (H) Cast C	0
Crystal Ball	Crystal Ball	quest_crystal	70		25	0	0	mana	0	0	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Crystal Reward	0
Glass Skull the Jagged	Glass Skull the Jagged	quest_icedemon	71		0	0	0		3	3	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
NewMalic	NewMalic	quest_malic	72		11	27	0	maggot spectral	0	0	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Malic Reward	0
NewPrimus	Lucion	quest_lucion	73		18	25	27	cold mana spectral	0	0	1	0	1		8	8	8	Act 5 Super C	Act 5 (N) Super C	Lucion Reward	0
SpiritOfAnguish	Spirit of Anguish	anguish_special	74		0	0	0		0	0	1	0	0		20	20	20	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
SpiritOfMefis	SpiritOfMefis	quest_scaster	75		6	25	0	fast mana	2	2	1	0	0		20	20	20	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
RathmaPrimus	RathmaPrimus	rathma_primus	76		6	0	0	fast	0	0	1	0	0		22	22	22	Act 5 Super C	Act 5 (N) Super C	Rathma Primus Reward	0
JurisKhan	JurisKhan	ureh_undeadknight	77		11	0	0	maggot	0	0	1	0	0		22	22	22	Baal	Baal (N)	Juris Khan Reward	0
WycBoss1	WycBoss1	robedagger	78		11	0	0	maggot	0	0	1	0	0		11	11	11	Baal	Baal (N)	Boss 5 Reward	0
WycBoss2	WycBoss2	zombierags	79		11	0	0	maggot	0	0	1	0	0		11	11	11	Baal	Baal (N)	Boss 4 Reward	0
WycBoss3	WycBoss3	greenzombie	80		11	0	0	maggot	0	0	1	0	0		11	11	11	Baal	Baal (N)	Boss 3 Reward	0
WycBoss4	WycBoss4	cloakdagger	81		11	0	0	maggot	0	0	1	0	0		11	11	11	Baal	Baal (N)	Boss 2 Reward	0
WycBoss5	WycBoss5	orkshaman	82		11	0	0	maggot	0	0	1	0	0		11	11	11	Baal	Baal (N)	Boss 1 Reward	0
