code	name	type	type2	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
614	Ancient Armor (Grade 1)	tors	tier			20	1	267	534		9	97	0		111		19	5		1841	614		401	aar	aar	614	614	614		1	2	3	1	2	1	flpaar	invaar			2	2		2	2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255		1		1	1					255			2	8		xxx	xxx			1
706	Ancient Armor (Grade 2)	tors	tier			20	1	638	1219		9	143	0		111		49	15		7364	706		404	aar	aar	706	706	706		1	2	3	1	4	1	flpaar	invaar			2	2		2	2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
798	Ancient Armor (Grade 3)	tors	tier			20	1	1271	2385		9	300	0		111		78	23		36820	798		405	aar	aar	798	798	798		1	2	3	1	5	1	flpaar	invaar			2	2		2	2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
844	Ancient Armor (Grade 4)	tors	tier			20	1	1722	3229		9	622	0		111		90	27		73640	844		406	aar	aar	844	844	844		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@15	Ancient Armor (Sacred)	qtor				2	1	3163	3916		9	720	0		111		90	30		73640	@15		406	aar	aar	@15	@15	@15		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
w12	Antlers (Grade 1)	pelt	tier	100		4	1	60	89			50	0		42		9	3		224	w12		402	dr3	dr3	w12	w12	w12			2	2	1	2	1	flpdr3	invdr3														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1
w52	Antlers (Grade 2)	pelt	tier	100		4	1	176	239			74	0		42		39	11		896	w52		402	dr3	dr3	w52	w52	w52			2	2	1	2	1	flpdr3	invdr3														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1
w92	Antlers (Grade 3)	pelt	tier	100		4	1	368	490			155	0		42		68	20		4480	w92		403	dr3	dr3	w92	w92	w92			2	2	1	3	1	flpdr3	invdr3														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1
e22	Antlers (Grade 4)	pelt	tier	100		4	1	504	667			323	0		42		81	24		8960	e22		404	dr3	dr3	e22	e22	e22			2	2	1	4	1	flpdr3	invdr3														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1
@49	Antlers (Sacred)	qplt		100		1	1	949	1031			450	0		42		81	30		8960	@49		404	dr3	dr3	@49	@49	@49			2	2	1	4	1	flpdr3	invdr3														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx	xxx			1
8@N	Aspis (Grade 1)	ishd	tier			10	1	84	162		3	30	59	1	67		10	3		445	8@N		401	lrg	buc	8@N	8@N	8@N		7	2	3	1	1	2	flplrg	invxrgu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
1@O	Aspis (Grade 2)	ishd	tier			10	1	218	386		3	44	87	1	67		39	12		1780	1@O		403	lrg	buc	1@O	1@O	1@O		7	2	3	1	3	2	flplrg	invxrgu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
3@O	Aspis (Grade 3)	ishd	tier			10	1	452	776		3	93	183	1	67		68	20		8900	3@O		404	lrg	buc	3@O	3@O	3@O		7	2	3	1	4	2	flplrg	invxrgu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
4@O	Aspis (Grade 4)	ishd	tier			10	1	615	1052		3	192	378	1	67		83	25		17800	4@O		404	lrg	buc	4@O	4@O	4@O		7	2	3	1	4	2	flplrg	invxrgu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
5@O	Aspis (Sacred)	sisd				1	1	1311	1530		3	497	559	1	67		83	30		17800	5@O		404	lrg	buc	5@O	5@O	5@O		7	2	3	1	4	2	flplrg	invxrgu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
w18	Assault Helmet (Grade 1)	phlm	tier	100		4	1	84	124			70	0		53		13	4		467	w18		402	ba5	bhm	w18	w18	w18			2	2	1	2	1	flpba5	invba4														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
w58	Assault Helmet (Grade 2)	phlm	tier	100		4	1	229	317			104	0		53		41	12		1868	w58		402	ba5	bhm	w58	w58	w58			2	2	1	2	1	flpba5	invba4														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
w98	Assault Helmet (Grade 3)	phlm	tier	100		4	1	474	644			217	0		53		71	21		9340	w98		403	ba5	bhm	w98	w98	w98			2	2	1	3	1	flpba5	invba4														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
e28	Assault Helmet (Grade 4)	phlm	tier	100		4	1	650	877			450	0		53		85	25		18680	e28		404	ba5	bhm	e28	e28	e28			2	2	1	4	1	flpba5	invba4														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
@55	Assault Helmet (Sacred)	qphm		100		1	1	1197	1310			550	0		53		85	30		18680	@55		404	ba5	bhm	@55	@55	@55			2	2	1	4	1	flpba5	invba4														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
01!	Athulua's Hand (Grade 1)	azsd	tier			4	1	39	75			0	21	1	29		3	0		113	01!		401	buc	buc	01!	01!	01!		7	2	2	1	1	2	flpbuc	invxmlu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
03!	Athulua's Hand (Grade 2)	azsd	tier			4	1	127	201			0	32	1	29		32	9		452	03!		403	buc	buc	03!	03!	03!		7	2	2	1	3	2	flpbuc	invxmlu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
05!	Athulua's Hand (Grade 3)	azsd	tier			4	1	276	417			0	67	1	29		61	18		2260	05!		404	buc	buc	05!	05!	05!		7	2	2	1	4	2	flpbuc	invxmlu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
06!	Athulua's Hand (Grade 4)	azsd	tier			4	1	381	571			0	139	1	29		76	22		4520	06!		404	buc	buc	06!	06!	06!		7	2	2	1	4	2	flpbuc	invxmlu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
07!	Athulua's Hand (Sacred)	sasz				1	1	1236	1331			0	349	1	29		76	30		4520	07!		404	buc	buc	07!	07!	07!		7	2	2	1	4	2	flpbuc	invxmlu														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
w19	Avenger Guard (Grade 1)	phlm	tier	100		4	1	102	152			85	0		59		21	5		804	w19		402	ba5	bhm	w19	w19	w19			2	2	1	2	1	flpba5	invba5														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
w59	Avenger Guard (Grade 2)	phlm	tier	100		4	1	269	377			125	0		59		52	14		3216	w59		402	ba5	bhm	w59	w59	w59			2	2	1	2	1	flpba5	invba5														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
w99	Avenger Guard (Grade 3)	phlm	tier	100		4	1	550	759			263	0		59		76	23		16080	w99		403	ba5	bhm	w99	w99	w99			2	2	1	3	1	flpba5	invba5														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
e29	Avenger Guard (Grade 4)	phlm	tier	100		4	1	752	1028			470	0		59		90	27		32160	e29		404	ba5	bhm	e29	e29	e29			2	2	1	4	1	flpba5	invba5														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
@56	Avenger Guard (Sacred)	qphm		100		1	1	1247	1385			580	0		59		90	30		32160	@56		404	ba5	bhm	@56	@56	@56			2	2	1	4	1	flpba5	invba5														item_helm	12	item_helm			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx	xxx			1
4@I	Banded Plate (Grade 1)	stor	tier			10	1	243	490			0	91		110		19	6		2070	4@I		401	ful	ful	4@I	4@I	4@I		1	2	3	1	2	1	flpful	invfulu			2	2	2		2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
6@I	Banded Plate (Grade 2)	stor	tier			10	1	586	1119			0	134		110		48	14		8280	6@I		404	ful	ful	6@I	6@I	6@I		1	2	3	1	4	1	flpful	invfulu			2	2	2		2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
8@I	Banded Plate (Grade 3)	stor	tier			10	1	1176	2194			0	281		110		77	23		41400	8@I		405	ful	ful	8@I	8@I	8@I		1	2	3	1	5	1	flpful	invfulu			2	2	2		2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
9@I	Banded Plate (Grade 4)	stor	tier			10	1	1592	2969			0	583		110		87	27		82800	9@I		406	ful	ful	9@I	9@I	9@I		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
1@J	Banded Plate (Sacred)	sstr				1	1	3055	3743			0	627		110		87	30		82800	1@J		406	ful	ful	1@J	1@J	1@J		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						item_platearmor	12	item_platearmor			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
629	Belt (Grade 1)	belt	tier			20	1	75	103			45	0		43		8	2		198	629		401	mbl	mbl	629	629	629		16	2	1	1	1	1	flpmbl	invmbl														item_belt	12	item_belt			5			1			2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
721	Belt (Grade 2)	belt	tier			20	1	220	276			67	0		43		37	11		792	721		402	mbl	mbl	721	721	721		16	2	1	1	2	1	flpmbl	invmbl														item_belt	12	item_belt			5			4			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
813	Belt (Grade 3)	belt	tier			20	1	460	572			139	0		43		66	20		3960	813		402	mbl	mbl	813	813	813		16	2	1	1	2	1	flpmbl	invmbl														item_belt	12	item_belt			5			5			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
859	Belt (Grade 4)	belt	tier			20	1	631	776			288	0		43		80	24		7920	859		402	mbl	mbl	859	859	859		16	2	1	1	2	1	flpmbl	invmbl														item_belt	12	item_belt			5			3			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@30	Belt (Sacred)	belt	qblt			2	1	1187	1260			529	0		43		80	30		7920	@30		402	mbl	mbl	@30	@30	@30		16	2	1	1	2	1	flpmbl	invmbl														item_belt	12	item_belt			5			6			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
50!	Blackguard Helm (Grade 1)	pzhm	tier			4	1	42	61			0	29		29		9	3		159	50!		402	bhm	dr1	50!	50!	50!			2	2	1	2	1	flpbhm	invbhmu														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
52!	Blackguard Helm (Grade 2)	pzhm	tier			4	1	131	172			0	43		29		38	12		636	52!		402	bhm	dr1	52!	52!	52!			2	2	1	2	1	flpbhm	invbhmu														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
54!	Blackguard Helm (Grade 3)	pzhm	tier			4	1	280	361			0	90		29		67	20		3180	54!		403	bhm	dr1	54!	54!	54!			2	2	1	3	1	flpbhm	invbhmu														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
55!	Blackguard Helm (Grade 4)	pzhm	tier			4	1	386	494			0	187		29		85	25		6360	55!		404	bhm	dr1	55!	55!	55!			2	2	1	4	1	flpbhm	invbhmu														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
56!	Blackguard Helm (Sacred)	sphz				1	1	978	1031			0	387		29		85	30		6360	56!		404	bhm	dr1	56!	56!	56!			2	2	1	4	1	flpbhm	invbhmu														item_helm	12	item_helm			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
4@P	Bladed Shield (Grade 1)	ishd	tier			10	1	52	103			0	55	1	64		13	4		512	4@P		401	spk	buc	4@P	4@P	4@P		7	2	3	1	1	2	flpspk	invxpku														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
6@P	Bladed Shield (Grade 2)	ishd	tier			10	1	156	265			0	81	1	64		42	12		2048	6@P		404	spk	buc	6@P	6@P	6@P		7	2	3	1	4	2	flpspk	invxpku														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
8@P	Bladed Shield (Grade 3)	ishd	tier			10	1	329	537			0	170	1	64		71	21		10240	8@P		405	spk	buc	8@P	8@P	8@P		7	2	3	1	5	2	flpspk	invxpku														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
9@P	Bladed Shield (Grade 4)	ishd	tier			10	1	449	731			0	353	1	64		85	26		20480	9@P		406	spk	buc	9@P	9@P	9@P		7	2	3	1	6	2	flpspk	invxpku														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
1@Q	Bladed Shield (Sacred)	sisd				1	1	727	868			0	550	1	64		85	30		20480	1@Q		406	spk	buc	1@Q	1@Q	1@Q		7	2	3	1	6	2	flpspk	invxpku														item_metalshield	12	item_metalshield			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
645	Bone Helm (Grade 1)	bhlm	tier			20	1	61	88			61	0		32		23	5		553	645		401	bhm	hlm	645	645	645			2	2	1	1	1	flpbhm	invbhm														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
737	Bone Helm (Grade 2)	bhlm	tier			20	1	184	246			90	0		32		45	13		2212	737		403	bhm	hlm	737	737	737			2	2	1	3	1	flpbhm	invbhm														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
829	Bone Helm (Grade 3)	bhlm	tier			20	1	396	516			189	0		32		75	22		11060	829		404	bhm	hlm	829	829	829			2	2	1	4	1	flpbhm	invbhm														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
875	Bone Helm (Grade 4)	bhlm	tier			20	1	541	703			391	0		32		87	27		22120	875		404	bhm	hlm	875	875	875			2	2	1	4	1	flpbhm	invbhm														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@46	Bone Helm (Sacred)	qbhe				2	1	968	1049			563	0		32		87	30		22120	@46		404	bhm	hlm	@46	@46	@46			2	2	1	4	1	flpbhm	invbhm														item_helm	12	item_helm			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
642	Bone Shield (Grade 1)	bshi	tier			20	1	59	114			0	44	0	51		9	2		238	642		401	bsh	buc	642	642	642		7	2	3	1	1	2	flpbsh	invbsh														item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
734	Bone Shield (Grade 2)	bshi	tier			20	1	181	299			0	65	0	51		38	11		952	734		404	bsh	buc	734	734	734		7	2	3	1	4	2	flpbsh	invbsh														item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
826	Bone Shield (Grade 3)	bshi	tier			20	1	391	618			0	137	0	51		67	20		4760	826		405	bsh	buc	826	826	826		7	2	3	1	5	2	flpbsh	invbsh														item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
872	Bone Shield (Grade 4)	bshi	tier			20	1	536	844			0	282	0	51		81	24		9520	872		406	bsh	buc	872	872	872		7	2	3	1	6	2	flpbsh	invbsh														item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
@43	Bone Shield (Sacred)	qbon				2	1	965	1119			0	527	0	51		81	30		9520	@43		406	bsh	buc	@43	@43	@43		7	2	3	1	6	2	flpbsh	invbsh														item_metalshield	12	item_metalshield			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
637	Boots (Grade 1)	boot	tier			20	1	8	14			10	0		29		1	0		56	637		407	lbt	lbt	637	637	637		16	2	2	1	1	1	flplbt	invlbt														item_boots	12	item_boots			5						2							1		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
729	Boots (Grade 2)	boot	tier			20	1	75	88			18	0		29		26	8		224	729		407	lbt	lbt	729	729	729		16	2	2	1	2	1	flplbt	invlbt														item_boots	12	item_boots			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
821	Boots (Grade 3)	boot	tier			20	1	184	215			37	0		29		57	17		1120	821		407	lbt	lbt	821	821	821		16	2	2	1	3	1	flplbt	invlbt														item_boots	12	item_boots			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
867	Boots (Grade 4)	boot	tier			20	1	258	296			77	0		29		71	21		2240	867		407	lbt	lbt	867	867	867		16	2	2	1	4	1	flplbt	invlbt														item_boots	12	item_boots			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx	xxx			1
