Act	*old	Place
5	Magma Torquer	place_nothing
5	Blaze Ripper	place_nothing
5	Frozenstein	Frozenstein
5	worldstoneeffect	worldstoneeffect
5	chicken	chicken
5	place_champion	place_nothing
5	evilhut	place_nothing
5	place_nothing	place_nothing
5	place_nothing	place_nothing
5	place_nothing	place_nothing
5	place_nothing	place_nothing
5	place_nothing	place_nothing
5		NewMalic
5		NewPrimus
5		SpiritOfMefis
