Stat	ID	* comments	* type	*In-game	Save Bits	Save Add	Save Param Bits	*min	*max	Send Bits	Send Param Bits	Send Other	Signed	fCallback	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	damagerelated	ValShift	keepzero	direct	maxstat	itemspecific	UpdateAnimRate	Add	Multiply	Saved	CSvSigned	CSvBits	CSvParam	fMin	MinAccr	Encode	op	op param	op base	op stat1	op stat2	op stat3	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Divide	1.09-Save Bits	1.09-Save Add	*eol
item_armor_percent	16		items	Enhanced Defense	10	823		-823	200	11			1		79	4	1	Modstr2v	Modstr2v									24	10								1			armorclass														1024	10	823	0
item_maxdamage_percent	17		classic	Enhanced Maximum Damage	10	823		-823	200	11			1		134	3	0	ModStr2j	ModStr2j		1							8	5								1			maxdamage	secondary_maxdamage	item_throw_maxdamage												1024	10	823	0
item_mindamage_percent	18		classic	Enhanced Minimum Damage	10	823		-823	200	11			1		135	3	0	ModStr2k	ModStr2k		1							8	5								1			mindamage	secondary_mindamage	item_throw_mindamage												1024	10	823	0
tohit	19		items	to Attack Rating	10			0	1023	16			1		120	1	1	ModStr1h	ModStr1h		1							8	5																									1024	10	0	0
toblock	20		items	Base Block Chance	9	257		-257	254	10			1		139	2	1	ModStr3g	ModStr3g									45	102																									1024	9	257	0
mindamage	21		items	to Minimum Damage	11	0		0	2047	16			1		132	1	1	ModStr1g	ModStr1g		1							61	100																									1024	11	0	0
maxdamage	22		items	to Maximum Damage	11	0		0	2047	16			1		131	1	1	ModStr1f	ModStr1f		1							47	50																									1024	11	0	0
secondary_mindamage	23		items	to Minimum Damage	11	0		0	2047	16			1		129	1	1	ModStr1g	ModStr1g		1							38	64																									1024	11	0	0
secondary_maxdamage	24		items	to Maximum Damage	11	0		0	2047	16			1		128	1	1	ModStr1f	ModStr1f		1							44	64																									1024	11	0	0
damagepercent	25		items	Enhanced Weapon Damage	10	50		-50	973	12			1		85	4	2	ModTotPhysDmg	ModNegPhysDmgZ		1							23	20																									1024	10	50	0
manarecovery	26		skills		10	0		0	1023																																													1024	10	0	0
manarecoverybonus	27		items	Regenerate Mana	9	100		-100	411	16			1		57	4	2	ModStr4g	ModStr4g																																			1024	9	100	0
staminarecoverybonus	28		misc	Heal Stamina Plus	10	0		0	1023	16			1		53	2	2	ModStr3v	ModStr3v																																			1024	10	0	0
lastexp	29		classic							32																																												1024	0	0	0
nextexp	30		classic							32																																												1024	0	0	0
armorclass	31		items	Defense	16	500		-500	65035	17			1		76	1	1	ModStr1i	ModStr1i									9	5																									1024	16	500	0
armorclass_vs_missile	32		items	Defense vs. Missile	12	250		-250	3845	16			1		74	1	1	ModStr6a	ModStr6a									6	3																									1024	12	250	0
armorclass_vs_hth	33		items	Defense vs. Melee	12	0		0	4095	16			1		75	1	1	ModStr6b	ModStr6b									7	4																									1024	12	0	0
normal_damage_reduction	34		items	Physical Damage Reduced by	10	110		-110	913	10			1		27	3	2	ModStr2uu	ModStr2uu									94	100																									1024	10	110	0
magic_damage_reduction	35		items	Elemental/Magic Damage Reduced by	10	30		-30	993	10			1		26	3	2	ModStr2t	ModStr2t									199	170																									1024	10	30	0
damageresist	36		items	Physical Resist	10	100		-100	923	9			1		27	2	2	ModStr2u	ModStr2u									76	34																									1024	10	100	0
magicresist	37		items	Magic Resist	8	100		-100	155	9			1		46	4	2	ModStr1m	ModStr1m									82	34																									1024	8	100	0
maxmagicresist	38		classic	Maximum Magic Resist	8	100		-100	155	9			1		51	4	1	ModStr5x	ModStr5x									546	205																									1024	8	100	0
fireresist	39		items	Fire Resist	8	100		-100	155	9			1		41	4	2	ModStr1j	ModStr1j									22	10																		2	4	2	ItemmodAllRes	ItemmodAllRes			1024	8	100	0
maxfireresist	40		items	Maximum Fire Resist	8	100		-100	155	9			1		47	4	2	ModStr5u	ModStr5u									292	128																		7	4	2	ItemmodAllMaxRes	ItemmodAllMaxRes			1024	8	100	0
lightresist	41		items	Lightning Resist	8	100		-100	155	9			1		43	4	2	ModStr1l	ModStr1l									22	10																		2	4	2	ItemmodAllRes	ItemmodAllRes			1024	8	100	0
maxlightresist	42		items	Maximum Lightning Resist	8	100		-100	155	9			1		47	4	2	ModStr5w	ModStr5w									292	128																		7	4	2	ItemmodAllMaxRes	ItemmodAllMaxRes			1024	8	100	0
coldresist	43		items	Cold Resist	8	100		-100	155	9			1		45	4	2	ModStr1k	ModStr1k									22	10																		2	4	2	ItemmodAllRes	ItemmodAllRes			1024	8	100	0
maxcoldresist	44		items	Maximum Cold Resist	8	100		-100	155	9			1		47	4	2	ModStr5v	ModStr5v									292	128																		7	4	2	ItemmodAllMaxRes	ItemmodAllMaxRes			1024	8	100	0
poisonresist	45		items	Poison Resist	8	100		-100	155	9			1		39	4	2	ModStr1n	ModStr1n									22	10																		2	4	2	ItemmodAllRes	ItemmodAllRes			1024	8	100	0
maxpoisonresist	46		items	Maximum Poison Resist	8	100		-100	155	9			1		47	4	2	ModStr5y	ModStr5y									263	128																		7	4	2	ItemmodAllMaxRes	ItemmodAllMaxRes			1024	8	100	0
damageaura	47		classic							16			1																																									1024	0	0	0
firemindam	48		items	to Minimum Fire Damage	12	0		0	4095	16			1		107	1	1	ModStr1p	ModStr1p		1							6	5																									1024	12	0	0
firemaxdam	49		items	to Maximum Fire Damage	12	0		0	4095	16			1		106	1	1	ModStr1o	ModStr1o		1							10	5																									1024	12	0	0
lightmindam	50		items	to Minimum Lightning Damage	12	0		0	4095	16			1		104	1	1	ModStr1r	ModStr1r		1							6	5																									1024	12	0	0
lightmaxdam	51		items	to Maximum Lightning Damage	12	0		0	4095	16			1		103	1	1	ModStr1q	ModStr1q		1							9	5																									1024	12	0	0
magicmindam	52		items	+%d magic damage	12	0		0	4095	16			1		109	1	1	strModMagicDamage	strModMagicDamage		1							98	10																									1024	12	0	0
magicmaxdam	53		items	+%d magic damage	12	0		0	4095	16			1		108	1	1	strModMagicDamage	strModMagicDamage		1							92	10																									1024	12	0	0
coldmindam	54		items	to Minimum Cold Damage	12	0		0	4095	16			1		101	1	1	ModStr1t	ModStr1t		1							226	256																									1024	12	0	0
coldmaxdam	55		items	to Maximum Cold Damage	12	0		0	4095	16			1		100	1	1	ModStr1s	ModStr1s		1							64	170																									1024	12	0	0
coldlength	56		items		10	0		0	1023	16			1								1							39	2																									1024	10	0	0
poisonmindam	57		items	to Minimum Poison Damage	14	0		0	16383	19			1		99	1	1	ModStr4i	ModStr4i		1							6	14																									1024	14	0	0
poisonmaxdam	58		items	to Maximum Poison Damage	14	0		0	16383	19			1		98	1	1	ModStr4h	ModStr4h		1							6	17																									1024	14	0	0
poisonlength	59		items		12	0		0	4095	16			1								1							1	2																									1024	12	0	0
lifedrainmindam	60		items	Life stolen per Hit	10	0		0	1023	16			1		93	2	1	ModStr2z	ModStr2z		1							522	171																									1024	10	0	0
lifedrainmaxdam	61		skills							16			1								1																																	1024	0	0	0
manadrainmindam	62		items	Mana stolen per Hit	10	0		0	1023	16			1		94	2	1	ModStr2y	ModStr2y		1							590	171																									1024	10	0	0
manadrainmaxdam	63		classic							16			1								1																																	1024	0	0	0
stamdrainmindam	64		items	Stamina stolen per Hit	10	0		0	1023	16			1		95	2	1	ModitemStamDrain	ModitemStamDrain		1							644	171																									1024	10	0	0
stamdrainmaxdam	65		classic							16			1								1																																	1024	0	0	0
stunlength	66		items	Stun Attack	10	0		0	1023	16					93	3	0	Moditemstun	Moditemstun		1							13	2																									1024	10	0	0
velocitypercent	67		skills		10	20		-20	1003	10		1	1														1																											1024	10	20	0
attackrate	68		skills		10	20		-20	1003	10		1	1								1						1																											1024	10	20	0
other_animrate	69		skills							10		1	1														1																											1024	0	0	0
quantity	70		classic							16			1								1					1																												1024	0	0	0
value	71		classic		8	100		-100	155	9			1													1																												1024	8	100	0
durability	72		items		10	150		-150	873	9			1											1	maxdurability	1																												1024	10	150	0
maxdurability	73		items		10	90		-90	933	9			1													1		5	2																									1024	10	90	0
hpregen	74		items	Life Regenerated per Second	15	1000		-1000	31767						61	32	1	ModStr2l	ModStr2l									23	21																									1024	15	1000	0
item_maxdurability_percent	75		items	Durability	10	100		-100	923	7			1		9	2	2	ModStr2i	ModStr2i									59	5								1			maxdurability														1024	10	100	0
item_maxhp_percent	76		items	Maximum Life	10	100		-100	923	16			1		63	2	2	ModStr2g	ModitemCursedHPPct									56	4								11			maxhp							10	2	2	ModitemHPManaP	ModitemHPManaP			1024	10	100	0
item_maxmana_percent	77		items	Maximum Mana	10	100		-100	923	16			1		59	2	2	ModStr2h	ModStr2h									56	4								11			maxmana							10	2	2	ModitemHPManaP	ModitemHPManaP			1024	10	100	0
item_attackertakesdamage	78		items	Attacker Takes Damage of	10	0		0	1023	16			1	1	18	3	2	ModStr1v	ModStr1v									56	64														damagedinmelee	6	damagedbymissile	6								1024	10	0	0
item_goldbonus	79		items	Gold Find	9	100		-100	411	10			1		15	2	1	ModStr1w	ModStr1w									94	17																									1024	9	100	0
item_magicbonus	80		items	Magic Find	9	100		-100	411	10			1		13	2	1	ModStr1x	ModStr1x									289	51																									1024	9	100	0
item_knockback	81		items	Knockback	2	0		0	3	8			1	1	81	3	0	ModStr1y	ModStr1y		1							53	1														domeleedamage	7	domissiledamage	7								1024	2	0	0
item_timeduration	82		classic		9	20		-20	491	10			1																																									1024	9	20	0
item_addclassskills	83		items	to Amazon Skill Levels	4	0	3	0	15	3	3		1	1	155	13	1	ModStr3a	ModStr3a									112	26																									1024	4	0	0
unsentparam1	84		classic																																																			1024	0	0	0
item_addexperience	85		items	to Experience Gained	8	25		-25	230	9			1		16	4	1	Moditem2ExpG	Moditem2ExpG									56	4																									1024	8	25	0
item_healafterkill	86		items	Life after each Kill	10	0		0	1023	15			1	1	21	1	1	ModitemHPaK	ModitemHPaK									15	51														kill	28										1024	10	0	0
item_reducedprices	87		items	to all Vendor Prices	10	45		-45	978	8					13	20	1	ModitemRedVendP	ModitemRedVendP									9479	102																									1024	10	45	0
achievement_counts	88		char stat		32	0	16	0	4294967295	32	16	1	1																	1		32	16																					1024	32	0	0
item_lightradius	89		items	to Light Radius	8	5		-5	250	5			1	1	11	1	1	ModStr3f	ModStr3f									8	26																									1024	8	5	0
item_lightcolor	90		items		24	0		0	16777215	24			1	1														78	1																									1024	24	0	0
item_req_percent	91		items	Requirements	10	100		-100	923	8			1		8	4	2	ModStr3h	ModStr3h									13	-17																									1024	10	100	0
item_levelreq	92		items	Required Level	8			0	255						7	1	1	ModitemRLZOMG	ModitemRLZOMG																																			1024	8	0	0
item_fasterattackrate	93		items	Attack Speed	9	60		-60	451	9		1	1		150	2	1	ModStr4m	ModStr4m		1							521	78																		9	2	1	DescStringMyAss	DescStringMyAss			1024	9	60	0
item_levelreqpct	94		classic		10	64		-64	959						63	4	2	ModitemLevReq	ModitemLevReq									521	-26								1			item_levelreq														1024	10	64	0
lastblockframe	95		classic																																																			1024	0	0	0
item_fastermovevelocity	96		items	Movement Speed	9	50		-50	461	9		1	1		147	2	1	ModStr4s	ModStr4s									2042	78																									1024	9	50	0
item_nonclassskill	97		items		7	1	11	-1	126	15	11		1	1	86	28												91	164							1																		1024	7	1	0
state	98		items		1		11	0	1	1	11	1		1														208	32																									1024	1	0	0
item_fastergethitrate	99		items	Hit Recovery	9	50		-50	461	9		1	1		144	2	1	ModStr4p	ModStr4p									533	36																		9	2	1	DescStringMyAss	DescStringMyAss			1024	9	50	0
monster_playercount	100		classic																																																			1024	0	0	0
skill_poison_override_length	101		classic		6	0		0	63	8																																												1024	6	0	0
item_fasterblockrate	102		items	Block Speed	10	20		-20	1003	9		1	1		141	2	1	ModStr4y	ModitemSlowerBlock									742	36																		9	2	1	DescStringMyAss	DescStringMyAss			1024	10	20	0
skill_bypass_undead	103		classic	Ignores Resistances of Undead	1	0		0	1	1					155	3	0	Moditemiru	Moditemiru									101	7753																									1024	1	0	0
skill_bypass_demons	104		classic	Ignores Resistances of Demons	1	0		0	1	1					155	3	0	Moditemird	Moditemird									101	7753																									1024	1	0	0
item_fastercastrate	105		items	Cast Speed	10	50		-50	973	9		1	1		153	2	1	ModStr4v	ModStr4v									1938	78																		9	2	1	DescStringMyAss	DescStringMyAss			1024	10	50	0
skill_bypass_beasts	106		classic	Ignores Resistances of Beasts	1	0		0	1	1					155	3	0	Moditemirb	Moditemirb									101	7753																									1024	1	0	0
item_singleskill	107		items		5	1	11	-1	30	15	11		1	1	86	27												91	128							1																		1024	5	1	0
item_restinpeace	108		items	Slain Monsters Rest in Peace	1	0		0	1	1				1	86	3	0	ModitemSMRIP	ModitemSMRIP		1							994	1														kill	29										1024	1	0	0
curse_resistance	109		items	Curse Length Reduction	8	20		-20	235	9			1		10	2	1	Moditemcures	ModitemCursedCurse									80	17																									1024	8	20	0
item_poisonlengthresist	110		items	Poison Length Reduced by	8	20		-20	235	9			1		16	2	2	ModStr3r	ModStr3r									14	5																									1024	8	20	0
item_normaldamage	111		skills	Damage	10	100		-100	923	8			1		127	1	2	ModStr5b	ModStr5b		1							47	50																									1024	10	100	0
item_howl	112		items	Hit Causes Monster to Flee	7	25		-25	102	8			1	1	84	5	2	ModStr3u	ModStr3u		1							28	5														domeleedamage	8	domissiledamage	8								1024	7	25	0
item_stupidity	113		items	Hit Blinds Target	8	50		-50	205	8			1	1	85	12	2	ModStr6d	ModStr6d		1							166	512														domeleedamage	9	domissiledamage	9								1024	8	50	0
item_damagetomana	114		items	Damage Taken Goes To Mana	10	0		0	1023	7			1	1	16	2	1	ModStr3w	ModStr3w									22	10														damagedinmelee	13	damagedbymissile	13								1024	10	0	0
item_ignoretargetac	115		items	Ignore Target's Defense	1	0		0	1	2			1		124	3	0	ModStr3y	ModStr3y		1							544	512																									1024	1	0	0
item_fractionaltargetac	116		items	Target Defense	7	0		0	127	8			1		123	20	1	ModStr5o	ModStr5o		1							34	10																									1024	7	0	0
item_preventheal	117		classic	Prevent Monster Heal	1	0		0	1	8			1		86	3	0	ModStr4a	ModStr4a		1							24	25																									1024	1	0	0
item_halffreezeduration	118		items	Half Freeze Duration	1	0		0	1	2			1		24	3	0	ModStr4b	ModStr4b									2548	494																									1024	1	0	0
item_tohit_percent	119		items	Bonus to Attack Rating	10	20		-20	1003	12			1		122	2	1	ModStr4c	ModStr4c		1							491	20																									1024	10	20	0
item_damagetargetac	120		items	to Monster Defense per Hit	10	500		-500	523	8			1		80	1	1	ModStr4d	ModStr4d		1							12	-10																									1024	10	500	0
item_demondamage_percent	121		items	Damage to Demons	11	100		-100	1947	12			1		117	4	1	ModStr4e	ModStr4e		1							10	6																									1024	11	100	0
item_undeaddamage_percent	122		items	Damage to Undead	11	100		-100	1947	12			1		113	4	1	ModStr4f	ModStr4f		1							7	6																									1024	11	100	0
item_demon_tohit	123		classic	to Attack Rating against Demons	10	128		-128	895	13			1		115	1	1	ModStr4j	ModStr4j		1							8	4																									1024	10	128	0
item_undead_tohit	124		classic	to Attack Rating against Undead	10	128		-128	895	13			1		111	1	1	ModStr4k	ModStr4k		1							6	4																									1024	10	128	0
item_throwable	125		classic	Throwable	1	0		0	1	2			1		10	3	0	ModStr5a	ModStr5a									41	512																									1024	1	0	0
item_elemskill	126		classic		3	0	3	0	7	3	3		1	1	162	1	1	ModitemColdSkills	ModitemColdSkills									38	512																									1024	3	0	0
item_allskills	127		items	to All Skills	5	0		0	31	5			1	1	163	1	1	ModStr3k	ModStr3k									4	1																									1024	5	0	0
item_attackertakeslightdamage	128		items	Attacker Takes Lightning Damage of	10	0		0	1023	6			1	1	19	3	2	ModStr3j	ModStr3j									2	51														damagedinmelee	10			14	3	2	ModitemAllThorns				1024	10	0	0
ironmaiden_level	129		classic							10			1																																									1024	0	0	0
lifetap_level	130		classic							10			1																																									1024	0	0	0
thorns_percent	131		items	Damage Reflected	10	150		-150	873	12					18	2	1	Moditemthornsper	Moditemthornsper									17	1																									1024	10	150	0
bonearmor	132		classic							32			1																																									1024	0	0	0
bonearmormax	133		classic							32			1																																									1024	0	0	0
item_freeze	134		items	Freezes Target	5	5		-5	26	5			1	1	83	12	2	ModStr3l	ModStr3l		1							333	6														domeleedamage	14	domissiledamage	14								1024	5	5	0
item_openwounds	135		items	Chance of Open Wounds	8	0		0	255	7			1	1	88	2	1	ModStr3m	ModStr3m		1							12	5														domeleedamage	15	domissiledamage	15								1024	8	0	0
item_crushingblow	136		items	Chance of Crushing Blow	8	0		0	255	7			1	1	92	2	1	ModStr5c	ModStr5c		1							49	20														domeleedamage	16	domissiledamage	16								1024	8	0	0
item_kickdamage	137		classic	Kick Damage	10	0		0	1023	7			1		126	1	1	ModStr5e	ModStr5e									39	26																									1024	10	0	0
item_manaafterkill	138		items	Mana after each Kill	10	0		0	1023	7			1	1	21	1	1	ModStr5f	ModStr5f									9	51														kill	17										1024	10	0	0
item_healafterdemonkill	139		items	Life after each Demon Kill	10	0		0	1023	7			1	1	20	1	1	ModStr6c	ModStr6c									9	51														kill	18										1024	10	0	0
item_extrablood	140		classic		10	0		0	1023	7			1								1							8	5																									1024	10	0	0
item_deadlystrike	141		items	Deadly Strike	8	0		0	255	7			1		90	2	1	ModStr5q	ModStr5q		1							16	13																									1024	8	0	0
item_absorbfire_percent	142		items	Fire Absorb	10	0		0	1023	7			1		28	2	2	ModStr5g	ModStr5g									2743	51																									1024	10	0	0
item_absorbfire	143		items	Fire Absorb	10	0		0	1023	7			1		32	1	1	ModStr5h	ModStr5h									870	102																									1024	10	0	0
item_absorblight_percent	144		items	Lightning Absorb	10	0		0	1023	7			1		29	2	2	ModStr5i	ModStr5i									2743	51																									1024	10	0	0
item_absorblight	145		items	Lightning Absorb	10	0		0	1023	7			1		34	1	1	ModStr5j	ModStr5j									870	102																									1024	10	0	0
item_absorbmagic_percent	146		items	Magic Absorb	10	0		0	1023	7			1		31	2	2	ModStr5k	ModStr5k									2743	51																									1024	10	0	0
item_absorbmagic	147		items	Magic Absorb	10	0		0	1023	7			1		38	1	1	ModStr5l	ModStr5l									870	102																									1024	10	0	0
item_absorbcold_percent	148		items	Cold Absorb	10	0		0	1023	7			1		30	2	2	ModStr5m	ModStr5m									2743	51																									1024	10	0	0
item_absorbcold	149		items	Cold Absorb	10	0		0	1023	7			1		36	1	1	ModStr5n	ModStr5n									870	102																									1024	10	0	0
item_slow	150		items	Slow Target	8	50		-50	205	7			1	1	81	2	2	ModStr5r	ModStr5r		1							51	20														domeleedamage	19	domissiledamage	19								1024	8	50	0
item_aura	151		items		7	1	11	-1	126				1	1																																								1024	7	1	0
item_indesctructible	152		classic	Indestructible	1			0	1	1			1		165	3	0	ModStre9s	ModStre9s																																			1024	1	0	0
item_cannotbefrozen	153		items	Cannot Be Frozen	1			0	1	2			1		25	3	0	ModStr5z	ModStr5z									7506	1024																									1024	1	0	0
item_staminadrainpct	154		items	Slower Stamina Drain	8	50		-50	205	7			1		54	2	1	ModStr6e	ModStr6e		1							51	10																									1024	8	50	0
item_reanimate	155		items	Reanimate as:	7	0	12	0	127	7	12			1	22	23	1	Moditemreanimas	Moditemreanimas		1																						kill	31										1024	7	0	0
item_pierce	156		items		10	0		0	1023	7			1								1							962	1024																									1024	10	0	0
item_magicarrow	157		classic	Fires Magic Arrows	7	0		0	127	7			1		136	3	0	ModStr6h	ModStr6h									256	512																									1024	7	0	0
item_explosivearrow	158		classic	Fires Explosive Arrows or Bolts	7	0		0	127	7			1		138	3	0	ModStr6i	ModStr6i									246	768																									1024	7	0	0
item_throw_mindamage	159		items		10	0		0	1023	6			1								1							38	64																									1024	10	0	0
item_throw_maxdamage	160		items		10	0		0	1023	7			1								1							44	64																									1024	10	0	0
skill_handofathena	161		skills	Unusual Missile Speed	6	10		-10	53	12			1		82	3	1	ModMsl	ModMsl									26	5																									1024	6	10	0
skill_staminapercent	162		classic							13			1																								1			maxstamina														1024	0	0	0
skill_passive_staminapercent	163		classic							12			1																								1			maxstamina														1024	0	0	0
skill_concentration	164		items	Chance of Uninterruptable Attack	8	20		-20	235	12			1		25	2	1	ModitemUninter	ModitemUninter									168	425																									1024	8	20	0
skill_enchant	165		classic							12			1																																									1024	0	0	0
skill_pierce	166		classic							12			1																																									1024	0	0	0
skill_conviction	167		classic							12			1																																									1024	0	0	0
skill_chillingarmor	168		classic							12			1																																									1024	0	0	0
skill_frenzy	169		classic							12			1																																									1024	0	0	0
skill_decrepify	170		classic							12			1																																									1024	0	0	0
skill_armor_percent	171		items	Total Character Defense	10	0		0	1023	16			1		25	2	2	ModitemTotalAC	ModitemTotalAC									165	389																									1024	10	0	0
alignment	172		classic							2		1																																										1024	0	0	0
target0	173		classic							32																																												1024	0	0	0
target1	174		classic							32																																												1024	0	0	0
goldlost	175		classic							24																																												1024	0	0	0
conversion_level	176		classic							8																																												1024	0	0	0
conversion_maxhp	177		classic							16																																												1024	0	0	0
unit_dooverlay	178		classic							16																																												1024	0	0	0
attack_vs_montype	179		classic		10		10	0	1023	9	10										1							10	7																									1024	10	0	0
damage_vs_montype	180		items		10		10	0	1023	9	10										1							14	9																									1024	10	0	0
fade	181		items		3			0	7	7		1																																											3	0	0
armor_override_percent	182		items	Total Defense = 0	9	100		-100	411	8		1	1		15	3	0	ModitemACLess	ModitemACLess									44	51																									1024	9	100	0
item_dyes_color	183	value - 1 = id in colors.txt	cube		5	0		0	31	5			1																																									1024	5	0	0
x_signet01	184		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
potion_stat_cap	185		char stat	Stat Signets Used:						11			1		9	3	2	ModitemStatCap	ModitemStatCap											1		12		1	1																			1024	0	0	0
potion_skill_cap	186		char stat	Skill Signets Used:						6			1		9	3	2	ModitemSkillCap	ModitemSkillCap											1		8		1	1																			1024	0	0	0
passive_lionheart_addstupidth	187	replace w/ syn	items	Dragonheart Spell Blinds Attacker	3	0		0	7	9			1		27	12	2	ModitemLHStupid	ModitemLHStupid																																			1024	3	0	0
item_addskill_tab	188		classic	+%d to Javelin and Spear Skills	3	0	16	0	7	3	6		1	1	156	14		StrSklTabItem1	StrSklTabItem1									5521	384																									1024	3	0	0
damage_divisor	189		items		16	0		0	65535	17																																												1024	16	0	0
passive_ultimative	190	natasha's legacy	skills							12			1																																									1024	0	0	0
x_signet02	191		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet03	192		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet04	193		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_numsockets	194		items		4	0		0	15	4			1													1		19	85																									1024	4	0	0
item_skillonattack	195		items	%d%% Chance to cast level %d %s on Melee Attack	8	0	17	0	255	7	17		1	1	165	15		ItemExpansiveChancX	ItemExpansiveChancX		1							95	128							2							domeleeattack	20										1024	8	0	0
item_skillonkill	196		items	%d%% Chance to cast level %d %s on Kill	8	0	17	0	255	7	17		1	1	165	15		ModitemskonKill	ModitemskonKill		1							43	10							2							kill	20										1024	8	0	0
item_skillondeath	197		items	%d%% Chance to cast level %d %s when you Die	8	0	17	0	255	7	17		1	1	165	15		Moditemskondeath	Moditemskondeath									6	5							2							killed	30										1024	8	0	0
item_skillonhit	198		items	%d%% Chance to cast level %d %s on Striking	8	0	17	0	255	7	17		1	1	165	15		ItemExpansiveChanc1	ItemExpansiveChanc1		1							95	128							2							domeleedamage	20	domissiledamage	20								1024	8	0	0
item_skillonlevelup	199		items	%d%% Chance to cast level %d %s when you Level-Up	7	0	17	0	127	7	17		1	1	165	15		ModitemskonLevel	ModitemskonLevel									4	3							2							levelup	30										1024	7	0	0
item_megaimpact	200		items	\orange;Mega Impact\white;	7	0	17	0	127	7	17		1	1	247	3	0	ModitemMegaImpact	ModitemMegaImpact		1							95	128							2							domeleeattack	20										1024	7	0	0
item_skillongethit	201		items	%d%% Chance to cast level %d %s when Struck	7	0	17	0	127	7	17		1	1	165	15		ItemExpansiveChanc2	ItemExpansiveChanc2									95	128							2							damagedinmelee	21	damagedbymissile	21								1024	7	0	0
x_signet05	202		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_totaldamage_perlevel	203		items	Enhanced Weapon Damage	10	0		0	1023	6			1		65	8	2	ModTotPhysDmg	ModTotPhysDmg	increaseswithplaylevelX								101	89								2	5	level	damagepercent														1024	10	0	0
item_charged_skill	204		items	(%d/%d Charges)	16	0	16	0	65535	30			1	1	9	24		ModStre10d	ModStre10d									201	128							3																		1024	16	0	0
x_signet06	205		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet07	206		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
x_signet08	207		cube / mo		5	0		0	31	12			1															7	2																									1024	5	0	0
item_healonstriking	208		items	Life on Striking	9	0		0	511	7			1	1	27	1	1	ModitemHealAttack	ModitemHealAttack									41	25														domeleedamage	28	domissiledamage	28								1024	9	0	0
item_manaonstriking	209		items	Mana on Striking	9	0		0	511	7			1	1	25	1	1	ModitemManaAttack	ModitemManaAttack									41	25														domeleedamage	17	domissiledamage	17								1024	9	0	0
