#index	item	set	rlvl	image	prop1	param1	min1	max1	prop2	param2	min2	max2	prop3	param3	min3	max3	prop4	param4	min4	max4	prop5	param5	min5	max5	prop6	param6	min6	max6	prop7	param7	min7	max7	prop8	param8	min8	max8	prop9	param9	min9	max9	prop10	param10	min10	max10
218	Achilios' Knuckledusters	Achilios' Wake	100																																									
219	Achilios' Eagle Eye	Achilios' Wake	100																																									
220	Achilios' Refuge	Achilios' Wake	100																																									
221	Achilios' Sledgehammer	Achilios' Wake	100																																									
222	Heaven In Sight	Satanic Mantra	100																																									
223	Till We Have	Satanic Mantra	100																																									
224	Through Death's Veil	Satanic Mantra	100																																									
225	Lend Me Thy Light	Satanic Mantra	100																																									
226	Archangel Dark Angel	Satanic Mantra	100																																									
227	Cinadide's Bender	Cinadide's Craft	100																																									
228	Cinadide's Anvil	Cinadide's Craft	100																																									
229	Cinadide's Bellows	Cinadide's Craft	100																																									
230	Cinadide's Forge	Cinadide's Craft	100																																									
231	Cinadide's Malus	Cinadide's Craft	100																																									
232	Hadriel's Presence	Hadriel's Lore	100																																									
233	Hadriel's Courage	Hadriel's Lore	100																																									
234	Hadriel's Wings	Hadriel's Lore	100																																									
235	Hadriel's Pure Heart	Hadriel's Lore	100																																									
236	Hadriel's Avenger	Hadriel's Lore	100																																									
237	Malthael's Stride	Malthael's Sanctuary	100																																									
238	Malthael's Ward	Malthael's Sanctuary	100																																									
239	Malthael's Crown	Malthael's Sanctuary	100																																									
240	Malthael's Halo	Malthael's Sanctuary	100																																									
241	Malthael's Wrath	Malthael's Sanctuary	100																																									
242	Imperius' Winged Feet	Imperius' Edict	100																																									
243	Imperius' Crusade	Imperius' Edict	100																																									
244	Imperius' Aura	Imperius' Edict	100																																									
245	Imperius' Radiance	Imperius' Edict	100																																									
246	Imperius' Sky Hammer	Imperius' Edict	100																																									
247	MRWarmage's Wake2	Warmage's Wrath	100																																									
248	MRWarmage's Conjuration2	Warmage's Wrath	100																																									
249	MRWarmage's Breath2	Warmage's Wrath	100																																									
250	MRWarmage's Flameshroud2	Warmage's Wrath	100																																									
251	MRWarmage's Fireblade2	Warmage's Wrath	100																																									
252	Zann Esu's Rune Loop	Zann Esu's Secrets	100																																									
253	Zann Esu's Mysteries	Zann Esu's Secrets	100																																									
254	Zann Esu's Robes	Zann Esu's Secrets	100																																									
255	Zann Esu's Binding Circle	Zann Esu's Secrets	100																																									
256	Zann Esu's Charm	Zann Esu's Secrets	100																																									
257	Elemental Trance	Elemental Children	100																																									
258	Elemental Spirit	Elemental Children	100																																									
259	Elemental Clash	Elemental Children	100																																									
260	Elemental Fury	Elemental Children	100																																									
261	Elemental Storm	Elemental Children	100																																									
262	Pentad	Adria's Circle	100																																									
263	Tetrad	Adria's Circle	100																																									
264	Triad	Adria's Circle	100																																									
265	Dyad	Adria's Circle	100																																									
266	Monad	Adria's Circle	100																																									
267	Emerald Growth	Rainbow Warrior	100																																									
268	Emerald Sky	Rainbow Warrior	100																																									
269	Emerald Cloud	Rainbow Warrior	100																																									
270	Emerald Earth	Rainbow Warrior	100																																									
271	Emerald Flower	Rainbow Warrior	100																																									
272	Scosglen's Legends	Last King of Scosglen	100																																									
273	Scosglen's History	Last King of Scosglen	100																																									
274	Scosglen's Tales	Last King of Scosglen	100																																									
275	Scosglen's Fables	Last King of Scosglen	100																																									
276	Scosglen's Myths	Last King of Scosglen	100																																									
277	Tower Push	The Towerlord	100																																									
278	Tower Denial	The Towerlord	100																																									
279	Tower Wall	The Towerlord	100																																									
280	Tower Defense	The Towerlord	100																																									
281	Tower Rush	The Towerlord	100																																									
282	Warmage's Wake	The Warmage	100																																									
283	Warmage's Conjuration	The Warmage	100																																									
284	Warmage's Breath	The Warmage	100																																									
285	Warmage's Flameshroud	The Warmage	100																																									
286	Warmage's Fireblade	The Warmage	100																																									
287	Charge of the Goddess	The Mysteries	100																																									
288	Sacred Circle	The Mysteries	100																																									
289	Pentacle	The Mysteries	100																																									
290	Cauldron	The Mysteries	100																																									
291	Witchblade	The Mysteries	100																																									
292	Lazarus' Summoning Ring	Lazarus' Authority	100																																									
293	Lazarus' Lamen	Lazarus' Authority	100																																									
294	Apeshoot	Testament of the Apes	100																																									
295	Apeskin	Testament of the Apes	100																																									
296	Apeskull	Testament of the Apes	100																																									
297	Apehand	Testament of the Apes	100																																									
298	Apefoot	Testament of the Apes	100																																									
299	Laz's Chasuble	\orange;[BrotherLaz Tribute Set]\n\gold;Archbishop Lazarus	100																																									
300	Laz's Surplice Cap	\orange;[BrotherLaz Tribute Set]\n\gold;Archbishop Lazarus	100																																									
301	Laz's Votive Lamp	\orange;[BrotherLaz Tribute Set]\n\gold;Archbishop Lazarus	100																																									
303	xarugas' Dominion	\orange;[Community Tribute Set]\n\gold;All Is One	100																																									
305	Stealthmaster's Triumph	\orange;[Community Tribute Set]\n\gold;All Is One	100																																									
306	Greg's Silent Scream	\orange;[Community Tribute Set]\n\gold;All Is One	100																																									
308	\gold;Natasha, the Assassin	\orange;[MarcoNecroX Tribute Set]\n\gold;Cowboys From Hell	100	set_pewpew1									36		10	10					338,339,340		5	5					31		1500	1500												
309	\gold;fearless, the Barbarian	\orange;[MarcoNecroX Tribute Set]\n\gold;Cowboys From Hell	100	set_pewpew2									39		30	30					48,49		333	666					143		5	5												
310	\gold;MISSINGNO, the Paladin	\orange;[MarcoNecroX Tribute Set]\n\gold;Cowboys From Hell	100	set_pewpew3									41		30	30					50,51		333	666					145		5	5												
311	\gold;Zoology, the Amazon	\orange;[MarcoNecroX Tribute Set]\n\gold;Cowboys From Hell	100	set_pewpew4									43		30	30					54,55,56		333	666					149		5	5												
312	\gold;Tanya, the Sorceress	\orange;[MarcoNecroX Tribute Set]\n\gold;Cowboys From Hell	100	set_pewpew5									45		30	30					52,53		333	666					147		5	5												
314	Laz's Lamen	\orange;[BrotherLaz Tribute Set]\n\gold;Archbishop Lazarus	100																																									
316	Segolia's Fenrir's Mercy	\orange;[Community Tribute Set]\n\gold;All Is One	100																																									
317	rad's Guerrilla Warfare 	\orange;[Community Tribute Set]\n\gold;All Is One	100																																									
318	Horazon's Guard	Brotherhood of the Vizjerei	120	lab_armor																																								
319	Valthek's Blade	Brotherhood of the Vizjerei	120																																									
320	Nor Tiraj's Safeguard	Brotherhood of the Vizjerei	120	lab_shield																																								
321	Quov Tsin's Crown	Brotherhood of the Vizjerei	120	lab_helm																																								
322	Bartuc's Blood	Brotherhood of the Vizjerei	120	lab_belt																																								
323	Zoltun's Gauntlets	Brotherhood of the Horadrim	120	lab_gloves																																								
324	Radament's Greaves	Brotherhood of the Horadrim	120	lab_boots																																								
325	Jered Cain's Diamond	Brotherhood of the Horadrim	120	lab_rn1																																								
326	Deckard Cain's Gem	Brotherhood of the Horadrim	120	lab_rn2																																								
327	Tal Rasha's Talisman	Brotherhood of the Horadrim	120	lab_amu																																								
