#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	type	sockettype	class
8@K	Cervelliere (2)		2	2	0		7	57	0									invfhlu		azhm,tier		0
615	Cap (1)		2	2	0		0	10	0									invcap		helm,tier		-1
k04	Diadem (1)		2	2	0		5	0	28									invci3		circ,tier		-1
11!	Phoenix Shield (4)		2	3	0		17	90	0									invkitu		azsd,tier	0	0
710	Full Helm (3)		2	2	0		11	111	0									invfhl		helm,tier		-1
672	Gothic Shield (2)		2	4	0		9	67	126									invgts		shie,tier	0	-1
@54	Horned Helm (Sacred)		2	2	0		30	451	0									invba3		qphm		4
w53	Falcon Mask (3)		2	2	0		12	134	0									invdr4		pelt,tier		5
809	Tower Shield (5)		2	3	0		21	168	323									invtow		shie,tier	0	-1
36!	Gilded Shield (1)		2	3	0		7	44	0									invlrgu		basd,tier	0	4
802	Full Helm (5)		2	2	0		20	234	0									invfhl		helm,tier		-1
hbt	Greaves		2	2	0		0	70	0									invhbt		boot		-1
784	Quilted Armor (5)		2	3	0		17	57	0									invqlt		tors,tier		-1
e10	Targe (5)		2	2	0		18	0	59									invpa1		ashd,tier	0	3
@35	Chain Gloves (Sacred)		2	2	0		30	514	0									invmgl		qglv		-1
746	Splint Mail (4)		2	3	0		16	186	0									invspl		tors,tier		-1
7@M	Spangenhelm (5)		2	2	0		23	358	0									invxrnu		azhm,tier		0
8@M	Spangenhelm (6)		2	2	0		27	519	0									invxrnu		azhm,tier		0
14!	Phoenix Shield (Sacred)		2	3	0		30	648	0									invkitu		sasz	0	0
603	Studded Leather (1)		2	3	0		1	31	0									invstu		tors,tier		-1
610	Field Plate (1)		2	3	0		3	73	0									invfld		tors,tier		-1
636	Gauntlets (1)		2	2	0		5	66	0									invhgl		glov,tier		-1
w33	Falcon Mask (2)		2	2	0		8	92	0									invdr4		pelt,tier		5
768	Heavy Belt (4)		2	1	0		16	192	0									invtbl		belt,tier		-1
787	Studded Leather (5)		2	3	0		19	137	0									invstu		tors,tier		-1
@30	Belt (Sacred)		2	1	0		30	529	0									invmbl		belt,qblt		-1
k12	Diadem (3)		2	2	0		14	0	82									invci3		circ,tier		-1
15!	Setzschild (1)		2	4	0		6	47	0									invutss		azsd,tier	0	0
8@J	Ceremonial Armor (Sacred)		2	3	0		30	0	640									invaaru		sstr		1
w61	Rondache (3)		2	2	0		10	0	43									invpa2		ashd,tier	0	3
crn	Crown		2	2	0		0	55	0									invcrn		helm		-1
k23	Tiara (6)		2	2	0		25	0	220									invci2		circ,tier		-1
4@M	Spangenhelm (2)		2	2	0		10	117	0									invxrnu		azhm,tier		0
w67	Unraveller Head (3)		2	2	0		11	0	50									invne3		head,tier	0	2
854	Kite Shield (6)		2	3	0		24	192	378									invkit		shie,tier	0	-1
823	Chain Boots (5)		2	2	0		19	195	0									invmbt		boot,tier		-1
638	Heavy Boots (1)		2	2	0		1	28	0									invvbt		boot,tier		-1
4@I	Banded Plate (1)		2	3	0		6	0	91									invfulu		stor,tier		1
656	Field Plate (2)		2	3	0		7	106	0									invfld		tors,tier		-1
748	Field Plate (4)		2	3	0		16	223	0									invfld		tors,tier		-1
614	Ancient Armor (1)		2	3	0		5	97	0									invaar		tors,tier		-1
850	Crown (6)		2	2	0		27	519	0									invcrn		crow,tier		-1
763	Tower Shield (4)		2	3	0		17	116	223									invtow		shie,tier	0	-1
w63	Aerin Shield (3)		2	4	0		12	76	0									invpa4		ashd,tier	0	3
867	Boots (6)		2	2	0		21	77	0									invlbt		boot,tier		-1
783	Bone Helm (4)		2	2	0		18	186	0									invbhm		bhlm,tier		-1
w23	Aerin Shield (1)		2	4	0		3	36	0									invpa4		ashd,tier	0	3
759	Buckler (4)		2	2	0		13	18	52									invbuc		shie,tier	0	-1
659	Full Plate Mail (2)		2	3	0		9	132	0									invful		tors,tier		-1
tow	Tower Shield		2	3	0		0	75	0									invtow		shie	0	-1
767	Belt (4)		2	1	0		15	137	0									invmbl		belt,tier		-1
698	Chain Mail (3)		2	3	0		11	103	0									invchn		tors,tier		-1
w86	Zombie Head (4)		2	2	0		15	0	53									invne2		head,tier	0	2
863	Heavy Gloves (6)		2	2	0		23	154	0									invvgl		glov,tier		-1
664	Full Helm (2)		2	2	0		7	77	0									invfhl		helm,tier		-1
666	Crown (2)		2	2	0		9	117	0									invcrn		crow,tier		-1
777	Chain Boots (4)		2	2	0		15	134	0									invmbt		boot,tier		-1
23!	Bull Shield (2)		2	4	0		6	15	33									invgtsu		basd,tier	0	4
810	Gothic Shield (5)		2	4	0		22	203	385									invgts		shie,tier	0	-1
778	Light Plated Boots (4)		2	2	0		16	183	0									invtbt		boot,tier		-1
605	Scale Mail (1)		2	3	0		2	43	0									invscl		tors,tier		-1
w99	Avenger Guard (5)		2	2	0		23	375	0									invba5		phlm,tier		4
w36	Fanged Helm (2)		2	2	0		6	59	0									invba2		phlm,tier		4
739	Leather Armor (4)		2	3	0		13	58	0									invlea		tors,tier		-1
47!	Hundsgugel (5)		2	2	0		18	79	0									invhlmu		pzhm,tier		3
671	Tower Shield (2)		2	3	0		8	55	106									invtow		shie,tier	0	-1
4@L	Cervelliere (Sacred)		2	2	0		30	516	0									invfhlu		szhm		0
9@P	Bladed Shield (6)		2	3	0		26	0	353									invxpku		ishd,tier	0	6
788	Ring Mail (5)		2	3	0		19	164	0									invrng		tors,tier		-1
825	Greaves (5)		2	2	0		22	336	0									invhbt		boot,tier		-1
626	Gothic Shield (1)		2	4	0		5	46	87									invgts		shie,tier	0	-1
5@K	Morion (6)		2	2	0		22	71	0									invxkpu		azhm,tier		0
681	Light Gauntlets (2)		2	2	0		7	75	0									invtgl		glov,tier		-1
781	Spiked Shield (4)		2	3	0		16	0	168									invspk		bshi,tier	0	-1
737	Bone Helm (3)		2	2	0		13	128	0									invbhm		bhlm,tier		-1
738	Quilted Armor (4)		2	3	0		13	40	0									invqlt		tors,tier		-1
750	Gothic Plate (4)		2	3	0		17	259	0									invgth		tors,tier		-1
7@N	Parma (Sacred)		2	2	0		30	480	529									invsmlu		sisd	0	6
794	Field Plate (5)		2	3	0		21	323	0									invfld		tors,tier		-1
860	Heavy Belt (6)		2	1	0		25	404	0									invtbl		belt,tier		-1
k22	Coronet (6)		2	2	0		24	0	183									invci1		circ,tier		-1
6@J	Ceremonial Armor (5)		2	3	0		24	0	429									invaaru		stor,tier		1
@27	Gothic Shield (Sacred)		2	4	0		30	531	619									invgts		qshi	0	-1
@31	Heavy Belt (Sacred)		2	1	0		30	568	0									invtbl		belt,qblt		-1
@49	Antlers (Sacred)		2	2	0		30	450	0									invdr3		qplt		5
714	Small Shield (3)		2	2	0		10	29	65									invsml		shie,tier	0	-1
702	Field Plate (3)		2	3	0		12	153	0									invfld		tors,tier		-1
753	Cap (4)		2	2	0		13	34	0									invcap		helm,tier		-1
40!	Gilded Shield (5)		2	3	0		24	198	0									invlrgu		basd,tier	0	4
@14	Full Plate Mail (Sacred)		2	3	0		30	627	0									invful		qtor		-1
e31	Rondache (6)		2	2	0		24	0	134									invpa2		ashd,tier	0	3
813	Belt (5)		2	1	0		20	199	0									invmbl		belt,tier		-1
@21	Crown (Sacred)		2	2	0		30	606	0									invcrn		qhlm		-1
@23	Small Shield (Sacred)		2	2	0		30	463	499									invsml		qshi	0	-1
3@G	Gambeson (3)		2	3	0		10	0	53									invxtuu		stor,tier		1
814	Heavy Belt (5)		2	1	0		20	278	0									invtbl		belt,tier		-1
692	Quilted Armor (3)		2	3	0		9	27	0									invqlt		tors,tier		-1
7@G	Gambeson (Sacred)		2	3	0		30	0	486									invxtuu		sstr		1
653	Breast Plate (2)		2	3	0		7	80	0									invbrs		tors,tier		-1
w41	Rondache (2)		2	2	0		6	0	30									invpa2		ashd,tier	0	3
808	Kite Shield (5)		2	3	0		20	133	261									invkit		shie,tier	0	-1
762	Kite Shield (4)		2	3	0		16	91	180									invkit		shie,tier	0	-1
28!	Bull Shield (Sacred)		2	4	0		30	347	374									invgtsu		saba	0	4
703	Light Plate (3)		2	3	0		12	166	0									invltp		tors,tier		-1
663	Helm (2)		2	2	0		6	57	0									invhlm		helm,tier		-1
708	Skull Cap (3)		2	2	0		10	53	0									invskp		helm,tier		-1
648	Hard Leather Armor (2)		2	3	0		5	36	0									invhla		tors,tier		-1
684	Heavy Boots (2)		2	2	0		5	41	0									invvbt		boot,tier		-1
674	Light Belt (2)		2	1	0		6	39	0									invvbl		belt,tier		-1
1@L	Cervelliere (4)		2	2	0		15	119	0									invfhlu		azhm,tier		0
k20	Diadem (5)		2	2	0		23	0	196									invci3		circ,tier		-1
690	Mask (2)		2	2	0		8	73	0									invmsk		bhlm,tier		-1
@58	Rondache (Sacred)		2	2	0		30	0	440									invpa2		qaur	0	3
@55	Assault Helmet (Sacred)		2	2	0		30	456	0									invba4		qphm		4
w39	Avenger Guard (2)		2	2	0		9	122	0									invba5		phlm,tier		4
765	Sash (4)		2	1	0		13	27	0									invlbl		belt,tier		-1
38!	Gilded Shield (3)		2	3	0		15	94	0									invlrgu		basd,tier	0	4
6@N	Parma (6)		2	2	0		24	141	288									invsmlu		ishd,tier	0	6
689	Spiked Shield (2)		2	3	0		8	0	80									invspk		bshi,tier	0	-1
k10	Coronet (3)		2	2	0		11	0	51									invci1		circ,tier		-1
622	Small Shield (1)		2	2	0		1	14	31									invsml		shie,tier	0	-1
22!	Bull Shield (1)		2	4	0		1	10	23									invgtsu		basd,tier	0	4
8@L	Einherjar Helm (4)		2	2	0		16	0	162									invuhms		azhm,tier		0
w64	Crown Shield (3)		2	2	0		14	0	92									invpa5		ashd,tier	0	3
e38	Gargoyle Head (6)		2	2	0		25	0	195									invne4		head,tier	0	2
e25	Jawbone Cap (6)		2	2	0		23	168	0									invba1		phlm,tier		4
w31	Hawk Helm (2)		2	2	0		6	54	0									invdr2		pelt,tier		5
8@H	Kazarghand (3)		2	3	0		12	0	116									invxaru		stor,tier		1
608	Splint Mail (1)		2	3	0		3	61	0									invspl		tors,tier		-1
642	Bone Shield (1)		2	3	0		2	0	44									invbsh		bshi,tier	0	-1
790	Chain Mail (5)		2	3	0		19	217	0									invchn		tors,tier		-1
w87	Unraveller Head (4)		2	2	0		16	0	72									invne3		head,tier	0	2
@52	Jawbone Cap (Sacred)		2	2	0		30	442	0									invba1		qphm		4
w80	Targe (4)		2	2	0		14	0	40									invpa1		ashd,tier	0	3
774	Gauntlets (4)		2	2	0		18	201	0									invhgl		glov,tier		-1
6@K	Morion (Sacred)		2	2	0		30	456	0									invxkpu		szhm		0
861	Plated Belt (6)		2	1	0		26	519	0									invhbl		belt,tier		-1
33!	Bronze Shield (5)		2	2	0		21	111	0									invbucu		basd,tier	0	4
780	Bone Shield (4)		2	3	0		15	0	134									invbsh		bshi,tier	0	-1
@05	Ring Mail (Sacred)		2	3	0		30	512	0									invrng		qtor		-1
803	Great Helm (5)		2	2	0		21	296	0									invghm		helm,tier		-1
55!	Blackguard Helm (6)		2	2	0		25	0	187									invbhmu		pzhm,tier		3
w93	Falcon Mask (5)		2	2	0		21	281	0									invdr4		pelt,tier		5
815	Plated Belt (5)		2	1	0		22	358	0									invhbl		belt,tier		-1
5@G	Gambeson (5)		2	3	0		19	0	111									invxtuu		stor,tier		1
w14	Spirit Mask (1)		2	2	0		5	77	0									invdr5		pelt,tier		5
6@H	Kazarghand (1)		2	3	0		3	0	55									invxaru		stor,tier		1
836	Chain Mail (6)		2	3	0		24	314	0									invchn		tors,tier		-1
857	Sash (6)		2	1	0		21	58	0									invlbl		belt,tier		-1
@70	Diadem (Sacred)		2	2	0		30	0	524									invci3		qcic		-1
w74	Spirit Mask (4)		2	2	0		18	235	0									invdr5		pelt,tier		5
w19	Avenger Guard (1)		2	2	0		5	85	0									invba5		phlm,tier		4
760	Small Shield (4)		2	2	0		14	43	95									invsml		shie,tier	0	-1
9@O	Totem Shield (4)		2	3	0		16	0	134									invxshu		ishd,tier	0	6
5@L	Einherjar Helm (1)		2	2	0		3	0	53									invuhms		azhm,tier		0
613	Full Plate Mail (1)		2	3	0		5	91	0									invful		tors,tier		-1
766	Light Belt (4)		2	1	0		14	82	0									invvbl		belt,tier		-1
676	Heavy Belt (2)		2	1	0		7	91	0									invtbl		belt,tier		-1
872	Bone Shield (6)		2	3	0		24	0	282									invbsh		bshi,tier	0	-1
806	Small Shield (5)		2	2	0		18	62	137									invsml		shie,tier	0	-1
39!	Gilded Shield (4)		2	3	0		19	136	0									invlrgu		basd,tier	0	4
44!	Hundsgugel (2)		2	2	0		5	26	0									invhlmu		pzhm,tier		3
k06	Coronet (2)		2	2	0		7	0	31									invci1		circ,tier		-1
3@M	Spangenhelm (1)		2	2	0		5	81	0									invxrnu		azhm,tier		0
w34	Spirit Mask (2)		2	2	0		9	111	0									invdr5		pelt,tier		5
819	Light Gauntlets (5)		2	2	0		20	230	0									invtgl		glov,tier		-1
730	Heavy Boots (3)		2	2	0		10	59	0									invvbt		boot,tier		-1
658	Gothic Plate (2)		2	3	0		9	123	0									invgth		tors,tier		-1
789	Scale Mail (5)		2	3	0		19	190	0									invscl		tors,tier		-1
654	Splint Mail (2)		2	3	0		7	88	0									invspl		tors,tier		-1
700	Splint Mail (3)		2	3	0		11	128	0									invspl		tors,tier		-1
w69	Demon Head (3)		2	2	0		14	0	77									invne5		head,tier	0	2
w51	Hawk Helm (3)		2	2	0		11	78	0									invdr2		pelt,tier		5
w44	Crown Shield (2)		2	2	0		9	0	63									invpa5		ashd,tier	0	3
7@H	Kazarghand (2)		2	3	0		7	0	80									invxaru		stor,tier		1
21!	Setzschild (Sacred)		2	4	0		30	643	0									invutss		sasz	0	0
601	Leather Armor (1)		2	3	0		1	19	0									invlea		tors,tier		-1
796	Gothic Plate (5)		2	3	0		22	376	0									invgth		tors,tier		-1
843	Full Plate Mail (6)		2	3	0		27	583	0									invful		tors,tier		-1
695	Studded Leather (3)		2	3	0		10	65	0									invstu		tors,tier		-1
w30	Wolf Head (2)		2	2	0		5	34	0									invdr1		pelt,tier		5
627	Sash (1)		2	1	0		0	9	0									invlbl		belt,tier		-1
29!	Bronze Shield (1)		2	2	0		3	25	0									invbucu		basd,tier	0	4
844	Ancient Armor (6)		2	3	0		27	622	0									invaar		tors,tier		-1
853	Large Shield (6)		2	3	0		24	141	288									invlrg		shie,tier	0	-1
w28	Gargoyle Head (1)		2	2	0		3	0	30									invne4		head,tier	0	2
e33	Aerin Shield (6)		2	4	0		25	232	0									invpa4		ashd,tier	0	3
5@H	Lamellar Armor (Sacred)		2	3	0		30	0	499									invxrss		sstr		1
727	Light Gauntlets (3)		2	2	0		12	109	0									invtgl		glov,tier		-1
862	Leather Gloves (6)		2	2	0		21	64	0									invlgl		glov,tier		-1
@51	Spirit Mask (Sacred)		2	2	0		30	458	0									invdr5		qplt		5
792	Splint Mail (5)		2	3	0		20	270	0									invspl		tors,tier		-1
667	Buckler (2)		2	2	0		4	9	25									invbuc		shie,tier	0	-1
k01	Circlet (1)		2	2	0		2	0	14									invci0		circ,tier		-1
830	Quilted Armor (6)		2	3	0		22	83	0									invqlt		tors,tier		-1
797	Full Plate Mail (5)		2	3	0		23	402	0									invful		tors,tier		-1
w91	Hawk Helm (5)		2	2	0		19	163	0									invdr2		pelt,tier		5
@60	Aerin Shield (Sacred)		2	4	0		30	445	0									invpa4		qaur	0	3
634	Chain Gloves (1)		2	2	0		2	38	0									invmgl		glov,tier		-1
w98	Assault Helmet (5)		2	2	0		21	310	0									invba4		phlm,tier		4
9@J	Morion (1)		2	2	0		1	10	0									invxkpu		azhm,tier		0
7@O	Totem Shield (2)		2	3	0		7	0	64									invxshu		ishd,tier	0	6
5@P	Bladed Shield (2)		2	3	0		8	0	80									invxpku		ishd,tier	0	6
@43	Bone Shield (Sacred)		2	3	0		30	0	527									invbsh		qshi	0	-1
769	Plated Belt (4)		2	1	0		18	247	0									invhbl		belt,tier		-1
604	Ring Mail (1)		2	3	0		2	37	0									invrng		tors,tier		-1
773	Light Gauntlets (4)		2	2	0		16	159	0									invtgl		glov,tier		-1
k17	Circlet (5)		2	2	0		19	0	98									invci0		circ,tier		-1
758	Crown (4)		2	2	0		18	247	0									invcrn		crow,tier		-1
5@N	Parma (5)		2	2	0		20	97	199									invsmlu		ishd,tier	0	6
2@N	Parma (2)		2	2	0		7	32	65									invsmlu		ishd,tier	0	6
w58	Assault Helmet (3)		2	2	0		12	148	0									invba4		phlm,tier		4
733	Greaves (3)		2	2	0		13	160	0									invhbt		boot,tier		-1
4@J	Ceremonial Armor (3)		2	3	0		15	0	204									invaaru		stor,tier		1
779	Greaves (4)		2	2	0		18	232	0									invhbt		boot,tier		-1
776	Heavy Boots (4)		2	2	0		14	85	0									invvbt		boot,tier		-1
e16	Zombie Head (5)		2	2	0		19	0	77									invne2		head,tier	0	2
w47	Unraveller Head (2)		2	2	0		7	0	35									invne3		head,tier	0	2
52!	Blackguard Helm (3)		2	2	0		12	0	61									invbhmu		pzhm,tier		3
632	Leather Gloves (1)		2	2	0		0	10	0									invlgl		glov,tier		-1
641	Greaves (1)		2	2	0		4	76	0									invhbt		boot,tier		-1
w90	Wolf Head (5)		2	2	0		18	105	0									invdr1		pelt,tier		5
678	Leather Gloves (2)		2	2	0		4	15	0									invlgl		glov,tier		-1
