#code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat
86	0	10							Life after each Kill	Life after each Kill		1	21	1					item_healafterkill
87	45	10							to All Vendor Prices	to All Vendor Prices		20	13	1					item_reducedprices
88	0	32	16	32														16	achievement_counts
89	5	8							to Light Radius	to Light Radius		1	11	1					item_lightradius
90	0	24																	item_lightcolor
91	100	10							Requirements	Requirements		4	8	2					item_req_percent
92		8							Required Level	Required Level		1	7	1					item_levelreq
93	60	9			99,102,105	Combat Speeds	Combat Speeds		Attack Speed	Attack Speed		2	150	1	9	2	1		item_fasterattackrate
94	64	10							ModitemLevReq	ModitemLevReq		4	63	2					item_levelreqpct
96	50	9							Movement Speed	Movement Speed		2	147	1					item_fastermovevelocity
97	1	7										28	86					11	item_nonclassskill
98		1																11	state
99	50	9			93,102,105	Combat Speeds	Combat Speeds		Hit Recovery	Hit Recovery		2	144	1	9	2	1		item_fastergethitrate
101	0	6																	skill_poison_override_length
102	20	10			93,99,105	Combat Speeds	Combat Speeds		Slower Block Rate	Block Speed		2	141	1	9	2	1		item_fasterblockrate
103	0	1							Ignores Resistances of Undead	Ignores Resistances of Undead		3	155	0					skill_bypass_undead
104	0	1							Ignores Resistances of Demons	Ignores Resistances of Demons		3	155	0					skill_bypass_demons
105	50	10			93,99,102	Combat Speeds	Combat Speeds		Cast Speed	Cast Speed		2	153	1	9	2	1		item_fastercastrate
106	0	1							Ignores Resistances of Beasts	Ignores Resistances of Beasts		3	155	0					skill_bypass_beasts
107	1	5										27	86					11	item_singleskill
108	0	1							Slain Monsters Rest in Peace	Slain Monsters Rest in Peace		3	86	0					item_restinpeace
109	20	8							Curse Length Reduction	Curse Length Reduction		2	10	1					curse_resistance
110	20	8							Poison Length Reduced by	Poison Length Reduced by		2	16	2					item_poisonlengthresist
111	100	10							Damage	Damage		1	127	2					item_normaldamage
112	25	7							Hit Causes Monster to Flee	Hit Causes Monster to Flee		5	84	2					item_howl
113	50	8							Hit Blinds Target	Hit Blinds Target		12	85	2					item_stupidity
114	0	10							Damage Taken Goes To Mana	Damage Taken Goes To Mana		2	16	1					item_damagetomana
115	0	1							Ignore Target's Defense	Ignore Target's Defense		3	124	0					item_ignoretargetac
116	0	7							Target Defense	Target Defense		20	123	1					item_fractionaltargetac
117	0	1							Prevent Monster Heal	Prevent Monster Heal		3	86	0					item_preventheal
118	0	1							Half Freeze Duration	Half Freeze Duration		3	24	0					item_halffreezeduration
119	20	10							Bonus to Attack Rating	Bonus to Attack Rating		2	122	1					item_tohit_percent
120	500	10							to Monster Defense per Hit	to Monster Defense per Hit		1	80	1					item_damagetargetac
121	100	11							Damage to Demons	Damage to Demons		4	117	1					item_demondamage_percent
122	100	11							Damage to Undead	Damage to Undead		4	113	1					item_undeaddamage_percent
123	128	10							to Attack Rating against Demons	to Attack Rating against Demons		1	115	1					item_demon_tohit
124	128	10							to Attack Rating against Undead	to Attack Rating against Undead		1	111	1					item_undead_tohit
125	0	1							Throwable	Throwable		3	10	0					item_throwable
126	0	3							ModitemColdSkills	ModitemColdSkills		1	162	1				3	item_elemskill
127	0	5							to All Skills	to All Skills		1	163	1					item_allskills
128	0	10			367,368		Attacker Takes Elemental Damage of		Attacker Takes Lightning Damage of	Attacker Takes Lightning Damage of		3	19	2	14	3	2		item_attackertakeslightdamage
131	150	10							Damage Reflected	Damage Reflected		2	18	1					thorns_percent
134	5	5							Freezes Target	Freezes Target		12	83	2					item_freeze
135	0	8							Chance of Open Wounds	Chance of Open Wounds		2	88	1					item_openwounds
136	0	8							Chance of Crushing Blow	Chance of Crushing Blow		2	92	1					item_crushingblow
137	0	10							Kick Damage	Kick Damage		1	126	1					item_kickdamage
138	0	10							Mana after each Kill	Mana after each Kill		1	21	1					item_manaafterkill
139	0	10							Life after each Demon Kill	Life after each Demon Kill		1	20	1					item_healafterdemonkill
140	0	10																	item_extrablood
141	0	8							Deadly Strike	Deadly Strike		2	90	1					item_deadlystrike
142	0	10							Fire Absorb	Fire Absorb		2	28	2					item_absorbfire_percent
143	0	10							Fire Absorb	Fire Absorb		1	32	1					item_absorbfire
144	0	10							Lightning Absorb	Lightning Absorb		2	29	2					item_absorblight_percent
145	0	10							Lightning Absorb	Lightning Absorb		1	34	1					item_absorblight
146	0	10							Magic Absorb	Magic Absorb		2	31	2					item_absorbmagic_percent
147	0	10							Magic Absorb	Magic Absorb		1	38	1					item_absorbmagic
148	0	10							Cold Absorb	Cold Absorb		2	30	2					item_absorbcold_percent
149	0	10							Cold Absorb	Cold Absorb		1	36	1					item_absorbcold
150	50	8							Slow Target	Slow Target		2	81	2					item_slow
151	1	7																11	item_aura
152		1							Indestructible	Indestructible		3	165	0					item_indesctructible
153		1							Cannot Be Frozen	Cannot Be Frozen		3	25	0					item_cannotbefrozen
154	50	8							Slower Stamina Drain	Slower Stamina Drain		2	54	1					item_staminadrainpct
155	0	7							Reanimate as:	Reanimate as:		23	22	1				12	item_reanimate
156	0	10																	item_pierce
157	0	7							Fires Magic Arrows	Fires Magic Arrows		3	136	0					item_magicarrow
158	0	7							Fires Explosive Arrows or Bolts	Fires Explosive Arrows or Bolts		3	138	0					item_explosivearrow
159	0	10																	item_throw_mindamage
160	0	10																	item_throw_maxdamage
161	10	6							Unusual Missile Speed	Unusual Missile Speed		3	82	1					skill_handofathena
164	20	8							Chance of Uninterruptable Attack	Chance of Uninterruptable Attack		2	25	1					skill_concentration
171	0	10							Total Character Defense	Total Character Defense		2	25	2					skill_armor_percent
179		10																10	attack_vs_montype
180		10																10	damage_vs_montype
181		3																	fade
182	100	9							Total Defense = 0	Total Defense = 0		3	15	0					armor_override_percent
183	0	5																	item_dyes_color
184	0	5																	x_signet01
185				12					Stat Signets Used:	Stat Signets Used:		3	9	2					potion_stat_cap
186				8					Skill Signets Used:	Skill Signets Used:		3	9	2					potion_skill_cap
187	0	3							Dragonheart Spell Blinds Attacker	Dragonheart Spell Blinds Attacker		12	27	2					passive_lionheart_addstupidth
188	0	3							+%d to Javelin and Spear Skills	+%d to Javelin and Spear Skills		14	156					16	item_addskill_tab
189	0	16																	damage_divisor
191	0	5																	x_signet02
192	0	5																	x_signet03
193	0	5																	x_signet04
194	0	4																	item_numsockets
195	0	8							%d%% Chance to cast level %d %s on Melee Attack	%d%% Chance to cast level %d %s on Melee Attack		15	165					17	item_skillonattack
196	0	8							%d%% Chance to cast level %d %s on Kill	%d%% Chance to cast level %d %s on Kill		15	165					17	item_skillonkill
197	0	8							%d%% Chance to cast level %d %s when you Die	%d%% Chance to cast level %d %s when you Die		15	165					17	item_skillondeath
198	0	8							%d%% Chance to cast level %d %s on Striking	%d%% Chance to cast level %d %s on Striking		15	165					17	item_skillonhit
199	0	7							%d%% Chance to cast level %d %s when you Level-Up	%d%% Chance to cast level %d %s when you Level-Up		15	165					17	item_skillonlevelup
200	0	7							\orange;Mega Impact\white;	\orange;Mega Impact\white;		3	247	0				17	item_megaimpact
201	0	7							%d%% Chance to cast level %d %s when Struck	%d%% Chance to cast level %d %s when Struck		15	165					17	item_skillongethit
202	0	5																	x_signet05
203	0	10							Enhanced Weapon Damage	Enhanced Weapon Damage	(Based on Character Level)	8	65	2					item_totaldamage_perlevel
204	0	16							(%d/%d Charges)	(%d/%d Charges)		24	9					16	item_charged_skill
205	0	5																	x_signet06
206	0	5																	x_signet07
207	0	5																	x_signet08
208	0	9							Life on Striking	Life on Striking		1	27	1					item_healonstriking
209	0	9							Mana on Striking	Mana on Striking		1	25	1					item_manaonstriking
210	0	9							Life on Attack	Life on Attack		1	27	1					skill_healonstrikingmelee
211	0	8							Miasma Effect Duration: +2 seconds	Miasma Effect Duration: +2 seconds		3	24	0					hex_dur_syn
213	0	5																	x_signet09
214	0	10							Defense	Defense	(Based on Character Level)	6	77	1					item_armor_perlevel
215	0	10							Enhanced Defense	Enhanced Defense	(Based on Character Level)	8	78	1					item_armorpercent_perlevel
216	0	10							to Life	to Life	(Based on Character Level)	6	62	1					item_hp_perlevel
217	0	10							to Mana	to Mana	(Based on Character Level)	6	58	1					item_mana_perlevel
218	0	10							to Maximum Damage	to Maximum Damage	(Based on Character Level)	6	130	1					item_maxdamage_perlevel
219	0	5																	blessings_counter
220	0	5																	x_signet10
221	0	5																	x_signet11
222	0	5																	x_signet12
223	0	5																	x_signet13
224	0	5																	x_signet14
225	0	10							Bonus to Attack Rating	Bonus to Attack Rating	(Based on Character Level)	7	121	1					item_tohitpercent_perlevel
226	0	5																	x_signet15
227	0	5																	x_signet16
228	0	5																	x_signet17
229	0	5																	x_signet18
230	0	10							Cold Resist	Cold Resist	(Based on Character Level)	7	44	2					item_resist_cold_perlevel
231	0	10							Fire Resist	Fire Resist	(Based on Character Level)	7	40	2					item_resist_fire_perlevel
232	0	10							Lightning Resist	Lightning Resist	(Based on Character Level)	7	42	2					item_resist_ltng_perlevel
233	0	10							Poison Resist	Poison Resist	(Based on Character Level)	7	38	2					item_resist_pois_perlevel
234	0	5																	x_signet19
235	0	5																	x_signet20
236	0	5																	x_signet21
237	0	5																	x_signet22
238	0	5																	x_signet23
239	0	10							Gold Find	Gold Find	(Based on Character Level)	7	14	1					item_find_gold_perlevel
240	0	10							Magic Find	Magic Find	(Based on Character Level)	7	12	1					item_find_magic_perlevel
241	0	5																	x_signet24
242	0	5																	x_signet25
243	0	5																	x_signet26
244	0	5																	x_signet27
245	1	2							\orange;Parasite Gains 12 Additional Targets\blue;	\orange;Flamefront Has Twice as Many Firebolts\blue;		3	245	0					ffront_proj
246	1	2							\orange;Idol of Scosglen Has no Cooldown\blue;	\orange;Firedance Grants 1% Deadly Strike Per Base Level\blue;		3	245	0					firedance_mod
247	0	10							Chance of Crushing Blow	Chance of Crushing Blow	(Based on Character Level)	7	91	1					item_crushingblow_perlevel
248	0	10							Chance of Open Wounds	Chance of Open Wounds	(Based on Character Level)	7	87	1					item_openwounds_perlevel
249	0	5																	x_signet30
250	0	10																	item_totembound
251	0	5																	x_signet31
252	0	6							Repairs %d Durability per Second	Repairs %d Durability per Second		11	8	0					item_replenish_durability
253	0	6							Replenishes Quantity	Replenishes Quantity		3	9	0					item_replenish_quantity
254	0	8							Increased Stack Size	Increased Stack Size		3	10	0					item_extra_stack
255	0	5																	x_signet32
256	0	5																	x_signet33
257	1	2							\orange;Parasite Gains 12 Additional Targets\blue;	\orange;Neutrality: +50% Total Vessel Damage Bonus from Passives\nUnholy: Blood Thorns Deal 40% More Total Damage\nHoly: Plague Deals 150% More Total Damage\blue;		3	245	0					vessel_mod
258	0	5																	x_signet35
259	0	2							Drains 1% Life per Second	Drains 1% Life per Second		3	54	0					item_drain_aura
260	0	7							\orange;Thunderfury\white;	\orange;Thunderfury\white;		3	248	0				17	item_thunderfury
261	0	5							Extra Totems	Extra Totems		1	155	1					new_totem_syn
263	0	5																	x_signet36
264	0	5																	x_signet37
265	0	10							Life after each Kill	Life after each Kill		1	21	1					item_healafterplayerkill
266	0	7							\orange;Area Effect Attack\white;	\orange;Area Effect Attack\white;		3	248	0				17	item_warp_blue
267	0	5							Enhanced Stance Radius	Enhanced Stance Radius		1	203	1					item_stance_radius
270	0	3																	item_has_edyrem
273	25	7																	item_crushthorns
274	0	8							Hive Adds 33% of Poison Spell Damage Items to Vitality	Hive Adds 33% of Poison Spell Damage Items to Vitality		3	10	0					item_poison_set
275	0	9							Enhanced Damage vs. Necrobots	Enhanced Damage vs. Necrobots		2	8	1					item_desc_breaker
276	0	1							\dgrey;Cannot be Disenchanted\blue;	\dgrey;Cannot be Disenchanted\blue;		3	4	0					item_nodcht
277	0	7							\orange;Area Effect Attack\white;	\orange;Area Effect Attack\white;		3	248	0				17	item_warpskillonattack
278	200	10							Strength Factor to Spell Damage	Strength Factor to Spell Damage		1	203	1					str_factor
279	0	9							Lion Stance Damage Bonus	Lion Stance Damage Bonus		2	119	2					lion_stance_syn
280	0	10																	greathunt_buff
281	0	8							Nova Charge Scatter Increased by	Nova Charge Scatter Increased by		2	109	2					item_supernova_synergy
282	0	7							%d%% Chance to cast level %d %s when you Take Damage	%d%% Chance to cast level %d %s when you Take Damage		15	165					17	item_skillondamaged
283	0	7							%d%% Chance to cast level %d %s when Attacked	%d%% Chance to cast level %d %s when Attacked		15	165					17	item_skillongetmeleed
284	0	7							%d%% Chance to cast level %d %s when Struck by a Missile	%d%% Chance to cast level %d %s when Struck by a Missile		15	165					17	item_skillongetmissilehit
285	0	5																	x_signet38
286	0	5																	x_signet39
287	0	5																	x_signet40
288	1	2							\orange;Orb Effects Applied to this Item are Quadrupled	\orange;Blood Hatred does not cost you life		3	245	0					si_1
291	0	8							Retribute Fire Resist Penalty Increased by	Retribute Fire Resist Penalty Increased by		2	106	2					skill_justkilledsomeone
292	0	7							%d%% Chance to cast level %d %s on Death Blow	%d%% Chance to cast level %d %s on Death Blow		15	164					17	item_skillonanykill
293	0	1							Doubled Terror Strike Duration	Doubled Terror Strike Duration		3	31	0					skill_arcanestrike_synergy
294	0	5																	runeword_level
295	200	9							Mana on Attack	Mana on Attack		1	25	1					item_manaonstrikingmelee
296	0	1							\dgreen;Orb Effects Applied to this Item are Doubled\blue;	\dgreen;Orb Effects Applied to this Item are Doubled\blue;		3	239	0					item_is_honorific
297	1	2																	W_M
298	0	5																	tp_lock
299	0	10							\grey;Current Strength Damage Bonus:	\grey;Current Strength Damage Bonus:		2	251	2					strength_bonus_wpn
300	0	10							\grey;Current Dexterity Damage Bonus:	\grey;Current Dexterity Damage Bonus:		2	250	2					dexterity_bonus_wpn
301	0	1							Shadows Spawn Corpses on Striking 5%	Shadows Spawn Corpses on Striking 5%		3	138	0					item_shadows_corpsesynergy
303	0	12							Fire Damage to Void Archon	Fire Damage to Void Archon		1	53	1					skill_voidarchon_fire
304	24	7											246						statX_1
305	500	10							to Enemy Cold Resistance	to Enemy Cold Resistance		20	93	1					item_pierce_cold
306	500	10							to Enemy Fire Resistance	to Enemy Fire Resistance		20	93	1					item_pierce_fire
307	500	10							to Enemy Lightning Resistance	to Enemy Lightning Resistance		20	93	1					item_pierce_ltng
308	500	10							to Enemy Poison Resistance	to Enemy Poison Resistance		20	93	1					item_pierce_pois
309	2048	12							ModitemJitanCooldown	%s Cooldown Reduced by %.1g	ModitemSecondDual	33	131	2				17	skill_cooldown_reduce
310	0	5																	x_signet46
311	0	5																	x_signet47
312	0	5																	x_signet48
313	0	10																	darkportal
314	0	5																	x_signet50
315	0	8																	firelength
316	0	8										3		0					burningmin
317	0	8										3		0					burningmax
324	0	6																	item_extra_charges
329	100	9			330,331,332,357	to Spell Damage	to Spell Damage		to Fire Spell Damage	to Fire Spell Damage		4	93	1	5	4	1		passive_fire_mastery
330	100	9			329,331,332,357	to Spell Damage	to Spell Damage		to Lightning Spell Damage	to Lightning Spell Damage		4	93	1	5	4	1		passive_ltng_mastery
331	100	9			329,330,332,357	to Spell Damage	to Spell Damage		to Cold Spell Damage	to Cold Spell Damage		4	93	1	5	4	1		passive_cold_mastery
332	100	9			329,330,331,357	to Spell Damage	to Spell Damage		to Poison Spell Damage	to Poison Spell Damage		4	93	1	5	4	1		passive_pois_mastery
333	0	8			334,335,336	to Enemy Elemental Resistances	to Enemy Elemental Resistances		to Enemy Fire Resistance	to Enemy Fire Resistance		20	93	1	6	20	1		passive_fire_pierce
334	0	8			333,335,336	to Enemy Elemental Resistances	to Enemy Elemental Resistances		to Enemy Lightning Resistance	to Enemy Lightning Resistance		20	93	1	6	20	1		passive_ltng_pierce
335	0	8			333,334,336	to Enemy Elemental Resistances	to Enemy Elemental Resistances		to Enemy Cold Resistance	to Enemy Cold Resistance		20	93	1	6	20	1		passive_cold_pierce
336	0	8			333,334,335	to Enemy Elemental Resistances	to Enemy Elemental Resistances		to Enemy Poison Resistance	to Enemy Poison Resistance		20	93	1	6	20	1		passive_pois_pierce
337	0	8																	passive_critical_strike
338	0	8			339,340	Chance to Avoid Damage	Chance to Avoid Damage		Avoid Damage	Avoid Damage		2	45	1	8	2	1		passive_dodge
339	0	8			338,340	Chance to Avoid Damage	Chance to Avoid Damage		Avoid Damage	Avoid Damage		2	45	1	8	2	1		passive_avoid
340	0	8			338,339	Chance to Avoid Damage	Chance to Avoid Damage		Avoid Damage	Avoid Damage		2	45	1	8	2	1		passive_evade
341	0	8																	passive_warmth
342	0	8																	passive_mastery_melee_th
343	0	8				ModitemPeril	ModitemPeril								4	3	0		passive_mastery_melee_dmg
344	0	8																	passive_mastery_melee_crit
345	0	8																	passive_mastery_throw_th
346	0	8																	passive_mastery_throw_dmg
347	0	8																	passive_mastery_throw_crit
348	0	8																	passive_weaponblock
349	0	9																	passive_summon_resist
356	0	2																	questitemdifficulty
357	100	9			329,330,331,332	to Spell Damage	to Spell Damage		to Physical/Magic Spell Damage	to Physical/Magic Spell Damage		4	93	1	5	4	1		passive_pm_mastery
358	0	8																	passive_mag_pierce
359	50	9			360,361,362		to All Attributes		to Strength	to Strength		2	79	1	3	2	1		item_strength_percent
360	50	9			359,361,362		to All Attributes		to Dexterity	to Dexterity		2	79	1	3	2	1		item_dexterity_percent
361	50	9			359,360,362		to All Attributes		to Energy	to Energy		2	79	1	3	2	1		item_energy_percent
362	50	9			359,360,361		to All Attributes		to Vitality	to Vitality		2	79	1	3	2	1		item_vitality_percent
363	50	8							Slows Attacker by	Slows Attacker by		2	17	2					item_slowthorns
364	25	7							Attacker Flees after Striking	Attacker Flees after Striking		2	84	2					item_howlthorns
365	5	5							Freezes attacker	Freezes attacker		12	83	2					item_freezethorns
366	50	8							Blinds Attacker	Blinds Attacker		12	85	2					item_stupiditythorns
367	0	10			128,368		Attacker Takes Elemental Damage of		Attacker Takes Cold Damage of	Attacker Takes Cold Damage of		3	19	2	14	3	2		item_attackertakescolddamage
368	0	10			128,367		Attacker Takes Elemental Damage of		Attacker Takes Fire Damage of	Attacker Takes Fire Damage of		3	19	2	14	3	2		item_attackertakesfiredamage
369	0	5																	x_signet51
370	0	5																	x_signet52
371	0	7							\orange;Amazing Grace\white;	\orange;Amazing Grace\white;		3	247	0				17	item_amazinggrace
372	0	1							\dgrey;Cannot be Unsocketed\blue;	\dgrey;Cannot be Unsocketed\blue;		3	4	0					item_nounsock
373	300	9																	passive_phys_pierce
375	0	15										31	246	0				15	desc_top
376	50	8							Slows Melee Target by	Slows Melee Target by		2	82	2					item_slow_offweapon
377	0	15										31	3	0				15	desc_bottom
378	24	7											246						statX_2
379	0	5										3		0					deathlord_penalty
380	0	8							Bonus Damage to Bloodlust	Bonus Damage to Bloodlust		4	154	1					passive_bloodlust_dmgpct
381	0	8							Bonus Elemental Damage to Bloodlust	Bonus Elemental Damage to Bloodlust		4	154	1					passive_bloodlust_elempct
382	0	5																	x_signet53
383	1001	14																12	special_syn1
384	0	8							Movement Speed to Sacred Armor	Movement Speed to Sacred Armor		2	155	1					passive_holyarmor_addmove
386	0	8																	witchberry_lifeheal
387	0	8							Bonus Damage to Mark of the Wild	Bonus Damage to Mark of the Wild		4	154	1					passive_motw_dmgpct
388	0	8							Bonus Elemental Damage to Mark of the Wild	Bonus Elemental Damage to Mark of the Wild		4	154	1					passive_motw_elempct
389	0	10							Duration Bonus to Mark of the Wild	Duration Bonus to Mark of the Wild		2	127	1					passive_motw_duration
390	0	5							Extra Flayer Minions	Extra Flayer Minions		1	155	1					passive_shadows_addmax
391	0	10							Bonus to Miasma Haunt Duration	Bonus to Miasma Haunt Duration		2	97	1					passive_hex_adddmg
393	1001	14																12	special_syn2
394	0	8																	passive_shadows_addelem
395	0	3																	weapon_count
396	1001	14																12	special_syn3
397	1001	14																12	special_syn4
398	0	5																	yshari_enable
399	0	8							to Searing Glow Dazzle Duration	to Searing Glow Dazzle Duration		4	153	1					passive_wrath_synergy
403	0	5																	x_signet60
404	0	10							to Fire Spell Damage	to Fire Spell Damage	(Based on Character Level)	7	93	1					passive_fire_mastery_perlevel
405	0	10							to Lightning Spell Damage	to Lightning Spell Damage	(Based on Character Level)	7	93	1					passive_ltng_mastery_perlevel
406	0	10							to Cold Spell Damage	to Cold Spell Damage	(Based on Character Level)	7	93	1					passive_cold_mastery_perlevel
407	0	10							to Poison Spell Damage	to Poison Spell Damage	(Based on Character Level)	7	93	1					passive_pois_mastery_perlevel
408	0	5																	x_signet61
409	50	8							Bonus to Buff/Debuff/Cold Skill Duration	Bonus to Buff/Debuff/Cold Skill Duration		2	130	1					profession_duration_mod
412	0	10																	resonance_buff
413	0	8							Bonus to Vitality when using an Apple	Bonus to Vitality when using an Apple		2	55	1					skill_bloodymary_bonus
414	50	9							Bonus to Summoned Edyrem Life	Bonus to Summoned Edyrem Life		4	133	1					skill_edyrem_hp_percent
417	0	16																5	ele_divisor
418	0	2							\orange;Can Be Upgraded with Black Road Challenge	\orange;Can Be Upgraded with Black Road Challenge		3	230	0					item_needschallenged
430	0	8							to All Skills when using an Apple	to All Skills when using an Apple		1	55	1					skill_paganheart_synergy
431	50	9							Bonus to Poison Skill Duration	Bonus to Poison Skill Duration		4	154	1					skill_poison_dur
439	0	8							Life when Struck by an Enemy	Life when Struck by an Enemy		1	19	1					item_healwhenstruck
440	0	8							Mana when Struck by an Enemy	Mana when Struck by an Enemy		1	18	1					item_manawhenstruck
441	5	6			445	to All Maximum Minions	to All Maximum Minions		to Maximum Necromancer Minions	to Maximum Necromancer Minions		1	84	1	11	1	1		passive_aura_addmax
442	0	10							Additional Strength Damage Bonus:	Additional Strength Damage Bonus:		2	135	2					str_bonus_blue
443	0	8							\green;Already upgraded!	\green;Already upgraded!		3	249	0					item_upgraded
444	50	9							Penalty to Summoned Minion Life	to Summoned Minion Life		4	83	1					skill_minion_hp_percent
