!01	Naginata (1)
!03	Naginata (2)
!05	Naginata (3)
!06	Naginata (4)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!1!	Warp Blade (2)
!10	Raptor Scythe (2)
!12	Raptor Scythe (3)
!13	Raptor Scythe (4)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!17	Bonesplitter (2)
!19	Bonesplitter (3)
!20	Bonesplitter (4)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!24	Mammen Axe (2)
!26	Mammen Axe (3)
!27	Mammen Axe (4)
!28	Mammen Axe (Sacred)
!3!	Warp Blade (3)
!30	Hammerhead Axe (2)
!32	Hammerhead Axe (3)
!33	Hammerhead Axe (4)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!37	Ono (2)
!39	Ono (3)
!4!	Warp Blade (4)
!40	Ono (4)
!41	Ono (Sacred)
!42	Valaska (1)
!44	Valaska (2)
!46	Valaska (3)
!47	Valaska (4)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!51	Labrys (2)
!53	Labrys (3)
!54	Labrys (4)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!58	Flamen Staff (2)
!60	Flamen Staff (3)
!61	Flamen Staff (4)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!65	Marrow Staff (2)
!67	Marrow Staff (3)
!68	Marrow Staff (4)
!69	Marrow Staff (Sacred)
!70	Hexblade (1)
!72	Hexblade (2)
!74	Hexblade (3)
!75	Hexblade (4)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!79	Spirit Edge (2)
!81	Spirit Edge (3)
!82	Spirit Edge (4)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!86	Holy Lance (2)
!88	Holy Lance (3)
!89	Holy Lance (4)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!93	Tepoztopilli (2)
!95	Tepoztopilli (3)
!96	Tepoztopilli (4)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!@1	\dgreen;Evil Eye of the Clawstorm
!@2	\dgreen;Evil Eye of the Landmass
!@3	\dgreen;Evil Eye of the Glowing Blob
!@4	\dgreen;Evil Eye of the Fairy Witch
!@5	\dgreen;Evil Eye of the Bane Hunter
!@6	\dgreen;Dogma of Suffering
!@7	\dgreen;Dogma of Pain
!@8	\dgreen;Dogma of Hatred
!@9	\dgreen;Dogma of Terror
!@A	\dgreen;Dogma of Destruction
!@B	\dgreen;Signet of Skill
##.	\gold;Neutrality Pact
##^	\dgreen;Custom Signet of Learning
#01	\orange;Lord Aldric Jitan Trophy
#02	\orange;Legacy of Blood Trophy
#03	\orange;Judgement Day Trophy
#04	\orange;Akarat Trophy
#05	\orange;Kingdom of Shadow Trophy
#06	\orange;Duncraig Trophy
#07	\orange;Rathma Square Trophy
#08	\orange;Cathedral of Light Trophy
#09	\orange;Tran Athulua Trophy
#10	\orange;Quov Tsin Trophy
#11	\orange;Astrogha Trophy
#12	\orange;The Lord of Sin Trophy
#13	\orange;Viz-jun Trophy
#14	\orange;Archbishop Lazarus Trophy
#15	\orange;Triune Trophy
#16	\orange;Uldyssian's Trophy
#17	\orange;Black Road Trophy
#1^	\gold;Diablo's Essence
#2^	\orange;Pandora's Box
#X0	Gem
#X1	Реагент Куба (Секретный)\n\orange;Emblem of Suffering
#X2	Реагент Куба (Секретный)\n\orange;Emblem of Pain
#X3	Реагент Куба (Секретный)\n\orange;Emblem of Hatred
#X4	Реагент Куба (Секретный)\n\orange;Emblem of Terror
#X5	Реагент Куба (Секретный)\n\orange;Emblem of Destruction
#X6	Реагент Куба (Секретный)\n\orange;Emblem of Lies
#X7	Level Challenge 0
#X8	\red;Instructions\nLevel Challenge 0
#X9	Реагент Куба\n\orange;Griswold's Treasure
#Y^	Creator's Hand\nCongratulations!
&66	\orange;Mystic Orb\nKara's Trinket
100	Short Sword (1)
101	Scimitar (1)
102	Saber (1)
103	Falchion (1)
104	Broad Sword (1)
105	Long Sword (1)
106	War Sword (1)
107	Two-Handed Sword (1)
108	Claymore (1)
109	Giant Sword (1)
10@	Giant Sword (Sacred)
11+	\blue;+4 Требуемый Уровень\nВосстановление Маны +5%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
110	Bastard Sword (1)
111	Flamberge (1)
112	Great Sword (1)
113	Crystal Sword (1)
11320	Не Может Быть Улучшено
11321	+50% Шанс Пробить для Mind Flay
11322	+50% Бонусного Магического Урона для Maelstrom MkI
11323	-1% Урона Заклинаний Холода за каждый 1 радиус круга света\n+3% Урона Заклинаний Огня за каждый 1 радиус круга света\n+4 Фактора Энергии за каждый 1 радиус круга света
11324	Уровень 20 Eagle Stance\n+2 Снаряда для Mind Flay
11325	Уровень 10 Wolf Stance
11326	Добавляет 100% Вашего Физического/Магического Урона Заклинаний как Бонус к Физическому Урону Оружия\nДобавляет 100% Вашего Урона Заклинаний Огнём как Бонус к Физическому Урону Оружия
11327	-1% к Сопротивлению Яда у Врага за каждые 20 Силы\n-200% Урона Заклинаний Яда
11328	\dgrey;Добавляет150-300 Урона Огнём\n+30% Скорости Атаки\n\orange;Gematria
11329	+50% Увеличена Длительность Mana Pulse
11330	150% Сокрушительного Удара Добавлено как Урон Заклинаний Огня и Холода
11331	+100% Бонусного Урона Молнией для Iron Spiral
11332	Lightning Shield добавляет 15 - 25 урона молнией оружию за каждый уровень навыка\nThundergod Nova Наносит 5000 Урона Молнией\n+1 Снаряд для Stormblast
11333	0.3% Урона от Singularity Крадётся как Жизнь\n+3 Цели для Vessel of Justice
11334	+1% Смертельного Удара за каждые 6% Урона Заклинаний Огня\nОбщая Защита Уменьшена на 25%
11335	+100% Бонусного Магического Урона для Widowmaker\n+10% Кражи Жизни для Death Shards
11336	+5 Снарядов для Magic Missiles
11337	Уровень 1 Demon Blood Аура
11338	Навыки Расходуют Жизнь Вместо Маны
11339	\dgrey;-10% к Сопротивлению Яда у Врага\n+30 к Жизни за Каждое Убийство\n+2.5% Сопротивление Физическому Урону\n+1 ко Всем Навыкам\n\orange;Gematria
11340	0.4% Урона от Vessel of Retribution Крадётся как Жизнь
11341	+750 Урона Огнём Для Основных Снарядов Queen of Blades
11342	-15% Физического Урона Оружия за каждый 1% Сокрушительного Удара
11343	+2% у Урону для Kraken Stance за каждый БУН в Древе Чести (Honor)
11344	Не наносит элементального или магического урона
11345	Не Бойтесь Зла
11346	50% от Вашей Общей Защиты Персонажа Добавлено как Живучесть
11347	\dgrey;+600 Фактора Силы для Урона Заклинаний\n+600 Фактора Энергии для Урона Заклинаний\n+25% Сопротивления Физическому Урону\n+33% к Смертельному Удару\n+100% к Поиску Магических Предметов\n+50% Скорости Сотворения Заклинаний\n\orange;Если У Вас Нет Навыков Преданности:
11348	Stormcall Не Наносит Урон Молнией\nStormcall Наносит Удвоенный Урон
11349	+14% Магического Урона для Crucify за БУН
11350	-1% к Сопротивлению Огню и Яда у Врага за каждый БУН в Shadow Refuge
11351	+100% Длительности Баффа от Solar Flare
11352	Stampede Перезарядка Не Может Быть Уменьшена Ниже 0.8 сек.
11353	Вы можете использовать только навыки Ближнего Боя, Вызова или Навыки Поддержки
11354	Пробивание Огня Уменьшает Пробивание Холодом\nУрон Заклинаний Огня Уменьшает Урон Заклинаний Холода\nGlacial Nova более не Замораживает Врагов\nGlacial Nova Наносит +150% Общего Урона
11355	\dgrey; 20 сек. Перезарядки Для Всех Заклинаний Древа Молнии\n\orange;Если у Вас есть Очки в Древах Огня, Холода или Яда:
11356	60% Урона Оружия добавлено для Magnetic Field как Бонусный Физический Урон\n100% Бонусного Урона Молнией от Magnetic Field Преобразовано в Физический
11357	Если нет, +20% Смертельного Удара\nЕсли Одето Наёмником, +100% к Поиску Магических Предметов
11358	Призывает 2-ух Существ Некроманта за Каждое Использование Навыка Призыва
11359	Если был, -10% Общего Урона Mind Flay\nЕсли по Вам небыло нанесено удара ранее, +30% Общего Урона Mind Flay
11360	-1.5% к Сопротивлению Яда у Врага за каждый БУН в Snake Stance\nSnake Stance Действует Только на Вас
11361	\dgrey;-1% к Сопротивлению Огню и Молнии у Врага за каждые 50 очков хар.\n+200% к Урону Заклинаний Молнии и Огня\nДобавляет 3 - 5 Урона Молнией за каждые 10 очков хар.\nДобавляет 3 - 5 Урона Огнём за каждые 10 очков хар.\n\orange;Когда Используете Whirlwind:
11362	Бонус к Урону Призванных Существ Также Повышает Ваш Урон от Заклинаний на 50% Эффективности
11363	+1% Скорости Атаки за каждые 20 Силы
11364	\dgrey;+0.5% к Максимальномым Сопротивлениям Стихиям\n+250 к Жизни\n\orange;Gematria
11365	Не Наносит Урон Молнией
11368	Поздравляем!
11369	Смешайте в Кубе После Убийства Dark Star Dragon Менее чем за 2 Минуты\n
11370	+8 к Максимальному Количеству Снарядов Forked Lightning 
11371	Не наносит Сокрушительных Ударов\nВаши Атаки игнорируют Физическое Сопротивление Нежити\n50% от Бонусного Здоровья Призванных Существ Добавлено как Общая Защита Персонажа\n10% от Бонусного Урона Призванных Существ Добавлено как Смертельный Удар
11372	(Максимально: 1 минута между убийствами)\nСмешайте в Кубе после убиства Imperius и Malthael
11373	Смешайте в Кубе с Essence Для Ролла Характеристик
11374	Смешайте в Кубе с Mystic Shard для Улучшения
11375	Общий Шанс Избежать Урона = 0%
11376	Огненные Элементали получают 100% их Физического Урона как Урон Огня
11377	Добавляем 1 - 3 Урона Огнём, Холодом и Молнией к Оружию за каждый 1 Фактор Силы для Урона заклинаний 
11378	+300% Физического Урона для Оружия если у Вас надет Скипетр (Scepter)
11379	\dgrey;+1 Снаряд для Iceburst\n\orange;Когда Вы Одели Оружие в 2 руки:
11380	\dgrey; +200% Бонусного Магического Урона для Noctule\n\orange;Когда Вы Одели Оружие в 2 руки:
11381	+20 секунд Перезарядки для Ice Elementals
11382	+20 секунд Перезарядки для Blade Spirits
11383	+30 Секунд Перезарядки для Jinn
11384	+1 Снаряд для Boneyard\n+100% Длительности для Bane
11385	+50% Урона Ядом для Windform
11386	Arrow Swarm Выстреливает Двойное Количество Снарядов
11387	Hymn Восстанавливает 4% от Максимального Здоровья в Секунду
11388	Dragonlore: Ecstatic Frenzy Не Уменьшает Вашу Защиту
11389	+3 Снаряда для Scorpion Blade
11390	Guardian Spirits Наследуют 100% от Вашего Смертельного Удара
11391	Veil King Наследует Ваш Урон Огнём от Dragonfire Oil 
11392	Deathlord Делает Вас Значительно Уязвимым для Всего Урона
11393	\dgrey;+0.5% Сокрушительного Удара за каждый уровень навыка Tantrum\n+0.5% Смертельного Удара за каждый уровень навыка Tantrum\n\orange;Когда Tantrum Активен:
11394	+50% Общего Урона для Symphony of Destruction\n+2 Снаряда для Graveyard\nНе Наносит Урона Огнём, Молнией или Холодом
11395	+1.5% к Урону Заклинаний Холода за Каждый Уровень Навыка Ваших Пассивных Путей\n-1 Снаряд для Limpet Laser
11396	Этот Урон Огнём Увеличивается на 10% за Каждый БУН в древе Арбалета\n+500 Урона Огнём для Flametail Shot
11397	+18% Бонусного Урона Огнём для Sun Strike за каждый БУН в древе Лука\nSun Strike Выстреливает 1 Снаряд
11398	+125% Бонусного Магического Урона для Parasite
11399	-1% к Элементальным Сопротивлениям у Врага за каждый БУН у Carnage
114	Hand Axe (1)
11400	Этот Урон Огнём Увеличивается на 15% за каждый БУН у Wildfire\nДобавляет 750 Урона Огнём для Idol of Scosglen
11401	+9% Бонусного Магического Урона для Laughing Ghost за каждый БУН в древе Лука
11402	\dgrey;Добавляет 200 - 400 Урона Холодом\n-10% к Сопротивлению Холоду у Врага \n\orange;Gematria
11403	Добавляет 50 - 100% Вашей Ловкости как Магический Урон для Оружия
11404	Three's a Company''\n''Cross the Wide, Somber Seas I Will Sail
11405	''Cross the Wide, Somber Seas I Will Sail''
11406	\dgrey;+25% к Общей Защите Персонажа\n-5% к Элементальным Сопротивлениям\n+5% к Сопротивлению Физическому Урону\n\orange;Gematria
11407	+1 Снаряд для Hunting Banshee
11408	+2 Снаряда для Hunting Banshee
11409	-2% к Элеметальным Сопротивлениям у Врага за каждый БУН в Nephalem Spirit
11410	+3% к Урону Заклинаний Молнии за каждый БУН в Spirit of Vengeance
11411	+50% Общего Урона от Exorcism
11412	У Вас имеется Bloodbath
11413	(Макс: 1 минута друг от друга)\nСмешайте в Кубе после убийства Rathma и Mendeln
115	Axe (1)
116	Double Axe (1)
117	Military Pick (1)
118	War Axe (1)
119	Large Axe (1)
11@	Bastard Sword (Sacred)
12!	Phoenix Shield (3)
12+	\blue;+4 Требуемый Уровень\n+4% к Урону Призываемых Существ\n\grey;Смешайте с Вещью для Добавления Бонуса\n
120	Broad Axe (1)
121	Battle Axe (1)
122	Great Axe (1)
123	Giant Axe (1)
124	Club (1)
125	Spiked Club (1)
126	Mace (1)
127	Morning Star (1)
128	Flail (1)
1288	+15% Общего Урона к Elemental
1289	+10% Общего Урона к Elemental
129	Scepter (1)
12@	Flamberge (Sacred)
13!	Phoenix Shield (4)
13+	\blue;+4 Требуемый Уровень\n+4% к Жизни Призываемых Существ\n\grey;Смешайте с Вещью для Добавления Бонуса\n
130	Grand Scepter (1)
131	War Scepter (1)
132	Javelin (1)
133	Pilum (1)
134	Short Spear (1)
135	Glaive (1)
136	Throwing Spear (1)
137	Spear (1)
138	Trident (1)
139	Brandistock (1)
13@	Great Sword (Sacred)
14!	Phoenix Shield (Sacred)
14+	\blue;+4 Требуемый Уровень\n+2% к Сопротивлениям Призываемых Существ\n\grey;Смешайте с Вещью для Добавления Бонуса\n
140	Spetum (1)
141	Pike (1)
142	Dagger (1)
143	Dirk (1)
144	Kriss (1)
145	Blade (1)
146	Throwing Knife (1)
147	Flying Knife (1)
148	Balanced Knife (1)
149	Throwing Axe (1)
14@	Crystal Sword (Sacred)
15!	Setzschild (1)
15+	\blue;+4 Требуемый Уровень\n5% Больше Золота от Монстров\n\grey;Смешайте с Вещью для Добавления Бонуса\n
150	Balanced Axe (1)
151	Short Staff (1)
152	Long Staff (1)
153	Gnarled Staff (1)
154	Battle Staff (1)
155	War Staff (1)
156	Bardiche (1)
157	Voulge (1)
158	Scythe (1)
159	Halberd (1)
15@	Hand Axe (Sacred)
16+	\blue;+4 Требуемый Уровень\n3% к Шансу Нахождения Магических Предметов\n\grey;Смешайте с Вещью для Добавления Бонуса\n
160	Short Bow (1)
161	Hunter's Bow (1)
162	Long Bow (1)
163	Composite Bow (1)
164	Short Battle Bow (1)
165	Long Battle Bow (1)
166	Short War Bow (1)
167	Long War Bow (1)
16@	Axe (Sacred)
17!	Setzschild (2)
17+	\blue;+4 Требуемый Уровень\n+4% Бонус к Длительности Заклинаний Яда\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
17@	Double Axe (Sacred)
18+	\blue;+4 Требуемый Уровень\n+2% к Длит. Навыков (Де-)Баффа/Холода\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
18@	Military Pick (Sacred)
19!	Setzschild (3)
19+	\blue;+4 Требуемый Уровень\n+100 к Защите\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
19@	Hammerhead Axe (1)
1@1	Compound Bow (1)
1@2	Serpent Bow (2)
1@3	Maple Bow (3)
1@4	Viper Bow (Sacred)
1@7	Ida (4)
1@8	Kriegsmesser (1)
1@9	Bonebreaker (2)
1@@	War Axe (Sacred)
1@A	Goedendag (3)
1@B	Angel Star (Sacred)
1@E	Dart Thrower (4)
1@F	Trebuchet (1)
1@G	Gambeson (1)
1@H	Lamellar Armor (2)
1@I	Kazarghand (3)
1@J	Banded Plate (Sacred)
1@M	Einherjar Helm (4)
1@N	Parma (1)
1@O	Aspis (2)
1@P	Totem Shield (3)
1@Q	Bladed Shield (Sacred)
1o@	Реагент Куба\n\orange;Oil of Duplication
20!	Setzschild (4)
20+	\blue;+4 Требуемый Уровень\nВремя Отравления Уменьшается на 4%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
20@	Large Axe (Sacred)
21!	Setzschild (Sacred)
21+	\blue;+4 Требуемый Уровень\nСопротивление Огню +7%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
21@	Broad Axe (Sacred)
22!	Bull Shield (1)
22+	\blue;+4 Требуемый Уровень\nСопротивление Холоду +7%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
22@	Battle Axe (Sacred)
23+	\blue;+4 Требуемый Уровень\nСопротивление Молнии +7%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
236	Short Sword (2)
237	Scimitar (2)
238	Saber (2)
239	Falchion (2)
23@	Great Axe (Sacred)
24!	Bull Shield (2)
24+	\blue;+4 Требуемый Уровень\nСопротивление Яду +7%\n\grey;Смешайте с Кольцом/Амулетом для Добавления Бонуса\n
240	Broad Sword (2)
241	Long Sword (2)
242	War Sword (2)
243	Two-Handed Sword (2)
244	Claymore (2)
245	Giant Sword (2)
246	Bastard Sword (2)
247	Flamberge (2)
248	Great Sword (2)
249	Crystal Sword (2)
24@	Giant Axe (Sacred)
25+	\blue;+4 Требуемый Уровень\n4% Сокращение Длительности Проклятий\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
250	Hand Axe (2)
251	Axe (2)
252	Double Axe (2)
253	Military Pick (2)
254	War Axe (2)
255	Large Axe (2)
256	Broad Axe (2)
257	Battle Axe (2)
258	Great Axe (2)
259	Giant Axe (2)
25@	Club (Sacred)
25^	\dgreen;Greater Signet of Learning
26!	Bull Shield (3)
26+	\blue;+4 Требуемый Уровень\n+15% Повышенная Защита\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
260	Club (2)
261	Spiked Club (2)
262	Mace (2)
263	Morning Star (2)
264	Flail (2)
265	Scepter (2)
266	Grand Scepter (2)
267	War Scepter (2)
268	Javelin (2)
269	Pilum (2)
26@	Spiked Club (Sacred)
27!	Bull Shield (4)
27+	\blue;+4 Требуемый Уровень\nОбщая Защита Персонажа Плюс 4%\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
270	Short Spear (2)
271	Glaive (2)
272	Throwing Spear (2)
273	Spear (2)
274	Trident (2)
275	Brandistock (2)
276	Spetum (2)
277	Pike (2)
278	Dagger (2)
279	Dirk (2)
27@	Mace (Sacred)
28!	Bull Shield (Sacred)
280	Kriss (2)
281	Blade (2)
282	Throwing Knife (2)
283	Flying Knife (2)
284	Balanced Knife (2)
285	Throwing Axe (2)
286	Balanced Axe (2)
287	Short Staff (2)
288	Long Staff (2)
289	Gnarled Staff (2)
28@	Morning Star (Sacred)
29!	Bronze Shield (1)
290	Battle Staff (2)
291	War Staff (2)
292	Bardiche (2)
293	Voulge (2)
294	Scythe (2)
295	Halberd (2)
296	Short Bow (2)
297	Hunter's Bow (2)
298	Long Bow (2)
299	Composite Bow (2)
29@	Flail (Sacred)
2@3	Maple Bow (4)
2@4	Recurve Bow (1)
2@5	Spatha (2)
2@6	Backsword (3)
2@7	Ida (Sacred)
2@A	Goedendag (4)
2@C	Hand of God (2)
2@D	Needle Crossbow (3)
2@E	Dart Thrower (Sacred)
2@I	Kazarghand (4)
2@J	Ceremonial Armor (1)
2@K	Morion (2)
2@L	Cervelliere (3)
2@M	Einherjar Helm (Sacred)
2@P	Totem Shield (4)
2ax	двойной топор
2hs	двуручный меч
2o@	Реагент Куба\n\orange;Oil of Disjunction
2x5	\dgreen;Alpha Brain
2x6	\dgreen;Beta Brain
2x7	\dgreen;Gamma Brain
2x8	\dgreen;Delta Brain
2x9	\dgreen;Epsilon Brain
30+	\blue;+4 Требуемый Уровень\n2% Шанс Непрерываемой Атаки\n\grey;Смешайте с Любой Броней для Добавления Бонуса\n
300	Short Battle Bow (2)
301	Long Battle Bow (2)
302	Short War Bow (2)
303	Long War Bow (2)
30@	Scepter (Sacred)
31!	Bronze Shield (2)
31+	\blue;+4 Требуемый Уровень\n+2% к Получаемому Опыту\n\grey;Смешайте с Любым Оружием для Добавления Бонуса\n
31@	Grand Scepter (Sacred)
