#code	equiv	varImages	name
sdbw	dbow,ct2w		Druid Bow (Sacred)
dbox	fbox		Druid Gift Box
drui	clas		Druid Item
dstf	staf,dbox		Druid Staff
sdst	dstf,ct2w		Druid Staff (Sacred)
elrx	elex		Elemental Ranged Weapons
xrun	rune,gem		Elemental Rune
el1x	elex		Elemental Weapon 1H Melee
el2x	elex		Elemental Weapon 2H Melee
elex	weap		Elemental Weapons
elix	misc		Elixir
geme	gem		Emerald
erun	rune,gem		Enchanted Rune
gem1	gem		Flawed Gem
gem3	gem		Flawless Gem
gem	sock		Gem
gep2	gep1		Gem Pile 2
gep3	gep2		Gem Pile 3
gep4	gep3		Gem Pile 4
glov	armo,hlm1		Gloves
qglv	glov,ct1a		Gloves (Sacred)
gold	misc		Gold
hamm	blun		Hammer
qham	hamm		Hammer (Sacred)
h2h	mele,assn		Hand to Hand
qh2h	h2h,ct1w		Hand to Hand (Sacred)
h2h2	h2h		Hand to Hand 2
hpot	poti		Healing Potion
hlm1	dcht		Helm
qhlm	helm,ct1a		Helm (Sacred)
herb	misc		Herb
horm	hamm		Horadric Malus
jave	comb,spea		Javelin
qjvn	jave,ct1w		Javelin (Sacred)
jewl	sock,dcht	invjw1,invjw2,invjw3,invjw4,invjw5,invjw6	Jewel
key	misc		Key
knif	mele,dbox		Knife
qknf	knif,ct1w		Knife (Sacred)
lcha	char	invch3,invch6,invch9	Large Charm
cyc3	cycl	invch3,invch6,invch9	Large Cycle
mace	blun		Mace
qmac	mace,ct1w		Mace (Sacred)
mboq	bowq		Magic Bow Quiv
mxbq	xboq		Magic Xbow Quiv
mpot	poti		Mana Potion
mcha	char	invch2,invch5,invch8	Medium Charm
cyc2	cycl	invch2,invch5,invch8	Medium Cycle
kill	misc	invrin1,invrin2,invrin3,invrin4,invrin5	Mega Ring
mele	weap		Melee Weapon
misl	misc,myor		Missile
qmsl	misl		Missile (Sacred)
tpot	thro		Missile Potion
miss	weap		Missile Weapon
myor	dcht		Mystic Orbable
####	mele		Mystic Sword
nbox	fbox		Necro Gift Box
necr	clas		Necromancer Item
nknf	knif,nbox		Necromancer Knife
snkf	nknf,ct1w		Necromancer Knife (Sacred)
nscy	scyh,nbox		Necromancer Scythe
snsy	nscy,ct2w		Necromancer Scythe (Sacred)
nstf	staf,nbox		Necromancer Staff
snst	nstf,ct2w		Necromancer Staff (Sacred)
nxbw	xbow,nbox		Necromancer Xbow
snxb	nxbw,ct2w		Necromancer Xbow (Sacred)
helm	armo,hlm1		New Helm
gemq	gem		Onyx
orb	mele,sorc		Orb
qorb	orb,ct1w		Orb (Sacred)
pbox	fbox		Pala Gift Box
pclb	club		Paladin Club
spcb	pclb,ct1w		Paladin Club (Sacred)
pham	hamm		Paladin Hammer
sphm	pham,ct2w		Paladin Hammer (Sacred)
pzhm	helm		Paladin Helm
sphz	pzhm,ct1a		Paladin Helm (Sacred)
pala	clas		Paladin Item
pmac	mace		Paladin Mace
spmc	pmac,ct1w		Paladin Mace (Sacred)
pspe	spea		Paladin Spear
spsp	pspe,ct2w		Paladin Spear (Sacred)
pelt	helm,drui		Pelt
qplt	pelt,ct1a		Pelt (Sacred)
gem4	gem		Perfect Gem
play	misc		Player Body Part
pole	mele		Polearm
qpol	pole,ct2w		Polearm (Sacred)
prsh	thng		Portable Shrine
poti	misc		Potion
phlm	helm,barb		Primal Helm
qphm	phlm,ct1a		Primal Helm (Sacred)
gemx	gem		Rainbow Gem
rpot	hpot,mpot		Rejuv Potion
grtz	char		Reward Charm
ring	riam,dcht	invrin1,invrin2,invrin3,invrin4,invrin5	Ring
qrin	ring	invrin1,invrin2,invrin3,invrin4,invrin5	Ring (Sacred)
riam	misc,myor		Rings and Amulets
gemr	gem		Ruby
rune	sock		Rune
xxx4	misc		SAmu
xxx2	bow		SBow
xxx3	mele		SStaff
xxx1	mele		SSword
sarm	ssgl		Sacred Armor
#bow	bow		Sacred Bow
ssgl	sign		Sacred Group
swea	ssgl		Sacred Weapon
gems	gem		Sapphire
scep	rod		Scepter
qscp	scep,ct1w		Scepter (Sacred)
scro	misc		Scroll
summ	char		Scroll of Summoning
scyh	pole		Scythe
qscy	scyh,ct2w		Scythe (Sacred)
shie	shld		Shield
qshi	shie,ct1a		Shield (Sacred)
shco	thng		Shrine Container
gemz	gem		Skull
scha	char	invch1,invch4,invch7	Small Charm
cyc1	cycl	invch1,invch4,invch7	Small Cycle
sock	misc		Socket Filler
sbox	fbox		Sorc Gift Box
scrd	mele,sbox		Sorceress Crystal Sword
sscd	scrd,ct1w		Sorceress Crystal Sword (Sacred)
sorc	clas,sbox		Sorceress Item
stor	tors		Sorceress Torso
sstr	stor,ct2a		Sorceress Torso (Sacred)
spea	mele		Spear
qspe	spea,ct2w		Spear (Sacred)
bhlm	helm		Special Helm
qbhe	qhlm		Special Helm (Sacred)
bshi	shie		Special Shield
qbon	qshi		Special Shield (Sacred)
staf	rod		Staff
qstf	staf,ct2w		Staff (Sacred)
spot	poti		Stamina Potion
gem2	gem		Standard Gem
rod	blun		Staves And Rods
swor	mele		Sword
qswd	swor,ct1w		Sword (Sacred)
woot	ques		Thanks For Playing
wpot	poti		Thawing Potion
taxe	comb,axe		Throwing Axe
qtax	taxe,ct1w		Throwing Axe (Sacred)
tkni	comb,knif		Throwing Knife
qtkn	tkni,ct1w		Throwing Knife (Sacred)
thro	weap		Thrown Weapon
gemt	gem		Topaz
torc	misc		Torch
tcur	amul	invamu1,invamu2,invamu3	Trigger Curse Item
gemo	gem		Turqoise
head	shie,necr		Voodoo Heads
qhed	head,ct1a		Voodoo Heads (Sacred)
wand	rod		Wand
qwnd	wand,ct1w		Wand (Sacred)
weap	myor		Weapon
wrtl	mace		Wirts Leg
###2	amul		Yshari Amulet
###3	qtor		Yshari Armor
###6	qblt		Yshari Belt
###8	qbot		Yshari Boots
###7	qglv		Yshari Gloves
###5	qhlm		Yshari Helm
###1	ring	lab_rn1,lab_rn2	Yshari Ring
###4	qshi		Yshari Shield
