#index	part_prop1	part_param1	part_min1	part_max1	part_prop2	part_param2	part_min2	part_max2	part_prop3	part_param3	part_min3	part_max3	part_prop4	part_param4	part_min4	part_max4	part_prop5	part_param5	part_min5	part_max5	part_prop6	part_param6	part_min6	part_max6	part_prop7	part_param7	part_min7	part_max7	part_prop8	part_param8	part_min8	part_max8	full_prop1	full_param1	full_min1	full_max1	full_prop2	full_param2	full_min2	full_max2	full_prop3	full_param3	full_min3	full_max3	full_prop4	full_param4	full_min4	full_max4	full_prop5	full_param5	full_min5	full_max5	full_prop6	full_param6	full_min6	full_max6	full_prop7	full_param7	full_min7	full_max7	full_prop8	full_param8	full_min8	full_max8
MSMalthael's Sanctuary	195	453	10	34	210		150	150	195	63	10	34	362		20	20																	39,41,43,45		50	50	362		20	20	83	3	3	3	76,77		15	15	97	464	12	12	98	175	1	1								
MSMount Arreat	83	4	1	1	25		100	100	45		50	50	196	817	20	8																	196	781	3	46	196	454	8	46	0,1,2,3		100	100	171		200	200	83	4	4	4	266	760	100	1	329,331		75	75	98	175	1	1
MSOrchard	357		25	25	83	2	2	2	336		40	40	83	2	2	2																	292	330	3	40	329,330,331,332,357		40	40	98	175	1	1	40,42,44,46		2	2	7		400	400	31		1500	1500								
MSPantheon	39,41,43,45		50	50	93		50	50	25		100	100	7,9		150	150																	196	820	3	40	333,334,335,336		45	45	198	542	5	11	2		200	200	21,22		63	125	25		100	100	98	175	1	1				
MSRainbow Warrior2	444		25	25	83	5	1	1	171		50	50	60		10	10																	155	1647	13	13	0,1,2,3		50	50	136		10	10	39,41,43,45		25	25	52,53		375	500	98	175	1	1	208		1	1				
MSRathma's Empire	60		20	20	136		10	10	76		20	20	0,1,2,3		25	25																	0,1,2,3		150	150	39,41,43,45		35	35	171		150	150	195	500	40	19	98	175	1	1	136		10	10	40,42,44,46		2	2	96		10	10
MSRed Vex' Embrace	39,41,43,45		30	30	1		150	150	97	612	9	9	83	0	2	2																	86		1000	1000	39,41,43,45		75	75	375	11338	8	8	151	280	1	1	357		50	50	485		150	150	1		400	400	98	175	1	1
MSSatanic Mantra	444		75	75	500		200	200	97	358	34	34	267		15	15																	441		1	1	487		50	50	470		100	100	444		100	100	97	687	17	17	98	175	1	1	83	2	6	6	97	1110	25	25
MSSelathiel Archives	83	3	2	2	329,330,331,332,357		20	20	468,462		50	50	469		3	3																	98	175	1	1	195	248	5	1	7		1000	1000	333,334,335,336		15	15	0,1,2,3		250	250	31		5000	5000	97	682	31	31	292	480	1	36
MSSpirits of the Nephalem	196	513	4	23	446		100	100	470		100	100	25		150	150																	0		500	500	1		500	500	155	1570	13	13	444		150	150	98	175	1	1	97	389	38	38	97	463	32	32				
MSTestament of the Apes	119		250	250	0		50	50	25		200	200	0		75	75																	196	780	5	3	97	636	10	10	136		25	25	97	32	18	18	36		20	20	359,360,361,362		50	50	284	441	10	18	98	175	1	1
MSThe Mysteries	83	1	2	2	2		50	50	97	859	21	21	36		10	10																	21,22		100	100	136		10	10	31		4000	4000	97	307	17	17	338,339,340		5	5	97	449	4	4	98	175	1	1				
MSThe Snake Pit	25		50	50	83	6	1	1	39,41,43,45		50	50	83	6	2	2																	25		350	350	336		30	30	21,22		63	250	97	317	18	18	141		10	10	195	962	20	36	98	175	1	1	86		150	150
MSTowerlord	0		75	75	2		75	75	329,330,331,332,357		50	50	83	2	3	3																	98	175	1	1	97	967	10	10	97	1022	10	10	97	22	10	10	40,42,44,46		4	4	7		1000	1000	444		200	200	83	2	6	6
MSTundra Walker	0		75	75	83	4	2	2	0,1,2,3		50	50	22		125	125																	195	985	4	15	195	684	4	15	195	980	4	15	335		20	20	83	4	5	5	0,1,2,3		200	200	98	175	1	1				
MSUniversalLaw	357		20	20	83	6	2	2	7		500	500	1		150	150																	357		15	15	83	6	4	4	36		5	5	9		3000	3000	98	175	1	1	39,41,43,45		25	25	97	976	60	60	86		100	100
MSUnusedLol																																																																
MSVasily's Following	333		20	20	196	595	13	18	383	601	20	20	375	11516	5	5																	39,41,43,45		50	50	25		250	250	359,360,361,362		40	40	97	445	6	6	98	175	1	1	336		30	30	196	78	20	13	96		15	15
MSVizjun's Devices	39,41,43,45		40	40	485		75	75	105		50	50	83	6	3	3																	155	216	4	4	40,42,44,46		3	3	1		250	250	3		150	150	74		2000	2000	83	6	5	5	98	175	1	1				
MSWarmage2	0		50	50	97	566	24	24	97	563	16	16	39,41,43,45		75	75																	97	613	30	30	201	814	2	40	83	1	5	5	329,330,331,332,357		25	25	361		100	100	96		10	10	338,339,340		5	5	98	175	1	1
MSWitchhunter's Attire	334		20	20	39,41,43,45		20	20	210		150	150	195	500	50	24																	155	1398	2	2	83	6	5	5	98	175	1	1	210		150	150	360		25	25	107	605	15	15	142,144,148		3	3				
MSZann Esu's Secrets	20		1	1	171		40	40	444		100	100	97	570	8	8																	97	703	36	36	97	798	32	32	39,41,43,45		75	75	36		50	50	444		100	100	86		100	100	98	175	1	1				
MSZeraes Divinity	83	0	2	2	334		10	10	171		50	50	62		20	20																	97	427	18	18	98	175	1	1	198	489	10	53	334		20	20	330		50	50	171		200	200	22		125	125	208		2	2
M_Armageddon																																	98	409	1	1	375	11447	9	9	383	699	1	1	292	699	4	50																
M_AstroghasMoon	45		75	75	46		2	2																									98	409	1	1	97	979	23	23	336		25	25	150		5	5	383	802	1	1	375	11449	9	9								
M_BattleDevices																																	98	409	1	1	375	11440	9	9	383	884	1	1	209		1	1																
M_GuardianRogue																																	98	409	1	1	397	890	1	1	375	11444	9	9	335		15	15																
M_HeadHunter																																	383	1512	1	1	375	11434	9	9	98	421	1	1																				
M_Nephalems	39,41,43,45		25	25	127		2	2																									383	1513	1	1	375	11435	9	9	414		500	500	383	773	1	1	98	175	1	1	195	449	5	40	97	593	15	15				
M_OakTeaching																																	98	409	1	1	383	67	1	1	375	11445	9	9	86		75	75																
M_TheOffering																																	98	409	1	1	375	11446	9	9	383	18	1	1	97	18	10	10																
M_Thunderstorm																																	98	409	1	1	383	1600	1	1	375	11439	9	9																				
M_VizjereiDominion	77		15	15	361		15	15	83	1	4	4	98	409	1	1																																																
M_Wintertide																																	98	409	1	1	375	11448	9	9	396	474	1	1	365		20	20																
Set_Lazbro	487		25	25	470		50	50	444		100	100	500		100	100																	393	615	1	1	487		25	25	375	11425	9	9	444,470		150	150	83	2	3	3	76		25	25	500		200	200	98	175	1	1
Set_PewPew	127		2	2	359,360,361,362		15	15	39,41,43,45		25	25	333,334,335,336		25	25																	98	175	1	1	86		150	150	329,330,331,332,357		35	35	20		1	1	96		50	50	97	346	5	5	155	1963	1	1				
Set_labrynth																																	97	1147	50	50	97	1148	50	50	182		-100	-100	40,42,44,46		15	15	36		50	50	39,41,43,45		400	400								
Set_labrynth2																																	99,102,105,93		100	100	151	1151	1	1	108		1	1	7		1000	1000	39,41,43,45		-200	-200	181		1	1								
Set_xaru	97	356	8	8	0,1,2,3		10	10	40		4	4	97	983	3	3																	0,1,2,3		75	75	333		60	60	329		50	50	98	186	1	1	76		10	10	48,49		167	167	98	175	1	1	127		2	2
