#index	part_prop1	part_param1	part_min1	part_max1	part_prop2	part_param2	part_min2	part_max2	part_prop3	part_param3	part_min3	part_max3	part_prop4	part_param4	part_min4	part_max4	part_prop5	part_param5	part_min5	part_max5	part_prop6	part_param6	part_min6	part_max6	part_prop7	part_param7	part_min7	part_max7	part_prop8	part_param8	part_min8	part_max8	full_prop1	full_param1	full_min1	full_max1	full_prop2	full_param2	full_min2	full_max2	full_prop3	full_param3	full_min3	full_max3	full_prop4	full_param4	full_min4	full_max4	full_prop5	full_param5	full_min5	full_max5	full_prop6	full_param6	full_min6	full_max6	full_prop7	full_param7	full_min7	full_max7	full_prop8	full_param8	full_min8	full_max8
MSCinadide's Craft	153		1	1	0		80	80	97	1730	24	24	22		50	50																	25		240	240	0,1,2,3		200	200	336		60	60	39,41,43,45		100	100	136		25	25	150		25	25	98	175	1	1				
MSCreed	360		15	15	83	6	2	2	153		1	1	40,42,44,46		2	2																	196	591	30	13	2		200	200	0		200	200	3		200	200	208		2	2	198	478	2	42	336		50	50	98	175	1	1
MSEdyrem's Children	0,1,2,3		50	50	330		25	25	105		75	75	330		25	25																	97	1134	16	16	83	1	5	5	330		50	50	0,1,2,3		100	100	485		150	150	309	1134	50	50	36		15	15	98	175	1	1
MSGathering of the Tribes	0		50	50	3		100	100	119		250	250	380		60	60																	195	574	30	20	39,41,43,45		75	75	442		20	20	31		4000	4000	0		250	250		2167	7	7	338,339,340		25	25	98	175	1	1
MSHadriel's Lore	79		20	20	83	3	2	2	485		100	100	97	1319	15	15																	83	3	4	4	171		200	200	86		75	75	1		200	200	3		200	200	329,331,357		50	50	98	175	1	1	333,335		30	30
MSImperius' Edict	359		20	20	361		20	20	360		20	20	361		20	20																	364		33	33	334		20	20	357		30	30	485		100	100	0,1,2,3		150	150	338,339,340		20	20		1056	1	1	98	175	1	1
MSLastKing	0		75	75	25		45	45	93		50	50	25		90	90																	21,22		100	150	39,41,43,45		50	50	31		1000	1000	136		30	30	338,339,340		15	15	195	589	10	12	98	175	1	1	97	1046	1	1
MSLone Wolf's Path	485		150	150	97	1563	14	14	332		50	50	45		50	50																	83	5	6	6	383	353	1	1	97	1568	19	19	383	354	1	1	333,335		30	30	375	11305	5	5	7		400	400	98	175	1	1
MSMalthael's Sanctuary	195	411	10	34	210		150	150	195	505	10	34	362		20	20																	39,41,43,45		50	50	362		20	20	83	3	3	3	77		15	15	97	1567	12	12	98	175	1	1	76		5	5				
MSMount Arreat	83	4	1	1	25		60	60	45		50	50	196	442	20	8																	196	594	3	46	196	412	8	46	0,1,2,3		100	100	171		200	200	83	4	4	4	266	595	100	1	329,331		75	75	98	175	1	1
MSOrchard	357		25	25	83	2	2	2	336		40	40	83	2	2	2																	292	323	3	40	329,330,331,332,357		40	40	98	175	1	1	40,42,44,46		2	2	7		400	400	31		1500	1500								
MSPantheon	39,41,43,45		50	50	93		50	50	25		60	60	7		150	150																	196	629	3	40	333,334,335,336		45	45	198	604	5	11	2		200	200	21,22		63	125	25		60	60	98	175	1	1				
MSRainbow Warrior2	444		25	25	83	5	1	1	171		50	50	60		10	10																		2170	13	13	0,1,2,3		50	50	136		10	10	39,41,43,45		25	25	52,53		188	250	98	175	1	1	208		1	1				
MSRathma's Empire	60		20	20	136		10	10	76		6	6	0,1,2,3		25	25																	0,1,2,3		150	150	39,41,43,45		35	35	171		150	150	195	607	40	19	98	175	1	1	136		10	10	40,42,44,46		2	2	96		10	10
MSRed Vex' Embrace	39,41,43,45		30	30	1		150	150	97	479	9	9	83	0	2	2																	86		1000	1000	39,41,43,45		75	75	375	11338	8	8	151	1897	1	1	357		50	50	485		150	150	1		400	400	98	175	1	1
MSSatanic Mantra	444		75	75	500		200	200	470		50	50	83	2	2	2																	441		1	1	487		50	50	470		50	50	444		100	100	97	472	17	17	98	175	1	1	83	2	6	6	97	1678	25	25
MSSelathiel Archives	83	3	2	2	329,330,331,332,357		20	20	468,462		50	50	469		3	3																	98	175	1	1	195	694	5	1	7		1000	1000	333,334,335,336		15	15	0,1,2,3		250	250	31		5000	5000	97	475	31	31	292	493	1	36
MSSpirits of the Nephalem	196	706	4	23	446		38	38	470		50	50	25		90	90																	0		500	500	1		500	500		2541	13	13	444		150	150	98	175	1	1	97	355	38	38	97	418	32	32				
MSTestament of the Apes	119		250	250	0		50	50	25		120	120	0		75	75																	196	593	5	3	97	1735	10	10	136		25	25	97	507	18	18	36		20	20	359,360,361,362		50	50	284	398	10	18	98	175	1	1
MSThe Mysteries	83	1	2	2	2		50	50	97	449	21	21	36		10	10																	21,22		100	100	136		10	10	31		4000	4000	25		100	100	338,339,340		5	5	97	1488	4	4	98	175	1	1				
MSThe Snake Pit	25		30	30	83	6	1	1	39,41,43,45		50	50	83	6	2	2																	25		210	210	336		30	30	21,22		63	250	97	1037	18	18	141		10	10	195	507	20	36	98	175	1	1	86		150	150
MSTowerlord	0		75	75	2		75	75	329,330,331,332,357		50	50	83	2	3	3																	98	175	1	1	40,42,44,46		4	4	7		1000	1000	444		200	200	83	2	8	8												
MSTundra Walker	0		75	75	83	4	2	2	0,1,2,3		50	50	22		125	125																	195	568	4	15	195	598	4	15	195	569	4	15	335		20	20	83	4	5	5	0,1,2,3		200	200	98	175	1	1				
MSUniversalLaw	357		20	20	83	6	2	2	7		500	500	1		150	150																	357		15	15	83	6	4	4	36		5	5	9		1500	1500	98	175	1	1	39,41,43,45		25	25	97	441	60	60	86		100	100
MSUnusedLol																																																																
MSVasily's Following	333		20	20	196	601	7	18	383	1046	20	20	375	11516	5	5																	39,41,43,45		50	50	25		150	150	359,360,361,362		40	40	97	1497	6	6	98	175	1	1	336		30	30	196	625	20	13	96		15	15
MSVizjun's Devices	39,41,43,45		40	40	485		75	75	105		50	50	83	6	3	3																		205	4	4	40,42,44,46		3	3	1		250	250	3		150	150	74		2000	2000	83	6	5	5	98	175	1	1				
MSWarmage2	0		50	50	97	483	24	24	97	481	16	16	39,41,43,45		75	75																	97	379	30	30	201	587	2	40	83	1	5	5	329,330,331,332,357		25	25	361		100	100	96		10	10	338,339,340		5	5	98	175	1	1
MSWitchhunter's Attire	334		20	20	39,41,43,45		20	20	210		150	150	195	607	50	24																		1638	2	2	83	6	5	5	98	175	1	1	210		150	150	360		25	25	107	1146	15	15	142,144,148		3	3				
MSZann Esu's Secrets	20		1	1	171		40	40	444		100	100	97	1721	8	8																	97	466	36	36	97	457	32	32	39,41,43,45		75	75	36		50	50	444		100	100	86		100	100	98	175	1	1				
MSZeraes Divinity	83	0	2	2	334		10	10	171		50	50	62		20	20																	97	1477	18	18	98	175	1	1	198	492	10	53	334		20	20	330		50	50	171		200	200	22		125	125	208		2	2
M_Armageddon																																	98	409	1	1	375	11447	9	9	383	470	1	1	292	470	4	50																
M_AstroghasMoon	45		75	75	46		2	2																									98	409	1	1	97	1765	23	23	336		25	25	150		5	5	383	1742	1	1	375	11449	9	9								
M_BattleDevices																																	98	409	1	1	375	11440	9	9	383	447	1	1	487		40	40																
M_GuardianRogue																																	98	409	1	1	397	1751	1	1	375	11444	9	9	335		15	15																
M_HeadHunter																																	383	1951	1	1	375	11434	9	9	98	421	1	1																				
M_Nephalems	39,41,43,45		25	25	127		2	2																									383	1952	1	1	375	11435	9	9	414		500	500	383	1639	1	1	98	175	1	1	195	637	5	40	97	1504	15	15	98	47	1	1
M_OakTeaching																																	98	409	1	1	383	504	1	1	375	11445	9	9	86		75	75																
M_TheOffering																																	98	409	1	1	375	11446	9	9	383	1694	1	1	97	1694	10	10																
M_Thunderstorm																																	98	409	1	1	383	1974	1	1	375	11439	9	9																				
M_VizjereiDominion	77		15	15	361		15	15	83	1	4	4	98	409	1	1																																																
M_Wintertide																																	98	409	1	1	375	11448	9	9	396	1579	1	1	365		20	20																
McAuley's Folly																																																																
Milabrega's Regalia																																																																
Naj's Ancient Set																																																																
Natalya's Odium																																																																
Orphan's Call																																																																
Sazabi's Grand Tribute																																																																
Set_Lazbro	487		25	25	470		25	25	444		100	100	500		100	100																	393	1417	1	1	487		25	25	375	11425	9	9	444,470		150	75	83	2	3	3	76		8	8	500		200	200	98	175	1	1
Set_PewPew	127		2	2	359,360,361,362		15	15	39,41,43,45		25	25	333,334,335,336		25	25																	98	175	1	1	86		150	150	329,330,331,332,357		35	35	20		1	1	96		50	50	97	1134	5	5		1963	1	1				
Set_labrynth																																	97	2385	50	50	97	2386	50	50	182		-100	-100	40,42,44,46		15	15	36		50	50	39,41,43,45		400	400								
Set_labrynth2																																	99,102,105,93		100	100	151	2388	1	1	108		1	1	7		1000	1000	39,41,43,45		-200	-200	181		1	1								
Set_xaru	40		4	4	76		3	3	151	1890	12	12	375	11626	5	5																	0,1,2,3		75	75	333		60	60	329		50	50	98	186	1	1	97	1766	3	3	48,49		84	84	98	175	1	1	127		2	2
Sigon's Complete Steel																																																																
Tal Rasha's Wrappings																																																																
Tancred's Battlegear																																																																
The Disciple																																																																
Trang-Oul's Avatar																																																																
Vidala's Rig																																																																
